en,gu,translated
Who are the target userbase of Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનના લક્ષ્ય વપરાશકર્તા આધાર કોણ છે?,Who is the target user base of the POSHAN Tracker application?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.","ફોર્મમાં લાભાર્થીઓનો ડેટા દાખલ કરવા માટે પોષણ ટ્રેકર એપ્લિકેશન, આંગણવાડી કાર્યકરો, આંગણવાડી કેન્દ્રો માટે છે. તે સામાન્ય લોકો માટે બિલકુલ વિકસિત નથી.","The POSHAN tracker app for data entry of beneficiaries in the form is for Anganwadi Workers, Anganwadi Centres, which is not developed at all for the general public."
How to Login in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં પ્રવેશ કરો કેવી રીતે કરવું?,How to access the POSHAN Tracker App
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","આંગણ વાડી કાર્યકરોને લૉગિન સ્ક્રીન પર તેમનો મોબાઇલ નંબર દાખલ કરવા માટે વિનંતી કરવામાં આવે છે. તમારા નોંધાવેલ મોબાઇલ નંબર પર એક ઓટીપી મોકલવામાં આવશે, ત્યાર પછી કે તમને એમપિન સેટ કરવું પડશે.","Anganwadi workers are requested to enter their mobile number on the login screen An OTP will be sent to your registered mobile number, after which you will have to set up an MPIN."
What is  MPIN?,એમપિન એટલે શું?,What is MPI?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"એમપિન એ 4 અંકનો પાસકોડ છે, જે પોષણ ટ્રેકર એપ પર નોંધણી કરતી વખતે આંગણવાડી કાર્યકર દ્વારા સેટ કરવામાં આવે છે.",MPIN is a 4-digit passcode that is set by an Anganwadi worker while registering on the Poshan Tracker app.
How to set MPIN?,એમપિન કેવી રીતે સેટ કરવું?,How to set up MPI?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","સંબંધિત આંગણવાડી કાર્યકરના મોબાઇલ નંબર પર ઓટીપીની વિનંતી કરીને, તેમના દ્વારા એમપિન સેટ કરી શકાય છે. જો મોબાઇલ નંબર ડેટાબેસમાં પહેલેથી હાજર હશે, તો સંબંધિત આંગણવાડી વ્યક્તિ નોંધાયેલા મોબાઇલ નંબર પર 4 અંકનો ઓટીપી મેળવશે. ઓટીપી દાખલ કર્યા પછી, આંગણવાડી કાર્યકર સરળતાથી કસ્ટમાઇઝ્ડ એમપિન સેટ કરી શકે છે.","If the mobile number is already present in the database, the concerned Anganwadi person will receive a 4-digit OTP on the registered mobile number. After entering the OTP, the Anganwadi worker can easily set up the customized MPIN."
When and how to use MPIN?,એમપિનનો ઉપયોગ ક્યારે અને કેવી રીતે કરવો?,How and when to use mHg?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","પોષણ ટ્રેકર એપ્લિકેશન પર લૉગિન કરતાં સમયે, કાર્યકરોને તેમના દ્વારા સેટ કરેલ એમપિન દાખલ કરવો જરૂરી છે. આ એમપિન પોષણ ટ્રેકર એપ્લિકેશન ચલાવવા અને લાભાર્થીઓના ફોર્મમાં માહિતી દાખલ કરવા માટે પાસકોડ તરીકે કાર્ય કરશે.","At the time of login on the POSHAN tracker app, the workers are required to enter the MPIN set by them which will act as a passcode for running the POSHAN tracker app and enter the information in the beneficiary's form."
How to Reset MPIN?,એમપિન કેવી રીતે ફરીથી સેટ કરવું?,How to Reset Your PIN?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",એમપિનને કોઈપણ વપરાશકર્તા જેમ કે આંગણવાડી કાર્યકર/ આંગણવાડી કેન્દ્રો દ્વારા સરળતાથી ફરીથી સેટ કરી શકાય છે. તમારે ફરગોટ એમપિન પર ક્લિક કરવાની જરૂર છે અને તમારો નોંધાયેલ મોબાઇલ નંબર દાખલ કરવો પડશે. તમે તમારા નોંધાયેલા મોબાઈલ નંબર પર ઓટીપી પ્રાપ્ત થશે અને તમે તમારો એમપિન સરળતાથી ફરીથી સેટ કરી શકો છો.,The MPIN can be reset easily by any user such as Anganwadi worker / Anganwadi Centres. You need to click on Forgot MPIN and enter your registered mobile number. You will get OTP on your registered mobile number and you can reset your MPIN easily.
In How many languages the Poshan Tracker App is available?,પોષણ ટ્રેકર એપ્લિકેશન કેટલી ભાષાઓમાં ઉપલબ્ધ છે?,How many languages is the POSHAN Tracker App available?
Poshan Tracker App is available in 22 different languages,પોષણ ટ્રેકર એપ્લિકેશન 22 વિવિધ ભાષાઓમાં ઉપલબ્ધ છે.,The POSHAN tracker app is available in 22 different languages.
The various languages available are:,ઉપલબ્ધ વિવિધ ભાષાઓ છે:,Available in several languages:
English,અંગ્રેજી,A-M | English
Hindi,હિન્દી,A-M | Hindi
Gujarati,ગુજરાતી,A-M | Gujarati
Punjabi,પંજાબી,Punjabi language
Marathi,મરાઠી,A-M | Marathi
Bangla,બાંગ્લા,A-M | Bengali
Kannada,કન્નડ,A-M | Kannada
Tamil,તમિળ,A-M | Tamil
Telugu,તેલુગુ,A-M | Telugu
Malyalam,મલયાલમ,A-M | Malayalam
Odia,ઓડિયા,A-M | Odia
Assamese,આસામી,Assamese language
In how many languages AWW can enter the data while filling up the form?,આંગણવાડી કાર્યકર અથવા કેન્દ્ર ફોર્મ ભરતી વખતે કેટલી ભાષાઓમાં ડેટા દાખલ કરી શકે છે?,How many languages should an Anganwadi worker or Centre enter data at the time of filling up the form?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,આંગણવાડી કાર્યકર ફક્ત અંગ્રેજી ભાષામાં જ ફોર્મ ભરી શકે છે.,Anganwadi workers can fill up forms in English only.
How many different forms are there in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં કેટલા વિવિધ ફોર્મ આપેલા છે?,How many different forms are there in the POSHAN Tracker App?
There are 7 different types of forms for beneficiaries. This includes:,લાભાર્થીઓ માટે 7 વિવિધ પ્રકારનાં ફોર્મ છે. જેમાં શામેલ છે:,There are 7 different types of forms for beneficiaries which include:
Lactating mother,સ્તનપાન કરાવતી માતા,mother's breast milk
Pregnant women,સગર્ભા સ્ત્રીઓ,pregnant women
Child 0-6 Months,બાળક 0-6 મહિના,Child 0-6 months
Child 6 Months to 3 Years,બાળક 6 મહિનાથી 3 વર્ષ,Child 6 months to 3 years
Child  3 Years to 6 Years,બાળક 3 વર્ષથી 6 વર્ષ,Children 3 to 6 years
Adolescent Girls (11 Years-19 Years),કિશોરવયની છોકરીઓ (11 વર્ષ -19 વર્ષ),Girls (11 years - 19 years)
What information to be added in AWC forms?,આંગણવાડી કેન્દ્ર ફોર્મમાં કઈ માહિતી ઉમેરવાની છે?,What are the details to be included in the Anganwadi Centre Form?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","આંગણવાડી કાર્યકરોને, એક ચોક્કસ આંગણવાડી કેન્દ્રમાં હાજર માળખા સાથે સંબંધિત વિગતો દાખલ કરવી જરૂરી છે. આમાં માળખું, પાયાની સુવિધાઓ, સગવડો, સ્વચ્છતા, પીવાનું પાણી વગેરે શામેલ છે.","Anganwadi workers are required to submit details regarding infrastructure, basic amenities, facilities, sanitation, drinking water etc. at a particular Anganwadi Centre."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,જો આંગણવાડી કાર્યકરો તેમના મોબાઇલ નંબર દ્વારા નોંધણી કરવામાં અસમર્થ હોય તો એપ્લિકેશન પર કેવી રીતે સાઇન અપ કરી શકે છે?,"If Anganwadi workers are unable to register through their mobile numbers, how can they sign up on the app?"
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,"જો આંગણવાડી કાર્યકરો પોતાણી નોંધણી કરવામાં અસફળ થાય, તો તેની 2 શક્યતાઓ હોઈ શકે છે:",There may be 2 possibilities if the anganwadi workers fail to register themselves:
Their mobile number is not present in the data provided by the states to the MoWCD,એમઓડબ્લ્યુસીડીને રાજ્યો દ્વારા પ્રદાન કરવામાં આવેલા ડેટામાં તેમનો મોબાઇલ નંબર હાજર નથી.,Their mobile numbers are not present in the data provided by the States to MoWCD.
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,તેઓ સિસ્ટમમાં નવા ઉમેરાયા છે અને તેમનો મોબાઈલ નંબર રાજ્ય સેલ દ્વારા એમઓડબ્લ્યુસીડીને હજી પ્રદાન કરવામાં આવ્યો નથી.,They have been newly added to the system and their mobile numbers are yet to be provided to MoWCD by the State Cell.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,ઉપરોક્ત બંને કેસોમાં રાજ્ય નોડલ અધિકારીઓને કોઈપણ આંગણવાડી કાર્યકરને ઉમેરવા / સંપાદન / સક્રિય / નિષ્ક્રિય કરવા માટે સત્તા આપવામાં આવી છે.,"In both the cases, State Nodal Officers have been empowered to add / edit / activate / deactivate any Anganwadi worker."
How can one access Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડને કેવી રીતે ચલાવી શકાય છે?,How to run a nutrition tracker dashboard
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ડેશબોર્ડ પર સાઇન ઇન કરીને પોષણ ટ્રેકર ડેશબોર્ડ ને ચલાવી શકાય છે. ,The POSHAN tracker dashboard can be run by signing on the dashboard.
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," લિંક પર ક્લિક કરીને ડેશબોર્ડને ચલાવી શકાય છે. રાષ્ટ્રીય, રાજ્ય, જિલ્લા, પરિકલ્પના અને ડેશબોર્ડને ચલાવવા માટે સેક્ટર કક્ષાના નોડલ કક્ષાના નામાંકિત અધિકારીઓને જ અનન્ય પ્રમાણપત્ર આપવામાં આવે છે.","The National, State, District, Vision and Dashboard are sector-level nodal officers who are given unique certificates to run the Dashboard."
How one can add AWW/AWCs?,આંગણવાડી કાર્યકરોને/આંગણવાડી કેન્દ્રોને કેવી રીતે ઉમેરી શકાય છે?,How to add Anganwadi Workers / Anganwadi Centres?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"આંગણવાડી કાર્યકરો/આંગણવાડી કેન્દ્રોને ફક્ત નોડલ કક્ષાના અધિકારી દ્વારા ઉમેરી શકાય છે. વંશવેલોમાં ઉપરના ભાગમાં જણાવેલ કોઈપણ અધિકારી. રાષ્ટ્રીય કક્ષાનો વપરાશકર્તા રાજ્ય, જિલ્લા, પરિયોજના અને ખંડ કક્ષાના વપરાશકર્તા બનાવી શકે છે. રાજ્ય કક્ષાનો વપરાશકર્તા જિલ્લા, પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે. જિલ્લા કક્ષાનો વપરાશકર્તા પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે. પરિયોજના કક્ષાનો વપરાશકર્તા, ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે.","Anganwadi Workers / Anganwadi Centres can be added only by a nodal level officer. Any officer mentioned in the top of the hierarchy can be made a state, district, project and block level user. State level user can become a district, project and block level user. District level user can become a project and block level user. Project level user can become a block level user."
How many different types of reports can be generated over Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડ પર કેટલા વિવિધ પ્રકારનાં અહેવાલો ઉત્પન્ન થઈ શકે છે?,How many different kinds of reports can be generated on the nutrition tracker dashboard?
There are various reports that can be generated from,એપમાંથી વિવિધ અહેવાલો પેદા કરી શકાય છે,Various reports can be generated from the app
General Reports:,સામાન્ય અહેવાલો:,General Report:
Number of app  downloads,એપ્લિકેશન ડાઉનલોડની સંખ્યા,Number of downloads
Total number of Anganwadi centers registered,નોંધાયેલ આંગણવાડી કેન્દ્રોણી સંખ્યા,Number of Anganwadi Centres registered
Total number of beneficiaries registered (National/state/district/block wise),નોંધાયેલા કુલ લાભાર્થીઓની સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા /ખંડ),Total number of beneficiaries registered (National / State / District / Block)
Total Number of pregnant women registered(National/state/district/block wise),નોંધાયેલ સગર્ભા સ્ત્રીઓની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ),Total number of registered pregnant women (National / State / District / Block wise)
Total Number of  lactating mothers registered(National/state/district/block wise),નોંધાયેલ સ્તનપાન કરાવતી માતાની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ),Total number of registered lactating mothers (National / State / District / Block wise)
Total Number of children (0-6months) registered(National/state/district/block wise),નોંધાયેલા બાળકોની કુલ સંખ્યા (0-6 મહિના) (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ),Total number of children enrolled (0-6 months) (National / State / District / Block wise)
Total Number of children (6months-3years) registered(National/state/district/ block wise),નોંધાયેલ કુલ બાળકોની સંખ્યા (6 મહિના -3 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ),Total number of children registered (6 months - 3 years) Registered (National / State / District / Block wise)
Total Number of children (3-6years) registered(National/state/district/ block wise),કુલ બાળકોની સંખ્યા (3-6 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ),Total number of children (3-6 years) registered (National / State / District / Block wise)
Maternal and child nutrition:,માતા અને બાળકનું પોષણ:,Mother and Child Nutrition
How many beneficiaries got THR in 21 days,21 દિવસમાં કેટલા લાભાર્થીઓને ટી.એચ.આર. મળી?,How many beneficiaries got THR in 21 days?
How many children breastfed exclusively in the first hour after delivery,ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?,"How many children were breastfed, especially in the first hour after delivery?"
How many lactating mothers are given HCM,કેટલી સ્તનપાન કરાવતી માતાને એચસીએમ આપવામાં આવે છે?,How many lactating mothers are given HCM?
Average level of calcium in children aged 3-6 years,ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?,"How many children were breastfed, especially in the first hour after delivery?"
Average level of iron in children aged 3-6years,3-6 વર્ષનાં બાળકોમાં કેલ્શિયમનું સરેરાશ કક્ષાએ,Average calcium levels in children 3-6 years of age
"Total number of vaccinations administered per month (block, district, state, national level)",3-6 વર્ષનાં બાળકોમાં લોહતત્વનું સરેરાશ કક્ષાએ,Average level of anaemia in 3-6 years of age
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,દર મહિને વહીવટ કરેલ રસીની ચોક્કસ રીપોર્ટ (બીસીજી / ઓપીવી / હેપેટાઇટિસ બી / રોટાવાયરસ / પોલિયો / ન્યુમોકોકલ / પેન્ટાવેલેન્ટ),Specific Reports of Vaccines administered every month (BCG / OPV / Hepatitis B / Rotavirus / Polio / Pneumococcal / Pentavalent)
AWC infrastructure:,આંગણવાડી કેન્દ્રનું માળખું :,Composition of Anganwadi Centre:
"Number of AWCs (block, district, state, national level)","આંગણવાડીઓની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)","Total number of Anganwadis (at block, district, state, national level)"
"Total number of Balvatikas (block district, state, national level)","બાલવટિકાઓની કુલ સંખ્યા (ખંડ જિલ્લો, રાજ્ય, રાષ્ટ્રીય કક્ષા)","Total number of Children Dwellers (Block, District, State, National Level)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","પીવાના શુધ્ધ પાણી સાથે આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)","Total number of AWCs with safe drinking water (Block, District, State, National level)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","કાર્યકારી વજનના ધોરણ સાથે આંગણવાડીઓણી કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)","Total number of Anganwadis with working weight standard (block, district, state, national level)"
"Total number of AWCs (block, district, state, national level) with electricity","વીજળીણી સુવિધા વાળા આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)","Total number of Electrified Anganwadi Centres (at block, district, state, national level)"
Total number of AWCs that are government owned,સરકારની માલિકીની હોય એવા આંગણવાડી કેન્દ્રોની કુલ સંખ્યા,Total number of Government owned AWCs
Total number of AWCs that are privately owned,ખાનગી માલિકીની છે એવા આંગણવાડી કેન્દ્રો ની કુલ સંખ્યા,Total number of Anganwadi Centres which are privately owned
How to contact Poshan Tracker Team?,પોષણ ટ્રેકર ટીમનો સંપર્ક કેવી રીતે કરવો?,How to contact the nutrition tracker team
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in પર ઇમેઇલ મોકલીને પોષણ ટ્રેકર ટીમનો સંપર્ક કરી શકાય છે. હેન્ડહોલ્ડિંગ અને સહકાર માટે અમે દરરોજ બપોરે 4:15 થી સાંજના 5:15 વાગ્યા સુધી કોન્ફરન્સ દ્વારા પણ ઉપલબ્ધ છીએ.,"The POSHAN tracker team can be contacted by sending an email to support-poshantrackr @ gov.in For handholding and support, we are also available daily from 4: 15 pm to 5: 15 pm through conference."
What is Poshan Calculator,પોષણ કેલ્ક્યુલેટર શું છે,What is a Nutritional Calculator
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,પોશન કેલ્ક્યુલેટર વર્લ્ડ હેલ્થ ઓર્ગેનાઈઝેશન (ડબ્લ્યુએચઓ) ના ધોરણો અનુસાર બાળકની વિવિધ આરોગ્ય સ્થિતિઓને ઓળખવામાં મદદ કરે છે.,The POSHAN calculator helps in identifying the various health conditions of the child as per World Health Organization (WHO) standards.
WHO standards are :,WHO ધોરણો છે :,WHO standards are:
Stunting ( Height for Age)- ,સ્ટંટીંગ (ઉમર માટે ઊંચાઈ)- ,Standing (Height for age) -
0 months to 6 years,0 મહિનાથી 6 વર્ષ,0 months to 6 years
Severely Stunted,ગંભીરપણે અવિકસીત,Severely underdeveloped
Moderately stunted,સાધારણ સ્ટંટેડ,Normal Stint
Normal,સામાન્ય,Default Aggregation
Underweight (Weight for Age)- ,ઓછું વજન (ઉંમર માટે વજન)- ,Low body weight (weight for age)
Severely Underweight,ગંભીર રીતે ઓછું વજન,Severe weight loss
Moderately Underweight,મધ્યમ પ્રમાણમાં કુપોષણ,Moderate Malnutrition
Wasting (Weight for Height)- ,બગાડ (ઉંચાઈ માટે વજન)- ,Loss (Weight for Height)
0 months to 5 years,0 મહિનાથી 5 વર્ષ,0 months to 5 years
Severely Wasted (SAM),ગંભીર રીતે વેડફાઇ ગયેલ (SAM),Severely damaged (SAM)
Moderately Wasted (MAM),સાધારણ બગાડ (MAM),Ordinary Loss (MAM)
Overweight,વધારે વજન,Excess weight
Obese,મેદસ્વી,The Fat
Above standards are defined as per given above mentioned age brackets,ઉપરોક્ત ધોરણો ઉપર દર્શાવેલ વય કૌંસ મુજબ વ્યાખ્યાયિત કરવામાં આવે છે,The above criteria are defined in terms of age bracket
About Reference tables,સંદર્ભ કોષ્ટકો વિશે,About Reference Tables
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,WHO મલ્ટિસેન્ટર ગ્રોથ રેફરન્સ સ્ટડી (MGRS) 1997 અને 2003 ની વચ્ચે વિશ્વભરમાં શિશુઓ અને નાના બાળકોની વૃદ્ધિ અને વિકાસનું મૂલ્યાંકન કરવા માટે નવા વૃદ્ધિ વળાંકો પેદા કરવા માટે હાથ ધરવામાં આવ્યું હતું.,The WHO Multicentre Growth Reference Study (MGRS) was conducted between 1997 and 2003 to generate new growth trends to evaluate the growth and development of children and young children worldwide.
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).","MGRS એ વ્યાપકપણે વિવિધ વંશીય પૃષ્ઠભૂમિ અને સાંસ્કૃતિક સેટિંગ્સ (બ્રાઝિલ, ઘાના, ભારત, નોર્વે, ઓમાન અને યુએસએ) ના આશરે 8500 બાળકો પાસેથી પ્રાથમિક વૃદ્ધિ ડેટા અને સંબંધિત માહિતી એકત્રિત કરી.","MGRS extensively collected primary growth data and related information from around 8500 children from various ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and USA)."
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,નવા વૃદ્ધિ વળાંકો એક આંતરરાષ્ટ્રીય ધોરણ પ્રદાન કરે તેવી અપેક્ષા છે જે જન્મથી પાંચ વર્ષ સુધીના તમામ બાળકો માટે શારીરિક વૃદ્ધિનું શ્રેષ્ઠ વર્ણન રજૂ કરે છે અને સ્તનપાન કરાવતા શિશુને વૃદ્ધિ અને વિકાસ માટે આદર્શ મોડેલ તરીકે સ્થાપિત કરે છે.,The new growth curves are expected to provide an international standard that best describes physical growth for all children from birth to five years of age and establish breastfeeding as an ideal model for growth and development.
How to revive your Health?,તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું?,How do you maintain your health?
How to revive your health if you are Severely Wasted (SAM),જો તમે ગંભીર રીતે અશક્ત હોવ તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું (SAM),How to revive your health if you are severely disabled (SAM)
How to revive your health if you are Moderately Wasted (MAM),જો તમે સાધારણ રીતે અશક્ત હોવ તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું (MAM),How to revive your health if you are normally disabled (MAM)
How to revive your health if you are Underweight,જો તમારું વજન ઓછું હોય તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું,How to restore your health if you are underweight
Check Ticket Status,ટિકિટ સ્ટેટસ તપાસો,Check ticket status
Please provide your mobile number and a ticket number.,કૃપા કરીને તમારો મોબાઈલ નંબર અને ટિકિટ નંબર આપો.,Please provide your mobile number and ticket number.
Mobile ,મોબાઈલ ,Mobile Phone
Ticket Number ,ટિકિટ નંબર ,Ticket Number
View Ticket,ટિકિટ જુઓ,View Tickets
"If this is your first time contacting us or you've lost the ticket number, please ","જો તમે અમારો સંપર્ક કરી રહ્યા હોવ અથવા તમે ટિકિટ નંબર ગુમાવી દીધો હોય, તો કૃપા ","If you are contacting us or you have lost your ticket number, please"
open a new ticket,કરીને નવી ટિકિટ ખોલો,Open a new account
"No, Poshan Tracker is available only for Android version",શું પોષણ ટ્રેક્સ એપ્લિકેશન એપલ આઇ સ્ટોર ઉપર પણ ઉપલબ્ધ છે?,Is POSHAN Tracks app also available on Apple App Store?
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,"સ્વાગત છે! નીચે આપેલ સેવાની શરતો (""શરતો"") છે જે ","""Welcome! The following are the Terms of Service ("" ""Conditions"" "")"""
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”)."," પર હોસ્ટ કરેલા પોશન ટ્રેકર પ્લેટફોર્મના તમારા ઉપયોગને નિયંત્રિત કરે છે, અને લિંક કરેલી બધી સંબંધિત સાઇટ્સ તેને, તેની પેટાકંપનીઓ અને આનુષંગિકો (સામૂહિક રીતે, ""સાઇટ"").","""The Potion Tracker hosted on, controls your use of the platform, and all the related sites linked to it, its subsidiaries and subsidiaries (collectively, the"" ""site"" "")."""
I. OWNERSHIP,I. માલિકી,I. Ownership
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","સાઇટ અને તમામ ડેટા, ટેક્સ્ટ, ડિઝાઇન, પૃષ્ઠો, પ્રિન્ટ સ્ક્રીન, છબીઓ, આર્ટવર્ક, ફોટોગ્રાફ્સ, ઑડિઓ અને વિડિયો ક્લિપ્સ, HTML કોડ, સ્રોત કોડ, અથવા સૉફ્ટવેર કે જે સાઇટ પર રહે છે અથવા જોઈ શકાય છે અથવા અન્યથા શોધી શકાય છે, અને બધા સહભાગીઓ બુક થયા છે. સાઇટ પરથી, (સામૂહિક રીતે, ""માહિતી"" તરીકે ઓળખવામાં આવે છે) મહિલા અને બાળ વિકાસ મંત્રાલય અને તેમના અધિકૃત સેવા પ્રદાતાઓની માલિકીની છે.","The sites and all the data, text, design, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that resides or can be viewed or otherwise found on the site, and all the participants have been booked."
II. CONSENT,II. સંમતિ,II. Consent
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","અમારી પ્રાઇવસી પોલિસી, ઓપન API નીતિ અને અન્ય કોઈપણ નીતિઓ, નિયમો અથવા માર્ગદર્શિકા જે સાઇટ પરની ચોક્કસ ઑફર્સ અથવા સુવિધાઓને લાગુ પડી શકે છે તે આ શરતોમાં સમાવિષ્ટ છે. સાઇટની મુલાકાત લઈને અથવા તેનો ઉપયોગ કરીને, તમે સ્પષ્ટપણે આ શરતો સાથે સંમત થાઓ છો, જેમ કે સમય સમય પર અપડેટ કરવામાં આવે છે.","These terms and conditions include our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may apply to specific offers or features on the Site. By visiting or using the Site, you clearly agree to these terms and conditions, as updated from time to time."
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.","જો તમે આ શરતોના કોઈપણ ભાગ સાથે સંમત નથી, તો સાઇટનો ઉપયોગ કરશો નહીં. તમે કોઈપણ રીતે સાઇટનો ઉપયોગ કરી શકશો નહીં અને જો તમે બાઈન્ડિંગ કરાર બનાવવા માટે કાનૂની વયના ન હોવ તો તમે શરતોને સ્વીકારી શકશો નહીં.","If you do not agree with any part of these terms, do not use the site. you will not be able to use the site in any way and you will not be able to accept the terms unless you are of legal age to create a binding agreement."
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,III. શરતોમાં ભાવિ ફેરફારો અંગેની સૂચના:,Suggestions for future changes in conditions:
