en,bn,translated
Awareness to Lactating Mother,স্তন্যদানকারী মায়েদের জন্য সচেতনতা,Awareness for Lactating Mothers
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","শিশুদের মধ্যে অপুষ্টি প্রতিরোধে শিশুদের বৃদ্ধিতে বাধা, অপুষ্টির ব্যাপারে সচেতনতা","Preventing Malnutrition among Children Stalling Child Growth, Awareness on Malnutrition"
Growth Monitoring Assessment Charts,গ্রোথ মনিটরি করার জন্য অ্যাসেসমেন্ট চার্ট,Assessment Chart for Growth Monitoring
Stunted Assessment Parameters,বৃদ্ধিতে বাধার মূল্যায়ন পরামিতি,Measurement of Obstacles to Growth
Wasted Assessment Parameters,অপুষ্টির মূল্যায়ন পরামিতি,Malnutrition Assessment Parameters
Underweight Assessment Parameters,কম ওজনের মূল্যায়ন পরামিতি,Low Weight Evaluation Parameters
Manuals,হস্তকৃত,hand-made
Poshan Tracker Process Flow,পশান ট্র্যাকার প্রক্রিয়া প্রবাহ,Passion Tracker Process Stream
Circulars/Notifications,সার্কুলার/বিজ্ঞপ্তি,Circular / Notification
Clarification regarding Cost of Smart phones,স্মার্ট ফোনের খরচ সংক্রান্ত ব্যাখ্যা,Clarification on Cost of Smartphone
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,পোশান ট্র্যাকারে অঙ্গনওয়াড়ি পরিষেবা প্রকল্পের ডেটা আপলোড করা,Uploading of Anganwadi Services Scheme data in Poshan Tracker
Data Plan for Mobile Application,মোবাইল অ্যাপ্লিকেশনের জন্য ডেটা প্ল্যান,Data Plan for Mobile Application
Specifications of Smart phone and Technical Compatibility Testing,স্মার্টফোনের স্পেসিফিকেশন এবং প্রযুক্তিগত সামঞ্জস্য পরীক্ষা,Check for smartphone specifications and technical compatibility
Training on ICT Platform under POSHAN Abhiyaan,পোশান অভিযানের অধীনে আইসিটি প্ল্যাটফর্মে প্রশিক্ষণ,Training on ICT Platform under POSHAN Abhiyaan
New Poshan Tracker App - CSC-SPV Nodal Person,নতুন পোশান ট্র্যাকার অ্যাপ - CSC-SPV নোডাল ব্যক্তি,New Poshan Tracker App - CSC - SPV Nodal Person
New Poshan Tracker App,নতুন পোশান ট্র্যাকার অ্যাপ,New Poshan Tracker App
Birth,জন্ম,of birth
Bacillus Calmette Guerin (BCG),ব্যাসিলাস ক্যালমেট গুয়েরিন (বিসিজি),Bacillus Calmett Guerin (BCG)
Oral Polio Vaccine (OPV)-0 dose ,ওরাল পোলিও ভ্যাকসিন (OPV)-0 ডোজ ,Oral Polio Vaccine (OPV) - 0 dose
Hepatitis B birth dose OPV-1 T,হেপাটাইটিস B বার্থ ডোজ OPV-1 T,Hepatitis B Birth Dose OPV-1 T
Weeks,সপ্তাহ,of the week
OPV-1,OPV-1,OPV-1
Pentavalent-1,পেন্টাভ্যালেন্ট-1,Pentavalent- 1
Rotavirus Vaccine (RVV)-1,রোটাভাইরাস ভ্যাকসিন (RVV)-1,Rotavirus Vaccine (RVV) - 1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,নিষ্ক্রিয় পোলিও ভ্যাকসিনের ফ্র্যাকশানাল ডোজ (fIPV)-1,Fractional dose of Inactivated Polio Vaccine (FIPV) -1
Pneumococcal Conjugate Vaccine (PCV) -1,নিউমোকোকাল কনজুগেট ভ্যাকসিন (পিসিভি)-1,Pneumococcal Conjugate Vaccine (PCV) -1
OPV-2,OPV-2,OPV-2
Pentavalent-2,পেন্টাভ্যালেন্ট-2,Pentavalent- 2
RVV-2,RVV-2,RVV-2
14 ,14 ,14
OPV-3,OPV-3,OPV-3
Pentavalent-3,পেন্টাভ্যালেন্ট-3,Pentavalent- 3
RVV-3,RVV-3,RVV-3
9 - 12 ,9 - 12 ,9-12
Months,মাস,per month
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,হামের ভ্যাকসিন (MCV)/হাম ও রুবেলা (MR)-1,Ham vaccine (MCV) / Ham and Rubella (MR) -1
Japanese Encephalitis(JE)-1**,জাপানিজ এনসেফালাইটিস (জেই)-1**,Japanese Encephalitis (JE) -1 *
PCV-Booster,PCV-বুস্টার,PCV-Booster
16 - 24 ,16 - 24 ,16-24
Measles Containing vaccine (MCV)/MR-2,হামের ভ্যাকসিন (MCV)/MR-2,Ham Vaccine (MCV) / MR-2
Diphtheria,ডিপথিরিয়া,Diphtheria (Diphtheria)
Pertussis & Tetanus (DPT)-Booster-1,পারটুসিস এবং টিটেনাস্ (DPT)-বুস্টার-1,Pertussis and Tetanus (DPT) - booster-1
OPV –Booster,OPV - বুস্টার,OPV-Booster
5 - 6 ,5 - 6 ,5-6
Years,বছর,of the year
DPT-Booster-2,DPT-বুস্টার-2,DPT-Booster-2
"Td1, 2 or Td Booster***","Td1, 2 বা Td বুস্টার***","Td1, 2 or Td Booster *"
Select State,রাজ্য নির্বাচন কর,Select the State
Select District,জেলা নির্বাচন করুন,Select a district
Login to your account,আপনার অ্যাকাউন্টে লগ ইন করুন,Log in to your account
User Name ,ব্যবহারকারীর নাম ,User Name
Password ,পাসওয়ার্ড ,% s Password% s
Login,প্রবেশ করুন,Log In
OPEN A NEW TICKET,একটি নতুন টিকিট খুলুন,Open a new ticket
CHECK TICKET STATUS,টিকেট স্ট্যাটাস চেক করুন,Check ticket status
Create a New Ticket,একটি নতুন টিকিট তৈরি করুন,Create a new ticket
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,একটি নতুন টিকিট তৈরি করতে নীচের ফর্মটি পূরণ করুন। অঙ্গনওয়াড়ি কর্মীরা 48 ঘন্টার মধ্যে আপনার সাথে যোগাযোগ করবে।.,"To make a new ticket, fill up the following form. Anganwadi workers will contact you within 48 hours."
Beneficiary Category ,সুবিধাভোগীদের শ্রেণী ,Category of Beneficiaries
Select a Beneficiary Category,সুবিধাভোগীর একটি শ্রেণী নির্বাচন করুন,Select a class of beneficiaries
Children (0-6 months),শিশু (0-6 মাস),Child (0-6 months)
Children (6 months - 3 years),শিশু (6 মাস - 3 বছর),Children (6 months - 3 years)
Children (3 - 6 years),শিশু (3 - 6 বছর),Children (3-6 years)
Query Related to ,সম্পর্কিত প্রশ্ন ,Related Questions
Select Query Related to,এর সাথে সম্পর্কিত প্রশ্ন নির্বাচন করুন,Select questions related to
AWW/AWC,এডাব্লুডাব্লু (AWW)/এডাব্লুসি (AWC),AWW / AWC
Supervisor,সুপারভাইজার,Supervisor of
Help Topic ,হেল্প টপিক ,Help Topics
Description ,বিবরণ ,Details of the
Select a Description,একটি বিবরণ নির্বাচন করুন,Select a description
Mobile Number ,মোবাইল নম্বর ,mobile number
Email,ইমেল,E-mail:
Having difficulty raising ticket?,টিকিট রেইজ করতে অসুবিধা হচ্ছে?,Having trouble booking tickets?
support-poshantrackr@gov.in,support-poshantrackr@gov.in,Support-Poshantrackr @ gov.in
By District,জেলা দ্বারা,By District
State ,রাজ্য ,state of affairs
District ,জেলা ,District / City
Project ,প্রকল্প ,Project name:
Select Project,প্রকল্প নির্বাচন করুন,Select Project
Sector ,সেক্টর ,sector 1
Select Sector,সেক্টর নির্বাচন করুন,Select Sector
Anganwadi Center ,অঙ্গনওয়াড়ি কেন্দ্র ,Anganwadi Centre
Select An Anganwadi center,একটি অঙ্গনওয়াড়ি কেন্দ্র নির্বাচন করুন,Select an Anganwadi Centre
Create Ticket,টিকেট তৈরি করুন,Make tickets
Reset,রিসেট,reset set
Frequently Asked Questions,পোশান ক্যালকুলেটর,Frequently Asked Questions
