en,ta,translated_helsinki
How to Login in Poshan Tracker App?,போஷன் டிராக்கர் பயன்பாட்டில் உள்நுழைவது எப்படி?,How to enter into the application of the Gaza Striper
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","அங்கன்வாடி ஊழியர்கள் உள்நுழைவுத் திரையில் தங்கள் மொபைல் எண்களை உள்ளிடுமாறு கேட்டுகொள்ளப்படுகின்றனர். உங்கள் பதிவுசெய்யப்பட்ட மொபைல் எண்ணுக்கு ஒரு OTP அனுப்பப்படும்,அதற்கு பிறகு உங்கள் எம்பின் ஐ அமைக்கவும்.","Server requests to enter your mobile numbers on the login screen. An OTP will be sent for your account number, and then set up your e-mail."
What is  MPIN?,எம்பின் என்றால் என்ன?,What about empi?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"எம்பின் என்பது 4 இலக்க கடவுக்குறியீடாகும், இது போஷன் டிராக்கர் ஆப் இல் பதிவு செய்யும் போது ஒரு அங்கன்வாடி தொழிலாளியால் அமைக்கப்படுகிறது.","And then it's 4 targets, and it's set by an economic operator when it's recorded in the Posson Tractor."
How to set MPIN?,எம்பின் அமைப்பது எப்படி?,How Can I Get Along With Them?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","அந்தந்த அங்கன்வாடி ஊழியரால் அவரது / அவள் மொபைல் எண்ணுக்கு எதிராக OTP கோருவதன் மூலம் எம்பின் ஐ அமைக்கலாம். மொபைல் எண் ஏற்கனவே தரவுத்தளத்தில் இருந்தால், அந்தந்த அங்கன்வாடி நபர் பதிவு செய்யப்பட்ட மொபைல் எண்ணில் 4 இலக்க OTP ஐப் பெறுவார். OTP க்குள் நுழைந்த பின், அங்கன்வாடி ஊழியர்கள் தனிப்பயனாக்கப்பட்ட எம்பின் ஐ எளிதாக அமைக்க முடியும்.","You can set up MTP by asking him/ her against the mobile phone number. If the mobile phone number is already in the database, that person will get a 4-digit OTP of the mobile phone number. Once you have entered OTP, you can easily set up a custom MMM."
When and how to use MPIN?,"எம்பின் ஐ எப்போது, ​​எப்படிப் பயன்படுத்துவது?",When and how will it be used?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","போஷன் ட்ராக்ஜெர் பயன்பாட்டில் உள்நுழையும்போது, அங்கன்வாடி ஊழியர்கள் அவர்கள் அமைத்த எம்பின் ஐ உள்ளிட வேண்டும். இந்த எம்பிநான்என் போஷன் டிராக்கர் பயன்பாட்டை இயக்குவதற்கான கடவுக்குறியீடாக செயல்படும் மற்றும் பயனாளிகளின் படிவங்களில் தகவல்களை உள்ளிடும்.","When logging in, search engines should enter the environment they set up. This will include information from the user's studies on how to run my mail transporter."
How to Reset MPIN?,எம்பின் ஐ மீட்டமைப்பது எப்படி?,How to Rehabilitate Empi?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN","எந்த அடபிள்யூடபிள்யூ / அடபிள்யூசி பயனரால் எம்பின் ஐ எளிதாக மீட்டமைக்க முடியும். மறந்துவிட்ட எம்பின் ஐக் கிளிக் செய்து, உங்கள் பதிவுசெய்த மொபைல் எண்ணை உள்ளிடவும். உங்கள் பதிவுசெய்யப்பட்ட மொபைல் எண்ணில் நீங்கள் பெறுவீர்கள் மற்றும் OTP பெறுவீர்கள், மேலும் உங்கள் எம்பின் ஐ நீங்கள் எளிதாக மீட்டமைக்கலாம்.","You can easily re-enable it by clicking on the forget button and enter your account's mobile phone number. You will get and get OTP from your registered mobile phone number, and you can easily restore it."
In How many languages the Poshan Tracker App is available?,போஷன் டிராக்கர் பயன்பாடு எத்தனை மொழிகளில் கிடைக்கிறது?,How many languages does the Posson Tractor use?
Poshan Tracker App is available in 22 different languages,போஷன் டிராக்கர் பயன்பாடு 22 வெவ்வேறு மொழிகளில் கிடைக்கிறது,The Posson Tractor — A Tool in 22 Different Languages
The various languages available are:,கிடைக்கும் பல்வேறு மொழிகள்:,Available languages:
English,ஆங்கிலம்,Engagement . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
Hindi,இந்தி,India
Gujarati,குஜராத்தி,Gujarati
Punjabi,பஞ்சாபி,Panshabi
Marathi,மராத்தி,Marathi
Bangla,பங்களா,ten
Kannada,கன்னடம்,_Company:
Tamil,தமிழ்,Slow
Telugu,தெலுங்கு,"TelunoCity in California, United States"
Malyalam,மல்லியம்,Mali
Odia,ஒடியா,Odya
Assamese,அசாமி,Assam
Dogri,Dogri,Dock
Konkani,Konkani,Concan
Bodo,Bodo,Body
In how many languages AWW can enter the data while filling up the form?,படிவத்தை நிரப்பும்போது அடபிள்யூடபிள்யூ அல்லது அடபிள்யூசி எத்தனை மொழிகளில் தரவை உள்ளிடலாம்?,"When you complete the study, how many languages can you include in your personal study?"
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,அடபிள்யூடபிள்யூ படிவத்தை நிரப்புவதை ஆங்கில மொழியில் மட்டுமே செய்ய முடியும்.,"To complete the entire Bible study, it is possible to make it available in English only."
How many different forms are there in Poshan Tracker App?,போஷன் டிராக்கர் பயன்பாட்டில் எத்தனை வெவ்வேறு வடிவங்கள் உள்ளன?,How many different formats do you have in your application?
There are 7 different types of forms for beneficiaries. This includes:,பயனாளிகளுக்கு 7 வெவ்வேறு வகையான படிவங்கள் உள்ளன. இதில் பின்வருவன அடங்கும்:,There are 7 different types of studies for users. These include:
Lactating mother,பாலூட்டும் தாய்,Mother of the Poultry
Pregnant women,கர்ப்பிணி பெண்கள்,The women of the house are the women of the house.
Child 0-6 Months,குழந்தை 0-6 மாதங்கள்,Child 0-6 months
Child 6 Months to 3 Years,குழந்தை 6 மாதங்கள் முதல் 3 வயது வரை,Child from 6 months to 3 years of age
Child  3 Years to 6 Years,குழந்தை 3 வயது முதல் 6 வயது வரை,A child between 3 and 6 years of age
Adolescent Girls (11 Years-19 Years),இளம் பருவ பெண்கள் (11 வயது -19 ஆண்டுகள்),Young Women (11 - 19 years of age)
What information to be added in AWC forms?,அடபிள்யூசி படிவங்களில் என்ன தகவல் சேர்க்கப்பட வேண்டும்?,What information should be included in your personal study?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ஒரு குறிப்பிட்ட அங்கன்வாடி மையத்தில் இருக்கும் உள்கட்டமைப்பு தொடர்பான விவரங்களை அடபிள்யூடபிள்யூ உள்ளிட வேண்டும். இதில் கட்டமைப்பு, அடிப்படை வசதிகள், வசதிகள், சுத்திகரிப்பு, குடிநீர் போன்றவை அடங்கும்.","You must enter some relevant information about the settings in a given proxy environment. This includes configuration, basic methods, methods, cleaning and drinking habits."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,"மொபைல் மொபைல் எண்கள் வழியாக பதிவு செய்ய முடியாவிட்டால், அங்கன்வாடி ஊழியர்கள் பயன்பாட்டில் எவ்வாறு பதிவுபெற முடியும்?","If mobile phone numbers cannot be recorded, how can mobile servers be used?"
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,அங்கன்வாடிஊழியர்கள் தங்களை பதிவு செய்ய முடியாமைக்கு இரண்டு காரணங்கள்: ,There are two reasons why full - time ministers are unable to record themselves:
Their mobile number is not present in the data provided by the states to the MoWCD,மோடபிள்யூசிடி க்கு மாநிலங்கள் வழங்கிய தரவுகளில் அவற்றின் மொபைல் எண் இல்லை,There is no mobile phone number in the data provided for ModblusCD
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,"அவை கணினியில் புதிதாக சேர்க்கப்பட்டுள்ளன, அவற்றின் மொபைல் எண் இன்னும் மாநில கலத்தால் மோடபிள்யூசிடி க்கு வழங்கப்படவில்லை.","They have been added new to the system, and their mobile numbers have not yet been allocated to ModblusCD by local culture."
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,மேற்கூறிய இரண்டு நிகழ்வுகளிலும் அடபிள்யூடபிள்யூ ஐ சேர்க்க / திருத்த / செயல்படுத்த / செயலிழக்க மாநில நோடல் அதிகாரிகளுக்கு அதிகாரம் உண்டு.,"In both of the above cases, you have the right to add / edit/ activate/activation status to your application."
How can one access Poshan Tracker Dashboard?,போஷன் டிராக்கர் டாஷ்போர்டை ஒருவர் எவ்வாறு அணுக முடியும்?,How can one access the Possian trucker Dashfordi?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,டாஷ்போர்டில் கையொப்பமிடுவதன் மூலம் போஷன் டிராக்கர் டாஷ்போர்டை அணுகலாம். ,"By signing in Dashford, you can access the Poston Tractor Dashfordi."
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," என்ற இணைப்பைக் கிளிக் செய்வதன் மூலம் டாஷ்போர்டை அணுக முடியும், தேசிய, மாநில, மாவட்ட, திட்டம் மற்றும் துறை மட்டத்தில் பரிந்துரைக்கப்பட்ட நோடல் நிலை அதிகாரிகள் மட்டுமே டாஷ்போர்டை அணுக ஒரு தனித்துவமான நற்சான்றிதழ்களுடன் வழங்கப்படுகிறார்கள்.","By clicking on the link, the Dashfordi can be accessed only with a unique access certificate of access to the local, state, area, project, and port."
How one can add AWW/AWCs?,ஒருவர் அடபிள்யூடபிள்யூ / அடபிள்யூசி ஐ எவ்வாறு சேர்க்க முடியும்?,How can one add ADVIDUBLITU / ADBLUCY?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"அடபிள்யூடபிள்யூ / அடபிள்யூசி களை நோடல் நிலை அதிகாரியால் மட்டுமே சேர்க்க முடியும். வரிசைக்கு மேலே உள்ள எவரும். தேசிய அளவிலான பயனர் மாநில, மாவட்டம், திட்டம் மற்றும் துறை அளவிலான பயனர்களை உருவாக்க முடியும். மாநில அளவிலான பயனர் மாவட்ட, திட்ட மற்றும் துறை அளவிலான பயனர்களை உருவாக்க முடியும், மாவட்ட அளவிலான பயனர் திட்ட மற்றும் துறை மட்ட பயனரை உருவாக்க முடியும், திட்ட அளவிலான பயனர் துறை அளவிலான பயனர்.காவை உருவாக்க முடியும்.","You can only add the abbreviated / adularis by the Node status authority. Anyone on the line. Nationally-sized users can create the location, region, project and port size. Local-sized users can create the area, project and port sizes, local-level users can only create the project and port users, and project-sized users can build the port."
How many different types of reports can be generated over Poshan Tracker Dashboard?,போஷன் டிராக்கர் டாஷ்போர்டில் எத்தனை வகையான அறிக்கைகளை உருவாக்க முடியும்?,How many types of reports can be produced in the Boston Tractor Dashford?
There are various reports that can be generated from,இதிலிருந்து உருவாக்கக்கூடிய பல்வேறு அறிக்கைகள் உள்ளன,There are various reports that can be created from this
General Reports:,பொது அறிக்கைகள்:,General reports:
Number of app  downloads,பயன்பாட்டு பதிவிறக்கங்களின் எண்ணிக்கை,Number of applications to download
Total number of Anganwadi centers registered,பதிவு செய்யபட்ட அங்கன்வாடி மையங்களின் எண்ணிக்கை,Number of registered conjugation centres
Total number of beneficiaries registered (National/state/district/block wise),பதிவுசெய்யப்பட்ட மொத்த பயனாளிகளின் எண்ணிக்கை (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக),Number of registered users (national/ local/ regional/ group):
Total Number of pregnant women registered(National/state/district/block wise),பதிவுசெய்யப்பட்ட கர்ப்பிணிப் பெண்களின் மொத்த எண்ணிக்கை (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக),Total number of registered pregnant women (as national/ state/ area/ group)
Total Number of  lactating mothers registered(National/state/district/block wise),பதிவுசெய்த பாலூட்டும் தாய்மார்களின் மொத்த எண்ணிக்கை (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக),Total number of registered mobile mothers (as national / local/ regional/ group)
Total Number of children (0-6months) registered(National/state/district/block wise),பதிவுசெய்யப்பட்ட மொத்த குழந்தைகளின் எண்ணிக்கை (0-6 மாதங்கள்) (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக),Number of registered children (0-6 months) (as a national / local/ regional/ group)
Total Number of children (6months-3years) registered(National/state/district/ block wise),பதிவுசெய்யப்பட்ட மொத்த குழந்தைகளின் எண்ணிக்கை (6 மாதங்கள் -3 ஆண்டுகள்) பதிவுசெய்யப்பட்டது (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக),The number of registered children (6 months - 3 years) registered (national / local/ regional/ group)
Total Number of children (3-6years) registered(National/state/district/ block wise),பதிவுசெய்யப்பட்ட மொத்த குழந்தைகளின் எண்ணிக்கை (3-6 வயது) பதிவுசெய்யப்பட்டது (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக),Number of registered children (3-6 years of age)
Maternal and child nutrition:,தாய் மற்றும் குழந்தை ஊட்டச்சத்து:,Feed my mother and my child:
How many beneficiaries got THR in 21 days,21 நாட்களில் எத்தனை பயனாளிகளுக்கு THR கிடைத்தது,21 The number of users received THR
How many children breastfed exclusively in the first hour after delivery,பிரசவத்திற்குப் பிறகு குறிப்பாக முதல் ஒரு மணிநேரத்தில் எத்தனை குழந்தைகள் தாய்ப்பால் அருந்தினர்,How many children have been breast - feeding especially during the first one hour after the preaching work
How many lactating mothers are given HCM,பாலூட்டும் தாய்மார்களில் எத்தனை பேருக்கு எச்.சி.எம் கொடுக்கப்பட்டது.,How many breast - feeding mothers have been given by the U.S.
Average level of calcium in children aged 3-6 years,பிரசவத்திற்குப் பிறகு குறிப்பாக முதல் ஒரு மணிநேரத்தில் எத்தனை குழந்தைகள் தாய்ப்பால் அருந்தினர்,How many children have been breast - feeding especially during the first one hour after the preaching work
Average level of iron in children aged 3-6years,3-6 வயது குழந்தைகளில் கால்சியத்தின் சராசரி நிலை,The average state of calcium in children between 3 and 6 years of age
"Total number of vaccinations administered per month (block, district, state, national level)",3-6 வயது குழந்தைகளில் இரும்பின் சராசரி நிலை,Average status in children between 3 and 6 years of age
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,"ஒரு மாதத்தில் போடப்பட்ட தடுப்பூசி (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)","A month - long suspension system (assembly, area, location, national size)"
AWC infrastructure:,செலுத்தப்பட்ட குறிப்பிட்ட தடுப்பூசிகளின் அறிக்கை மாதம்தோறும் (பி.சி.ஜி / ஓ.பி.வி / ஹெபடைடிஸ் பி / ரோட்டா வைரஸ் / போலியோ / நியூமோகாக்கல் / பென்டாவலண்ட்),The report of the reported seizures (B.C.E. / O.B.V. / Hepatitis B / Rota Virus / Poliio / Numocacal / Pentaland)
"Number of AWCs (block, district, state, national level)",அடபிள்யூசி உள்கட்டமைப்பு:,Adaptation:
"Total number of Balvatikas (block district, state, national level)","அடபிள்யூசி களின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)","The number of atolls (group, region, location, national size)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","பால்வதிகாக்களின் மொத்த எண்ணிக்கை (தொகுதி மாவட்டம், மாநிலம், தேசிய அளவில்)","Total number of pilots (unit area, location, national size)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","சுத்தமான குடிநீருடன் அங்கன்வாடி மையங்களின் மொத்த எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)","Total number of drinking facilities with clean drinking water (assembly, area, location, national level)"
"Total number of AWCs (block, district, state, national level) with electricity","வேலை செய்யும் எடை கருவியுடன் உள்ள மொத்த அங்கன்வாடி மையங்களின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய நிலை)","The number of decimal places that are connected with the active tool (group, region, location, national status)"
Total number of AWCs that are government owned,"மின்சார இணைப்புடன் கூடிய மொத்த அங்கன்வாடிகளின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)","The number of decimal places that are connected to the network (group, region, location, national size)"
Total number of AWCs that are privately owned,அரசாங்கத்திற்கு சொந்தம அங்கன்வாடிகளின் மொத்த எண்ணிக்கை,Total number of Kingdom citizens
How to contact Poshan Tracker Team?,தனியாருக்குச் சொந்தமான அடபிள்யூசி களின் மொத்த எண்ணிக்கை,Total number of personal a apartheids
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,போஷான் டிராக்கர் குழுவை support-poshantrackr@gov.in இல் மின்னஞ்சல்களை அனுப்புவதன் மூலம் தொடர்பு கொள்ளலாம். கையிருப்பு மற்றும் ஆதரவுக்காக ஒவ்வொரு நாளும் பிற்பகல் 4:15 மணி முதல் மாலை 5:15 மணி வரை வீடியோ மாநாட்டிலும் கிடைக்கிறோம்.,You can contact the Poshan Tractor team by sending e-mail support-posthantrackr@gov.in. You can also receive it at the video conference every day at 4:15 p.m. until 5:15 p.m.
What is Poshan Calculator,போஷன் கால்குலேட்டர் என்றால் என்ன,What's Posson's calculator?
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,உலக சுகாதார அமைப்பின் (WHO) தரநிலைகளின்படி குழந்தையின் பல்வேறு சுகாதார நிலைமைகளை கண்டறிய போஷன் கால்குலேட்டர் உதவுகிறது.,The World Health Organization (WHO) reports that the baby’s various health conditions are helpful.
WHO standards are :,WHO தரநிலைகள் :,WHO data states:
Stunting ( Height for Age)- ,ஸ்டண்டிங் (வயதுக்கு ஏற்ற உயரம்)- ,Stinging (higher than age):
0 months to 6 years,0 மாதங்கள் முதல் 6 வயது வரை,0 months to 6 years
Severely Stunted,மிகவும் வளர்ச்சி குன்றிய,A Very Young Man With a FEW grueling grueling grueling grueling grueling grueling grueling . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
Moderately stunted,மிதமான வளர்ச்சி குன்றியது,A Closer Look at the World’s Smallest Sculptures
Normal,இயல்பான,Normal
Underweight (Weight for Age)- ,குறைந்த எடை (வயதுக்கு ஏற்ற எடை)- ,Minimum age (in years)
Severely Underweight,கடுமையான எடை குறைவு,Heavy drizzle
Moderately Underweight,ஓரளவு எடை குறைவு,A little bit less than
Wasting (Weight for Height)- ,விரயம் (உயரத்திற்க்கான எடை)- ,The rain (of the sky for the rise of the clouds)
0 months to 5 years,0 மாதங்கள் முதல் 5 வயது வரை,0 months to 5 years
Severely Wasted (SAM),கடுமையான ஊட்டச்சத்து குறைபாடு (SAM),Heavy Food Reduction (SAM)
Moderately Wasted (MAM),மிதமான ஊட்டச்சத்து குறைபாடு (MAM),MEDICAL DRUGS (MAM)
Overweight,அதிக எடை,High Contrast
Obese,உடல் பருமன்,The Body’s Self - Sacrificing
Above standards are defined as per given above mentioned age brackets,மேலே குறிப்பிடப்பட்ட தரநிலைகள் வயது வரம்புகளின்படி வரையறுக்கப்பட்டுள்ளன,The above conditions are defined by age limits
About Reference tables,குறிப்பு அட்டவணைகள் பற்றி,& About Tables
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,உலகெங்கிலும் உள்ள கைக்குழந்தைகள் மற்றும் சிறு குழந்தைகளின் வளர்ச்சி மற்றும் வளர்ச்சியை மதிப்பிடுவதற்கான புதிய வளர்ச்சி வளைவுகளை உருவாக்க 1997 மற்றும் 2003 க்கு இடையில் WHO மல்டிசென்டர் க்ரோத் ரெஃபரன்ஸ் ஸ்டடி (MGRS) மேற்கொள்ளப்பட்டது.,"Between 1997 and 2003, WHO Multicenter Grottre Refractions (MGRS) was established to create new growth patterns to appreciate the growth and growth of children and children in the world."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).","MGRS ஆனது பல்வேறு இனப் பின்னணிகள் மற்றும் கலாச்சார அமைப்புகளைச் சேர்ந்த (பிரேசில், கானா, இந்தியா, நார்வே, ஓமன் மற்றும் அமெரிக்கா) சுமார் 8500 குழந்தைகளிடமிருந்து முதன்மை வளர்ச்சித் தரவு மற்றும் தொடர்புடைய தகவல்களைச் சேகரித்தது.","The MGRs collected primary data and related information from some 8500 children from various ethnic backgrounds and cultural institutions (in Brazil, Canada, India, Norway, Oman, and the United States)."
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,புதிய வளர்ச்சி வளைவுகள் பிறப்பு முதல் ஐந்து வயது வரை உள்ள அனைத்து குழந்தைகளுக்கும் உடலியல் வளர்ச்சியின் சிறந்த விளக்கத்தை பிரதிபலிக்கும் ஒரு சர்வதேச தரத்தை வழங்கும் மற்றும் தாய்ப்பால் கொடுக்கும் குழந்தை வளர்ச்சிக்கான நெறிமுறை மாதிரியாக நிறுவப்படும் என்று எதிர்பார்க்கப்படுகிறது.,New growth trends are expected to be set as an example for all children under the first five years of age and to provide an international type of education that reflects the best explanation of physical growth and to provide a child with a mother - in - law.
How to revive your Health?,உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது?,How to Rehabilitate Your Health
How to revive your health if you are Severely Wasted (SAM),நீங்கள் கடுமையான ஊட்டச்சத்து குறைபாடு உள்ளவராக இருந்தால் (SAM) உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது,How to regain your health if you have severe malnutrition (SAM)
How to revive your health if you are Moderately Wasted (MAM),நீங்கள் மிதமான ஊட்டச்சத்து குறைபாடு உள்ளவராக இருந்தால் (MAM) உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது,How to Rehabilitate Your Health If you have a chronic eating disorder (MAM)
How to revive your health if you are Underweight,நீங்கள் எடை குறைவாக இருந்தால் உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது,"How to Rehabilitate Your Health If you are undernourished, how to regain your health"
Check Ticket Status,டிக்கெட் நிலையை சரிபார்க்கவும்,Check De_ct Status
Please provide your mobile number and a ticket number.,உங்கள் மொபைல் எண் மற்றும் டிக்கெட் நம்பரை வழங்கவும்.,Enter your mobile phone number and number.
Mobile ,மொபைல் ,Mobile
Ticket Number ,டிக்கெட் நம்பர் ,Decet Number
View Ticket,டிக்கெட்டைப் பார்க்க,View the disk
Average level of iron in children aged 3-6years,3-6 வயது குழந்தைகளில் இரும்பின் சராசரி நிலை,Average status in children between 3 and 6 years of age
"Total number of vaccinations administered per month (block, district, state, national level)","ஒரு மாதத்தில் போடப்பட்ட தடுப்பூசி (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)","A month - long suspension system (assembly, area, location, national size)"
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,செலுத்தப்பட்ட குறிப்பிட்ட தடுப்பூசிகளின் அறிக்கை மாதம்தோறும் (பி.சி.ஜி / ஓ.பி.வி / ஹெபடைடிஸ் பி / ரோட்டா வைரஸ் / போலியோ / நியூமோகாக்கல் / பென்டாவலண்ட்),The report of the reported seizures (B.C.E. / O.B.V. / Hepatitis B / Rota Virus / Poliio / Numocacal / Pentaland)
AWC infrastructure:,அடபிள்யூசி உள்கட்டமைப்பு:,Adaptation:
"Number of AWCs (block, district, state, national level)","அடபிள்யூசி களின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)","The number of atolls (group, region, location, national size)"
"Total number of Balvatikas (block district, state, national level)","பால்வதிகாக்களின் மொத்த எண்ணிக்கை (தொகுதி மாவட்டம், மாநிலம், தேசிய அளவில்)","Total number of pilots (unit area, location, national size)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","சுத்தமான குடிநீருடன் அங்கன்வாடி மையங்களின் மொத்த எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)","Total number of drinking facilities with clean drinking water (assembly, area, location, national level)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","வேலை செய்யும் எடை கருவியுடன் உள்ள மொத்த அங்கன்வாடி மையங்களின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய நிலை)","The number of decimal places that are connected with the active tool (group, region, location, national status)"
"Total number of AWCs (block, district, state, national level) with electricity","மின்சார இணைப்புடன் கூடிய மொத்த அங்கன்வாடிகளின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)","The number of decimal places that are connected to the network (group, region, location, national size)"
Total number of AWCs that are government owned,அரசாங்கத்திற்கு சொந்தம அங்கன்வாடிகளின் மொத்த எண்ணிக்கை,Total number of Kingdom citizens
Total number of AWCs that are privately owned,தனியாருக்குச் சொந்தமான அடபிள்யூசி களின் மொத்த எண்ணிக்கை,Total number of personal a apartheids
How to contact Poshan Tracker Team?,போஷன் டிராக்கர் குழுவை எவ்வாறு தொடர்பு கொள்வது?,How to Contact the Posun Tractor Group?
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,நன்றி! பின்வருபவை ,Thank you!
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”)."," இல் ஹோஸ்ட் செய்யப்பட்ட போஷன் டிராக்கர் பிளாட்ஃபார்ம் மற்றும் இணைக்கப்பட்ட அனைத்து தளங்களும் அதன் நிறுவனங்கள் மற்றும் துணை நிறுவனங்கள் (ஒட்டுமொத்தமாக, ""தளம்"") உங்கள் பயன்பாட்டை நிர்வகிக்கும் சேவை விதிமுறைகள் (“விதிமுறைகள்”).",Hosted Gason Tractor Platform and all associated areas and its agencies and subsidiary agencies (as a whole) service rules governing your use.
I. OWNERSHIP,I. உரிமை,I. Right
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","தளம் மற்றும் அனைத்து தரவு, உரை, வடிவமைப்புகள், பக்கங்கள், அச்சுத் திரைகள், படங்கள், கலைப்படைப்புகள், புகைப்படங்கள், ஆடியோ மற்றும் வீடியோ கிளிப்புகள், HTML குறியீடு, மூலக் குறியீடு அல்லது தளத்தில் வசிக்கும் அல்லது பார்க்கக்கூடிய அல்லது வேறுவிதமாகக் கண்டறியக்கூடிய மென்பொருள், மற்றும் தளத்தில் இருந்து முன்பதிவு செய்துள்ள அனைத்து பங்கேற்பாளர்களும், (ஒட்டுமொத்தமாக, ""உள்ளடக்கம்"" என அழைக்கப்படுகிறது) பெண்கள் மற்றும் குழந்தைகள் மேம்பாட்டு அமைச்சகம் மற்றும் அவர்களின் அங்கீகரிக்கப்பட்ட சேவை வழங்குநர்களுக்கு சொந்தமானது.","The board and all data, text, formats, pages, print screens, images, artworks, movies, audio and video clips, HTML tags, source code, or other visible or visible software available on the desktop (also referred to as ""Input"") are owned by women and children and their approved service providers."
II. CONSENT,II. சம்மதம்,II. Credentials
