en,pa,translated_helsinki
What is  MPIN?,ਐਮਪੀਆਈਐੱਨ ਕੀ ਹੈ?,What is the EMPIEAN?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,ਜੋ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਏਪੀਪੀ ਉੱਤੇ ਰਜਿਸਟਰ ਕਰਦੇ ਸਮੇਂ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਕੀਤੀ ਗਈ ਹੈ|,The shell factory that was set when registering the search tracker on Epiphany.
How to set MPIN?,ਐਮਪੀਆਈਐੱਨ ਕਿਵੇਂ ਨਿਰਧਾਰਤ ਕਰੀਏ?,How Can I Make Real Friends?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","ਐਮਪੀਆਈਐਨ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਦੁਆਰਾ ਉਸਦੇ ਮੋਬਾਇਲ ਨੰਬਰ ਦੇ ਵਿਰੁੱਧ ਇੱਕ ਓਟੀਪੀ ਦੀ ਬੇਨਤੀ ਕਰਕੇ ਨਿਰਧਾਰਤ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ| ਜੇ ਮੋਬਾਈਲ ਨੰਬਰ ਪਹਿਲਾਂ ਤੋਂ ਹੀ ਡੇਟਾਬੇਸ ਵਿੱਚ ਮੌਜੂਦ ਹੈ, ਤਾਂ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਿਅਕਤੀ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ 4 ਅੰਕਾਂ ਦਾ ਓਟੀਪੀ ਪ੍ਰਾਪਤ ਕਰੇਗਾ| ਓਟੀਪੀ ਵਿੱਚ ਦਾਖਲ ਹੋਣ ਤੋਂ ਬਾਅਦ, ਏਡਬਲਯੂਡਬਲਯੂ ਅਸਾਨੀ ਨਾਲ ਕਸਟਮਾਈਜ਼ਡ ਐਮਪੀਆਈਐਨ ਨਿਰਧਾਰਤ ਕਰ ਸਕਦਾ ਹੈ|","EMPIAEN-related firewall works can be determined by a request for an OTIP against a mobile phone number. If the mobile number is already in the database, the related OBJEC will obtain the type of mobile phone number and 4 numbers registered by the related Entities after entering the OTIP, the EBLI can easily set up custom EMPIEN."
When and how to use MPIN?,ਐਮਪੀਆਈਐੱਨ ਕਦੋਂ ਅਤੇ ਕਿਵੇਂ ਵਰਤੀਏ?,When and how was EMPIEAN used?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਤੇ ਲੋਗਿਨ ਕਰਦੇ ਸਮੇਂ, ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਉਹਨਾਂ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਐਮਪੀਆਈ ਦਾਖਲ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ| ਇਹ ਐਮਪੀਆਈਐਨ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਚਲਾਉਣ ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੇ ਫਾਰਮ ਵਿਚ ਜਾਣਕਾਰੀ ਦਾਖਲ ਕਰਨ ਲਈ ਇਕ ਪਾਸਕੋਡ ਵਜੋਂ ਕੰਮ ਕਰੇਗੀ |","While loading the search tracker AP and log in, you need to log in to EDBYBLU as a password to run the EMPIEN search tracker and enter the information into the user format."
How to Reset MPIN?,ਐਮਪੀਆਈਐਨ ਨੂੰ ਰੀਸੈਟ ਕਿਵੇਂ ਕਰੀਏ?,How to Reset EMPIEN
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN","ਐਮਪੀਆਈਐਨ ਕਿਸੇ ਵੀ ਏਡਬਲਯੂਡਬਲਯੂ / ਏਡਬਲਯੂਸੀ ਉਪਭੋਗਤਾ ਦੁਆਰਾ ਅਸਾਨੀ ਨਾਲ ਰੀਸੈਟ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ| ਤੁਹਾਨੂੰ ਭੁੱਲ ਗਏ ਐਮਪੀਆਈਐਨ ਤੇ ਕਲਿਕ ਕਰਨ ਦੀ ਜ਼ਰੂਰਤ ਹੈ, ਅਤੇ ਆਪਣਾ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਦਰਜ ਕਰੋ| ਤੁਸੀਂ ਆਪਣੇ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ ਪ੍ਰਾਪਤ ਕਰੋਗੇ ਅਤੇ ਓਟੀਪੀ ਪ੍ਰਾਪਤ ਕਰੋਗੇ ਅਤੇ ਤੁਸੀਂ ਆਪਣੀ ਐਮਪੀਆਈਐਨ ਨੂੰ ਰੀਸੈਟ ਕਰ ਸਕਦੇ ਹੋ|","EMPIEAN can easily be reset by using any ADBLYBLEU / ADBLUSE user. You need to click on the missing EMPIEAN, and enter your registered mobile number, you will get your registered cell number and get the quotes and you will be able to reset your EMPIEN."
In How many languages the Poshan Tracker App is available?,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਕਿੰਨੀ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਉਪਲਬਧ ਹੈ?,In what languages is the search truck available?
Poshan Tracker App is available in 22 different languages,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ 22 ਵੱਖੋ ਵੱਖਰੀਆਂ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਉਪਲਬਧ ਹੈ|,Search tractors are available in 22 different languages.
The various languages available are:,ਉਪਲਬਧ ਵੱਖ ਵੱਖ ਭਾਸ਼ਾਵਾਂ ਹਨ:,The following languages are available:
English,ਅੰਗਰੇਜ਼ੀ,English
Hindi,ਹਿੰਦੀ,Hindi
Gujarati,ਗੁਜਰਾਤੀ,Gujarati
Punjabi,ਪੰਜਾਬੀ,Punjabi
Marathi,ਮਰਾਠੀ,Marathi
Bangla,ਬੰਗਲਾ,Bangladesh
Kannada,ਕੰਨੜ,Angle
Tamil,ਤਾਮਿਲ,Tamil
Telugu,ਤੇਲਗੂ,Telugu
Malyalam,ਮਲਿਆਲਮ,Malayalam
Odia,ਓਡੀਆ,Audio
Assamese,ਅਸਾਮੀ,Asami
Dogri,Dogri,Dock
Konkani,Konkani,Concan
Bodo,Bodo,Body
In how many languages AWW can enter the data while filling up the form?,ਫਾਰਮ ਭਰਨ ਵੇਲੇ ਕਿੰਨੀ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਏਡਬਲਯੂਡਬਲਯੂ ਜਾਂ ਏਡਬਲਯੂਸੀ ਡੇਟਾ ਦਾਖਲ ਕਰ ਸਕਦਾ ਹੈ?,In what languages can redbbleu or redbulous data be included when formatting?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,ਏਡਬਲਯੂਡਬਲਯੂ ਸਿਰਫ ਅੰਗ੍ਰੇਜ਼ੀ ਭਾਸ਼ਾ ਵਿਚ ਫਾਰਮ ਭਰ ਸਕਦਾ ਹੈ|,Edbladebleu can only be translated into English.
How many different forms are there in Poshan Tracker App?,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਵਿਚ ਕਿੰਨੇ ਵੱਖਰੇ ਰੂਪ ਹਨ?,How many different forms of communication are there in the tracker?
There are 7 different types of forms for beneficiaries. This includes:,ਲਾਭਪਾਤਰੀਆਂ ਲਈ ਇੱਥੇ 7 ਵੱਖ-ਵੱਖ ਕਿਸਮਾਂ ਦੇ ਫਾਰਮ ਹਨ. ਇਸ ਵਿੱਚ ਸ਼ਾਮਲ ਹਨ:,There are 7 different types of shapes for users here. They include:
Lactating mother,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ,Mothers who are breast - feeding
Pregnant women,ਗਰਭਵਤੀ ਰਤਾਂ,Heavy sandstorm
Child 0-6 Months,ਬੱਚਾ 0-6 ਮਹੀਨੇ,Children 0-6 months
Child 6 Months to 3 Years,ਬੱਚਾ 6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ,Children from 6 months to 3 years of age
Child  3 Years to 6 Years,ਬਾਲ 3 ਸਾਲ ਤੋਂ 6 ਸਾਲ,Child 3 From 6 Years to 6 Years
Adolescent Girls (11 Years-19 Years),ਕਿਸ਼ੋਰ ਲੜਕੀਆਂ (11 ਸਾਲ-19 ਸਾਲ),Kishor girls (11-19 years old)
What information to be added in AWC forms?,ਏਡਬਲਯੂਸੀ ਦੇ ਰੂਪਾਂ ਵਿਚ ਕਿਹੜੀ ਜਾਣਕਾਰੀ ਸ਼ਾਮਲ ਕੀਤੀ ਜਾਣੀ ਚਾਹੀਦੀ ਹੈ?,What information should be included in the form of red blood cells?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਇੱਕ ਖਾਸ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਵਿੱਚ ਮੌਜੂਦ ਬੁਨਿਆਦੀ ਢਾਂਚੇ ਨਾਲ ਸਬੰਧਤ ਵੇਰਵੇ ਦਰਜ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ| ਇਸ ਵਿੱਚ ਢਾਂਚਾ , ਮੁੱਢਲੀਆਂ ਸਹੂਲਤਾਂ, ਸਹੂਲਤਾਂ, ਰੋਗਾਣੂ-ਮੁਕਤ, ਪੀਣ ਵਾਲੇ ਪਾਣੀ ਆਦਿ ਸ਼ਾਮਲ ਹਨ|","EdBloodBluu needs to be given a level of detail related to the current base in a specific fireplace. It includes buildings, primary facilities, facilities, sanitation, drinking water, and so on."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,ਜੇ ਉਹ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰਾਂ ਦੁਆਰਾ ਰਜਿਸਟਰ ਨਹੀਂ ਕਰ ਪਾਉਂਦੇ ਤਾਂ ਏਡਬਲਯੂਡਬਲਯੂ ਐਪ ਤੇ ਕਿਵੇਂ ਸਾਈਨ ਅਪ ਕਰ ਸਕਦਾ ਹੈ?,"If they don’t register by their cell numbers, how can they sign the E - mail?"
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,ਜੇ ਏਡਬਲਯੂਡਬਲਯੂ ਆਪਣੇ ਆਪ ਨੂੰ ਰਜਿਸਟਰ ਕਰਨ ਵਿਚ ਅਸਫਲ ਰਿਹਾ ਹੈ ਤਾਂ ਇਸ ਦੀਆਂ 2 ਸੰਭਾਵਨਾਵਾਂ ਹੋ ਸਕਦੀਆਂ ਹਨ: ,"If redbbleu is unable to register itself, there may be 2 possibilities for it:"
Their mobile number is not present in the data provided by the states to the MoWCD,ਉਹਨਾਂ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ ਰਾਜਾਂ ਦੁਆਰਾ ਮੁਹੱਈਆ ਕਰਵਾਏ ਗਏ ਅੰਕੜਿਆਂ ਵਿਚ ਮੌਜੂਦ ਨਹੀਂ ਹੈ ਐਮਓਡਬਲਯੂਸੀਡੀ|,Their mobile number is not available in the statistics prepared by the countries of EMCDDA.
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,ਉਹ ਪ੍ਰਣਾਲੀ ਵਿਚ ਨਵੇਂ ਸ਼ਾਮਲ ਕੀਤੇ ਗਏ ਹਨ ਅਤੇ ਉਨ੍ਹਾਂ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ ਅਜੇ ਤੱਕ ਐਮਓਡਬਲਯੂਸੀਡੀ ਨੂੰ ਰਾਜ ਸੈੱਲ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਨਹੀਂ ਕੀਤਾ ਗਿਆ ਹੈ|,They're newly added to the plant and their mobile number has not yet been provided to the EMCDDA by the Kingdom Hall.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,ਉਪਰੋਕਤ ਦੋਵੇਂ ਮਾਮਲਿਆਂ ਵਿੱਚ ਰਾਜ ਦੇ ਨੋਡਲ ਅਫਸਰਾਂ ਨੂੰ ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਸ਼ਾਮਲ / ਸੰਪਾਦਿਤ / ਕਿਰਿਆਸ਼ੀਲ / ਅਯੋਗ ਕਰਨ ਦਾ ਅਧਿਕਾਰ ਦਿੱਤਾ ਗਿਆ ਹੈ|,"In both of the above cases, nodial officials are allowed to add / edit/required/offset to the ADBLUE."
How can one access Poshan Tracker Dashboard?,ਇੱਕ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਡੈਸ਼ਬੋਰਡ ਤੱਕ ਕਿਵੇਂ ਪਹੁੰਚ ਸਕਦਾ ਹੈ?,How can a follow-up tracker reach the desktop?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ਡੈਸ਼ਬੋਰਡ ਤੇ ਸਾਈਨ ਕਰਕੇ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਡੈਸ਼ਬੋਰਡ ਤੱਕ ਪਹੁੰਚ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ. ,The clipboard and signature can be accessed to the clipboard.
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," ਲਿੰਕ ਤੇ ਕਲਿਕ ਕਰਕੇ ਡੈਸ਼ਬੋਰਡ ਤੱਕ ਪਹੁੰਚ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ, ਸਿਰਫ ਨੈਸ਼ਨਲ ਵਿਖੇ ਨਾਮਜ਼ਦ ਨੋਡਲ ਪੱਧਰ ਦੇ ਅਧਿਕਾਰੀ, ਰਾਜ, ਜ਼ਿਲ੍ਹਾ, ਪ੍ਰਾਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਡੈਸ਼ਬੋਰਡ ਤੇ ਪਹੁੰਚਣ ਲਈ ਵਿਲੱਖਣ ਪ੍ਰਮਾਣ ਪੱਤਰ ਪ੍ਰਦਾਨ ਕੀਤੇ ਜਾਂਦੇ ਹਨ|","Links and clicks can be accessed to the desktop, providing unique letters to access the national Node level only, the government, the jury, the project and the sector level of the desktop."
How one can add AWW/AWCs?,ਕੋਈ ਕਿਵੇਂ ਏਡਬਲਯੂਡਬਲਯੂ / ਏਡਬਲਯੂਸੀ ਜੋੜ ਸਕਦਾ ਹੈ?,How can anyone add red blood cells / red blood cells?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"ਏਡਬਲਯੂਡਬਲਯੂ / ਏਡਬਲਯੂਸੀ ਸਿਰਫ ਨੋਡਲ ਪੱਧਰ ਦੇ ਅਧਿਕਾਰੀ ਦੁਆਰਾ ਸ਼ਾਮਲ ਕੀਤੇ ਜਾ ਸਕਦੇ ਹਨ| ਉਪਰੋਕਤ ਪੜਾਅ ਵਿਚ ਕੋਈ ਵੀ ਜਿਵੇਂ ਕਿ ਰਾਸ਼ਟਰੀ ਪੱਧਰ ਤੇ ਉਪਭੋਗਤਾ ਰਾਜ, ਜ਼ਿਲ੍ਹਾ, ਪ੍ਰਾਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ| ਰਾਜ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਜ਼ਿਲ੍ਹਾ, ਪ੍ਰਾਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ, ਜ਼ਿਲ੍ਹਾ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਪ੍ਰੋਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ, ਪ੍ਰੋਜੈਕਟ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ|","ADBLODBLEY / ADBLUSE Only by the authority of Nodal Level can be added to any higher level such as the state level and the use of the government, the threshold, the project and the sector level which can be used by the public level, the project and the sector level can be used, the project level can be used by the sector."
How many different types of reports can be generated over Poshan Tracker Dashboard?,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਡੈਸ਼ਬੋਰਡ ਤੇ ਕਿੰਨੀਆਂ ਵੱਖਰੀਆਂ ਕਿਸਮਾਂ ਦੀਆਂ ਰਿਪੋਰਟਾਂ ਤਿਆਰ ਕੀਤੀਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ?,What types of reports and types of reports can be prepared by the mail truck?
There are various reports that can be generated from, ਇੱਥੇ ਕਈ ਰਿਪੋਰਟਾਂ ਹਨ ਜੋ ,There's a lot of reports here that
General Reports:, ਆਮ ਰਿਪੋਰਟਾਂ ਤੋਂ ਤਿਆਰ ਕੀਤੀਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ:,Public reports can be prepared:
Number of app  downloads,ਐਪ ਡਾਉਨਲੋਡ ਦੀ ਗਿਣਤੀ,Number of AP Downloads
Total number of Anganwadi centers registered,ਰਜਿਸਟਰਡ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰਾਂ ਦੀ ਕੁੱਲ ਗਿਣਤੀ,Total number of registered gambling centers
Total number of beneficiaries registered (National/state/district/block wise),ਰਜਿਸਟਰਡ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਕੁੱਲ ਸੰਖਿਆ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕ ਵਾਈਸ),Total number of registered beneficiaries (State/ Kingdom/Zilla/Block Views)
Total Number of pregnant women registered(National/state/district/block wise),ਰਜਿਸਟਰਡ ਗਰਭਵਤੀ ਰਤਾਂ ਦੀ ਕੁੱਲ ਸੰਖਿਆ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕ ਵਾਰ),Total number of registered pregnant lines (State/ Kingdom/Zilla/Block times)
Total Number of  lactating mothers registered(National/state/district/block wise),ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਦੀ ਕੁੱਲ ਗਿਣਤੀ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕ-ਵਾਰ),Total number of breast-feeding mothers (State/ Kingdom/Zilla/Block-time)
Total Number of children (0-6months) registered(National/state/district/block wise),ਰਜਿਸਟਰਡ ਬੱਚਿਆਂ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕ ਵਾਰ) ਦੀ ਕੁੱਲ ਗਿਣਤੀ (0-6 ਮਈ),Total number of registered children (0-6 May)
Total Number of children (6months-3years) registered(National/state/district/ block wise),ਰਜਿਸਟਰਡ ਬੱਚਿਆਂ (6 ਮਹੀਨਿਆਂ -3 ਸਾਲ) ਦੀ ਕੁੱਲ ਗਿਣਤੀ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕवार),Total number of registered children (6 months - 3 years)
Total Number of children (3-6years) registered(National/state/district/ block wise),ਰਜਿਸਟਰਡ ਬੱਚਿਆਂ (ਕੁੱਲ 3-6 ਸਾਲ) ਦੀ ਕੁੱਲ ਗਿਣਤੀ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕ ਵਾਈਸ),Total number of registered children (total 3-6 years) (State/State/Zilla/Black Voices)
Maternal and child nutrition:,ਮਾਂ ਅਤੇ ਬੱਚੇ ਦੀ ਪੋਸ਼ਣ:,Mother and child labor:
How many beneficiaries got THR in 21 days,ਕਿੰਨੇ ਲਾਭਪਾਤਰੀਆਂ ਨੂੰ 21 ਦਿਨਾਂ ਵਿੱਚ THR ਮਿਲਿਆ,How many lawyers found the THR in 21 days
How many children breastfed exclusively in the first hour after delivery,ਕਿੰਨੇ ਬੱਚੇ ਦੁੱਧ ਚੁੰਘਾਉਂਦੇ ਹਨ ਸਪੁਰਦਗੀ ਦੇ ਬਾਅਦ ਪਹਿਲੇ ਘੰਟੇ ਵਿੱਚ ਹੀ ਸਪੁਰਦਗੀ ਦੇ ਅੱਧੇ ਘੰਟੇ ਬਾਅਦ,How many children become pregnant within the first hour after conception
How many lactating mothers are given HCM,3-6 ਸਾਲ ਦੀ ਉਮਰ ਦੇ ਬੱਚਿਆਂ ਵਿੱਚ ਕੈਲਸ਼ੀਅਮ ਦਾ ਪੱਧਰ,Level of calcium in children between 3 and 6 years of age
Average level of iron in children aged 3-6years,3-6 ਸਾਲ ਦੀ ਉਮਰ ਦੇ ਬੱਚਿਆਂ ਵਿੱਚ ਆਇਰਨ ਦਾ ਪੱਧਰ,Level of iron in children between 3 and 6 years of age
"Total number of vaccinations administered per month (block, district, state, national level)","ਟੀਕੇ ਲਗਾਉਣ ਦੀ ਕੁੱਲ ਸੰਖਿਆ ਪ੍ਰਤੀ ਮਹੀਨਾ ਪ੍ਰਬੰਧਿਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ (ਬਲਾਕ, ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ)","Total number of targets per month (black, yellow, Kingdom, national level)"
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,ਪ੍ਰਤੀ ਮਹੀਨਾ ਵੈਕਸੀਨੇਸ਼ਨਾਂ ਦੀ ਖਾਸ ਰਿਪੋਰਟ (ਬੀ.ਸੀ.ਜੀ. / ਓਪੀਵੀ / ਹੈਪੇਟਾਈਟਸ ਬੀ / ਰੋਟਾਵਾਇਰਸ / ਪੋਲੀਓ / ਨਿਮੋਕੋਕਲ / ਪੈਂਟਾਵੇਲੈਂਟ),Special reports of monthly vaccinations (B.C.E./Opivi/ Hepatitis B/Rotavaries/Polio/Nemococol/Pentavellant)
AWC infrastructure:,ਏਡਬਲਯੂਸੀ ਬੁਨਿਆਦੀ ਢਾਂਚਾ:,Edblessy base:
"Number of AWCs (block, district, state, national level)","ਏਡਬਲਯੂਸੀ ਦੀ ਗਿਣਤੀ (ਬਲਾਕ, ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ)","Number of AIDS (black, yellow, Kingdom, national level)"
"Total number of Balvatikas (block district, state, national level)","ਬਾਲਵਤੀਕਾਂ ਦੀ ਕੁੱਲ ਗਿਣਤੀ (ਬਲਾਕ ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ)","Total number of children (black castle, Kingdom, national level)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","ਪੀਣ ਵਾਲੇ ਸਾਫ ਪਾਣੀ ਨਾਲ ਏਡਬਲਯੂਸੀ ਦੀ ਕੁੱਲ ਸੰਖਿਆ (ਬਲਾਕ, ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ)","Total number of AIDS with clean water (black, yellow, Kingdom, national level)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","ਕੰਮ ਦੇ ਤੋਲ ਦੇ ਮਾਪ ਨਾਲ ਏਡਬਲਯੂਸੀ (ਬਲਾਕ, ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ) ਦੀ ਕੁੱਲ ਗਿਣਤੀ","Total number of AIDS (black, yellow, Kingdom, national level) with the size of the labour force"
"Total number of AWCs (block, district, state, national level) with electricity","ਬਿਜਲੀ ਦੇ ਨਾਲ ਏਡਬਲਯੂਸੀ ਦੀ ਕੁੱਲ ਗਿਣਤੀ (ਬਲਾਕ, ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ)","Total number of AIDS cases with AIDS (black, yellow, Kingdom, national level)"
Total number of AWCs that are government owned,ਸਰਕਾਰੀ ਮਾਲਕੀ ਵਾਲੀਆਂ ਏਡਬਲਯੂਸੀ ਦੀ ਕੁੱਲ ਸੰਖਿਆ,Total number of government owners
Total number of AWCs that are privately owned,ਏਡਬਲਯੂਸੀ ਦੀ ਕੁੱਲ ਸੰਖਿਆ ਜੋ ਨਿੱਜੀ ਤੌਰ ਤੇ ਮਲਕੀਅਤ ਹਨ,The total number of people who own themselves
How to contact Poshan Tracker Team?,ਪੋਸ਼ਨ ਟਰੈਕਰ ਟੀਮ ਨਾਲ ਸੰਪਰਕ ਕਿਵੇਂ ਕਰੀਏ?,How can you communicate with the postal trainer team?
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in 'ਤੇ ਈਮੇਲ ਭੇਜ ਕੇ ਪੋਸ਼ਨ ਟਰੈਕਰ ਟੀਮ ਨਾਲ ਸੰਪਰਕ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ। ਹੈਂਡਹੋਲਡਿੰਗ ਅਤੇ ਸਹਾਇਤਾ ਲਈ ਅਸੀਂ ਹਰ ਰੋਜ਼ ਸ਼ਾਮ 4:15 ਵਜੇ ਤੋਂ ਸ਼ਾਮ 5:15 ਵਜੇ ਤੱਕ ਵੀਡੀਓ ਕਾਨਫਰੰਸ 'ਤੇ ਵੀ ਉਪਲਬਧ ਹਾਂ।,Support-posthantrackr@gov.in can be contacted by e-mail to the post-tracker team. We are also available at video conferences every night from 4:15 p.m. to 5:15 p.m. for maintenance and assistance.
What is Poshan Calculator,ਪੋਸ਼ਨ ਕੈਲਕੁਲੇਟਰ ਕੀ ਹੈ,What's a mailbox calculator
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,ਪੋਸ਼ਨ ਕੈਲਕੁਲੇਟਰ ਵਿਸ਼ਵ ਸਿਹਤ ਸੰਗਠਨ (ਡਬਲਯੂਐਚਓ) ਦੇ ਮਾਪਦੰਡਾਂ ਅਨੁਸਾਰ ਬੱਚੇ ਦੀਆਂ ਵੱਖ-ਵੱਖ ਸਿਹਤ ਸਥਿਤੀਆਂ ਦੀ ਪਛਾਣ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦਾ ਹੈ.,The Posting Calculator helps to identify the different health conditions of children according to the parents of the World Health Organization (WHO).
WHO standards are :,ਡਬਲਯੂਐਚਓ ਦੇ ਮਾਪਦੰਡ ਹਨ :,Double-declining depreciation [d]:
Stunting ( Height for Age)- ,ਰੁਕਿਆ ਵਾਧਾ (ਉਮਰ ਅਨੁਸਾਰ ਕੱਦ) ,Stopped increase (difficulty by age)
