en,bn,translated_helsinki
Growth Monitoring Assessment Charts,গ্রোথ মনিটরি করার জন্য অ্যাসেসমেন্ট চার্ট,The accessible chart for controlling the grid.
Stunted Assessment Parameters,বৃদ্ধিতে বাধার মূল্যায়ন পরামিতি,The value of the adjustment in the label relative to the slider/trough area
Wasted Assessment Parameters,অপুষ্টির মূল্যায়ন পরামিতি,Absolute value [u]
Underweight Assessment Parameters,কম ওজনের মূল্যায়ন পরামিতি,Low on-the-fly rating parameters
Manuals,হস্তকৃত,Manual
Poshan Tracker Process Flow,পশান ট্র্যাকার প্রক্রিয়া প্রবাহ,Motor Difficulties - switch devices
Circulars/Notifications,সার্কুলার/বিজ্ঞপ্তি,Circle/Information
Clarification regarding Cost of Smart phones,স্মার্ট ফোনের খরচ সংক্রান্ত ব্যাখ্যা,Smart phone cost description
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,পোশান ট্র্যাকারে অঙ্গনওয়াড়ি পরিষেবা প্রকল্পের ডেটা আপলোড করা,Upload data to index project in the Posian tracks
Data Plan for Mobile Application,মোবাইল অ্যাপ্লিকেশনের জন্য ডেটা প্ল্যান,Data plan for mobile applications
Specifications of Smart phone and Technical Compatibility Testing,স্মার্টফোনের স্পেসিফিকেশন এবং প্রযুক্তিগত সামঞ্জস্য পরীক্ষা,Smartphone specification and technical component testing
Training on ICT Platform under POSHAN Abhiyaan,পোশান অভিযানের অধীনে আইসিটি প্ল্যাটফর্মে প্রশিক্ষণ,ICIT platform training during post office operations
New Poshan Tracker App - CSC-SPV Nodal Person,নতুন পোশান ট্র্যাকার অ্যাপ - CSC-SPV নোডাল ব্যক্তি,New Poster Trackup - CSC-SPV Nodal Person
New Poshan Tracker App,নতুন পোশান ট্র্যাকার অ্যাপ,New Poster Track Up
Birth,জন্ম,_Other Organiser
Bacillus Calmette Guerin (BCG),ব্যাসিলাস ক্যালমেট গুয়েরিন (বিসিজি),Basillas Camelt Guerin (bessie)
Oral Polio Vaccine (OPV)-0 dose ,ওরাল পোলিও ভ্যাকসিন (OPV)-0 ডোজ ,Oral Polo Vaxin (OPV)-0 Doz
Hepatitis B birth dose OPV-1 T,হেপাটাইটিস B বার্থ ডোজ OPV-1 T,Hepatitis B Burth Doze OPV-1 T
6 ,6 ,6chess-rank
Weeks,সপ্তাহ,week(s)
OPV-1,OPV-1,OPV-1
Pentavalent-1,পেন্টাভ্যালেন্ট-1,Pentavalent-1
Rotavirus Vaccine (RVV)-1,রোটাভাইরাস ভ্যাকসিন (RVV)-1,Rotavirus vaccine (RVVV)-1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,নিষ্ক্রিয় পোলিও ভ্যাকসিনের ফ্র্যাকশানাল ডোজ (fIPV)-1,Non-active polynoxin fractal doze (fIPV)-1
Pneumococcal Conjugate Vaccine (PCV) -1,নিউমোকোকাল কনজুগেট ভ্যাকসিন (পিসিভি)-1,Noumococal conjugate vaccine (PSV)-1
OPV-2,OPV-2,OPV-2
Pentavalent-2,পেন্টাভ্যালেন্ট-2,Pentavalent-2
RVV-2,RVV-2,RVV-2
14 ,14 ,14 places
OPV-3,OPV-3,OPV-3
Pentavalent-3,পেন্টাভ্যালেন্ট-3,Pentavalent-3
RVV-3,RVV-3,RVV-3
9 - 12 ,9 - 12 ,ANALYZE THE SCENE. — READ GENESIS 9 - 12
Months,মাস,Month
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,হামের ভ্যাকসিন (MCV)/হাম ও রুবেলা (MR)-1,Ham's vaccine (MCV)/Ham and rubella (MR)-1
Japanese Encephalitis(JE)-1**,জাপানিজ এনসেফালাইটিস (জেই)-1**,Japanese Onsefalitis (JJ)-1**
PCV-Booster,PCV-বুস্টার,PCV-Buster
16 - 24 ,16 - 24 ,"Study Articles 1, 2 PAGES 16 - 24"
Measles Containing vaccine (MCV)/MR-2,হামের ভ্যাকসিন (MCV)/MR-2,Hammer vaccine (MCV)/MR-2
Diphtheria,ডিপথিরিয়া,Depteria
Pertussis & Tetanus (DPT)-Booster-1,পারটুসিস এবং টিটেনাস্ (DPT)-বুস্টার-1,Patusius and Titus (DPT)-Buster-1
OPV –Booster,OPV - বুস্টার,OPV - Buster
5 - 6 ,5 - 6 ,5 - 6
Years,বছর,year(s)
DPT-Booster-2,DPT-বুস্টার-2,DPT-Buster-2
"Td1, 2 or Td Booster***","Td1, 2 বা Td বুস্টার***","Td1, 2 or Td Buster**"
Select State,রাজ্য নির্বাচন কর,Choose a Kingdom
Select District,জেলা নির্বাচন করুন,Select the game type to play
Login to your account,আপনার অ্যাকাউন্টে লগ ইন করুন,Please log in to your account
User Name ,ব্যবহারকারীর নাম ,User Name
Password ,পাসওয়ার্ড ,Password
Login,প্রবেশ করুন,Log In
OPEN A NEW TICKET,একটি নতুন টিকিট খুলুন,Open a new tag
CHECK TICKET STATUS,টিকেট স্ট্যাটাস চেক করুন,Check ticket status
Create a New Ticket,একটি নতুন টিকিট তৈরি করুন,Create a new tag
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,একটি নতুন টিকিট তৈরি করতে নীচের ফর্মটি পূরণ করুন। অঙ্গনওয়াড়ি কর্মীরা 48 ঘন্টার মধ্যে আপনার সাথে যোগাযোগ করবে।.,Please fill in the form below to create a new tag. The waiters will contact you within 48 hours.
Beneficiary Category ,সুবিধাভোগীদের শ্রেণী ,The type of accelerators
Select a Beneficiary Category,সুবিধাভোগীর একটি শ্রেণী নির্বাচন করুন,Select a Category of Extensions
Children (0-6 months),শিশু (0-6 মাস),Child (0-6 months)
Children (6 months - 3 years),শিশু (6 মাস - 3 বছর),Child (6 months - 3 years)
Children (3 - 6 years),শিশু (3 - 6 বছর),Child (3 - 6 years old)
Query Related to ,সম্পর্কিত প্রশ্ন ,_Other Organiser
Select Query Related to,এর সাথে সম্পর্কিত প্রশ্ন নির্বাচন করুন,Choose a question about it
AWW/AWC,এডাব্লুডাব্লু (AWW)/এডাব্লুসি (AWC),Adablu (AWW)/Adabluci (AWC)
Supervisor,সুপারভাইজার,Supervisor
Help Topic ,হেল্প টপিক ,Help Topic
Description ,বিবরণ ,Description
Select a Description,একটি বিবরণ নির্বাচন করুন,Could not close temporary folder: %s
Mobile Number ,মোবাইল নম্বর ,Mobile Number
Email,ইমেল,Email
Having difficulty raising ticket?,টিকিট রেইজ করতে অসুবিধা হচ্ছে?,Are you sure you want to untick the ticket?
support-poshantrackr@gov.in,support-poshantrackr@gov.in,support-posthantrackr@gov.in
By District,জেলা দ্বারা,BY AWAKE! WRITER IN JELA
State ,রাজ্য ,Kingdom
District ,জেলা ,Jella
Project ,প্রকল্প ,Project
Select Project,প্রকল্প নির্বাচন করুন,Select a project
Sector ,সেক্টর ,Sector
Select Sector,সেক্টর নির্বাচন করুন,Select a sector
Anganwadi Center ,অঙ্গনওয়াড়ি কেন্দ্র ,Angular Centre
Select An Anganwadi center,একটি অঙ্গনওয়াড়ি কেন্দ্র নির্বাচন করুন,Select a contiguous center
Create Ticket,টিকেট তৈরি করুন,Create a tag
Reset,রিসেট,Reset
Frequently Asked Questions,পোশান ক্যালকুলেটর,Cannot initialise Evolution's mail component.
