en,te,translated_helsinki
Pertussis & Tetanus (DPT)-Booster-1,పెర్టుసిస్ & టెటనస్ (DPT)-బూస్టర్-1,Ports & Tectans (DPT)-Buster-1
OPV –Booster,OPV – బూస్టర్,OPV - Buster
5 - 6,5 - 6,5 - 6
Years,సంవత్సరాలు,REGULAR FEATURES
DPT-Booster-2,డిపిటి-బూస్టర్-2,DPT-Buster-2
"Td1, 2 or Td Booster***","Td1, 2 లేదా Td బూస్టర్***","Td1, 2 or Td Buster**"
Select State,రాష్ట్రాన్ని ఎంచుకోండి,Choose a country
Select District,జిల్లాను ఎంచుకోండి,Choose a Prison
-,-,- I don't know.
Login to your account,మీ ఖాతాకు లాగిన్ చేయండి,Can not create folder lock on %s: %s
User Name,వినియోగదారు పేరు,_Other Organiser
Password,పాస్‍వర్డ్,Password
Login,లాగిన్ చేయండి,Login
OPEN A NEW TICKET,కొత్త టికెట్ తెరవండి,Open a new tab
CHECK TICKET STATUS,టికెట్ స్టేటస్ చెక్ చేయండి,Check ticket states
Create a New Ticket,కొత్త టికెట్ సృష్టించండి,_Other Organiser
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,కొత్త టిక్కెట్ సృష్టించడం కొరకు దయచేసి దిగువ ఫారాన్ని నింపండి. అంగన్ వాడీ వర్కర్ 48 గంటల్లోగా మిమ్మల్ని చేరుకుంటారు..,Please fill in the accompanying coupon to create a new tag. The address book will reach you within 48 hours.
Beneficiary Category,లబ్ధిదారుల కేటగిరీ,Synchronising folder
Select a Beneficiary Category,ఒక లబ్ధిదారు వర్గాన్ని ఎంచుకోండి,Could not close temporary folder: %s
Children (0-6 months),పిల్లలు (0-6 నెలలు),Children (0-6 months)
Children (6 months - 3 years),పిల్లలు (6 నెలలు - 3 సంవత్సరాలు),Children (6 months - 3 years)
Children (3 - 6 years),పిల్లలు (3-6 సంవత్సరాలు),Children (3-6 years)
Query Related to,సంబంధించిన క్వైరీ,Can not open message
Select Query Related to,దీని సంబంధిత ప్రశ్నను ఎంచుకోండి,Choose a question about it.
Supervisor,సూపర్‌వైజర్,Supervisor
Help Topic,సహాయ అంశం,Help element
Description,వివరణ,Description
Select a Description,ఒక వివరణను ఎంచుకోండి,Could not close temporary folder: %s
Name,పేరు,Name
Email,ఇమెయిల్,Email
Having difficulty raising ticket?,టిక్కెట్ సృష్టించడంలో ఇబ్బంది?,Can't create tickets?
By District,జిల్లా వారీగా,Jilla Warigar
State,రాష్ట్రం,CREDIT_FOR_TRANSLATORS
District,జిల్లా,Jilla
Project,ప్రాజెక్ట్,Project
Select Project,ప్రాజెక్ట్ ఎంచుకోండి,Select a project
Sector,రంగం,Colour
Select Sector,రంగం ఎంచుకోండి,Pick a colour
Anganwadi Center,అంగన్‌వాడీ కేంద్రం,Angwadi Center
Select An Anganwadi center,ఒక అంగన్‌వాడీ కేంద్రాన్ని ఎంచుకోండి,Choose an Angwadi Concentration
Create Ticket,టికెట్ సృష్టించండి,_Other Organiser
Reset,రీసెట్ చేయండి,Reset
Can App be accessed without internet?,ఇంటర్నెట్ లేకుండా యాప్ ని యాక్సెస్ చేయవచ్చా?,Can't access Japan without the Internet?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.",తగిన ఇంటర్నెట్ కనెక్షన్ లేకుండా ఏ యాప్ పనిచేయదు.,You may not have permissions to access the Internet connection directly.
Who are the target userbase of Poshan Tracker App?,పోషణ్ ట్రాకర్ యాప్ యొక్క ఉద్దేశింపబడిన వినియోగదారు బేస్ ఎవరు?,Who's the target user base for the mailbox tracker?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.","పోషణ్ ట్రాకర్ యాప్ అంటే అంగన్‌వాడీ కార్మికులు, అంగన్‌వాడీ కేంద్రాలు, లబ్ధిదారుల డేటాను ఫారమ్‌లలో నమోదు చేయడానికి ఉద్దేశించినవి. ఇది సాధారణ ప్రజల కోసం అస్సలు అభివృద్ధి చేయబడలేదు.",The postman trucker app is intended to be registered in the data formats of the editors. It is not actually developed for ordinary people.
How to Login in Poshan Tracker App?,పోషణ్ ట్రాకర్ యాప్‌లో లాగిన్ అవ్వడం ఎలా?,How to log in to the mailbox truck?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","AWW లు తమ మొబైల్ నంబర్లను లాగిన్ స్క్రీన్‌లో నమోదు చేయాలని అభ్యర్థిస్తున్నాం. మీ రిజిస్టర్డ్ మొబైల్ నంబర్ పోస్ట్‌కు OTP పంపబడుతుంది, దీనికి మీరు MPIN ని కూడా సెట్ చేయాలి.","AWW is calling for their mobile numbers to be logged into the login screen. Your registered mobile number mail will be sent to OTP, and you must also set a PIN for it."
What is  MPIN?,MPIN అంటే ఏమిటి?,What is MPIN?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"MPIN అనేది 4 అంకెల పాస్‌కోడ్, ఇది పోషణ్ ట్రాకర్ యాప్ పై నమోదు చేసేటప్పుడు అంగన్‌వాడీ కార్మికుడు సెట్ చేస్తారు.","MPIN is a 4-digit passcode, and it sets an Anguady client when you sign up on a mailbox tracker."
How to set MPIN?,MPIN ను ఎలా సెట్ చేయాలి?,How should MPIN be set?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","అతని / ఆమె మొబైల్ నంబర్‌కు OTP ని అభ్యర్థించడం ద్వారా సంబంధిత అంగన్‌వాడీ కార్మికుడు MPIN ని సెట్ చేయవచ్చు. మొబైల్ నంబర్ ఇప్పటికే డేటాబేస్లో ఉంటే, సంబంధిత అంగన్వాడీ వ్యక్తి రిజిస్టర్డ్ మొబైల్ నంబర్లో 4 అంకెల OTP ను అందుకుంటారు. OTP పంపిన తరువాత, AWW అనుకూలీకరించిన MPIN ని సులభంగా సెట్ చేయవచ్చు.","By calling his/ her mobile phone number OTP, Angwadi can set up a MPIN client. If the mobile number is already in the database, the associated Angwadi person will respond to 4 OTP entries in the mobile number. Once OTP is sent, AWW can easily set up a MPIN which is supported by AWW."
When and how to use MPIN?,MPIN ను ఎప్పుడు మరియు ఎలా ఉపయోగించాలి?,When and how should MPIN be used?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","పోషణ్ ట్రాక్జెర్ యాప్‌లోకి లాగిన్ అయితే, AWW లు వారు సెట్ చేసిన MPIN ని నమోదు చేయవలసిఉంటుంది. ఈ MPIN పోషణ్ ట్రాకర్ యాప్‌ను అమలు చేయడానికి పాస్‌కోడ్‌గా పనిచేస్తుంది మరియు లబ్ధిదారుల ఫారంలో సమాచారాన్ని నమోదు చేస్తుంది.","Logins as mail transporter yet, AWW will have to sign the PIN they set. This MPIN will work as a password to execute the mail transporter app and enter the information in the address book."
How to Reset MPIN?,MPIN ను రీసెట్ చేయడం ఎలా?,How to reset MPIN?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN","MPIN ను ఏ AWW / AWC వినియోగదారుడైనా సులభంగా రీసెట్ చేయవచ్చు. మీరు forgot MPIN పై క్లిక్ చేసి, మీ నమోదిత మొబైల్ నంబర్‌ను నమోదు చేయవలసి ఉంటుంది. మీరు మీ రిజిస్టర్డ్ మొబైల్ నంబర్‌పై OTP పొందుతారు మరియు మీరు మీ MPIN ని సులభంగా రీసెట్ చేయవచ్చు",You can easily reset the PIN to any AWW / AWC user. You should click on the forget PIN and enter your registered mobile number. You will get OTP on your registered mobile number and you can easily reset your PIN
In How many languages the Poshan Tracker App is available?,పోషణ్ ట్రాకర్ యాప్ ఎన్ని భాషలలో అందుబాటులో ఉంది?,How many languages are there in the mailbox truck Japan?
Poshan Tracker App is available in 22 different languages,పోషణ్ ట్రాకర్ యాప్ 22 వేర్వేరు భాషలలో లభిస్తుంది,Posun Trailer Japan is available in 22 different languages
The various languages available are:,అందుబాటులో ఉన్న వివిధ భాషలు:,Available languages:
English,ఆంగ్లము,English
Hindi,హిందీ,Hindi
Gujarati,గుజరాతీ,Gujarati
Punjabi,పంజాబీ,Punjabi
Marathi,మరాఠీ,March
Bangla,బంగ్లా,Bangladesh
Kannada,కన్నడ,Blue
Tamil,తమిళం,Tamil
Telugu,తెలుగు,All right.
Malyalam,మళయాళం,_Other Organiser
Odia,ఓడియా,Odiya
Assamese,అస్సామీ,Assami
Dogri,Dogri,Dock
Konkani,Konkani,Concan
Bodo,Bodo,Body
In how many languages AWW can enter the data while filling up the form?,ఫారమ్ నింపేటప్పుడు AWW లేదా AWC ఎన్ని భాషలలో డేటాను నమోదు చేయవచ్చు?,How many languages can AWW or AWC be written when the format is full?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,AWW ఆంగ్ల భాషలో మాత్రమే ఫారం నింపగలదు.,AWW can only be translated into English.
How many different forms are there in Poshan Tracker App?,పోషణ్ ట్రాకర్ యాప్‌లో ఎన్ని విభిన్న ఫారమ్లు ఉన్నాయి?,How many different forms are there in the mailbox truck?
There are 7 different types of forms for beneficiaries. This includes:,లబ్ధిదారుల కోసం 7 రకాల ఫారమ్ లు ఉన్నాయి. ఇందులో ఇవి ఉన్నాయి:,There are seven types of formats for drivers. These are:
Lactating mother,పాలిచ్చే తల్లి,A Mother Who Died
Pregnant women,గర్భిణీ స్త్రీలు,BABYLONIAN WOMANS
Child 0-6 Months,పిల్లవాడు 0-6 నెలలు,Child 0-6 months
Child 6 Months to 3 Years,పిల్లల 6 నెలల నుండి 3 సంవత్సరాల వరకు,Children aged 6 months to 3 years
Child  3 Years to 6 Years,పిల్లల 3 సంవత్సరాల నుండి 6 సంవత్సరాల వరకు,Children 3 From 3 Years to 6 Years
Adolescent Girls (11 Years-19 Years),కౌమార బాలికలు (11 సంవత్సరాలు -19 సంవత్సరాలు),Poor Children (11 - 19 years of age)
What information to be added in AWC forms?,AWC ఫారంలో ఏ సమాచారాన్ని చేర్చాలి?,What information should be included in the AWC factory?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ఒక నిర్దిష్ట అంగన్వాడీ కేంద్రంలో ఉన్న మౌలిక సదుపాయాలకు సంబంధించిన వివరాలను AWW నమోదు చేయాలి. ఇందులో నిర్మాణం, ప్రాథమిక సౌకర్యాలు, సౌకర్యాలు, పారిశుధ్యం, తాగునీరు మొదలైనవి ఉన్నాయి.","AWW needs to write details about the original buildings in a particular Anguady center. These include construction, basic facilities, facilities, sanitation, and engineering."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWWS వారి మొబైల్ నంబర్ల ద్వారా నమోదు చేయలేకపోతే యాప్ లో ఎలా సైన్ అప్ చేయవచ్చు?,How can AWWS sign up on Japan if unable to write through their mobile numbers?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,ఒకవేళ AWW తమను తాము నమోదు చేసుకోవడంలో విఫలమవ్వడంలో 2 అవకాశాలు ఉండవచ్చు:,At one time AWW may have two opportunities to fail to register:
Their mobile number is not present in the data provided by the states to the MoWCD,MoWCD కి రాష్ట్రాలు అందించిన డేటాలో వారి మొబైల్ నంబర్ ఉండకపోవచ్చు.,They may not have their mobile phone number in the data provided by the countries to MWCD.
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,వారు సిస్టమ్‌కు కొత్తగా జోడించబడ్డారు మరియు వారి మొబైల్ నంబర్‌ను రాష్ట్ర సెల్ ద్వారా MoWCD కి ఇంకా అందలేదు.,They are newly connected to the system and have not yet received their mobile number via state-of-the-art cell MWCD.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,"పైన పేర్కొన్న రెండు సందర్భాల్లో, AWW లో దేనినైనా జోడించడానికి / సవరించడానికి / సక్రియం చేయడానికి / నిష్క్రియం చేయడానికి రాష్ట్ర నోడల్ అధికారులకు అధికారం ఉంది.","In the two cases mentioned above, state Nodal authorities have the power to bind/ repair/ disable anything in AWW."
How can one access Poshan Tracker Dashboard?,పోషణ్ ట్రాకర్ డాష్‌బోర్డ్‌ను ఎలా యాక్సెస్ చేయవచ్చు?,How can you access the mailbox truck Dashboard?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link,"పోషణ్ ట్రాకర్ డాష్‌బోర్డ్‌ను, డాష్‌బోర్డ్‌లోకి సంతకం చేయడం ద్వారా యాక్సెస్ చేయవచ్చు.",You can access the mailbox truck by signing to the Dashboard and then to the Dashboard.
https://poshantracker.in/admin,"లింక్‌ను క్లిక్ చేయడం ద్వారా డాష్‌బోర్డ్‌ను యాక్సెస్ చేయవచ్చు జాతీయ, రాష్ట్ర, జిల్లా, ప్రాజెక్ట్ మరియు సెక్టార్ స్థాయిలో నామినేటెడ్ నోడల్ స్థాయి అధికారులకు మాత్రమే డాష్‌బోర్డ్‌ను యాక్సెస్ చేయడానికి ప్రత్యేకమైన ఆధారాలను అందిస్తారు.","By clicking on the link, Dashboard provides special grounds for accessing the Dashboard only to the nominal nodal authorities at the national, state, Jilla, project and sector level."
"Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.",AWW/AWC ను ఎలా జోడించవచ్చు?,How can you find AWW/AWC?
How one can add AWW/AWCs?,"AWW/AWC లను నోడల్ స్థాయి అధికారి మాత్రమే చేర్చగలరు. సోపానక్రమంలో పైన ఉన్న ఎవరైనా. జాతీయ స్థాయి వినియోగదారు మాదిరిగానే రాష్ట్ర, జిల్లా, ప్రాజెక్ట్ మరియు రంగాల వినియోగదారుని సృష్టించవచ్చు. రాష్ట్ర స్థాయి వినియోగదారుడు జిల్లా స్థాయికి, ప్రాజెక్ట్ మరియు సెక్టార్ స్థాయి వినియోగదారుని సృష్టించగలరు, జిల్లా స్థాయి వినియోగదారు ప్రాజెక్ట్ మరియు సెక్టార్ స్థాయి వినియోగదారుని సృష్టించగలరు, ప్రాజెక్ట్ స్థాయి వినియోగదారు సెక్టార్ స్థాయి వినియోగదారుని సృష్టించగలరు.","AWW/AWC can only be entered by nodal level administrator. Anyone on the supranational system. For example, national level users can create state, Jilla, project and style users. A state level user can create Jilla level users, project and sector level users, and project level users can create project and sector users."
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,పోషన్ ట్రాకర్ డాష్‌బోర్డ్ ద్వారా ఎన్ని రకాల నివేదికలను రూపొందించవచ్చు?,How many types of reports can be produced by mail transporter Dashboard?
How many different types of reports can be generated over Poshan Tracker Dashboard?,నుండి ఉత్పత్తి చేయగల వివిధ నివేదికలు ఉన్నాయి,There are various reports that can be produced from
There are various reports that can be generated from,సాధారణ నివేదికలు:,General reports:
General Reports:,యాప్ ల డౌన్‌లోడ్‌ల సంఖ్య,Number of Japan Downloads
Number of app  downloads,అంగన్వాడీ కేంద్రాల మొత్తం నమోదు,Can not append message to mh folder: %s: %s
Total number of Anganwadi centers registered,నమోదు చేసుకున్న మొత్తం లబ్ధిదారుల సంఖ్య (జాతీయ / రాష్ట్రం / జిల్లా / బ్లాక్ వారీగా),Number of all subscribers (as national / state / zilla / block range)
Total number of beneficiaries registered (National/state/district/block wise),నమోదైన గర్భిణీ మహిళల సంఖ్య (జాతీయ / రాష్ట్రం / జిల్లా / బ్లాక్ వారీగా),Number of registered pregnant women (as national / state / Jilla / block range)
Total Number of pregnant women registered(National/state/district/block wise),చనుబాలిచ్చే తల్లుల మొత్తం సంఖ్య (జాతీయ / రాష్ట్రం / జిల్లా / బ్లాక్ వారీగా),Total number of breast - feeding mothers (as national / state / Jilla / block range)
Total Number of  lactating mothers registered(National/state/district/block wise),మొత్తం పిల్లల సంఖ్య (0-6 నెలలు) నమోదు చేయబడింది (జాతీయ / రాష్ట్రం / జిల్లా / బ్లాక్ వారీగా),The total number of children (0-6 months) registered (national/ state/browser/block range)
Total Number of children (0-6months) registered(National/state/district/block wise),మొత్తం పిల్లల సంఖ్య (6 నెలలు -3 సంవత్సరాలు) నమోదు (జాతీయ / రాష్ట్రం / జిల్లా / బ్లాక్ వారీగా),Number of all children (6 months - 3 years)
Total Number of children (6months-3years) registered(National/state/district/ block wise),మొత్తం పిల్లల సంఖ్య (3-6 సంవత్సరాలు) నమోదు (జాతీయ / రాష్ట్రం / జిల్లా / బ్లాక్ వారీగా),Number of all children (3-6 years of age)
Total Number of children (3-6years) registered(National/state/district/ block wise),తల్లి మరియు పిల్లల పోషణ:,Mother and children's sustenance:
Maternal and child nutrition:,21 రోజుల్లో ఎంత మంది లబ్ధిదారులకు టిహెచ్‌ఆర్ వచ్చింది,21 How Many Overseers Are Reaching the Stature That Belongs to God
How many beneficiaries got THR in 21 days,డెలివరీ తర్వాత మొదటి గంటలో ఎంత మంది పిల్లలకు ప్రత్యేకంగా పాలిచ్చారు,How many children were given special attention during the first hour after December
How many children breastfed exclusively in the first hour after delivery,పాలిచ్చే తల్లులకు ఎంత మందికి హెచ్‌సిఎం ఇస్తారు,How many HIV will be given to pregnant mothers
How many lactating mothers are given HCM,డెలివరీ తర్వాత మొదటి గంటలో ఎంత మంది పిల్లలకు ప్రత్యేకంగా పాలిచ్చారు,How many children were given special attention during the first hour after December
Average level of calcium in children aged 3-6 years,3-6 సంవత్సరాల పిల్లలలో కాల్షియం సగటు స్థాయి,Calcium average in children between 3 and 6 years of age
Average level of iron in children aged 3-6years,3-6 సంవత్సరాల పిల్లలలో ఐరన్ యొక్క సగటు స్థాయి,The average level of Iran in children between 3 and 6 years of age
"Total number of vaccinations administered per month (block, district, state, national level)","నెలకు ఇచ్చే మొత్తం టీకాల సంఖ్య (బ్లాక్, జిల్లా, రాష్ట్ర, జాతీయ స్థాయి)","The total number of breaks per month (black, yellow, grey, national level)"
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,టీకాల నిర్దిష్ట నివేదిక నెలకు నిర్వహించబడుతుంది (BCG / OPV / హెపటైటిస్ బి / రోటవైరస్ / పోలియో / న్యుమోకాకల్ / పెంటావాలెంట్,Timely reporting is performed for months (BCG / OPV / Hepatitis B / Rottovirus / Polio / Neumocacal / Pentavalent
AWC infrastructure:,AWC మౌలిక సదుపాయాలు:,AWC Home Page:
"Number of AWCs (block, district, state, national level)","AWC ల సంఖ్య (బ్లాక్, జిల్లా, రాష్ట్ర, జాతీయ స్థాయి)","Number of AWC (Black, Yellow, Yellow, National Level)"
"Total number of Balvatikas (block district, state, national level)","అంగన్వాడీల మొత్తం సంఖ్య (బ్లాక్ జిల్లా, రాష్ట్ర, జాతీయ స్థాయి)","Total number of Anguadillas (Black Jilla, Nationality, National Level)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","స్వచ్ఛమైన తాగునీటితో మొత్తం AWC ల సంఖ్య (బ్లాక్, జిల్లా, రాష్ట్ర, జాతీయ స్థాయి)","The total number of AWCs with a free tag (black, yellow, grey, national level)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","పని బరువు స్కేల్‌తో మొత్తం AWC ల సంఖ్య (బ్లాక్, జిల్లా, రాష్ట్ర, జాతీయ స్థాయి)","The number of AWCs with a working weight scale (black, yellow, state, national level)"
"Total number of AWCs (block, district, state, national level) with electricity","విద్యుత్తుతో మొత్తం AWC ల సంఖ్య (బ్లాక్, జిల్లా, రాష్ట్ర, జాతీయ స్థాయి)","The total number of AWCs by education (black, yellow, state, national level)"
Total number of AWCs that are government owned,ప్రభుత్వ యాజమాన్యంలోని మొత్తం AWC ల సంఖ్య,Total number of AWCs in government priesthood
Total number of AWCs that are privately owned,ప్రైవేటు యాజమాన్యంలోని మొత్తం AWC ల సంఖ్య,The total number of AWCs in the private priesthood
How to contact Poshan Tracker Team?,పోషణ్ ట్రాకర్ టీమ్ ని ఏవిధంగా సంప్రదించాలి?,How should we contact the postal tracker team?
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in వద్ద ఇమెయిల్స్ పంపడం ద్వారా పోషణ్ ట్రాకర్ టీమ్ ని సంప్రదించవచ్చు. హ్యాండ్ హోల్డింగ్ మరియు సపోర్ట్ కొరకు ప్రతిరోజూ సాయంత్రం 4:15 నుంచి సాయంత్రం 5:15 గంటల వరకు వీడియో కాన్ఫరెన్స్ ద్వారా కూడా మేం లభ్యం అవుతాం.,"By sending e-mails to support-posthantrackr@gov.in, we can contact the post-tracker team. We also get video conferences every night from 4:15 p.m. to 5:15 p.m. for guidance and support."
What is Poshan Calculator,పోషణ్ కాలిక్యులేటర్ అంటే ఏమిటి,What the mailbox calculator is
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,ప్రపంచ ఆరోగ్య సంస్థ (WHO) ప్రమాణాలకు అనుగుణంగా బిడ్డ యొక్క వివిధ ఆరోగ్య పరిస్థితులను గుర్తించడానికి పోషణ్ కాలిక్యులేటర్ సహాయపడుతుంది.,The World Health Organization (WHO) will assist in identifying the child’s various health conditions.
WHO standards are :,డబ్ల్యూహెచ్ వో ప్రమాణాలు :,Double-declining depreciation [d]
Stunting ( Height for Age)-,స్టంటింగ్ ( వయస్సు కొరకు ఎత్తు)-,Sting (high for age):
0 months to 6 years,0 నెలల నుంచి 6 సంవత్సరాల వరకు,0 months to 6 years
Severely Stunted,తీవ్రంగా ఎదుగుదల లేకపోవడం,There is no such thing as an increase in the number of Jehovah’s Witnesses in the United States.
Moderately stunted,ఒక మాదిరి ఎదుగుదల నిలిచిపోవడం,One example is that of standing up for what is right in Jehovah’s eyes.
Normal,సాధారణం,General
Underweight (Weight for Age)-,తక్కువ బరువు (వయస్సు కొరకు బరువు)-,Low weight (weight for age):
Severely Underweight,తీవ్రంగా తక్కువ బరువు,Severely Low Weight
Moderately Underweight,మధ్యస్తంగా తక్కువ బరువు,Medium Weight
Wasting (Weight for Height)-,వృధా (ఎత్తు కొరకు బరువు)-,Height (weight for height):
0 months to 5 years,0 నెలల నుంచి 5 సంవత్సరాల వరకు,0 months to 5 years
Severely Wasted (SAM),తీవ్రంగా వృథా (SAM),Heavy History (SAM)
Moderately Wasted (MAM),ఒక మాదిరి వృధా (ఎంఎఎమ్),A Model History (IMM)
Overweight,అధిక బరువు,Upper limit of ruler
Obese,ఊబకాయం,Ubacao
Above standards are defined as per given above mentioned age brackets,పైన పేర్కొన్న వయస్సు బ్రాకెట్ ల ప్రకారంగా పై ప్రమాణాలు నిర్వచించబడ్డాయి,The above values are set by the age bracket
About Reference tables,రిఫరెన్స్ టేబుల్స్ గురించి,About Reference Tables
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,ప్రపంచవ్యాప్తంగా శిశువులు మరియు చిన్న పిల్లల ఎదుగుదల మరియు అభివృద్ధిని మదింపు చేయడం కొరకు కొత్త ఎదుగుదల వక్రాలను సృష్టించడం కొరకు 1997 మరియు 2003 మధ్య కాలంలో WHO మల్టీసెంటర్ గ్రోత్ రిఫరెన్స్ స్టడీ (MGRS) చేపట్టబడింది.,"Between 1997 and 2003, the WHO Multicentregroth Reference Study (MGRS) was established to create new growth patterns for the growth and development of children and small children worldwide."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).","MGRS విస్తృతంగా విభిన్న జాతి నేపథ్యాలు మరియు సాంస్కృతిక సెట్టింగ్ లు (బ్రెజిల్, ఘనా, భారతదేశం, నార్వే, ఒమన్ మరియు USA) నుండి సుమారు 8500 మంది పిల్లల నుండి ప్రాథమిక ఎదుగుదల డేటా మరియు సంబంధిత సమాచారాన్ని సేకరించింది.","MGRS has collected basic data and related information from some 8500 children from various ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the United States)."
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,కొత్త ఎదుగుదల వక్రతలు పుట్టినప్పటి నుండి ఐదు సంవత్సరాల వయస్సు ఉన్న పిల్లలందరికీ శారీరక ఎదుగుదల యొక్క అత్యుత్తమ వివరణకు ప్రాతినిధ్యం వహించే ఒకే అంతర్జాతీయ ప్రమాణాన్ని అందిస్తాయని మరియు ఎదుగుదల మరియు అభివృద్ధికి ప్రామాణిక తల్లి పాలిచ్చే శిశువును నమూనాగా స్థాపించాలని ఆశించబడుతోంది.,"Since the birth of new growth disorders, it is expected that all children five years of age will be given the same international standard for the best explanation of physical growth and that the mother who is the mother who is the mother who is the mother responsible for growth and development will be able to establish as a model."
How to revive your Health?,మీ ఆరోగ్యాన్ని ఎలా పునరుద్ధరించాలి?,How Should Your Health Be Restored?
How to revive your health if you are Severely Wasted (SAM),ఒకవేళ మీరు తీవ్రంగా వెస్టెడ్ అయినట్లయితే మీ ఆరోగ్యాన్ని ఏవిధంగా పునరుద్ధరించాలి (SAM),"If you are seriously injured, how can you restore your health? ( SAM)"
How to revive your health if you are Moderately Wasted (MAM),ఒకవేళ మీరు ఒక మాదిరి వెస్టెడ్ ఉన్నట్లయితే మీ ఆరోగ్యాన్ని ఏవిధంగా పునరుద్ధరించాలి (MA),"If you are a parent, how can you restore your health? ( MA)"
How to revive your health if you are Underweight,మీరు తక్కువ బరువుతో ఉంటే మీ ఆరోగ్యాన్ని ఎలా పునరుద్ధరించాలి,"How to Rehabilitate Your Health If you are under stress, how can you regain your health?"
Check Ticket Status,టికెట్ స్టేటస్ చెక్ చేయండి,Check ticket states
Please provide your mobile number and a ticket number.,దయచేసి మీ మొబైల్ నెంబరు మరియు టికెట్ నెంబరు ఇవ్వండి.,Please enter your mobile number and ticket number.
Mobile,మొబైల్,Mobile
Ticket Number,టికెట్ నెంబరు,Tag No.
View Ticket,టికెట్ వీక్షించండి,View the ticket
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at,స్వాగతం!,Welcome!
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","వద్ద హోస్ట్ చేయబడ్డ పోషణ్ ట్రాకర్ ప్లాట్ ఫారం యొక్క మీ వినియోగాన్ని నియంత్రించే సేవా నిబంధనలు (""నిబంధనలు"") మరియు దానికి లింక్ చేయబడ్డ అన్ని అసోసియేట్ సైట్ లు, దాని సబ్సిడరీలు మరియు అఫిలియేట్ లు (సమిష్టిగా, ""సైట్"").","The service agreements ('links') that control your use of the mailbox tracker platform at the hosted sites, its subsidries and its affiliates (consistently, ""site"")."
I. OWNERSHIP,I. యాజమాన్యత,I. Priesthood
