en,gu,translated_helsinki
Email,ઇમેઇલ,Email
Having difficulty raising ticket?,ટિકિટ બનાવવામાં મુશ્કેલી પડી રહી છે?,Is it difficult to make tickets?
support-poshantrackr@gov.in,support-poshantrackr@gov.in,support-posthantrackr@gov.in
By District,જિલ્લા દ્વારા,By Jilla
State ,રાજ્ય ,Kingdom
District ,જિલ્લો ,Gillo
Project ,પ્રોજેક્ટ ,Project
Select Project,પ્રોજેક્ટ પસંદ કરો,Select a project
Sector ,સેક્ટર (ક્ષેત્ર) ,Sector (field)
Select Sector,સેક્ટર (ક્ષેત્ર)ની પસંદગી કરો,Select Sector (Field)
Anganwadi Center ,આંગણવાડી કેન્દ્ર ,Angular Center
Select An Anganwadi center,આંગણવાડી કેન્દ્ર પસંદ કરો,Select the center of the week
Create Ticket,ટીકિટનું સર્જન કરો,Can not open message
Reset,રિસેટ,Recet
Can App be accessed without internet?,શું આ એપ્લિકેશનને ઇન્ટરનેટ વિના ચલાવી શકાય છે?,Can you run this application without the Internet?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.","ના, એપ્લિકેશન માન્ય ઇન્ટરનેટ કનેક્શન વિના કાર્ય કરશે નહીં.","No, applications will not work without a valid Internet connection."
Who are the target userbase of Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનના લક્ષ્ય વપરાશકર્તા આધાર કોણ છે?,Who is the target user on the human tracker application?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.","ફોર્મમાં લાભાર્થીઓનો ડેટા દાખલ કરવા માટે પોષણ ટ્રેકર એપ્લિકેશન, આંગણવાડી કાર્યકરો, આંગણવાડી કેન્દ્રો માટે છે. તે સામાન્ય લોકો માટે બિલકુલ વિકસિત નથી.","The human-tracker application to enter laboratory data in the form is for software operators, software centres. It is not developed for general people."
How to Login in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં પ્રવેશ કરો કેવી રીતે કરવું?,How can you log in to human tracker application?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","આંગણ વાડી કાર્યકરોને લૉગિન સ્ક્રીન પર તેમનો મોબાઇલ નંબર દાખલ કરવા માટે વિનંતી કરવામાં આવે છે. તમારા નોંધાવેલ મોબાઇલ નંબર પર એક ઓટીપી મોકલવામાં આવશે, ત્યાર પછી કે તમને એમપિન સેટ કરવું પડશે.","Users are asked to enter their mobile number on the login screen. A print on your registered mobile number will be sent, after which you will have to set up an EMP."
What is  MPIN?,એમપિન એટલે શું?,What is Empin?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"એમપિન એ 4 અંકનો પાસકોડ છે, જે પોષણ ટ્રેકર એપ પર નોંધણી કરતી વખતે આંગણવાડી કાર્યકર દ્વારા સેટ કરવામાં આવે છે.",Empine is a 4-digit password that is set by a provider when recording a human tracker app.
How to set MPIN?,એમપિન કેવી રીતે સેટ કરવું?,How Can I Set a Good Example?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","સંબંધિત આંગણવાડી કાર્યકરના મોબાઇલ નંબર પર ઓટીપીની વિનંતી કરીને, તેમના દ્વારા એમપિન સેટ કરી શકાય છે. જો મોબાઇલ નંબર ડેટાબેસમાં પહેલેથી હાજર હશે, તો સંબંધિત આંગણવાડી વ્યક્તિ નોંધાયેલા મોબાઇલ નંબર પર 4 અંકનો ઓટીપી મેળવશે. ઓટીપી દાખલ કર્યા પછી, આંગણવાડી કાર્યકર સરળતાથી કસ્ટમાઇઝ્ડ એમપિન સેટ કરી શકે છે.","By requesting an officiating agent's mobile number, an amplifier can be set by him. If the mobile number is already present in the database, the associated person will get 4 numbers off the registered mobile phone number. Once an officiating agent is entered, a custom amplifier can easily set up the amplifier."
When and how to use MPIN?,એમપિનનો ઉપયોગ ક્યારે અને કેવી રીતે કરવો?,When and how to use the amphibian?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","પોષણ ટ્રેકર એપ્લિકેશન પર લૉગિન કરતાં સમયે, કાર્યકરોને તેમના દ્વારા સેટ કરેલ એમપિન દાખલ કરવો જરૂરી છે. આ એમપિન પોષણ ટ્રેકર એપ્લિકેશન ચલાવવા અને લાભાર્થીઓના ફોર્મમાં માહિતી દાખલ કરવા માટે પાસકોડ તરીકે કાર્ય કરશે.","When logging into a human tracker application, operators need to enter an empien set by it. This will work as a password to run the human tracker application and enter the data into the laboratory form."
How to Reset MPIN?,એમપિન કેવી રીતે ફરીથી સેટ કરવું?,How Can I Reset Empion?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",એમપિનને કોઈપણ વપરાશકર્તા જેમ કે આંગણવાડી કાર્યકર/ આંગણવાડી કેન્દ્રો દ્વારા સરળતાથી ફરીથી સેટ કરી શકાય છે. તમારે ફરગોટ એમપિન પર ક્લિક કરવાની જરૂર છે અને તમારો નોંધાયેલ મોબાઇલ નંબર દાખલ કરવો પડશે. તમે તમારા નોંધાયેલા મોબાઈલ નંબર પર ઓટીપી પ્રાપ્ત થશે અને તમે તમારો એમપિન સરળતાથી ફરીથી સેટ કરી શકો છો.,Empine can easily be reset by any user such as the admin/ admin center. You need to click on the fargot empin and enter your registered mobile number. You will be able to access your registered mobile number and you will be able to reset your empione easily.
In How many languages the Poshan Tracker App is available?,પોષણ ટ્રેકર એપ્લિકેશન કેટલી ભાષાઓમાં ઉપલબ્ધ છે?,How many languages has the human tracker been available?
Poshan Tracker App is available in 22 different languages,પોષણ ટ્રેકર એપ્લિકેશન 22 વિવિધ ભાષાઓમાં ઉપલબ્ધ છે.,The human tracker is available in 22 different languages.
The various languages available are:,ઉપલબ્ધ વિવિધ ભાષાઓ છે:,Available in various languages:
English,અંગ્રેજી,English
Hindi,હિન્દી,Hindi
Gujarati,ગુજરાતી,Gujarati
Punjabi,પંજાબી,Punjabi
Marathi,મરાઠી,Tuesday
Bangla,બાંગ્લા,Bangla
Kannada,કન્નડ,"CandaceCity in New Hampshire, United States"
Tamil,તમિળ,Temil
Telugu,તેલુગુ,Velugu
Malyalam,મલયાલમ,Malayalam
Odia,ઓડિયા,Audio
Assamese,આસામી,Asami
In how many languages AWW can enter the data while filling up the form?,આંગણવાડી કાર્યકર અથવા કેન્દ્ર ફોર્મ ભરતી વખતે કેટલી ભાષાઓમાં ડેટા દાખલ કરી શકે છે?,"In what other languages can data be entered when the donor receives a donation, or receives a contribution made by specifying an entity used by Jehovah’s Witnesses as the beneficiary of a life insurance policy or a retirement / pension plan? The brochure was written to provide information on a variety of ways that gifts may be made now or later, such as through a bequest at death."
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,આંગણવાડી કાર્યકર ફક્ત અંગ્રેજી ભાષામાં જ ફોર્મ ભરી શકે છે.,A gifted worker can only fill in the form of an English - language brochure.
How many different forms are there in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં કેટલા વિવિધ ફોર્મ આપેલા છે?,How many different formats have been used in the application?
There are 7 different types of forms for beneficiaries. This includes:,લાભાર્થીઓ માટે 7 વિવિધ પ્રકારનાં ફોર્મ છે. જેમાં શામેલ છે:,There are 7 different types of shapes for lasers. They contain Samuel:
Lactating mother,સ્તનપાન કરાવતી માતા,Mothers who are breast - feeding
Pregnant women,સગર્ભા સ્ત્રીઓ,Difficulty Women
Child 0-6 Months,બાળક 0-6 મહિના,Child 0-6 months
Child 6 Months to 3 Years,બાળક 6 મહિનાથી 3 વર્ષ,Children 6 months from 3 years of age
Child  3 Years to 6 Years,બાળક 3 વર્ષથી 6 વર્ષ,Child 3 From 6 Years of Age
Adolescent Girls (11 Years-19 Years),કિશોરવયની છોકરીઓ (11 વર્ષ -19 વર્ષ),Kisherawa girls (11 years-19 years old)
What information to be added in AWC forms?,આંગણવાડી કેન્દ્ર ફોર્મમાં કઈ માહિતી ઉમેરવાની છે?,What data should be added to the afternoon center format?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","આંગણવાડી કાર્યકરોને, એક ચોક્કસ આંગણવાડી કેન્દ્રમાં હાજર માળખા સાથે સંબંધિત વિગતો દાખલ કરવી જરૂરી છે. આમાં માળખું, પાયાની સુવિધાઓ, સગવડો, સ્વચ્છતા, પીવાનું પાણી વગેરે શામેલ છે.","The workers need to enter the details related to the table at a specific meeting centre. This includes water, soil, soil, soil, soil, soil, and water without water."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,જો આંગણવાડી કાર્યકરો તેમના મોબાઇલ નંબર દ્વારા નોંધણી કરવામાં અસમર્થ હોય તો એપ્લિકેશન પર કેવી રીતે સાઇન અપ કરી શકે છે?,How can you sign up for the application if your mobile phone is unable to record it?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,"જો આંગણવાડી કાર્યકરો પોતાણી નોંધણી કરવામાં અસફળ થાય, તો તેની 2 શક્યતાઓ હોઈ શકે છે:","If the account operators failed to register themselves, there may be 2 possibilities:"
Their mobile number is not present in the data provided by the states to the MoWCD,એમઓડબ્લ્યુસીડીને રાજ્યો દ્વારા પ્રદાન કરવામાં આવેલા ડેટામાં તેમનો મોબાઇલ નંબર હાજર નથી.,He does not have his cell phone number in the data provided by the government.
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,તેઓ સિસ્ટમમાં નવા ઉમેરાયા છે અને તેમનો મોબાઈલ નંબર રાજ્ય સેલ દ્વારા એમઓડબ્લ્યુસીડીને હજી પ્રદાન કરવામાં આવ્યો નથી.,They have added new ones to the system and have not yet been given the amodyblusid by their cell phone number.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,ઉપરોક્ત બંને કેસોમાં રાજ્ય નોડલ અધિકારીઓને કોઈપણ આંગણવાડી કાર્યકરને ઉમેરવા / સંપાદન / સક્રિય / નિષ્ક્રિય કરવા માટે સત્તા આપવામાં આવી છે.,"In both cases used, the State Nodal authorities have been authorized to add/edit/activation/activation to any proxy agent."
How can one access Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડને કેવી રીતે ચલાવી શકાય છે?,How can a human tracker run on board?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ડેશબોર્ડ પર સાઇન ઇન કરીને પોષણ ટ્રેકર ડેશબોર્ડ ને ચલાવી શકાય છે. ,A human-tracker can be run by signing on the desktop.
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," લિંક પર ક્લિક કરીને ડેશબોર્ડને ચલાવી શકાય છે. રાષ્ટ્રીય, રાજ્ય, જિલ્લા, પરિકલ્પના અને ડેશબોર્ડને ચલાવવા માટે સેક્ટર કક્ષાના નોડલ કક્ષાના નામાંકિત અધિકારીઓને જ અનન્ય પ્રમાણપત્ર આપવામાં આવે છે.","You can run the desktop by clicking on the link. To run the national, Kingdom, Gilla, Pericle and Desktop, the sector's Nodal Room is provided with a different certificate."
How one can add AWW/AWCs?,આંગણવાડી કાર્યકરોને/આંગણવાડી કેન્દ્રોને કેવી રીતે ઉમેરી શકાય છે?,How can I add week staff/week centres?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"આંગણવાડી કાર્યકરો/આંગણવાડી કેન્દ્રોને ફક્ત નોડલ કક્ષાના અધિકારી દ્વારા ઉમેરી શકાય છે. વંશવેલોમાં ઉપરના ભાગમાં જણાવેલ કોઈપણ અધિકારી. રાષ્ટ્રીય કક્ષાનો વપરાશકર્તા રાજ્ય, જિલ્લા, પરિયોજના અને ખંડ કક્ષાના વપરાશકર્તા બનાવી શકે છે. રાજ્ય કક્ષાનો વપરાશકર્તા જિલ્લા, પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે. જિલ્લા કક્ષાનો વપરાશકર્તા પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે. પરિયોજના કક્ષાનો વપરાશકર્તા, ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે.","The abbreviation centres can only be added by the power of nodal cells. Any authority mentioned above in the calculations can be created by the national cell users, the government, the gela, the period and the division of cells. The use of the cell cells can be defined as the user of the cell process and the distribution of cells."
How many different types of reports can be generated over Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડ પર કેટલા વિવિધ પ્રકારનાં અહેવાલો ઉત્પન્ન થઈ શકે છે?,How many different types of accounts could there be on the human tracker?
There are various reports that can be generated from,એપમાંથી વિવિધ અહેવાલો પેદા કરી શકાય છે,Various reports from the app can be produced
General Reports:,સામાન્ય અહેવાલો:,General reports:
Number of app  downloads,એપ્લિકેશન ડાઉનલોડની સંખ્યા,Number of applications downloaded
Total number of Anganwadi centers registered,નોંધાયેલ આંગણવાડી કેન્દ્રોણી સંખ્યા,The number of decimal places that are registered
Total number of beneficiaries registered (National/state/district/block wise),નોંધાયેલા કુલ લાભાર્થીઓની સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા /ખંડ),Number of registered total numbers (national / Kingdom / Gill/Kond)
Total Number of pregnant women registered(National/state/district/block wise),નોંધાયેલ સગર્ભા સ્ત્રીઓની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ),Total number of registered pregnant women (national / Kingdom / Gilla / District)
Total Number of  lactating mothers registered(National/state/district/block wise),નોંધાયેલ સ્તનપાન કરાવતી માતાની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ),Total number of registered step-by-step mothers (national / Kingdom / Gill / broken)
Total Number of children (0-6months) registered(National/state/district/block wise),નોંધાયેલા બાળકોની કુલ સંખ્યા (0-6 મહિના) (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ),Total number of registered children (0-6 months)
Total Number of children (6months-3years) registered(National/state/district/ block wise),નોંધાયેલ કુલ બાળકોની સંખ્યા (6 મહિના -3 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ),Number of registered total children (6 months - 3 years) registered (national / Kingdom / Gilla / District)
Total Number of children (3-6years) registered(National/state/district/ block wise),કુલ બાળકોની સંખ્યા (3-6 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ),Total number of children (3-6 years) registered (national / Kingdom / Gill / District)
Maternal and child nutrition:,માતા અને બાળકનું પોષણ:,Questions for Parents and Children:
How many beneficiaries got THR in 21 days,21 દિવસમાં કેટલા લાભાર્થીઓને ટી.એચ.આર. મળી?,"On the 21st day of the month, how many people visited the Kingdom Hall?"
How many children breastfed exclusively in the first hour after delivery,ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?,"How many children were rewarded in the first hour, especially after the delivery?"
How many lactating mothers are given HCM,કેટલી સ્તનપાન કરાવતી માતાને એચસીએમ આપવામાં આવે છે?,How many stepfamilies are given to a mother?
Average level of calcium in children aged 3-6 years,ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?,"How many children were rewarded in the first hour, especially after the delivery?"
Average level of iron in children aged 3-6years,3-6 વર્ષનાં બાળકોમાં કેલ્શિયમનું સરેરાશ કક્ષાએ,The average room of calcium in children between 3 and 6 years of age
"Total number of vaccinations administered per month (block, district, state, national level)",3-6 વર્ષનાં બાળકોમાં લોહતત્વનું સરેરાશ કક્ષાએ,The average room in children between 3 and 6 years of age
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,દર મહિને વહીવટ કરેલ રસીની ચોક્કસ રીપોર્ટ (બીસીજી / ઓપીવી / હેપેટાઇટિસ બી / રોટાવાયરસ / પોલિયો / ન્યુમોકોકલ / પેન્ટાવેલેન્ટ),Specific report of the month-on-monthly infected rice (Bisiji / Opivia / Hepatitis B / Rotawaters / Polio / Neumococal / Pentavelent)
AWC infrastructure:,આંગણવાડી કેન્દ્રનું માળખું :,Moon of the center of Thursday:
"Number of AWCs (block, district, state, national level)","આંગણવાડીઓની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)","Total number of weeks (range, calendar, government, national rooms)"
"Total number of Balvatikas (block district, state, national level)","બાલવટિકાઓની કુલ સંખ્યા (ખંડ જિલ્લો, રાજ્ય, રાષ્ટ્રીય કક્ષા)","Total number of balveticas (Frontery Hills, Kingdom Hall, National Park)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","પીવાના શુધ્ધ પાણી સાથે આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)","The total number of Saturday centers with drinking water (part, gela, state, national rooms)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","કાર્યકારી વજનના ધોરણ સાથે આંગણવાડીઓણી કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)","The total number of weeks with the worker's weight (part, gela, state, national rooms)"
"Total number of AWCs (block, district, state, national level) with electricity","વીજળીણી સુવિધા વાળા આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)","Total number of windscreen power stations (part, gela, state, national room)"
Total number of AWCs that are government owned,સરકારની માલિકીની હોય એવા આંગણવાડી કેન્દ્રોની કુલ સંખ્યા,Total number of centers owned by government
Total number of AWCs that are privately owned,ખાનગી માલિકીની છે એવા આંગણવાડી કેન્દ્રો ની કુલ સંખ્યા,The total number of decimal places that a private owner has
How to contact Poshan Tracker Team?,પોષણ ટ્રેકર ટીમનો સંપર્ક કેવી રીતે કરવો?,How can you contact a human tracker team?
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in પર ઇમેઇલ મોકલીને પોષણ ટ્રેકર ટીમનો સંપર્ક કરી શકાય છે. હેન્ડહોલ્ડિંગ અને સહકાર માટે અમે દરરોજ બપોરે 4:15 થી સાંજના 5:15 વાગ્યા સુધી કોન્ફરન્સ દ્વારા પણ ઉપલબ્ધ છીએ.,You can contact the human tracker team on support-posthantrackr@gov.in by email. We are also available at the conference from 4:15 p.m. to play from 4:15 p.m. to the conference.
What is Poshan Calculator,પોષણ કેલ્ક્યુલેટર શું છે,What is a human calculator?
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,પોશન કેલ્ક્યુલેટર વર્લ્ડ હેલ્થ ઓર્ગેનાઈઝેશન (ડબ્લ્યુએચઓ) ના ધોરણો અનુસાર બાળકની વિવિધ આરોગ્ય સ્થિતિઓને ઓળખવામાં મદદ કરે છે.,The Poison Calculator World Health Organization (Dubloach)’s standards help to identify different health conditions of the child.
WHO standards are :,WHO ધોરણો છે :,WHO comments:
Stunting ( Height for Age)- ,સ્ટંટીંગ (ઉમર માટે ઊંચાઈ)- ,Stinging (height for height)-
0 months to 6 years,0 મહિનાથી 6 વર્ષ,0 months from 6 years
Severely Stunted,ગંભીરપણે અવિકસીત,Deep Teeth
Moderately stunted,સાધારણ સ્ટંટેડ,Simultaneously standing
Normal,સામાન્ય,General
Underweight (Weight for Age)- ,ઓછું વજન (ઉંમર માટે વજન)- ,Low gain (higher weight):
Severely Underweight,ગંભીર રીતે ઓછું વજન,At least one step at a time can be very serious.
Moderately Underweight,મધ્યમ પ્રમાણમાં કુપોષણ,Average capacity:
Wasting (Weight for Height)- ,બગાડ (ઉંચાઈ માટે વજન)- ,Bug (high weight for height)-
0 months to 5 years,0 મહિનાથી 5 વર્ષ,0 months from 5 years
Severely Wasted (SAM),ગંભીર રીતે વેડફાઇ ગયેલ (SAM),Deep Tealed (SAM)
Moderately Wasted (MAM),સાધારણ બગાડ (MAM),Software Bug (MAM)
Overweight,વધારે વજન,More Weight
Obese,મેદસ્વી,Medswie
Above standards are defined as per given above mentioned age brackets,ઉપરોક્ત ધોરણો ઉપર દર્શાવેલ વય કૌંસ મુજબ વ્યાખ્યાયિત કરવામાં આવે છે,Specifies the behaviour of the arrow that is shown above the gears used
About Reference tables,સંદર્ભ કોષ્ટકો વિશે,About Reference Tables
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,WHO મલ્ટિસેન્ટર ગ્રોથ રેફરન્સ સ્ટડી (MGRS) 1997 અને 2003 ની વચ્ચે વિશ્વભરમાં શિશુઓ અને નાના બાળકોની વૃદ્ધિ અને વિકાસનું મૂલ્યાંકન કરવા માટે નવા વૃદ્ધિ વળાંકો પેદા કરવા માટે હાથ ધરવામાં આવ્યું હતું.,The WHO Multicenter Groth Reference Studies (MGRS) between 1997 and 2003 were helping to produce new age indicators to evaluate the age and development of children and young children in the world.
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).","MGRS એ વ્યાપકપણે વિવિધ વંશીય પૃષ્ઠભૂમિ અને સાંસ્કૃતિક સેટિંગ્સ (બ્રાઝિલ, ઘાના, ભારત, નોર્વે, ઓમાન અને યુએસએ) ના આશરે 8500 બાળકો પાસેથી પ્રાથમિક વૃદ્ધિ ડેટા અને સંબંધિત માહિતી એકત્રિત કરી.","MGRS has widely collected basic data and related data from nearly 8500 children from various ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman, and USA)."
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,નવા વૃદ્ધિ વળાંકો એક આંતરરાષ્ટ્રીય ધોરણ પ્રદાન કરે તેવી અપેક્ષા છે જે જન્મથી પાંચ વર્ષ સુધીના તમામ બાળકો માટે શારીરિક વૃદ્ધિનું શ્રેષ્ઠ વર્ણન રજૂ કરે છે અને સ્તનપાન કરાવતા શિશુને વૃદ્ધિ અને વિકાસ માટે આદર્શ મોડેલ તરીકે સ્થાપિત કરે છે.,A new age is expected to provide an international dimension that represents the best description of physical age for your children from birth to five years of age and sets the child’s praise as an example for age and development.
How to revive your Health?,તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું?,How Would You Answer? • How can we show that we are living in “the last days ”?
How to revive your health if you are Severely Wasted (SAM),જો તમે ગંભીર રીતે અશક્ત હોવ તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું (SAM),"If you're ever lost and alone in the woods, hug a tree"
How to revive your health if you are Moderately Wasted (MAM),જો તમે સાધારણ રીતે અશક્ત હોવ તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું (MAM),If you are not sure how to restore your property in a normal way (MAM)
How to revive your health if you are Underweight,જો તમારું વજન ઓછું હોય તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું,"If your income is low, how will your family be restored?"
Check Ticket Status,ટિકિટ સ્ટેટસ તપાસો,Check ticket states
Please provide your mobile number and a ticket number.,કૃપા કરીને તમારો મોબાઈલ નંબર અને ટિકિટ નંબર આપો.,Please enter your mobile number and label number.
Mobile ,મોબાઈલ ,Mobile
Ticket Number ,ટિકિટ નંબર ,Ticked number
View Ticket,ટિકિટ જુઓ,View Label
"If this is your first time contacting us or you've lost the ticket number, please ","જો તમે અમારો સંપર્ક કરી રહ્યા હોવ અથવા તમે ટિકિટ નંબર ગુમાવી દીધો હોય, તો કૃપા ","Please if you are contacting us or you have lost the number of tickets, please"
open a new ticket,કરીને નવી ટિકિટ ખોલો,Open a new tag
"No, Poshan Tracker is available only for Android version",શું પોષણ ટ્રેક્સ એપ્લિકેશન એપલ આઇ સ્ટોર ઉપર પણ ઉપલબ્ધ છે?,Is mankind’s track application also available on II store?
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,"સ્વાગત છે! નીચે આપેલ સેવાની શરતો (""શરતો"") છે જે ","Welcome! The following service conditions (""conditions"") are"
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”)."," પર હોસ્ટ કરેલા પોશન ટ્રેકર પ્લેટફોર્મના તમારા ઉપયોગને નિયંત્રિત કરે છે, અને લિંક કરેલી બધી સંબંધિત સાઇટ્સ તેને, તેની પેટાકંપનીઓ અને આનુષંગિકો (સામૂહિક રીતે, ""સાઇટ"").","Controls your use of the above-hosted poster platform, and all related sites connected to it, its archived and human rights (typically ""site"")."
I. OWNERSHIP,I. માલિકી,I. Owner
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","સાઇટ અને તમામ ડેટા, ટેક્સ્ટ, ડિઝાઇન, પૃષ્ઠો, પ્રિન્ટ સ્ક્રીન, છબીઓ, આર્ટવર્ક, ફોટોગ્રાફ્સ, ઑડિઓ અને વિડિયો ક્લિપ્સ, HTML કોડ, સ્રોત કોડ, અથવા સૉફ્ટવેર કે જે સાઇટ પર રહે છે અથવા જોઈ શકાય છે અથવા અન્યથા શોધી શકાય છે, અને બધા સહભાગીઓ બુક થયા છે. સાઇટ પરથી, (સામૂહિક રીતે, ""માહિતી"" તરીકે ઓળખવામાં આવે છે) મહિલા અને બાળ વિકાસ મંત્રાલય અને તેમના અધિકૃત સેવા પ્રદાતાઓની માલિકીની છે.","The site and your data, text, design, pages, print screens, printouts, artwork, photos, audio and video clips, HTML code, source code, or software that is available or visible on this site, and all its participants have been booked. (Totally known as ""information"") are the oldest and most popular child development conferences and their authorised service providers."
II. CONSENT,II. સંમતિ,II. Consistency
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","અમારી પ્રાઇવસી પોલિસી, ઓપન API નીતિ અને અન્ય કોઈપણ નીતિઓ, નિયમો અથવા માર્ગદર્શિકા જે સાઇટ પરની ચોક્કસ ઑફર્સ અથવા સુવિધાઓને લાગુ પડી શકે છે તે આ શરતોમાં સમાવિષ્ટ છે. સાઇટની મુલાકાત લઈને અથવા તેનો ઉપયોગ કરીને, તમે સ્પષ્ટપણે આ શરતો સાથે સંમત થાઓ છો, જેમ કે સમય સમય પર અપડેટ કરવામાં આવે છે.","These conditions include our personal policies, open API rules and any other rules, rules or guidelines that may apply to specific offers or solutions on a site. By visiting or using a site, you are specifically agreeing with these conditions, as if updated on time."
