en,gu
Support,મદદ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો
Powered By,Powered By
About,વિશે
Resources,સંસાધનો
Dashboard,ડેશબોર્ડ
Helpdesk,હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Terms of Service,સેવાની શરતો
Privacy Policy,પ્રાઇવસી પોલિસી
Careers,કારકિર્દ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
About,વિશે
Resources,સંસાધનો
Resources,સંસાધનો
Vaccination Schedule,રસીકરણ શેડ્યૂલ
Dashboard,ડેશબોર્ડ
Dashboard,ડેશબોર્ડ
Mission Utkarsh,Mission Utkarsh
Helpdesk,હેલ્પડેસ્ક
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ
State Helpdesk,રાજ્ય હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ
Login,પ્રવેશ
Login to your account,તમારા અકાઉન્ટમાં લોગઈન
User Name ,યુઝર નેમ 
*,*
Password ,પાસવર્ડ 
*,*
Login,લોગઈન
Support,મદદ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો
Powered By,Powered By
About,વિશે
Resources,સંસાધનો
Dashboard,ડેશબોર્ડ
Helpdesk,હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Terms of Service,સેવાની શરતો
Privacy Policy,પ્રાઇવસી પોલિસી
Careers,કારકિર્દ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
About,વિશે
Resources,સંસાધનો
Resources,સંસાધનો
Vaccination Schedule,રસીકરણ શેડ્યૂલ
Dashboard,ડેશબોર્ડ
Dashboard,ડેશબોર્ડ
Mission Utkarsh,Mission Utkarsh
Helpdesk,હેલ્પડેસ્ક
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ
State Helpdesk,રાજ્ય હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ
Login,પ્રવેશ
OPEN A NEW TICKET,નવી ટિકિટ ખોલો
CHECK TICKET STATUS,ટિકિટની સ્થિતિ તપાસો
Create a New Ticket,નવી ટિકિટ બનાવો
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,નવી ટિકિટ બનાવવા માટે કૃપા કરીને નીચેનું ફોર્મ ભરો. આંગણવાડી કાર્યકર 48 કલાકની અંદર તમારો સંપર્ક કરશે..
Beneficiary Category ,લાભાર્થી શ્રેણી 
*,*
Select a Beneficiary Category,બેનિફિશિયરી કેટેગરી પસંદ કરો
Pregnant Women,સ્ત્રીઓ નોંધણી
Lactating Mothers,સ્તનપાન કરાવતી માતાઓ
Children (0-6 months),બાળકો (0-6 મહિના)
Children (6 months - 3 years),બાળકો (6 મહિના-3 વર્ષ)
Children (3 - 6 years),બાળકો (3-6 વર્ષ)
Adolescent Girls,Adolescent Girls
Query Related to ,થી સંબંધિત પ્રશ્ન 
*,*
Select Query Related to,સાથે સંબંધિત ક્વેરીની પસંદગી કરો
AWW/AWC,AWW/AWC
Supervisor,નિરીક્ષક
Help Topic ,મદદ વિષય 
*,*
Select a Help Topic,Select a Help Topic
Description ,વર્ણન 
*,*
Select a Description,વર્ણનની પસંદગી કરો
Name ,નામ 
*,*
Mobile Number ,મોબાઇલ નંબર 
*,*
Email,ઇમેઇલ
Having difficulty raising ticket?,ટિકિટ બનાવવામાં મુશ્કેલી પડી રહી છે?
Poshan Helpline,Poshan Helpline
14408,14408
Email,ઇમેઇલ
support-poshantrackr@gov.in,support-poshantrackr@gov.in
By District,જિલ્લા દ્વારા
State ,રાજ્ય 
*,*
Select State,સ્થિતિ પસંદ કરો
District ,જિલ્લો 
*,*
Select District,જિલ્લો પસંદ કરો
Project ,પ્રોજેક્ટ 
*,*
Select Project,પ્રોજેક્ટ પસંદ કરો
Sector ,સેક્ટર (ક્ષેત્ર) 
*,*
Select Sector,સેક્ટર (ક્ષેત્ર)ની પસંદગી કરો
Anganwadi Center ,આંગણવાડી કેન્દ્ર 
*,*
Select An Anganwadi center,આંગણવાડી કેન્દ્ર પસંદ કરો
Create Ticket,ટીકિટનું સર્જન કરો
Reset,રિસેટ
Support,મદદ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો
Powered By,Powered By
About,વિશે
Resources,સંસાધનો
Dashboard,ડેશબોર્ડ
Helpdesk,હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Terms of Service,સેવાની શરતો
Privacy Policy,પ્રાઇવસી પોલિસી
Careers,કારકિર્દ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
About,વિશે
Resources,સંસાધનો
Resources,સંસાધનો
Vaccination Schedule,રસીકરણ શેડ્યૂલ
Dashboard,ડેશબોર્ડ
Dashboard,ડેશબોર્ડ
Mission Utkarsh,Mission Utkarsh
Helpdesk,હેલ્પડેસ્ક
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ
State Helpdesk,રાજ્ય હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ
Login,પ્રવેશ
Frequently Asked Questions,વારંવાર પૂછાતા પ્રશ્નો
ALL,બધા
BENEFICIARY REGISTRATION,લાભાર્થી નોંધણી
Take Home Ration,ઘરે રાશન લો
Hot Cooked Meal,ગરમ રાંધેલું ભોજન
What is Poshan Abhiyaan?,પોશણ અભિયાન એટલે શું?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે."
What is the purpose of Launching Poshan Tracker?,પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","પોશણ ટ્રેકર એપ્લિકેશનનો હેતુ આંગણવાડી કેન્દ્ર (એડબ્લ્યુસી) ની પ્રવૃત્તિઓ, આંગણવાડી કામદારો (એડબ્લ્યુડબ્લ્યુ) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી સંચાલનનો 360 ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે. સૂચિત સિસ્ટમમાં બધા આંગણવાડી કેન્દ્રો, આંગણવાડી કામદારો અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ."
How can one Download Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?
Poshan Tracker App is available over Google playstore ,પોષણ ટ્રેકર એપ્લિકેશન ગૂગલ પ્લે સ્ટોર 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?, પર ઉપલબ્ધ છે.
"No, Poshan Tracker is available only for Android version","ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે."
What is the minimum requirement to install Poshan Tracker App in mobile?,મોબાઈલમાં પોષણ ટ્રેકર એપ ઇન્સ્ટોલ કરવા માટે ન્યૂનતમ આવશ્યકતા શું છે?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.
Can App be accessed without internet?,શું આ એપ્લિકેશનને ઇન્ટરનેટ વિના ચલાવી શકાય છે?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.","ના, એપ્લિકેશન માન્ય ઇન્ટરનેટ કનેક્શન વિના કાર્ય કરશે નહીં."
Who are the target userbase of Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનના લક્ષ્ય વપરાશકર્તા આધાર કોણ છે?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.","ફોર્મમાં લાભાર્થીઓનો ડેટા દાખલ કરવા માટે પોષણ ટ્રેકર એપ્લિકેશન, આંગણવાડી કાર્યકરો, આંગણવાડી કેન્દ્રો માટે છે. તે સામાન્ય લોકો માટે બિલકુલ વિકસિત નથી."
How to Login in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં પ્રવેશ કરો કેવી રીતે કરવું?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","આંગણ વાડી કાર્યકરોને લૉગિન સ્ક્રીન પર તેમનો મોબાઇલ નંબર દાખલ કરવા માટે વિનંતી કરવામાં આવે છે. તમારા નોંધાવેલ મોબાઇલ નંબર પર એક ઓટીપી મોકલવામાં આવશે, ત્યાર પછી કે તમને એમપિન સેટ કરવું પડશે."
What is  MPIN?,એમપિન એટલે શું?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"એમપિન એ 4 અંકનો પાસકોડ છે, જે પોષણ ટ્રેકર એપ પર નોંધણી કરતી વખતે આંગણવાડી કાર્યકર દ્વારા સેટ કરવામાં આવે છે."
How to set MPIN?,એમપિન કેવી રીતે સેટ કરવું?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","સંબંધિત આંગણવાડી કાર્યકરના મોબાઇલ નંબર પર ઓટીપીની વિનંતી કરીને, તેમના દ્વારા એમપિન સેટ કરી શકાય છે. જો મોબાઇલ નંબર ડેટાબેસમાં પહેલેથી હાજર હશે, તો સંબંધિત આંગણવાડી વ્યક્તિ નોંધાયેલા મોબાઇલ નંબર પર 4 અંકનો ઓટીપી મેળવશે. ઓટીપી દાખલ કર્યા પછી, આંગણવાડી કાર્યકર સરળતાથી કસ્ટમાઇઝ્ડ એમપિન સેટ કરી શકે છે."
When and how to use MPIN?,એમપિનનો ઉપયોગ ક્યારે અને કેવી રીતે કરવો?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","પોષણ ટ્રેકર એપ્લિકેશન પર લૉગિન કરતાં સમયે, કાર્યકરોને તેમના દ્વારા સેટ કરેલ એમપિન દાખલ કરવો જરૂરી છે. આ એમપિન પોષણ ટ્રેકર એપ્લિકેશન ચલાવવા અને લાભાર્થીઓના ફોર્મમાં માહિતી દાખલ કરવા માટે પાસકોડ તરીકે કાર્ય કરશે."
How to Reset MPIN?,એમપિન કેવી રીતે ફરીથી સેટ કરવું?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",એમપિનને કોઈપણ વપરાશકર્તા જેમ કે આંગણવાડી કાર્યકર/ આંગણવાડી કેન્દ્રો દ્વારા સરળતાથી ફરીથી સેટ કરી શકાય છે. તમારે ફરગોટ એમપિન પર ક્લિક કરવાની જરૂર છે અને તમારો નોંધાયેલ મોબાઇલ નંબર દાખલ કરવો પડશે. તમે તમારા નોંધાયેલા મોબાઈલ નંબર પર ઓટીપી પ્રાપ્ત થશે અને તમે તમારો એમપિન સરળતાથી ફરીથી સેટ કરી શકો છો.
In How many languages the Poshan Tracker App is available?,પોષણ ટ્રેકર એપ્લિકેશન કેટલી ભાષાઓમાં ઉપલબ્ધ છે?
Poshan Tracker App is available in 22 different languages,પોષણ ટ્રેકર એપ્લિકેશન 22 વિવિધ ભાષાઓમાં ઉપલબ્ધ છે.
The various languages available are:,ઉપલબ્ધ વિવિધ ભાષાઓ છે:
English,અંગ્રેજી
Hindi,હિન્દી
Gujarati,ગુજરાતી
Punjabi,પંજાબી
Marathi,મરાઠી
Bangla,બાંગ્લા
Kannada,કન્નડ
Tamil,તમિળ
Telugu,તેલુગુ
Malyalam,મલયાલમ
Odia,ઓડિયા
Assamese,આસામી
In how many languages AWW can enter the data while filling up the form?,આંગણવાડી કાર્યકર અથવા કેન્દ્ર ફોર્મ ભરતી વખતે કેટલી ભાષાઓમાં ડેટા દાખલ કરી શકે છે?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,આંગણવાડી કાર્યકર ફક્ત અંગ્રેજી ભાષામાં જ ફોર્મ ભરી શકે છે.
How many different forms are there in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં કેટલા વિવિધ ફોર્મ આપેલા છે?
There are 7 different types of forms for beneficiaries. This includes:,લાભાર્થીઓ માટે 7 વિવિધ પ્રકારનાં ફોર્મ છે. જેમાં શામેલ છે:
Lactating mother,સ્તનપાન કરાવતી માતા
Pregnant women,સગર્ભા સ્ત્રીઓ
Child 0-6 Months,બાળક 0-6 મહિના
Child 6 Months to 3 Years,બાળક 6 મહિનાથી 3 વર્ષ
Child  3 Years to 6 Years,બાળક 3 વર્ષથી 6 વર્ષ
Adolescent Girls (11 Years-19 Years),કિશોરવયની છોકરીઓ (11 વર્ષ -19 વર્ષ)
What information to be added in AWC forms?,આંગણવાડી કેન્દ્ર ફોર્મમાં કઈ માહિતી ઉમેરવાની છે?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","આંગણવાડી કાર્યકરોને, એક ચોક્કસ આંગણવાડી કેન્દ્રમાં હાજર માળખા સાથે સંબંધિત વિગતો દાખલ કરવી જરૂરી છે. આમાં માળખું, પાયાની સુવિધાઓ, સગવડો, સ્વચ્છતા, પીવાનું પાણી વગેરે શામેલ છે."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,જો આંગણવાડી કાર્યકરો તેમના મોબાઇલ નંબર દ્વારા નોંધણી કરવામાં અસમર્થ હોય તો એપ્લિકેશન પર કેવી રીતે સાઇન અપ કરી શકે છે?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,"જો આંગણવાડી કાર્યકરો પોતાણી નોંધણી કરવામાં અસફળ થાય, તો તેની 2 શક્યતાઓ હોઈ શકે છે:"
Their mobile number is not present in the data provided by the states to the MoWCD,એમઓડબ્લ્યુસીડીને રાજ્યો દ્વારા પ્રદાન કરવામાં આવેલા ડેટામાં તેમનો મોબાઇલ નંબર હાજર નથી.
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,તેઓ સિસ્ટમમાં નવા ઉમેરાયા છે અને તેમનો મોબાઈલ નંબર રાજ્ય સેલ દ્વારા એમઓડબ્લ્યુસીડીને હજી પ્રદાન કરવામાં આવ્યો નથી.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,ઉપરોક્ત બંને કેસોમાં રાજ્ય નોડલ અધિકારીઓને કોઈપણ આંગણવાડી કાર્યકરને ઉમેરવા / સંપાદન / સક્રિય / નિષ્ક્રિય કરવા માટે સત્તા આપવામાં આવી છે.
How can one access Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડને કેવી રીતે ચલાવી શકાય છે?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ડેશબોર્ડ પર સાઇન ઇન કરીને પોષણ ટ્રેકર ડેશબોર્ડ ને ચલાવી શકાય છે. 
https://poshantracker.in/admin,https://poshantracker.in/admin
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," લિંક પર ક્લિક કરીને ડેશબોર્ડને ચલાવી શકાય છે. રાષ્ટ્રીય, રાજ્ય, જિલ્લા, પરિકલ્પના અને ડેશબોર્ડને ચલાવવા માટે સેક્ટર કક્ષાના નોડલ કક્ષાના નામાંકિત અધિકારીઓને જ અનન્ય પ્રમાણપત્ર આપવામાં આવે છે."
How one can add AWW/AWCs?,આંગણવાડી કાર્યકરોને/આંગણવાડી કેન્દ્રોને કેવી રીતે ઉમેરી શકાય છે?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"આંગણવાડી કાર્યકરો/આંગણવાડી કેન્દ્રોને ફક્ત નોડલ કક્ષાના અધિકારી દ્વારા ઉમેરી શકાય છે. વંશવેલોમાં ઉપરના ભાગમાં જણાવેલ કોઈપણ અધિકારી. રાષ્ટ્રીય કક્ષાનો વપરાશકર્તા રાજ્ય, જિલ્લા, પરિયોજના અને ખંડ કક્ષાના વપરાશકર્તા બનાવી શકે છે. રાજ્ય કક્ષાનો વપરાશકર્તા જિલ્લા, પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે. જિલ્લા કક્ષાનો વપરાશકર્તા પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે. પરિયોજના કક્ષાનો વપરાશકર્તા, ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે."
How many different types of reports can be generated over Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડ પર કેટલા વિવિધ પ્રકારનાં અહેવાલો ઉત્પન્ન થઈ શકે છે?
There are various reports that can be generated from,એપમાંથી વિવિધ અહેવાલો પેદા કરી શકાય છે
General Reports:,સામાન્ય અહેવાલો:
Number of app  downloads,એપ્લિકેશન ડાઉનલોડની સંખ્યા
Total number of Anganwadi centers registered,નોંધાયેલ આંગણવાડી કેન્દ્રોણી સંખ્યા
Total number of beneficiaries registered (National/state/district/block wise),નોંધાયેલા કુલ લાભાર્થીઓની સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા /ખંડ)
Total Number of pregnant women registered(National/state/district/block wise),નોંધાયેલ સગર્ભા સ્ત્રીઓની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
Total Number of  lactating mothers registered(National/state/district/block wise),નોંધાયેલ સ્તનપાન કરાવતી માતાની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
Total Number of children (0-6months) registered(National/state/district/block wise),નોંધાયેલા બાળકોની કુલ સંખ્યા (0-6 મહિના) (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
Total Number of children (6months-3years) registered(National/state/district/ block wise),નોંધાયેલ કુલ બાળકોની સંખ્યા (6 મહિના -3 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
Total Number of children (3-6years) registered(National/state/district/ block wise),કુલ બાળકોની સંખ્યા (3-6 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
Maternal and child nutrition:,માતા અને બાળકનું પોષણ:
How many beneficiaries got THR in 21 days,21 દિવસમાં કેટલા લાભાર્થીઓને ટી.એચ.આર. મળી?
How many children breastfed exclusively in the first hour after delivery,ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?
How many lactating mothers are given HCM,કેટલી સ્તનપાન કરાવતી માતાને એચસીએમ આપવામાં આવે છે?
Average level of calcium in children aged 3-6 years,ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?
Average level of iron in children aged 3-6years,3-6 વર્ષનાં બાળકોમાં કેલ્શિયમનું સરેરાશ કક્ષાએ
"Total number of vaccinations administered per month (block, district, state, national level)",3-6 વર્ષનાં બાળકોમાં લોહતત્વનું સરેરાશ કક્ષાએ
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,દર મહિને વહીવટ કરેલ રસીની ચોક્કસ રીપોર્ટ (બીસીજી / ઓપીવી / હેપેટાઇટિસ બી / રોટાવાયરસ / પોલિયો / ન્યુમોકોકલ / પેન્ટાવેલેન્ટ)
AWC infrastructure:,આંગણવાડી કેન્દ્રનું માળખું :
"Number of AWCs (block, district, state, national level)","આંગણવાડીઓની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
"Total number of Balvatikas (block district, state, national level)","બાલવટિકાઓની કુલ સંખ્યા (ખંડ જિલ્લો, રાજ્ય, રાષ્ટ્રીય કક્ષા)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","પીવાના શુધ્ધ પાણી સાથે આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","કાર્યકારી વજનના ધોરણ સાથે આંગણવાડીઓણી કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
"Total number of AWCs (block, district, state, national level) with electricity","વીજળીણી સુવિધા વાળા આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
Total number of AWCs that are government owned,સરકારની માલિકીની હોય એવા આંગણવાડી કેન્દ્રોની કુલ સંખ્યા
Total number of AWCs that are privately owned,ખાનગી માલિકીની છે એવા આંગણવાડી કેન્દ્રો ની કુલ સંખ્યા
How to contact Poshan Tracker Team?,પોષણ ટ્રેકર ટીમનો સંપર્ક કેવી રીતે કરવો?
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in પર ઇમેઇલ મોકલીને પોષણ ટ્રેકર ટીમનો સંપર્ક કરી શકાય છે. હેન્ડહોલ્ડિંગ અને સહકાર માટે અમે દરરોજ બપોરે 4:15 થી સાંજના 5:15 વાગ્યા સુધી કોન્ફરન્સ દ્વારા પણ ઉપલબ્ધ છીએ.
Can a beneficiary register directly using application.,શું લાભાર્થી અરજીનો ઉપયોગ કરીને સીધી નોંધણી કરાવી શકે છે.
Currently a beneficiary can register by the help of an AWW,હાલમાં લાભાર્થી AWW ની મદદ દ્વારા નોંધણી કરાવી શકે છે
Who is a beneficiary?,લાભાર્થી કોણ છે?
There are 6 categories for beneficiaries,લાભાર્થીઓ માટે 6 શ્રેણીઓ છે
Pregnant Women,સગર્ભા સ્ત્રીઓ
Lactating Mother,સ્તનપાન કરાવતી માતા
Children from 0 to 6 months,0 થી 6 મહિનાના બાળકો
Children from 6 months to 3 years,6 મહિનાથી 3 વર્ષ સુધીના બાળકો
Children from 3 years to 6 years,3 વર્ષથી 6 વર્ષ સુધીના બાળકો
Adolescent girls,કિશોરવયની છોકરીઓ
Can a beneficiary change his/her AWC?,શું લાભાર્થી તેનું AWC બદલી શકે છે?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW લાભાર્થીને તેમના આધાર નંબરના આધારે એક AWCમાંથી બીજા AWCમાં સ્થાનાંતરિત કરવા માટે 'માઇગ્રેટ બેનિફિશરી' વિકલ્પનો ઉપયોગ કરી શકે છે.
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?
A beneficiary is eligible for THR for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.
Who is eligible for Take Home Ration?,ટેક હોમ રાશન માટે કોણ યોગ્ય છે?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ, 6 મહિનાથી 3 વર્ષ સુધીના બાળકો અને કિશોરીઓ."
Where can I enquire about take home ration?,હોમ રાશન લેવા વિશે હું ક્યાં પૂછપરછ કરી શકું?
Please contact your respective Anganwadi worker.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.
Who is eligible for additional supplementary food.,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?
A beneficiary is eligible for HCM for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.
Who is eligible for Hot Cooked Meal?,ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?
Children in the age group of 3 years to 6 years,3 વર્ષથી 6 વર્ષની વયના બાળકો
Where can I enquire about Hot Cooked Meal?,હું ગરમ ​​રાંધેલા ભોજન વિશે ક્યાં પૂછપરછ કરી શકું?
Please contact your respective Anganwadi Centre.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.
Who is eligible for additional supplementary food?,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.
Support,મદદ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો
Powered By,Powered By
About,વિશે
Resources,સંસાધનો
Dashboard,ડેશબોર્ડ
Helpdesk,હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Terms of Service,સેવાની શરતો
Privacy Policy,પ્રાઇવસી પોલિસી
Careers,કારકિર્દ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
