en,bn
Download PDF,PDF ডাউনলোড করুন
Pregnant Women,গর্ভবতী মহিলাদের
Awareness for Pregnancy in Preventing Anemia,অ্যানিমিয়া প্রতিরোধে গর্ভাবস্থার জন্য সচেতনতা
Download PDF,PDF ডাউনলোড করুন
Lactating Mothers,স্তন্যদানকারী মায়েরা
Awareness for Lactating Mother Complimentary Feeding for Children,শিশুদের জন্য স্তন্যদানকারী মায়েদের পরিপূরক খাওয়ানোর বিষয়ে সচেতনতা
Download PDF,PDF ডাউনলোড করুন
Lactating Mothers,স্তন্যদানকারী মায়েরা
Awareness to Lactating Mother,স্তন্যদানকারী মায়েদের জন্য সচেতনতা
Download PDF,PDF ডাউনলোড করুন
Child Care,Child Care
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","শিশুদের মধ্যে অপুষ্টি প্রতিরোধে শিশুদের বৃদ্ধিতে বাধা, অপুষ্টির ব্যাপারে সচেতনতা"
Download PDF,PDF ডাউনলোড করুন
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,PDF ডাউনলোড করুন
General Awareness about Growth Monitoring of Children,শিশুদের বৃদ্ধি পর্যবেক্ষণ সম্পর্কে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General Awareness about preventing illness in Children,শিশুদের অসুস্থতা প্রতিরোধ সম্পর্কে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General Awareness for Pregnancy,গর্ভাবস্থার জন্য সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General Awareness on Module,মডিউলে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General Awareness on Anaemia,অ্যানিমিয়া সম্পর্কে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General Awareness on SAM and MAM,SAM এবং MAM সম্পর্কে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General Awareness on Mother Care,মায়ের তত্ত্বাবধান সম্বন্ধে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
General Awareness on the Delivery of the child,সন্তান প্রসবের বিষয়ে সাধারণ সচেতনতা
Download PDF,PDF ডাউনলোড করুন
Awareness for Pregnancy in Preventing Anemia,অ্যানিমিয়া প্রতিরোধে গর্ভাবস্থার জন্য সচেতনতা
Download PDF,PDF ডাউনলোড করুন
Awareness for Lactating Mother Complimentary Feeding for Children,শিশুদের জন্য স্তন্যদানকারী মায়েদের পরিপূরক খাওয়ানোর বিষয়ে সচেতনতা
Download PDF,PDF ডাউনলোড করুন
Awareness to Lactating Mother,স্তন্যদানকারী মায়েদের জন্য সচেতনতা
Download PDF,PDF ডাউনলোড করুন
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","শিশুদের মধ্যে অপুষ্টি প্রতিরোধে শিশুদের বৃদ্ধিতে বাধা, অপুষ্টির ব্যাপারে সচেতনতা"
Download PDF,PDF ডাউনলোড করুন
Growth Monitoring Assessment Charts,গ্রোথ মনিটরি করার জন্য অ্যাসেসমেন্ট চার্ট
Stunted Assessment Parameters,বৃদ্ধিতে বাধার মূল্যায়ন পরামিতি
Download PDF,PDF ডাউনলোড করুন
Wasted Assessment Parameters,অপুষ্টির মূল্যায়ন পরামিতি
Download PDF,PDF ডাউনলোড করুন
Underweight Assessment Parameters,কম ওজনের মূল্যায়ন পরামিতি
Download PDF,PDF ডাউনলোড করুন
Manuals,হস্তকৃত
Poshan Tracker Process Flow,পশান ট্র্যাকার প্রক্রিয়া প্রবাহ
Download PDF,PDF ডাউনলোড করুন
Circulars/Notifications,সার্কুলার/বিজ্ঞপ্তি
03 June,03 June
2021,2021
Clarification regarding Cost of Smart phones,স্মার্ট ফোনের খরচ সংক্রান্ত ব্যাখ্যা
Download PDF,PDF ডাউনলোড করুন
24 May,24 May
2021,2021
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,পোশান ট্র্যাকারে অঙ্গনওয়াড়ি পরিষেবা প্রকল্পের ডেটা আপলোড করা
Download PDF,PDF ডাউনলোড করুন
01 March,01 March
2021,2021
Data Plan for Mobile Application,মোবাইল অ্যাপ্লিকেশনের জন্য ডেটা প্ল্যান
Download PDF,PDF ডাউনলোড করুন
02 February,02 February
2021,2021
Specifications of Smart phone and Technical Compatibility Testing,স্মার্টফোনের স্পেসিফিকেশন এবং প্রযুক্তিগত সামঞ্জস্য পরীক্ষা
Download PDF,PDF ডাউনলোড করুন
02 February,02 February
2021,2021
Training on ICT Platform under POSHAN Abhiyaan,পোশান অভিযানের অধীনে আইসিটি প্ল্যাটফর্মে প্রশিক্ষণ
Download PDF,PDF ডাউনলোড করুন
02 February,02 February
2021,2021
New Poshan Tracker App - CSC-SPV Nodal Person,নতুন পোশান ট্র্যাকার অ্যাপ - CSC-SPV নোডাল ব্যক্তি
Download PDF,PDF ডাউনলোড করুন
13 January,13 January
2021,2021
New Poshan Tracker App,নতুন পোশান ট্র্যাকার অ্যাপ
Download PDF,PDF ডাউনলোড করুন
Support,সহায়তা
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল অ্যাপটি ডাউনলোড করুন
Powered By,Powered By
About,বিষয়
Resources,সংস্থান
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Terms of Service,পরিষেবা পাওয়ার শর্ত
Privacy Policy,গোপনীয়তা নীতি
Careers,কেরিয়ার
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (স্বাস্থ্য আইডি)
Language,ভাষা
About,বিষয়
Resources,সংস্থান
Resources,সংস্থান
Vaccination Schedule,টিকা দেওয়ার সময়সূচী
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,সুবিধাভোগী প্রতিকার
State Helpdesk,রাজ্য হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Login,লগইন
Vaccination Schedule,টিকা দেওয়ার সময়সূচী
Birth,জন্ম
Bacillus Calmette Guerin (BCG),ব্যাসিলাস ক্যালমেট গুয়েরিন (বিসিজি)
Oral Polio Vaccine (OPV)-0 dose ,ওরাল পোলিও ভ্যাকসিন (OPV)-0 ডোজ 
Hepatitis B birth dose OPV-1 T,হেপাটাইটিস B বার্থ ডোজ OPV-1 T
6 ,6 
Weeks,সপ্তাহ
OPV-1,OPV-1
Pentavalent-1,পেন্টাভ্যালেন্ট-1
Rotavirus Vaccine (RVV)-1,রোটাভাইরাস ভ্যাকসিন (RVV)-1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,নিষ্ক্রিয় পোলিও ভ্যাকসিনের ফ্র্যাকশানাল ডোজ (fIPV)-1
Pneumococcal Conjugate Vaccine (PCV) -1,নিউমোকোকাল কনজুগেট ভ্যাকসিন (পিসিভি)-1
10 ,10 
Weeks,সপ্তাহ
OPV-2,OPV-2
Pentavalent-2,পেন্টাভ্যালেন্ট-2
RVV-2,RVV-2
14 ,14 
Weeks,সপ্তাহ
OPV-3,OPV-3
Pentavalent-3,পেন্টাভ্যালেন্ট-3
fIPV-2T,fIPV-2T
RVV-3,RVV-3
PCV-2,PCV-2
9 - 12 ,9 - 12 
Months,মাস
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,হামের ভ্যাকসিন (MCV)/হাম ও রুবেলা (MR)-1
Japanese Encephalitis(JE)-1**,জাপানিজ এনসেফালাইটিস (জেই)-1**
PCV-Booster,PCV-বুস্টার
16 - 24 ,16 - 24 
Months,মাস
Measles Containing vaccine (MCV)/MR-2,হামের ভ্যাকসিন (MCV)/MR-2
JE-2**,JE-2**
Diphtheria,ডিপথিরিয়া
Pertussis & Tetanus (DPT)-Booster-1,পারটুসিস এবং টিটেনাস্ (DPT)-বুস্টার-1
OPV –Booster,OPV - বুস্টার
5 - 6 ,5 - 6 
Years,বছর
DPT-Booster-2,DPT-বুস্টার-2
Pregnant Women,গর্ভবতী মহিলা
"Td1, 2 or Td Booster***","Td1, 2 বা Td বুস্টার***"
Support,সহায়তা
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল অ্যাপটি ডাউনলোড করুন
Powered By,Powered By
About,বিষয়
Resources,সংস্থান
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Terms of Service,পরিষেবা পাওয়ার শর্ত
Privacy Policy,গোপনীয়তা নীতি
Careers,কেরিয়ার
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (স্বাস্থ্য আইডি)
Language,ভাষা
About,বিষয়
Resources,সংস্থান
Resources,সংস্থান
Vaccination Schedule,টিকা দেওয়ার সময়সূচী
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,সুবিধাভোগী প্রতিকার
State Helpdesk,রাজ্য হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Login,লগইন
India,India
Select State,রাজ্য নির্বাচন কর
Select District,জেলা নির্বাচন করুন
Last Updated On : 18/04/2023,Last Updated On : 18/04/2023
General Information,General Information
*State level aggregated data as received from States,*State level aggregated data as received from States
Owned Building,Owned Building
AWC Infrastructure,AWC Infrastructure
Functional Toilet,Functional Toilet
AWC Infrastructure,AWC Infrastructure
Drinking Water Source,Drinking Water Source
AWC Infrastructure,AWC Infrastructure
Anganwadi Center Details,Anganwadi Center Details
Report for Mar 2023,Report for Mar 2023
Eligible Beneficiaries,Eligible Beneficiaries
As on 31st Mar 2023,As on 31st Mar 2023
Aspirational Districts & North East Region,Aspirational Districts & North East Region
Adolescent Girls,Adolescent Girls
Total,Total
Aadhaar Verified,Aadhaar Verified
Adolescent Girls,Adolescent Girls
Take Home Ration (THR),Take Home Ration (THR)
Given For Atleast 21 Days,Given For Atleast 21 Days
Key Services,Key Services
Report for Mar 2023,Report for Mar 2023
* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App,* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App
Support,সহায়তা
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল অ্যাপটি ডাউনলোড করুন
Powered By,Powered By
About,বিষয়
Resources,সংস্থান
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Terms of Service,পরিষেবা পাওয়ার শর্ত
Privacy Policy,গোপনীয়তা নীতি
Careers,কেরিয়ার
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (স্বাস্থ্য আইডি)
Language,ভাষা
About,বিষয়
Resources,সংস্থান
Resources,সংস্থান
Vaccination Schedule,টিকা দেওয়ার সময়সূচী
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,সুবিধাভোগী প্রতিকার
State Helpdesk,রাজ্য হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Login,লগইন
Login to your account,আপনার অ্যাকাউন্টে লগ ইন করুন
User Name ,ব্যবহারকারীর নাম 
Password ,পাসওয়ার্ড 
Login,প্রবেশ করুন
Support,সহায়তা
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল অ্যাপটি ডাউনলোড করুন
Powered By,Powered By
About,বিষয়
Resources,সংস্থান
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Terms of Service,পরিষেবা পাওয়ার শর্ত
Privacy Policy,গোপনীয়তা নীতি
Careers,কেরিয়ার
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (স্বাস্থ্য আইডি)
Language,ভাষা
About,বিষয়
Resources,সংস্থান
Resources,সংস্থান
Vaccination Schedule,টিকা দেওয়ার সময়সূচী
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,সুবিধাভোগী প্রতিকার
State Helpdesk,রাজ্য হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Login,লগইন
OPEN A NEW TICKET,একটি নতুন টিকিট খুলুন
CHECK TICKET STATUS,টিকেট স্ট্যাটাস চেক করুন
Create a New Ticket,একটি নতুন টিকিট তৈরি করুন
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,একটি নতুন টিকিট তৈরি করতে নীচের ফর্মটি পূরণ করুন। অঙ্গনওয়াড়ি কর্মীরা 48 ঘন্টার মধ্যে আপনার সাথে যোগাযোগ করবে।.
Beneficiary Category ,সুবিধাভোগীদের শ্রেণী 
Select a Beneficiary Category,সুবিধাভোগীর একটি শ্রেণী নির্বাচন করুন
Pregnant Women,গর্ভবতী মহিলাদের
Lactating Mothers,স্তন্যদানকারী মায়েরা
Children (0-6 months),শিশু (0-6 মাস)
Children (6 months - 3 years),শিশু (6 মাস - 3 বছর)
Children (3 - 6 years),শিশু (3 - 6 বছর)
Adolescent Girls,Adolescent Girls
Query Related to ,সম্পর্কিত প্রশ্ন 
Select Query Related to,এর সাথে সম্পর্কিত প্রশ্ন নির্বাচন করুন
AWW/AWC,এডাব্লুডাব্লু (AWW)/এডাব্লুসি (AWC)
Supervisor,সুপারভাইজার
Help Topic ,হেল্প টপিক 
Select a Help Topic,Select a Help Topic
Description ,বিবরণ 
Select a Description,একটি বিবরণ নির্বাচন করুন
Mobile Number ,মোবাইল নম্বর 
Email,ইমেল
Having difficulty raising ticket?,টিকিট রেইজ করতে অসুবিধা হচ্ছে?
Poshan Helpline,Poshan Helpline
14408,14408
Email,ইমেল
support-poshantrackr@gov.in,support-poshantrackr@gov.in
By District,জেলা দ্বারা
State ,রাজ্য 
Select State,রাজ্য নির্বাচন কর
District ,জেলা 
Select District,জেলা নির্বাচন করুন
Project ,প্রকল্প 
Select Project,প্রকল্প নির্বাচন করুন
Sector ,সেক্টর 
Select Sector,সেক্টর নির্বাচন করুন
Anganwadi Center ,অঙ্গনওয়াড়ি কেন্দ্র 
Select An Anganwadi center,একটি অঙ্গনওয়াড়ি কেন্দ্র নির্বাচন করুন
Create Ticket,টিকেট তৈরি করুন
Reset,রিসেট
Support,সহায়তা
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল অ্যাপটি ডাউনলোড করুন
Powered By,Powered By
About,বিষয়
Resources,সংস্থান
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Terms of Service,পরিষেবা পাওয়ার শর্ত
Privacy Policy,গোপনীয়তা নীতি
Careers,কেরিয়ার
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (স্বাস্থ্য আইডি)
Language,ভাষা
About,বিষয়
Resources,সংস্থান
Resources,সংস্থান
Vaccination Schedule,টিকা দেওয়ার সময়সূচী
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,সুবিধাভোগী প্রতিকার
State Helpdesk,রাজ্য হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Login,লগইন
Frequently Asked Questions,পোশান ক্যালকুলেটর
