en,hi
Supervisor,एकटा आंगनबाडी केंद्रक चयन करू
Help Topic ,टिकट तैयार करें
Select a Help Topic,रीसेट
Description ,सहायता
Select a Description, 14408
Name , support-poshantrackr@gov.in
Mobile Number ,मोबाइल एप्प डाउनलोड करें
Email,Powered By
Having difficulty raising ticket?,के बारे में
Poshan Helpline,स्रोत
Email,डैशबोर्ड
support-poshantrackr@gov.in,हेल्पडेस्क
By District,अक्सर पूछे जाने वाले प्रश्न
State ,पोषण कैल्कुलेटर/ मापक
Select State,सेवा की शर्तें
District ,गोपनियता नीति
Select District,अवसर
Project ,Copyright@2023  Poshan Tracker. All rights reserved
Select Project, You need to enable JavaScript to run this app.
Sector ,Poshan Helpline:
Select Sector,JanAndolan
Anganwadi Center ,ABHA (स्वास्थ्य पहचान पत्र)
Select An Anganwadi center,भाषा
Create Ticket,English
Reset,हिंदी
Support,ગુજરાતી
 14408,મરાઠી
 support-poshantrackr@gov.in,ಕನ್ನಡ
Download Mobile App,മലയാളം
Powered By,தமிழ்
About,తెలుగు
Resources,বাংলা
Dashboard,অসমীয়া
Helpdesk,ਪੰਜਾਬੀ
FAQ,ଓଡ଼ିଆ
Poshan Calculator,नेपाली
Terms of Service,डोगरी
Privacy Policy,कोंकणी
Careers,सिंधी
Copyright@2023  Poshan Tracker. All rights reserved,बोडो
 You need to enable JavaScript to run this app.,मैथिली
Poshan Helpline:,মণিপুরী
JanAndolan,संथाली
ABHA (Health ID),اردو
Language,کٲشُر
English,के बारे में
हिंदी,स्रोत
ગુજરાતી,स्रोत
મરાઠી,टीकाकरण सूची
ಕನ್ನಡ,डैशबोर्ड
മലയാളം,डैशबोर्ड
தமிழ்,Mission Utkarsh
తెలుగు,हेल्पडेस्क
বাংলা,लाभार्थी निवारण/उपाय
অসমীয়া,राज्य सहायता केंद्र
ਪੰਜਾਬੀ,अक्सर पूछे जाने वाले प्रश्न
ଓଡ଼ିଆ,पोषण कैल्कुलेटर/ मापक
नेपाली,लॉगिन
डोगरी,अक्सर पूछे जाने वाले प्रश्न
कोंकणी,सभी
सिंधी,लाभार्थी का पंजीकरण
बोडो,घर ले जाने वाला राशन
मैथिली,हॉट कूक्ड मील
মণিপুরী,पोषण अभियान क्या है?
संथाली,"पोषण अभियान, एक लक्षित दृष्टिकोण और अभिसरण द्वारा बच्चों, किशोरों, गर्भवती महिलाओं और स्तनपान कराने वाली माताओं के लिए पोषण संबंधी परिणामों में सुधार करने के लिए भारत का प्रमुख कार्यक्रम है।"
اردو,पोषण ट्रैकर लॉन्च करने का उद्देश्य क्या है?
کٲشُر,"पोषण ट्रैकर एप्लिकेशन का उद्देश्य आंगनवाड़ी केंद्र (एडब्ल्यूसी), आंगनवाड़ी कर्मचारी (एडब्ल्यूडब्ल्यू) की सेवा प्रदान करने वाली गतिविधियों और गर्भवती महिलाओं, स्तनपान कराने वाली माताओं और बच्चों के लिए पूर्ण लाभार्थी प्रबंधन की गतिविधियों का 360 डिग्री दृश्य प्रदान करना है। प्रस्तावित प्रणाली को सभी एडब्ल्यूसी, एडब्ल्यू डब्ल्यू और लाभार्थियों को परिभाषित संकेतक पर वास्तविक समय की निगरानी और समझना सक्षम करना चाहिए।"
About,पोषण ट्रैकर ऐप को कैसे डाउनलोड किया जा सकता है?
Resources,पोषण ट्रैकर ऐप गूगल प्ले स्टोर 
Resources, https://play.google.com/store/apps/details?id=com.poshantracker 
Vaccination Schedule, पर उपलब्ध है।
Dashboard,क्या ऐप्पल आई स्टोर पर भी पोषण ट्रैक ऐप उपलब्ध है?
Dashboard,कोई पोषण ट्रैकर केवल एंड्रॉइड संस्करण के लिए उपलब्ध नहीं है।
Mission Utkarsh,मोबाइल में पोषण ट्रैकर ऐप इंस्टॉल करने के लिए न्यूनतम आवश्यकता क्या है?
Helpdesk,पोषण ट्रैकर ऐप केवल एंड्रॉइड फोन में एंड्रॉइड संस्करण 6.0 और इसके बाद के संस्करण में स्थापित किया जा सकता है।
Beneficiary Redressal,क्या ऐप को इंटरनेट के बिना अभिगम किया जा सकता है?
State Helpdesk,कोई भी ऐप वैध इंटरनेट कनेक्शन के बिना काम नहीं करती है।
FAQ,पोषण ट्रैकर ऐप के टारगेट यूज़रबेस कौन हैं?
Poshan Calculator,पोषण ट्रैकर ऐप आंगनवाड़ी कार्यकर्ताओं के लिए है जो आंगनवाड़ी केंद्रों के लाभार्थियों के डेटा को प्रपत्रों में दर्ज करता है। यह आम जनता के लिए बिल्कुल भी विकसित नहीं है।
Login,पोषण ट्रैकर ऐप में कैसे लॉगिन करें?
Frequently Asked Questions,"एडब्ल्यूडब्ल्यू से अनुरोध है कि लॉगिन स्क्रीन में अपने मोबाइल नंबर दर्ज करें। आपके पंजीकृत मोबाइल नंबर पर एक ओटीपी भेजा जाएगा जिसकी आपको आवश्यकता है, अपना एमपीआईएन स्थापित करें।"
ALL,एमपीआईएन क्या है?
BENEFICIARY REGISTRATION,जो आंगनवाड़ी कार्यकर्ता द्वारा पोषण ट्रैकर ऐप पर पंजीकरण करते समय निर्धारित किया जाता है।
Take Home Ration,एमपीआईएन कैसे निर्धारित करें?
Hot Cooked Meal,"एमपीआईएन को संबंधित आंगनवाड़ी कार्यकर्ता द्वारा अपने मोबाइल नंबर पर ओटीपी के लिए अनुरोध किया जा सकता है। यदि मोबाइल नंबर पहले से ही डेटाबेस में मौजूद है, तो संबंधित आंगनवाड़ी व्यक्ति को पंजीकृत मोबाइल नंबर पर 4 अंकों का ओटीपी प्राप्त होगा। ओटीपी दर्ज करने के बाद, एडब्ल्यूडब्ल्यू आसानी से अनुकूलित एमपीआईएन निर्धारित कर सकता है।"
What is Poshan Abhiyaan?,एमपीआईएन कब और कैसे इस्तेमाल करें?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण ट्रैकर ऐप में लॉगिन करते समय, एडब्ल्यूडब्ल्यू को उनके द्वारा निर्धारित एमपीआई में प्रवेश करना होता है। यह एमपीआईएन पोषण ट्रैकर ऐप चलाने और लाभार्थियों के फॉर्म में जानकारी दर्ज करने के लिए एक पासकोड के रूप में कार्य करेगा।"
What is the purpose of Launching Poshan Tracker?,एमपीआईएन कैसे दोबारा निर्धारित करें?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","एमपीआईएन को किसी भी एडब्ल्यूडब्ल्यू / एडब्ल्यूसी उपयोगकर्ता द्वारा आसानी से दोबारा निर्धारित किया जा सकता है। आपको भूल गए एमपीआईएन पर क्लिक करना होगा, और अपना पंजीकृत मोबाइल नंबर दर्ज करना होगा। आपको अपने पंजीकृत मोबाइल नंबर पर ओटीपी प्राप्त होगा और आप अपने एमपीआईएन को आसानी से दोबारा निर्धारित कर सकते हैं।"
How can one Download Poshan Tracker App?,पोषण ट्रैकर ऐप कितनी भाषाओं में उपलब्ध है?
Poshan Tracker App is available over Google playstore ,पोषण ट्रैकर ऐप 22 अलग-अलग भाषाओं में उपलब्ध है।
https://play.google.com/store/apps/details?id=com.poshantracker, उपलब्ध विभिन्न भाषाएँ हैं: 
Is poshan trackers app available over Apple I Store also?, अंग्रेजी 
"No, Poshan Tracker is available only for Android version", हिंदी 
What is the minimum requirement to install Poshan Tracker App in mobile?, गुजराती 
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above., पंजाबी 
Can App be accessed without internet?, मराठी 
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.", बंगला 
Who are the target userbase of Poshan Tracker App?, कन्नड़ 
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.", तमिल 
How to Login in Poshan Tracker App?, तेलुगु 
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.", मलायलम 
What is  MPIN?, ओडिया 
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App., असमिया 
How to set MPIN?,Nepali
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.",Dogri
When and how to use MPIN?,Konkani
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.",Sindhi
How to Reset MPIN?,Bodo
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",Maithili
In How many languages the Poshan Tracker App is available?,Manipuri
Poshan Tracker App is available in 22 different languages,Santhali
The various languages available are:,Urdu
English,Kashmiri
Hindi,फॉर्म भरते समय एडब्ल्यूडब्ल्यू या एडब्ल्यूसी कितनी भाषाओं में डेटा दर्ज कर सकती है?
Gujarati,एडब्ल्यूडब्ल्यू अंग्रेजी भाषा में ही फॉर्म भर सकता है।
Punjabi,पोषण ट्रैकर ऐप में कितने विभिन्न रूप हैं?
Marathi,लाभार्थियों के लिए 7 विभिन्न प्रकार के फॉर्म हैं। इसमें शामिल हैं: 
Bangla, स्तनपान कराने वाली मां 
Kannada, गर्भवती महिलाएं 
Tamil, बच्चा 0-6 महीने 
Telugu, बच्चा 6 महीने से 3 साल तक 
Malyalam, बाल 3 साल से 6 साल 
Odia, किशोर लड़कियां (11 साल -19 साल) 
Assamese,एडब्ल्यूसी फॉर्म में कौन सी जानकारी जोड़ी जानी चाहिए?
Nepali,"एडब्ल्यूडब्ल्यू एक विशेष आंगनवाड़ी केंद्र में मौजूद बुनियादी ढांचे से संबंधित विवरण दर्ज करने के लिए आवश्यक हैं। इसमें संरचना, बुनियादी सुविधाएं, सुख-सुविधाएँ, स्वच्छता, पेयजल आदि शामिल हैं।"
Dogri,"अगर वे अपने मोबाइल नंबरों के माध्यम से पंजीकरण करने में असमर्थ हैं, तो एडब्ल्यूडब्ल्यू ऐप पर साइन अप कैसे कर सकता है?"
Konkani,यदि एडब्ल्यूडब्ल्यू खुद को पंजीकृत करने में असफल है तो 2 संभावनाएं हो सकती हैं: 
Sindhi, राज्यों द्वारा एमओडब्ल्यूसीडी को उपलब्ध कराए गए डेटा में उनका मोबाइल नंबर मौजूद नहीं है।
Bodo, वे प्रणाली में नए जोड़े गए हैं और उनका मोबाइल नंबर अभी तक राज्य सेल द्वारा एमओडब्ल्यूसीडी को प्रदान नहीं किया गया है। 
Maithili, उपरोक्त दोनों मामलों में राज्य नोडल अधिकारियों को एडब्ल्यूडब्ल्यू में से किसी को जोड़ने / संपादित / सक्रिय / निष्क्रिय करने का अधिकार है।
Manipuri,पोषण ट्रैकर डैशबोर्ड तक कोई कैसे पहुंच सकता है?
Santhali,पोषण ट्रैकर डैशबोर्ड को डैशबोर्ड पर साइन करके पहुँचा जा सकता है। डैशबोर्ड को लिंक पर क्लिक करके एक्सेस किया जा सकता है 
Urdu, https://poshantracker.in/admin 
Kashmiri," केवल नेशनल में नामित नोडल स्तर के अधिकारी डैशबोर्ड तक पहुँचने के लिए राज्य, जिला, परियोजना और सेक्टर स्तर को एक अद्वितीय प्रमाणिकता प्रदान की जाती है।"
In how many languages AWW can enter the data while filling up the form?,कोई एडब्ल्यूडब्ल्यू / एडब्ल्यूसी कैसे जोड़ सकता है?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,"एडब्ल्यूडब्ल्यू / एडब्ल्यूसी को केवल नोडल स्तर के अधिकारी द्वारा जोड़ा जा सकता है। पदानुक्रम में ऊपर की ओर कोई भी। राष्ट्रीय स्तर के उपयोगकर्ता के रूप में राज्य, जिला, परियोजना और क्षेत्र स्तर उपयोगकर्ता बना सकते हैं। राज्य स्तर का उपयोगकर्ता जिला, परियोजना और क्षेत्र स्तर का उपयोगकर्ता बना सकता है, जिला स्तर का उपयोगकर्ता परियोजना और क्षेत्र स्तर का उपयोगकर्ता बना सकता है, परियोजना स्तर का उपयोगकर्ता क्षेत्र का उपयोगकर्ता बना सकता है।"
How many different forms are there in Poshan Tracker App?,पोषण ट्रैकर डैशबोर्ड पर कितने विभिन्न प्रकार के अभिलेख उत्पन्न की जा सकती हैं?
There are 7 different types of forms for beneficiaries. This includes:, ऐसी विभिन्न रिपोर्टें हैं जो 
Lactating mother, से उत्पन्न हो सकती हैं सामान्य रिपोर्ट: 
Pregnant women, ऐप डाउनलोड की संख्या 
Child 0-6 Months, पंजीकृत आंगनवाड़ी केंद्रों की कुल संख्या 
Child 6 Months to 3 Years, पंजीकृत लाभार्थियों की कुल संख्या (राष्ट्रीय / राज्य / जिला / ब्लॉक वार) 
Child  3 Years to 6 Years, पंजीकृत गर्भवती महिलाओं की कुल संख्या (राष्ट्रीय / राज्य / जिला / ब्लॉकवार)
Adolescent Girls (11 Years-19 Years), पंजीकृत माताओं की कुल संख्या (राष्ट्रीय / राज्य / जिला / ब्लॉक वार) 
What information to be added in AWC forms?, पंजीकृत बच्चों की कुल संख्या (0-6 महीने) पंजीकृत (राष्ट्रीय / राज्य / जिला / ब्लॉकवार)
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.", पंजीकृत बच्चों की कुल संख्या (6 महीने) जिला / ब्लॉक वार) 
How AWWS can sign up on the app if they are unable to register via their mobile numbers?, मातृ एवं शिशु पोषण: 
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:, 21 दिनों में कितने लाभार्थियों को THR मिला 
Their mobile number is not present in the data provided by the states to the MoWCD, कितने बच्चे स्तनपान करते हैं प्रसव के बाद पहले घंटे में विशेष रूप से 
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD., कितनी स्तनपान कराने वाली माताओं को एचसीएम दिया जाता है 
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW., कितने बच्चे विशेष रूप से प्राथमिकी में स्तनपान करते हैं प्रसव के बाद घंटे 
How can one access Poshan Tracker Dashboard?, 3-6 वर्ष की आयु के बच्चों में कैल्शियम का औसत स्तर 
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link , 3-6 वर्ष की आयु के बच्चों में लोहे का औसत स्तर 
https://poshantracker.in/admin," टीकाकरण की कुल संख्या प्रति माह प्रशासित (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) "
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.", प्रति माह प्रशासित विशिष्ट रिपोर्ट (बीसीजी / ओपीवी / हेपेटाइटिस बी / रोटावायरस / पोलियो / न्यूमोकोकल / पेंटालेंटल) 
How one can add AWW/AWCs?, एडब्ल्यूसी अवसंरचना: 
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.," एडब्ल्यूसी की संख्या (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) "
How many different types of reports can be generated over Poshan Tracker Dashboard?," बालविकास की कुल संख्या (ब्लॉक जिला, राज्य, राष्ट्रीय स्तर) "
There are various reports that can be generated from," स्वच्छ पेयजल के साथ एडब्ल्यूसी (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) की कुल संख्या "
General Reports:," कार्य भार पैमाने के साथ एडब्ल्यूसी (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) की कुल संख्या  "
Number of app  downloads," बिजली के साथ एडब्ल्यूसी (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) की कुल संख्या "
Total number of Anganwadi centers registered, सरकार की स्वामित्व वाली एडब्ल्यूसी की कुल संख्या 
Total number of beneficiaries registered (National/state/district/block wise), निजी तौर पर होने वाले एडब्ल्यूसी की कुल संख्या स्वामित्व 
Total Number of pregnant women registered(National/state/district/block wise),पोशन ट्रैकर समूह से कैसे संपर्क करें?
Total Number of  lactating mothers registered(National/state/district/block wise),पोषण ट्रैकर समूह से support-poshantrackr@gov.in पर ईमेल भेजकर संपर्क किया जा सकता है। आपके सहयोग और समर्थन के लिए हम प्रतिदिन शाम 4:15 बजे से शाम 5:15 बजे तक वीडियो कॉन्फ्रेंस पर भी उपलब्ध हैं।
Total Number of children (0-6months) registered(National/state/district/block wise),क्या कोई लाभार्थी आवेदन के उपयोग द्वारा सीधे पंजीकरण कर सकता है।
Total Number of children (6months-3years) registered(National/state/district/ block wise),"वर्तमान में, एक लाभार्थी आँगनवाड़ी कार्यकर्ता की सहायता से पंजीकरण करा सकता है"
Total Number of children (3-6years) registered(National/state/district/ block wise),लाभार्थी कौन है?
Maternal and child nutrition:,यहाँ लाभार्थियों की 6 श्रेणियाँ हैं
How many beneficiaries got THR in 21 days,गर्भवती महिला
How many children breastfed exclusively in the first hour after delivery,स्तनपान कराने वाली माता
How many lactating mothers are given HCM,0-6 माह तक के बच्चे
Average level of calcium in children aged 3-6 years,6 माह - 3 वर्ष तक के बच्चे
Average level of iron in children aged 3-6years,6 वर्ष - 3 वर्ष तक के बच्चे
"Total number of vaccinations administered per month (block, district, state, national level)",किशोरी लड़कियाँ/बालिकाएँ
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,क्या कोई लाभार्थी अपना आँगनवाड़ी केंद्र परिवर्तित कर सकता है?
AWC infrastructure:,एक आँगनवाड़ी कार्यकर्ता अपनी आधार संख्या के आधार पर किसी लाभार्थी को एक आँगनवाड़ी केंद्र से दूसरे आँगनवाड़ी केंद्र में स्थानांतरित करने के लिए 'माइग्रेट लाभार्थी' के विकल्प का उपयोग कर सकता है।
"Number of AWCs (block, district, state, national level)",लाभार्थी की पात्रता क्या है?
"Total number of Balvatikas (block district, state, national level)",एक लाभार्थी महीने में कम से कम 21 दिनों के लिए THR के लिए पात्र है।
"Total number of AWCs (block, district, state, national level) with clean drinking water",टेक होम राशन के लिए कौन पात्र है?
"Total number of AWCs (block, district, state, national level) with working weighing scale","गर्भवती महिलाएँ, स्तनपान कराने वाली माताएँ, 6 महीने से 3 वर्ष तक के बच्चे और किशोर लड़कियाँ।"
"Total number of AWCs (block, district, state, national level) with electricity",मैं टेक होम राशन के बारे में कहाँ पूछ सकता हूँ?
Total number of AWCs that are government owned,"कृपया, अपने संबंधित आँगनवाड़ी कार्यकर्ता से संपर्क करें।"
Total number of AWCs that are privately owned,अतिरिक्त पूरक भोजन के लिए कौन पात्र है।
How to contact Poshan Tracker Team?,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,लाभार्थी की पात्रता क्या है?
Can a beneficiary register directly using application.,एक लाभार्थी महीने में कम से कम 21 दिनों के लिए HCM के लिए पात्र है।
Currently a beneficiary can register by the help of an AWW,गर्म पके हुए भोजन के लिए कौन पात्र है?
Who is a beneficiary?,3-6 वर्ष तक की आयु वाले बच्चे
There are 6 categories for beneficiaries,मैं गर्म पके हुए भोजन के बारे में कहाँ से पूछताछ कर सकता हूँ?
Pregnant Women,"कृपया, अपने संबंधित आँगनवाड़ी केंद्र से संपर्क करें।"
Lactating Mother,अतिरिक्त पूरक आहार के लिए कौन पात्र है?
Children from 0 to 6 months,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।
Children from 6 months to 3 years,सहायता
Children from 3 years to 6 years, 14408
Adolescent girls, support-poshantrackr@gov.in
Can a beneficiary change his/her AWC?,मोबाइल एप्प डाउनलोड करें
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,Powered By
What is the eligibility of a beneficiary?,के बारे में
A beneficiary is eligible for THR for at least 21 days in a month.,स्रोत
Who is eligible for Take Home Ration?,डैशबोर्ड
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",हेल्पडेस्क
Where can I enquire about take home ration?,अक्सर पूछे जाने वाले प्रश्न
Please contact your respective Anganwadi worker.,पोषण कैल्कुलेटर/ मापक
Who is eligible for additional supplementary food.,सेवा की शर्तें
Children who are identified as deficit on nutrition are eligible for additional food supplements.,गोपनियता नीति
What is the eligibility of a beneficiary?,अवसर
A beneficiary is eligible for HCM for at least 21 days in a month.,Copyright@2023  Poshan Tracker. All rights reserved
Who is eligible for Hot Cooked Meal?, You need to enable JavaScript to run this app.
Children in the age group of 3 years to 6 years,Poshan Helpline:
Where can I enquire about Hot Cooked Meal?,JanAndolan
Please contact your respective Anganwadi Centre.,ABHA (स्वास्थ्य पहचान पत्र)
Who is eligible for additional supplementary food?,भाषा
Children who are identified as deficit on nutrition are eligible for additional food supplements.,English
Support,हिंदी
 14408,ગુજરાતી
 support-poshantrackr@gov.in,મરાઠી
Download Mobile App,ಕನ್ನಡ
Powered By,മലയാളം
About,தமிழ்
Resources,తెలుగు
Dashboard,বাংলা
Helpdesk,অসমীয়া
FAQ,ਪੰਜਾਬੀ
Poshan Calculator,ଓଡ଼ିଆ
Terms of Service,नेपाली
Privacy Policy,डोगरी
Careers,कोंकणी
Copyright@2023  Poshan Tracker. All rights reserved,सिंधी
 You need to enable JavaScript to run this app.,बोडो
Poshan Helpline:,मैथिली
JanAndolan,মণিপুরী
ABHA (Health ID),संथाली
Language,اردو
English,کٲشُر
हिंदी,के बारे में
ગુજરાતી,स्रोत
મરાઠી,स्रोत
ಕನ್ನಡ,टीकाकरण सूची
മലയാളം,डैशबोर्ड
தமிழ்,डैशबोर्ड
తెలుగు,Mission Utkarsh
বাংলা,हेल्पडेस्क
অসমীয়া,लाभार्थी निवारण/उपाय
ਪੰਜਾਬੀ,राज्य सहायता केंद्र
ଓଡ଼ିଆ,अक्सर पूछे जाने वाले प्रश्न
नेपाली,पोषण कैल्कुलेटर/ मापक
डोगरी,लॉगिन
कोंकणी,पोषण कैल्कुलेटर/ मापक
सिंधी,विश्व स्वास्थ्य संगठन द्वारा परिभाषित मानकों के आधार पर बच्चों के विकास को मापने के लिए पोषण मापक का निर्माण किया गया।.
बोडो,पोषण मापक का उपयोग कैसे करें?
मैथिली,लिंग का चयन करें
মণিপুরী,जन्म तिथि दर्ज करें
संथाली,सेंटीमीटर में ऊँचाई दर्ज करें
اردو,किलोग्राम में वजन दर्ज करें
کٲشُر,परिणाम दिखाएँ पर क्लिक करें
About,लिंग 
Resources,लड़का
Resources,लड़की
Vaccination Schedule,जन्म तिथि 
Dashboard,ऊँचाई (सें.मी.) 
Dashboard,*ऊँचाई 38 सँ 150 केर बीच होयबाक चाही
Mission Utkarsh,सें.मी.
Helpdesk,वजन (कि.ग्रा.) 
Beneficiary Redressal,*वजन 0.90 सँ 58 केर बीच होयबाक चाही
State Helpdesk,कि.ग्रा.
FAQ,परिणाम सभ देखाउ
Poshan Calculator,पोषण मापक क्या है
Login,विश्व स्वास्थ्य संगठन के अनुसार पोषण मापक बच्चों के विभिन्न प्रकार के स्वास्थ्य स्थितियों की पहचान करने में सहायता प्रदान करता है.
Poshan Calculator,विश्व स्वास्थ्य संगठन के मानक हैं :
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,स्टंटिंग( आयु के लिए वजन) 
How to use Poshan Calculator?,0 माह से 6 वर्ष तक
Select Gender,गंभीर रूप सँ अद्भुत बल प्रदर्शन
Enter Date of Birth,मध्यम रूप से अविकसित
Enter Height in centimeter,सामान्य
Enter Weight in kilogram,कम वजन वाले बच्चे(आयु के लिए वजन) 
Click on Show Results,0 माह से 6 वर्ष तक
Gender ,गंभीर रूप से कम वजन वाले
Boy,मध्यम रूप सँ कम वजन
Girl,सामान्य
Date of Birth ,वेस्टिंग(ऊँचाई के लिए वजन) 
Height (CM) ,0 माह से 5 वर्ष तक
*Height should be between 38 to 150,गंभीर रूप से वेस्टेड(SAM)
CM,मध्यम रूप से वेस्टेड(MAM)
Weight (KG) ,सामान्य
*Weight should be between 0.90 to 58,अत्यधिक वजन वाले
KG,स्थूल
Show Results,कोष्ठक में दिए गए आयु अनुसार उपरोक्त मानक परिभाषित हैं
What is Poshan Calculator,संदर्भित तालिका के बारे में
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,WHO बहुकेंद्रीय वृद्धि संदर्भित अध्ययन 1997 और 2003 के बीच दुनिया भर में शिशुओं और छोटे बच्चों की वृद्धि और विकास का आकलन करने और नए विकास वक्र को उत्पन्न करने के लिए किया गया था।.
WHO standards are :,"MGRS ने व्यापक रूप से विभिन्न जातीय और सांस्कृतिक पृष्ठभूमि (ब्राजील, घाना, भारत, नॉर्वे, ओमान और यूएसए) से लगभग 8500 बच्चों का प्राथमिक विकास का आँकड़ा और संबंधित जानकारी एकत्र की।."
Stunting ( Height for Age)- ,नए विकास वक्रों से एक एकल अंतरराष्ट्रीय मानक प्रदान करने की उम्मीद है जो जन्म से लेकर पाँच वर्ष तक के सभी बच्चों की शारीरिक विकास के सर्वोत्तम विवरण का प्रतिनिधित्व करता है और स्तनपान करने वाले शिशु को विकास और वृद्धि के लिए आदर्श मॉडल के रूप में स्थापित करता है।.
0 months to 6 years,अपने स्वास्थ्य को कैसे पुनर्जीवित करें?
Severely Stunted,"यदि आप गंभीर रूप से बीमार हो गए हैं, तो अपने स्वास्थ्य को पुनर्जीवित (एसएएम) कैसे करें"
Moderately stunted,"यदि आप मध्यम रूप से बीमार (एमएएम) हैं, तो अपने स्वास्थ्य को पुनर्जीवित कैसे करें"
Normal,"यदि आप कम वजन वाले हैं, तो अपने स्वास्थ्य को पुनर्जीवित कैसे करें"
Underweight (Weight for Age)- ,सहायता
0 months to 6 years, 14408
Severely Underweight, support-poshantrackr@gov.in
Moderately Underweight,मोबाइल एप्प डाउनलोड करें
Normal,Powered By
Wasting (Weight for Height)- ,के बारे में
0 months to 5 years,स्रोत
Severely Wasted (SAM),डैशबोर्ड
Moderately Wasted (MAM),हेल्पडेस्क
Normal,अक्सर पूछे जाने वाले प्रश्न
Overweight,पोषण कैल्कुलेटर/ मापक
Obese,सेवा की शर्तें
Above standards are defined as per given above mentioned age brackets,गोपनियता नीति
About Reference tables,अवसर
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,Copyright@2023  Poshan Tracker. All rights reserved
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).", You need to enable JavaScript to run this app.
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,Poshan Helpline:
How to revive your Health?,JanAndolan
How to revive your health if you are Severely Wasted (SAM),ABHA (स्वास्थ्य पहचान पत्र)
How to revive your health if you are Moderately Wasted (MAM),भाषा
How to revive your health if you are Underweight,English
Support,हिंदी
 14408,ગુજરાતી
 support-poshantrackr@gov.in,મરાઠી
Download Mobile App,ಕನ್ನಡ
Powered By,മലയാളം
About,தமிழ்
Resources,తెలుగు
Dashboard,বাংলা
Helpdesk,অসমীয়া
FAQ,ਪੰਜਾਬੀ
Poshan Calculator,ଓଡ଼ିଆ
Terms of Service,नेपाली
Privacy Policy,डोगरी
Careers,कोंकणी
Copyright@2023  Poshan Tracker. All rights reserved,सिंधी
 You need to enable JavaScript to run this app.,बोडो
Poshan Helpline:,मैथिली
