en,mr
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN","एमपीआयएन सहजपणे कोणत्याही एडब्ल्यूडब्ल्यू / एडब्ल्यूसी वापरकर्त्याद्वारे रीसेट केले जाऊ शकते. आपल्याला विसरलेले एमपीन वर क्लिक करणे आवश्यक आहे, आणि आपला नोंदणीकृत मोबाइल नंबर प्रविष्ट करणे आवश्यक आहे. आपल्या नोंदणीकृत मोबाइल नंबरवर आपल्याला ओटीपी प्राप्त होईल आणि आपण आपल्या एमपीनला रीसेट करू शकता."
In How many languages the Poshan Tracker App is available?,पोषण ट्रॅकर अ‍ॅप किती भाषांमध्ये उपलब्ध आहे?
Poshan Tracker App is available in 22 different languages,पोषण ट्रॅकर अॅप २२ वेगवेगळ्या भाषांमध्ये उपलब्ध आहे.
The various languages available are:, उपलब्ध विविध भाषा या आहेतः
English,इंग्रजी
Hindi,हिंदी
Gujarati,गुजराती
Punjabi,पंजाबी
Marathi,मराठी
Bangla,बंगाल
Kannada,कन्नड
Tamil,तमिळ
Telugu,तेलुगु
Malyalam,मल्याळम
Odia,ओडिया
Assamese,आसामी
Dogri,Dogri
Konkani,Konkani
Bodo,Bodo
In how many languages AWW can enter the data while filling up the form?,फॉर्म भरताना किती भाषांमध्ये एडब्ल्यूडब्ल्यू किंवा एडब्ल्यूसी डेटा प्रविष्ट करू शकतात?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,एडब्ल्यूडब्ल्यू केवळ इंग्रजी भाषेमध्ये फॉर्म भरू शकतात.
How many different forms are there in Poshan Tracker App?,पोषण ट्रॅकर अॅपमध्ये किती भिन्न प्रकारचे फॉर्म आहेत?
There are 7 different types of forms for beneficiaries. This includes:,लाभार्थींसाठी ७ वेगवेगळे प्रकारचे फॉर्म आहेत. यात हे समाविष्ट आहे: 
Lactating mother,स्तनपान करणारी आई
Pregnant women,गर्भवती महिला
Child 0-6 Months,मुलाचे ०-६ महिने
Child 6 Months to 3 Years,मुलाचे ६ महिने ते ३ वर्षांपर्यंत
Child  3 Years to 6 Years,लहान मुले ३ वर्षे ते ६ वर्षे
Adolescent Girls (11 Years-19 Years),पौगंडावस्थेतील मुली (११ वर्षे-१९ वर्षे)
What information to be added in AWC forms?,एडब्ल्यूसी फॉर्ममध्ये कोणती माहिती जोडायची?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","एएनडब्ल्यूडब्ल्यूला विशिष्ट अंगणवाडी केंद्रात असलेल्या पायाभूत सुविधांशी संबंधित तपशील प्रविष्ट करणे आवश्यक आहे. यामध्ये संरचना, मूलभूत सुविधा, सुविधा, स्वच्छता, पिण्याचे पाणी इत्यादींचा समावेश आहे."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,अ‍ॅडब्ल्यूडब्ल्यूएस त्यांच्या मोबाईल नंबरद्वारे नोंदणी करण्यात अक्षम असल्यास अॅपवर कसे साइन अप करू शकते?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,जर एडब्ल्यूडब्ल्यू स्वत: ची नोंदणी करण्यात अयशस्वी ठरला असेल तर तेथे दोन शक्यता असू शकतातः 
Their mobile number is not present in the data provided by the states to the MoWCD,एमओडब्ल्यूसीडीला राज्यांनी पुरविलेल्या डेटामध्ये त्यांचा मोबाइल नंबर उपलब्ध नाही
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,ते सिस्टममध्ये नवीन जोडले गेले आहेत आणि त्यांचा मोबाइल क्रमांक अद्याप राज्य मंत्रालयाने एमडब्ल्यूसीडीला प्रदान केलेला नाही
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,वरील दोन्ही प्रकरणांमध्ये राज्य नोडल अधिकारी यांना कोणत्याही एडब्ल्यूडब्ल्यूला जोडणे / संपादित करणे / सक्रिय / निष्क्रिय करण्यास सक्षम केले गेले आहे.
How can one access Poshan Tracker Dashboard?,आपण पोशन ट्रॅकर डॅशबोर्डमध्ये प्रवेश कसा करू शकतो?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,डॅशबोर्डवर साइन इन करून पोषण ट्रॅकर डॅशबोर्डवर प्रवेश केला जाऊ शकतो. 
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," दुव्यावर क्लिक करून डॅशबोर्डवर प्रवेश केला जाऊ शकतो, केवळ राष्ट्रीय, राज्य, जिल्हा, प्रकल्प आणि क्षेत्र पातळीवर डॅशबोर्डवर प्रवेश करण्यासाठी एक अद्वितीय प्रमाणपत्रे दिली जातात."
How one can add AWW/AWCs?,एखादा एडब्ल्यूडब्ल्यू / एडब्ल्यूसी कसा जोडू शकतो ?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"एडब्ल्यूडब्ल्यू / एडब्ल्यूसी फक्त नोडल स्तराच्या अधिकाऱ्याद्वारे जोडले जाऊ शकतात. पदानुक्रमात वरीलपैकी कोणीही. राष्ट्रीय स्तराप्रमाणेच राज्य, जिल्हा, प्रकल्प आणि क्षेत्र पातळीवरील वापरकर्ता तयार करू शकतो. राज्यस्तरीय वापरकर्ता जिल्हा, प्रकल्प आणि क्षेत्र पातळीवरील वापरकर्ता तयार करू शकतो, जिल्हास्तरीय वापरकर्ता प्रकल्प आणि क्षेत्र पातळीचा वापरकर्ता तयार करू शकतो, प्रकल्प स्तराचा वापरकर्ता क्षेत्र स्तराचा वापरकर्ता तयार करू शकतो."
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्रॅकर डॅशबोर्डवर किती वेगवेगळ्या प्रकारचे अहवाल तयार केले जाऊ शकतात?
There are various reports that can be generated from,असे बरेच अहवाल आहेत जे वरून व्युत्पन्न केले जाऊ शकतात 
General Reports:, सामान्य अहवाल:
Number of app  downloads,अ‍ॅप डाउनलोडची संख्या
Total number of Anganwadi centers registered,नोंदणीकृत एकूण अंगणवाडी केंद्रांची संख्या
Total number of beneficiaries registered (National/state/district/block wise),नोंदणीकृत एकूण लाभार्थ्यांची संख्या (राष्ट्रीय / राज्य / जिल्हा / गटवार)
Total Number of pregnant women registered(National/state/district/block wise),नोंदणीकृत एकूण गर्भवती महिलांची संख्या (राष्ट्रीय / राज्य / जिल्हा / गटनिहाय )
Total Number of  lactating mothers registered(National/state/district/block wise),स्तनपान करणार्‍या मातांची एकूण संख्या (राष्ट्रीय / राज्य / / गटवार)
Total Number of children (0-6months) registered(National/state/district/block wise),नोंदणीकृत एकूण मुलांची संख्या (०-६ महिने) (राष्ट्रीय / राज्य / जिल्हा / गटवारनिहाय) )
Total Number of children (6months-3years) registered(National/state/district/ block wise),नोंदणीकृत मुलांची एकूण संख्या (६ महिने -३ वर्ष) (राष्ट्रीय / राज्य / जिल्हा / गटवार)
Total Number of children (3-6years) registered(National/state/district/ block wise),नोंदणीकृत एकूण मुलांची संख्या (३-६ वर्षे) (राष्ट्रीय / राज्य / जिल्हा / गटनिहाय)
Maternal and child nutrition:,मातृ व बाल पोषण:
How many beneficiaries got THR in 21 days,२१ दिवसात किती लाभार्थ्यांना टीएचआर मिळाला
How many children breastfed exclusively in the first hour after delivery,किती मुले स्तनपान देतात? प्रसूतीनंतर पहिल्याच तासात
How many lactating mothers are given HCM,स्तनपान करणार्‍या किती मातांना एचसीएम दिले जाते
Average level of calcium in children aged 3-6 years,त्याचे लाकूड मध्ये किती मुले फक्त स्तनपान देतात? प्रसूतीनंतर ताशी तास
Average level of iron in children aged 3-6years,३-६ वर्षांच्या मुलांमध्ये लोहाची सरासरी पातळी
"Total number of vaccinations administered per month (block, district, state, national level)","लसींची एकूण संख्या दरमहा प्रशासित (ब्लॉक, जिल्हा, राज्य, राष्ट्रीय स्तर)"
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,दरमहा प्रशासित लसीकरण विशिष्ट अहवाल (बीसीजी / ओपीव्ही / हिपॅटायटीस बी / रोटाव्हायरस / पोलिओ / न्यूमोकोकल / पेंटाव्हॅलेंट)
AWC infrastructure:,AWC पायाभूत सुविधा:
"Number of AWCs (block, district, state, national level)","AWC ची संख्या (गट, जिल्हा, राज्य, राष्ट्रीय स्तर)"
"Total number of Balvatikas (block district, state, national level)","बालवटीकांची एकूण संख्या (ब्लॉक जिल्हा, राज्य, राष्ट्रीय स्तर)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","स्वच्छ पिण्याच्या पाण्यासह एकूण गटांची संख्या (ब्लॉक, जिल्हा, राज्य, राष्ट्रीय पातळी)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","कार्य वजनाच्या प्रमाणासह एकूण गटांची संख्या (गट, जिल्हा, राज्य, राष्ट्रीय पातळी)"
"Total number of AWCs (block, district, state, national level) with electricity","विजेसह सर्व AWCs (गट, जिल्हा, राज्य, राष्ट्रीय पातळीवरील) संख्या"
Total number of AWCs that are government owned,सरकारी मालकीच्या असलेल्या AWCs ची एकूण संख्या
Total number of AWCs that are privately owned, खाजगीरित्या असलेल्या AWCs ची एकूण संख्या मालकीचे
How to contact Poshan Tracker Team?,पोषण ट्रॅकर कार्यसंघाशी संपर्क कसा साधावा?
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in र कार्यसंघाशी संपर्क साधला जाऊ शकतो. हाताळणी व समर्थनासाठी आम्ही दररोज संध्याकाळी ३ ते सायंकाळी ५ या वेळेत व्हिडीओ कॉन्फरन्सद्वारे उपलब्ध आहोत.
What is Poshan Calculator,पोषण कॅल्क्युलेटर म्हणजे काय
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,पोषण कॅल्क्युलेटर जागतिक आरोग्य संघटनेच्या (डब्ल्यूएचओ) मानकांनुसार मुलाच्या विविध आरोग्य स्थिती ओळखण्यास मदत करते.
WHO standards are :,डब्ल्यूएचओ मानके आहेत :
Stunting ( Height for Age)- ,बुटकेपणा (वयानुसार उंची)- 
0 months to 6 years,0 महिने ते 6 वर्षे
Severely Stunted,गंभीरपणे खुंटणे
Moderately stunted,मध्यम बुटकेपणा
Normal,सामान्य
Underweight (Weight for Age)- ,कमी वजन (वयानुसार वजन)- 
Severely Underweight,तीव्र कमी वजन
Moderately Underweight,माफक प्रमाणात कमी वजन
Wasting (Weight for Height)- ,लूकडेपणा (उंचीनुसार वजन)- 
0 months to 5 years,0 महिने ते 5 वर्षे
Severely Wasted (SAM),गंभीर लूकडेपणा (सॅम )
Moderately Wasted (MAM),मध्यम लूकडेपणा ( मॅम)
Overweight,जास्त वजन
Obese,लठ्ठ
Above standards are defined as per given above mentioned age brackets,वर नमूद केलेल्या वय कंसानुसार वरील मानके परिभाषित केली आहेत
About Reference tables,संदर्भ सारण्यांबद्दल
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,डब्ल्यूएचओ मल्टीसेंटर ग्रोथ रेफरन्स स्टडी (एमजीआरएस) 1997 आणि 2003 दरम्यान जगभरातील नवजात आणि लहान मुलांच्या वाढ आणि विकासाचे मूल्यांकन करण्यासाठी नवीन वाढ वक्र निर्माण करण्यासाठी हाती घेण्यात आले होते.
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).","एमजीआरएसने मोठ्या प्रमाणावर भिन्न वांशिक पार्श्वभूमी आणि सांस्कृतिक सेटिंग्जमधील (ब्राझील, घाना, भारत, नॉर्वे, ओमान आणि यूएसए) अंदाजे 8500 मुलांकडून प्राथमिक वाढ डेटा आणि संबंधित माहिती गोळा केली."
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,नवीन वाढ वक्र एकच आंतरराष्ट्रीय मानक प्रदान करेल जे जन्मापासून ते पाच वर्षे वयोगटातील सर्व मुलांच्या शारीरिक वाढीचे सर्वोत्तम वर्णन करेल आणि स्तनपान करवलेल्या बाळाला वाढ आणि विकासासाठी आदर्श मॉडेल म्हणून स्थापित करेल.
How to revive your Health?,आपले आरोग्य कसे पुनरुज्जीवित करावे?
How to revive your health if you are Severely Wasted (SAM),तुम्ही गंभीरपणे अशक्त असाल (सॅम ) तुमचे आरोग्य कसे सुधारावे
How to revive your health if you are Moderately Wasted (MAM),जर तुम्ही माफक प्रमाणात अशक्त असाल तर तुमचे आरोग्य कसे सुधारावे ( मॅम)
How to revive your health if you are Underweight,तुमचे वजन कमी असल्यास तुमचे आरोग्य कसे सुधारावे
Check Ticket Status,तिकीट स्थिती तपासा
Please provide your mobile number and a ticket number.,कृपया तुमचा मोबाईल नंबर आणि तिकीट क्रमांक द्या.
Mobile ,मोबाईल 
Ticket Number ,तिकीट क्रमांक 
View Ticket,तिकीट पहा
"If this is your first time contacting us or you've lost the ticket number, please ","आमच्याशी संपर्क साधण्याची तुमची ही पहिलीच वेळ असल्यास किंवा तुम्ही तिकीट क्रमांक गमावला असल्यास, कृपया "
open a new ticket,नवीन तिकीट उघडा
Average level of iron in children aged 3-6years,३-६ वर्षे वयोगटातील मुलांमध्ये कॅल्शियमची सरासरी पातळी
"Total number of vaccinations administered per month (block, district, state, national level)",३-६ वर्षांच्या मुलांमध्ये लोहाची सरासरी पातळी
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,"लसींची एकूण संख्या दरमहा प्रशासित (ब्लॉक, जिल्हा, राज्य, राष्ट्रीय स्तर)"
AWC infrastructure:,दरमहा प्रशासित लसीकरण विशिष्ट अहवाल (बीसीजी / ओपीव्ही / हिपॅटायटीस बी / रोटाव्हायरस / पोलिओ / न्यूमोकोकल / पेंटाव्हॅलेंट)
"Number of AWCs (block, district, state, national level)",AWC पायाभूत सुविधा:
"Total number of Balvatikas (block district, state, national level)","AWC ची संख्या (गट, जिल्हा, राज्य, राष्ट्रीय स्तर)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","बालवटीकांची एकूण संख्या (ब्लॉक जिल्हा, राज्य, राष्ट्रीय स्तर)"
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,स्वागत आहे! 
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”)."," वर होस्ट केलेल्या पोषण ट्रॅकर प्लॅटफॉर्मचा तुमचा वापर नियंत्रित करणाऱ्या सेवा अटी (“अटी”) आणि लिंक केलेल्या सर्व संबंधित साइट्स खालील आहेत. त्यास, त्याच्या सहाय्यक कंपन्या आणि संलग्न (एकत्रितपणे, “साइट”)."
I. OWNERSHIP,I. मालकी
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","साइट आणि सर्व डेटा, मजकूर, डिझाइन, पृष्ठे, प्रिंट स्क्रीन, प्रतिमा, कलाकृती, छायाचित्रे, ऑडिओ आणि व्हिडिओ क्लिप, एचटीएमएल कोड, स्त्रोत कोड किंवा सॉफ्टवेअर जे साइटवर राहतात किंवा पाहण्यायोग्य आहेत किंवा अन्यथा शोधण्यायोग्य आहेत आणि सर्व सहभागी बुक केले आहेत साइटवरून, (एकत्रितपणे, “सामग्री” म्हणून ओळखले जाते) महिला आणि बाल विकास मंत्रालय आणि त्यांच्या अधिकृत सेवा प्रदात्यांच्या मालकीचे आहेत."
II. CONSENT,II. संमती
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","आमचे गोपनीयता धोरण, ओपन एपीआय धोरण आणि साइटवरील विशिष्ट ऑफर किंवा वैशिष्ट्यांना लागू होणारी इतर कोणतीही धोरणे, नियम किंवा मार्गदर्शक तत्त्वे या अटींमध्ये अंतर्भूत आहेत. साइटला भेट देऊन किंवा वापरून, आपण वेळोवेळी अद्यतनित केल्यानुसार या अटींशी स्पष्टपणे सहमत आहात."
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.","आपण या अटींच्या कोणत्याही भागाशी सहमत नसल्यास, साइट वापरू नका. तुम्ही साइट कोणत्याही प्रकारे वापरू शकत नाही आणि बंधनकारक करार तयार करण्यासाठी तुम्ही कायदेशीर वयाचे नसल्यास अटी स्वीकारू शकत नाही."
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,III. अटींमधील भविष्यातील बदलांबाबत सूचना:
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You take the responsibility to check these Terms of Use periodically for changes. Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.","या अटींचा कोणताही भाग बदलण्याचा, सुधारण्याचा, जोडण्याचा किंवा काढून टाकण्याचा बिनशर्त अधिकार आम्ही राखून ठेवतो, अशा बदलांबद्दल तुम्हाला विशेषत: सूचित न करता. कोणतेही बदल किंवा अद्यतने त्वरित प्रभावी होतील. बदलांसाठी वेळोवेळी या वापर अटी तपासण्याची जबाबदारी तुम्ही घेणे. अशा पुनरावृत्तीनंतर तुम्ही प्लॅटफॉर्मचा सतत वापर केल्यास सुधारित अटींची स्वीकृती होईल."
IV. ACCOUNT REGISTRATION,IV. खाते नोंदणी
"You may browse the Site without registering for an account. You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","तुम्ही खात्यासाठी नोंदणी न करता साइट ब्राउझ करू शकता. साइटद्वारे ऑफर केलेली काही वैशिष्ट्ये किंवा सेवा वापरण्याचा तुमचा हेतू असल्यास, तुम्हाला तुमच्या मोबाइल नंबरसह खात्यासाठी नोंदणी करणे आवश्यक आहे."
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","या अटी मान्य करून, तुम्ही आम्हाला तुमची ओळख माहिती (आधार तपशीलांसह) आणि तुमच्या खात्यात नोंदणीकृत इतर सर्व सदस्यांची देखील वापरण्यासाठी अधिकृत करण्यास स्पष्टपणे सहमत आहात."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure. Your registration or mobile number shall be kept confidential,तुमची वैयक्तिक माहिती आणि नोंदणी आणि ही माहिती सुरक्षित ठेवण्यात तुम्ही अयशस्वी झाल्यामुळे होणार्‍या सर्व क्रियाकलापांची गोपनीयता राखण्यासाठी तुम्ही पूर्णपणे जबाबदार आहात. तुमची नोंदणी किंवा मोबाईल क्रमांक गोपनीय ठेवला जाईल
You undertake that:,तुम्ही ते हाती घ्या:
You have obtained consent from the concerned individuals for creating their records through your account.,तुमच्या खात्याद्वारे त्यांचे रेकॉर्ड तयार करण्यासाठी तुम्ही संबंधित व्यक्तींकडून संमती घेतली आहे.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,तुमच्या खात्यात किंवा मोबाईल नंबरमध्ये त्या व्यक्तीची तोतयागिरी करण्याच्या हेतूने दुसर्‍या व्यक्तीचे नाव समाविष्ट नसावे.
You shall not use another user's account without their permission.,तुम्ही दुसऱ्या वापरकर्त्याचे खाते त्यांच्या परवानगीशिवाय वापरू नये.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach. If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","तुम्हाला तुमच्या खात्याचा कोणताही अनधिकृत वापर किंवा इतर खाते-संबंधित सुरक्षा उल्लंघन आढळल्यास, तुम्ही आम्हाला त्वरित लेखी सूचित कराल. तुमचे खाते दुसऱ्याच्या अधिकारांचे उल्लंघन करत असल्याची किंवा आमच्या धोरणांचे उल्लंघन करत असल्याची तक्रार आम्हाला मिळाल्यास आम्ही तुमचे खाते रद्द करू किंवा ब्लॉक करू."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",साइटवर सहभागींची नोंदणी करण्यासाठी तुम्ही एकाधिक इंटरनेट प्रोटोकॉल पत्ते किंवा मोबाइल नंबर वापरून किंवा इतर कोणत्याही मार्गाने तुमची ओळख लपवण्याचा प्रयत्न करू नका
V. ACCESS PERMISSIONS,V. प्रवेश परवानग्या
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,तुम्ही केवळ दस्तऐवजात वर्णन केलेल्या माध्यमांद्वारे साइटवर प्रवेश कराल (किंवा प्रवेश करण्याचा प्रयत्न कराल) आणि या कराराच्या अटी व शर्तींचे पालन कराल.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","तुम्ही सर्व केंद्रीय आणि राज्य कायदे, तुम्हाला लागू होणार्‍या आणि साइटच्या तुमच्या वापरावर आणि कोणत्याही तृतीय-पक्षाच्या अधिकारांवर परिणाम करणारे नियम आणि नियमांचे पालन कराल."
VI. ACCESS RESTRICTIONS,VI. ्रवेश निर्बंध
"You shall not, either on your own or through any other person:",ुम्ही स्वतःहून किंवा इतर कोणत्याही व्यक्तीद्वारे हे करू नये:
Restrict or inhibit any other person from using the Site,साइट वापरण्यापासून इतर कोणत्याही व्यक्तीस प्रतिबंधित किंवा प्रतिबंधित करा
Use the Site for any unlawful purpose,कोणत्याही बेकायदेशीर हेतूसाठी साइट वापरा
"Express or imply that any statements you make are endorsed by us, without our prior written consent",आमच्या पूर्व लेखी संमतीशिवाय तुम्ही केलेल्या कोणत्याही विधानाला आम्ही मान्यता दिली आहे असे व्यक्त करा किंवा सूचित करा
"Impersonate any person or entity, whether actual or fictitious","वास्तविक किंवा काल्पनिक असो, कोणत्याही व्यक्तीची किंवा घटकाची तोतयागिरी करा"
Engage in spamming or flooding,स्पॅमिंग किंवा फ्लडिंगमध्ये व्यस्त रहा
Harvest or collect information about Site users,साइट वापरकर्त्यांबद्दल माहिती काढा किंवा गोळा करा
Open multiple accounts for yourself or any other individual using multiple mobile numbers,एकाधिक मोबाईल नंबर वापरून स्वतःसाठी किंवा इतर कोणत्याही व्यक्तीसाठी एकाधिक खाती उघडा
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature","कोणतेही सॉफ्टवेअर किंवा इतर साहित्य सबमिट करा ज्यामध्ये कोणतेही व्हायरस, वर्म्स, ट्रोजन हॉर्स, दोष, डेट बॉम्ब, टाइम बॉम्ब किंवा विध्वंसक स्वरूपाच्या इतर वस्तू आहेत"
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit","तुम्ही सबमिट केलेल्या कोणत्याही पोस्टिंगचे मूळ शोधण्यासाठी, बनावट शीर्षलेखांसह अभिज्ञापक हाताळा"
Link to any portion of the Site other than the URL assigned to the home page of the Site,साइटच्या होम पेजवर नियुक्त केलेल्या यूआरएल व्यतिरिक्त साइटच्या कोणत्याही भागाशी लिंक करा
“Frame” or “Mirror” any part of the Site,साइटचा कोणताही भाग “फ्रेम” किंवा “मिरर”
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content","साइटचा कोणताही भाग सुधारणे, जुळवून घेणे, उप-परवाना, भाषांतर करणे, विक्री करणे, उलट अभियंता करणे, विघटित करणे किंवा वेगळे करणे किंवा अन्यथा सामग्रीच्या कोणत्याही भागाचा कोणताही स्त्रोत कोड किंवा अंतर्निहित कल्पना किंवा अल्गोरिदम मिळविण्याचा प्रयत्न करणे"
"Remove any copyright, trademark or other proprietary rights notices contained on the Site","साइटवर असलेले कोणतेही कॉपीराइट, ट्रेडमार्क किंवा इतर मालकी हक्क सूचना काढून टाका"
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.","कोणताही संगणक प्रोग्राम, बॉट, रोबोट, स्पायडर, ऑफलाइन रीडर, साइट शोध/पुनर्प्राप्ती ऍप्लिकेशन किंवा इतर मॅन्युअल किंवा स्वयंचलित डिव्हाइस, टूल किंवा प्रक्रिया पुनर्प्राप्त करण्यासाठी, अनुक्रमणिका, डेटा माइन किंवा कोणत्याही प्रकारे सुरक्षा संरचना, नेव्हिगेशनल पुनरुत्पादन किंवा धोक्यात आणण्यासाठी वापरा. साइटवर प्रदर्शित केलेल्या कोणत्याही कॅप्चाच्या संदर्भात सामग्री किंवा साइटची रचना, किंवा सादरीकरण."
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,शोधण्यासाठी किंवा अपॉईंटमेंट बुक करण्यासाठी कोणतेही स्वयंचलित सॉफ्टवेअर किंवा संगणक प्रणाली वापरा ज्यामध्ये असे सॉफ्टवेअर किंवा सिस्टम सक्रिय आहे अशा दुसऱ्या संगणकावर तुमच्या संगणकावरून माहिती पाठवणे समाविष्ट आहे
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,आमच्या पायाभूत सुविधांवर (आमच्या विवेकबुद्धीनुसार) अवाजवी किंवा असमानतेने मोठा भार लादणारी किंवा लादणारी कोणतीही कृती करा.
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the Content","साइट वापरा किंवा साइट किंवा सामग्रीचे पुनरुत्पादन, सुधारणे, प्रदर्शित करणे, सार्वजनिकरित्या कार्य करणे, वितरित करणे किंवा व्युत्पन्न कार्य तयार करणे"
"The Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purpose","साईट आणि/किंवा सामग्रीमध्ये प्रवेश, किंवा अधिकारांवर प्रभावीपणे नियंत्रण ठेवणाऱ्या कोणत्याही तांत्रिक उपायांना रोखण्यासाठी डिझाइन केलेले कोणतेही उपकरण, प्रोग्राम किंवा सेवेच्या प्रयत्नात किंवा संयोगाने सामग्री कोणत्याही हेतूसाठी मॅन्युअल डीकोड, डिक्रिप्ट, सुधारित किंवा उलट अभियंता प्रमाणपत्र किंवा अंतर्निहित अल्गोरिदम किंवा स्वयंचलित उपकरण किंवा प्रक्रिया"
"You will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","साइटद्वारे सहभागींची नोंदणी करण्यासाठी तुम्ही बॉट तंत्रज्ञानाचा वापर करणार नाही; शंका टाळण्यासाठी, हे विशेषत: तुम्हाला साइटवर स्वयंचलित स्क्रिप्ट आधारित किंवा स्वयंचलित सॉफ्टवेअर वापरण्यापासून प्रतिबंधित करते आणि तुम्हाला कोणत्याही सुरक्षा उपाय, प्रवेश नियंत्रण प्रणाली, किंवा साइटवरील इतर तांत्रिक नियंत्रण किंवा मापन टाळण्यापासून प्रतिबंधित करते ज्याचा वापर सहभागाची अंमलबजावणी करण्यासाठी केला जातो. मर्यादित किंवा एका मोबाइल नंबरशी संबंधित सहभागींच्या नियमांची अखंडता राखण्यासाठी"
VII. INTELLECTUAL PROPERTY RIGHTS,VII. बौद्धिक मालमत्ता अधिकार
