en,ta
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,புதிய டிக்கெட்டை உருவாக்க கீழே உள்ள படிவத்தை நிரப்பவும். அங்கன்வாடி பணியாளர் 48 மணி நேரத்திற்குள் உங்களைத் தொடர்புகொள்வார்..
Beneficiary Category ,பயனாளிகள் வகை 
Select a Beneficiary Category,பயனாளர் வகையைத் தேர்ந்தெடுக்கவும்
Children (0-6 months),குழந்தைகள் (0-6 மாதங்கள்)
Children (6 months - 3 years),குழந்தைகள் (6 மாதங்கள் - 3 ஆண்டுகள்)
Children (3 - 6 years),குழந்தைகள் (3 - 6 ஆண்டுகள்)
Query Related to ,குவெரி ரிலேடெட் டு 
Select Query Related to,தொடர்பான கேள்வியைத் தேர்ந்தெடுக்கவும்
Supervisor,மேற்பார்வையாளர்
Help Topic ,ஹெல்ப் டாபிக் 
Description ,டிஸ்க்ரிப்ஷன் 
Select a Description,விவரிப்பைத் தேர்ந்தெடுக்கவும்
Name ,பெயர் 
Mobile Number ,மொபைல் நம்பர் 
Email,மின்னஞ்சல்
Having difficulty raising ticket?,டிக்கெட்டை உயர்த்துவதில் சிரமம் உள்ளது?
support-poshantrackr@gov.in,support-poshantrackr@gov.in
By District,மாவட்ட ரீதியாக
State ,மாநிலம் 
District ,மாவட்டம் 
Project ,திட்டம் 
Select Project,திட்டத்தைத் தேர்ந்தெடுக்கவும்
Sector ,பிரிவு 
Select Sector,பிரிவைத் தேர்ந்தெடுக்கவும்
Anganwadi Center ,அங்கன்வாடி மையம் 
Select An Anganwadi center,ஒரு அங்கன்வாடி மையத்தைத் தேர்ந்தெடுக்கவும்
Create Ticket,டிக்கட்டை உருவாக்கவும்
Reset,திரும்பவும் அமைக்கவும்
Can App be accessed without internet?,இணையம் இல்லாமல் அபிபி ஐ அணுக முடியுமா?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.","இல்லை, சரியான இணைய இணைப்பு இல்லாமல் பயன்பாடு செயல்படாது."
Who are the target userbase of Poshan Tracker App?,போஷன் டிராக்கர் பயன்பாட்டின் இலக்கு பயனர் தளம் யார்?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.","போஷன் டிராக்கர் ஆப் என்பது ஆங்கன்வாடி தொழிலாளர்கள், அங்கன்வாடி மையங்கள் பயனாளிகளின் தரவை படிவங்களில் உள்ளிடுவதற்கானது. இது பொது மக்களுக்காக உருவாக்கப்படவில்லை."
How to Login in Poshan Tracker App?,போஷன் டிராக்கர் பயன்பாட்டில் உள்நுழைவது எப்படி?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","அங்கன்வாடி ஊழியர்கள் உள்நுழைவுத் திரையில் தங்கள் மொபைல் எண்களை உள்ளிடுமாறு கேட்டுகொள்ளப்படுகின்றனர். உங்கள் பதிவுசெய்யப்பட்ட மொபைல் எண்ணுக்கு ஒரு OTP அனுப்பப்படும்,அதற்கு பிறகு உங்கள் எம்பின் ஐ அமைக்கவும்."
What is  MPIN?,எம்பின் என்றால் என்ன?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"எம்பின் என்பது 4 இலக்க கடவுக்குறியீடாகும், இது போஷன் டிராக்கர் ஆப் இல் பதிவு செய்யும் போது ஒரு அங்கன்வாடி தொழிலாளியால் அமைக்கப்படுகிறது."
How to set MPIN?,எம்பின் அமைப்பது எப்படி?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","அந்தந்த அங்கன்வாடி ஊழியரால் அவரது / அவள் மொபைல் எண்ணுக்கு எதிராக OTP கோருவதன் மூலம் எம்பின் ஐ அமைக்கலாம். மொபைல் எண் ஏற்கனவே தரவுத்தளத்தில் இருந்தால், அந்தந்த அங்கன்வாடி நபர் பதிவு செய்யப்பட்ட மொபைல் எண்ணில் 4 இலக்க OTP ஐப் பெறுவார். OTP க்குள் நுழைந்த பின், அங்கன்வாடி ஊழியர்கள் தனிப்பயனாக்கப்பட்ட எம்பின் ஐ எளிதாக அமைக்க முடியும்."
When and how to use MPIN?,"எம்பின் ஐ எப்போது, ​​எப்படிப் பயன்படுத்துவது?"
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","போஷன் ட்ராக்ஜெர் பயன்பாட்டில் உள்நுழையும்போது, அங்கன்வாடி ஊழியர்கள் அவர்கள் அமைத்த எம்பின் ஐ உள்ளிட வேண்டும். இந்த எம்பிநான்என் போஷன் டிராக்கர் பயன்பாட்டை இயக்குவதற்கான கடவுக்குறியீடாக செயல்படும் மற்றும் பயனாளிகளின் படிவங்களில் தகவல்களை உள்ளிடும்."
How to Reset MPIN?,எம்பின் ஐ மீட்டமைப்பது எப்படி?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN","எந்த அடபிள்யூடபிள்யூ / அடபிள்யூசி பயனரால் எம்பின் ஐ எளிதாக மீட்டமைக்க முடியும். மறந்துவிட்ட எம்பின் ஐக் கிளிக் செய்து, உங்கள் பதிவுசெய்த மொபைல் எண்ணை உள்ளிடவும். உங்கள் பதிவுசெய்யப்பட்ட மொபைல் எண்ணில் நீங்கள் பெறுவீர்கள் மற்றும் OTP பெறுவீர்கள், மேலும் உங்கள் எம்பின் ஐ நீங்கள் எளிதாக மீட்டமைக்கலாம்."
In How many languages the Poshan Tracker App is available?,போஷன் டிராக்கர் பயன்பாடு எத்தனை மொழிகளில் கிடைக்கிறது?
Poshan Tracker App is available in 22 different languages,போஷன் டிராக்கர் பயன்பாடு 22 வெவ்வேறு மொழிகளில் கிடைக்கிறது
The various languages available are:,கிடைக்கும் பல்வேறு மொழிகள்:
English,ஆங்கிலம்
Hindi,இந்தி
Gujarati,குஜராத்தி
Punjabi,பஞ்சாபி
Marathi,மராத்தி
Bangla,பங்களா
Kannada,கன்னடம்
Tamil,தமிழ்
Telugu,தெலுங்கு
Malyalam,மல்லியம்
Odia,ஒடியா
Assamese,அசாமி
Dogri,Dogri
Konkani,Konkani
Bodo,Bodo
In how many languages AWW can enter the data while filling up the form?,படிவத்தை நிரப்பும்போது அடபிள்யூடபிள்யூ அல்லது அடபிள்யூசி எத்தனை மொழிகளில் தரவை உள்ளிடலாம்?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,அடபிள்யூடபிள்யூ படிவத்தை நிரப்புவதை ஆங்கில மொழியில் மட்டுமே செய்ய முடியும்.
How many different forms are there in Poshan Tracker App?,போஷன் டிராக்கர் பயன்பாட்டில் எத்தனை வெவ்வேறு வடிவங்கள் உள்ளன?
There are 7 different types of forms for beneficiaries. This includes:,பயனாளிகளுக்கு 7 வெவ்வேறு வகையான படிவங்கள் உள்ளன. இதில் பின்வருவன அடங்கும்:
Lactating mother,பாலூட்டும் தாய்
Pregnant women,கர்ப்பிணி பெண்கள்
Child 0-6 Months,குழந்தை 0-6 மாதங்கள்
Child 6 Months to 3 Years,குழந்தை 6 மாதங்கள் முதல் 3 வயது வரை
Child  3 Years to 6 Years,குழந்தை 3 வயது முதல் 6 வயது வரை
Adolescent Girls (11 Years-19 Years),இளம் பருவ பெண்கள் (11 வயது -19 ஆண்டுகள்)
What information to be added in AWC forms?,அடபிள்யூசி படிவங்களில் என்ன தகவல் சேர்க்கப்பட வேண்டும்?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ஒரு குறிப்பிட்ட அங்கன்வாடி மையத்தில் இருக்கும் உள்கட்டமைப்பு தொடர்பான விவரங்களை அடபிள்யூடபிள்யூ உள்ளிட வேண்டும். இதில் கட்டமைப்பு, அடிப்படை வசதிகள், வசதிகள், சுத்திகரிப்பு, குடிநீர் போன்றவை அடங்கும்."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,"மொபைல் மொபைல் எண்கள் வழியாக பதிவு செய்ய முடியாவிட்டால், அங்கன்வாடி ஊழியர்கள் பயன்பாட்டில் எவ்வாறு பதிவுபெற முடியும்?"
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,அங்கன்வாடிஊழியர்கள் தங்களை பதிவு செய்ய முடியாமைக்கு இரண்டு காரணங்கள்: 
Their mobile number is not present in the data provided by the states to the MoWCD,மோடபிள்யூசிடி க்கு மாநிலங்கள் வழங்கிய தரவுகளில் அவற்றின் மொபைல் எண் இல்லை
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,"அவை கணினியில் புதிதாக சேர்க்கப்பட்டுள்ளன, அவற்றின் மொபைல் எண் இன்னும் மாநில கலத்தால் மோடபிள்யூசிடி க்கு வழங்கப்படவில்லை."
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,மேற்கூறிய இரண்டு நிகழ்வுகளிலும் அடபிள்யூடபிள்யூ ஐ சேர்க்க / திருத்த / செயல்படுத்த / செயலிழக்க மாநில நோடல் அதிகாரிகளுக்கு அதிகாரம் உண்டு.
How can one access Poshan Tracker Dashboard?,போஷன் டிராக்கர் டாஷ்போர்டை ஒருவர் எவ்வாறு அணுக முடியும்?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,டாஷ்போர்டில் கையொப்பமிடுவதன் மூலம் போஷன் டிராக்கர் டாஷ்போர்டை அணுகலாம். 
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," என்ற இணைப்பைக் கிளிக் செய்வதன் மூலம் டாஷ்போர்டை அணுக முடியும், தேசிய, மாநில, மாவட்ட, திட்டம் மற்றும் துறை மட்டத்தில் பரிந்துரைக்கப்பட்ட நோடல் நிலை அதிகாரிகள் மட்டுமே டாஷ்போர்டை அணுக ஒரு தனித்துவமான நற்சான்றிதழ்களுடன் வழங்கப்படுகிறார்கள்."
How one can add AWW/AWCs?,ஒருவர் அடபிள்யூடபிள்யூ / அடபிள்யூசி ஐ எவ்வாறு சேர்க்க முடியும்?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"அடபிள்யூடபிள்யூ / அடபிள்யூசி களை நோடல் நிலை அதிகாரியால் மட்டுமே சேர்க்க முடியும். வரிசைக்கு மேலே உள்ள எவரும். தேசிய அளவிலான பயனர் மாநில, மாவட்டம், திட்டம் மற்றும் துறை அளவிலான பயனர்களை உருவாக்க முடியும். மாநில அளவிலான பயனர் மாவட்ட, திட்ட மற்றும் துறை அளவிலான பயனர்களை உருவாக்க முடியும், மாவட்ட அளவிலான பயனர் திட்ட மற்றும் துறை மட்ட பயனரை உருவாக்க முடியும், திட்ட அளவிலான பயனர் துறை அளவிலான பயனர்.காவை உருவாக்க முடியும்."
How many different types of reports can be generated over Poshan Tracker Dashboard?,போஷன் டிராக்கர் டாஷ்போர்டில் எத்தனை வகையான அறிக்கைகளை உருவாக்க முடியும்?
There are various reports that can be generated from,இதிலிருந்து உருவாக்கக்கூடிய பல்வேறு அறிக்கைகள் உள்ளன
General Reports:,பொது அறிக்கைகள்:
Number of app  downloads,பயன்பாட்டு பதிவிறக்கங்களின் எண்ணிக்கை
Total number of Anganwadi centers registered,பதிவு செய்யபட்ட அங்கன்வாடி மையங்களின் எண்ணிக்கை
Total number of beneficiaries registered (National/state/district/block wise),பதிவுசெய்யப்பட்ட மொத்த பயனாளிகளின் எண்ணிக்கை (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக)
Total Number of pregnant women registered(National/state/district/block wise),பதிவுசெய்யப்பட்ட கர்ப்பிணிப் பெண்களின் மொத்த எண்ணிக்கை (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக)
Total Number of  lactating mothers registered(National/state/district/block wise),பதிவுசெய்த பாலூட்டும் தாய்மார்களின் மொத்த எண்ணிக்கை (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக)
Total Number of children (0-6months) registered(National/state/district/block wise),பதிவுசெய்யப்பட்ட மொத்த குழந்தைகளின் எண்ணிக்கை (0-6 மாதங்கள்) (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக)
Total Number of children (6months-3years) registered(National/state/district/ block wise),பதிவுசெய்யப்பட்ட மொத்த குழந்தைகளின் எண்ணிக்கை (6 மாதங்கள் -3 ஆண்டுகள்) பதிவுசெய்யப்பட்டது (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக)
Total Number of children (3-6years) registered(National/state/district/ block wise),பதிவுசெய்யப்பட்ட மொத்த குழந்தைகளின் எண்ணிக்கை (3-6 வயது) பதிவுசெய்யப்பட்டது (தேசிய / மாநில / மாவட்டம் / தொகுதி வாரியாக)
Maternal and child nutrition:,தாய் மற்றும் குழந்தை ஊட்டச்சத்து:
How many beneficiaries got THR in 21 days,21 நாட்களில் எத்தனை பயனாளிகளுக்கு THR கிடைத்தது
How many children breastfed exclusively in the first hour after delivery,பிரசவத்திற்குப் பிறகு குறிப்பாக முதல் ஒரு மணிநேரத்தில் எத்தனை குழந்தைகள் தாய்ப்பால் அருந்தினர்
How many lactating mothers are given HCM,பாலூட்டும் தாய்மார்களில் எத்தனை பேருக்கு எச்.சி.எம் கொடுக்கப்பட்டது.
Average level of calcium in children aged 3-6 years,பிரசவத்திற்குப் பிறகு குறிப்பாக முதல் ஒரு மணிநேரத்தில் எத்தனை குழந்தைகள் தாய்ப்பால் அருந்தினர்
Average level of iron in children aged 3-6years,3-6 வயது குழந்தைகளில் கால்சியத்தின் சராசரி நிலை
"Total number of vaccinations administered per month (block, district, state, national level)",3-6 வயது குழந்தைகளில் இரும்பின் சராசரி நிலை
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,"ஒரு மாதத்தில் போடப்பட்ட தடுப்பூசி (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)"
AWC infrastructure:,செலுத்தப்பட்ட குறிப்பிட்ட தடுப்பூசிகளின் அறிக்கை மாதம்தோறும் (பி.சி.ஜி / ஓ.பி.வி / ஹெபடைடிஸ் பி / ரோட்டா வைரஸ் / போலியோ / நியூமோகாக்கல் / பென்டாவலண்ட்)
"Number of AWCs (block, district, state, national level)",அடபிள்யூசி உள்கட்டமைப்பு:
"Total number of Balvatikas (block district, state, national level)","அடபிள்யூசி களின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","பால்வதிகாக்களின் மொத்த எண்ணிக்கை (தொகுதி மாவட்டம், மாநிலம், தேசிய அளவில்)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","சுத்தமான குடிநீருடன் அங்கன்வாடி மையங்களின் மொத்த எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)"
"Total number of AWCs (block, district, state, national level) with electricity","வேலை செய்யும் எடை கருவியுடன் உள்ள மொத்த அங்கன்வாடி மையங்களின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய நிலை)"
Total number of AWCs that are government owned,"மின்சார இணைப்புடன் கூடிய மொத்த அங்கன்வாடிகளின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)"
Total number of AWCs that are privately owned,அரசாங்கத்திற்கு சொந்தம அங்கன்வாடிகளின் மொத்த எண்ணிக்கை
How to contact Poshan Tracker Team?,தனியாருக்குச் சொந்தமான அடபிள்யூசி களின் மொத்த எண்ணிக்கை
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,போஷான் டிராக்கர் குழுவை support-poshantrackr@gov.in இல் மின்னஞ்சல்களை அனுப்புவதன் மூலம் தொடர்பு கொள்ளலாம். கையிருப்பு மற்றும் ஆதரவுக்காக ஒவ்வொரு நாளும் பிற்பகல் 4:15 மணி முதல் மாலை 5:15 மணி வரை வீடியோ மாநாட்டிலும் கிடைக்கிறோம்.
What is Poshan Calculator,போஷன் கால்குலேட்டர் என்றால் என்ன
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,உலக சுகாதார அமைப்பின் (WHO) தரநிலைகளின்படி குழந்தையின் பல்வேறு சுகாதார நிலைமைகளை கண்டறிய போஷன் கால்குலேட்டர் உதவுகிறது.
WHO standards are :,WHO தரநிலைகள் :
Stunting ( Height for Age)- ,ஸ்டண்டிங் (வயதுக்கு ஏற்ற உயரம்)- 
0 months to 6 years,0 மாதங்கள் முதல் 6 வயது வரை
Severely Stunted,மிகவும் வளர்ச்சி குன்றிய
Moderately stunted,மிதமான வளர்ச்சி குன்றியது
Normal,இயல்பான
Underweight (Weight for Age)- ,குறைந்த எடை (வயதுக்கு ஏற்ற எடை)- 
Severely Underweight,கடுமையான எடை குறைவு
Moderately Underweight,ஓரளவு எடை குறைவு
Wasting (Weight for Height)- ,விரயம் (உயரத்திற்க்கான எடை)- 
0 months to 5 years,0 மாதங்கள் முதல் 5 வயது வரை
Severely Wasted (SAM),கடுமையான ஊட்டச்சத்து குறைபாடு (SAM)
Moderately Wasted (MAM),மிதமான ஊட்டச்சத்து குறைபாடு (MAM)
Overweight,அதிக எடை
Obese,உடல் பருமன்
Above standards are defined as per given above mentioned age brackets,மேலே குறிப்பிடப்பட்ட தரநிலைகள் வயது வரம்புகளின்படி வரையறுக்கப்பட்டுள்ளன
About Reference tables,குறிப்பு அட்டவணைகள் பற்றி
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,உலகெங்கிலும் உள்ள கைக்குழந்தைகள் மற்றும் சிறு குழந்தைகளின் வளர்ச்சி மற்றும் வளர்ச்சியை மதிப்பிடுவதற்கான புதிய வளர்ச்சி வளைவுகளை உருவாக்க 1997 மற்றும் 2003 க்கு இடையில் WHO மல்டிசென்டர் க்ரோத் ரெஃபரன்ஸ் ஸ்டடி (MGRS) மேற்கொள்ளப்பட்டது.
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).","MGRS ஆனது பல்வேறு இனப் பின்னணிகள் மற்றும் கலாச்சார அமைப்புகளைச் சேர்ந்த (பிரேசில், கானா, இந்தியா, நார்வே, ஓமன் மற்றும் அமெரிக்கா) சுமார் 8500 குழந்தைகளிடமிருந்து முதன்மை வளர்ச்சித் தரவு மற்றும் தொடர்புடைய தகவல்களைச் சேகரித்தது."
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,புதிய வளர்ச்சி வளைவுகள் பிறப்பு முதல் ஐந்து வயது வரை உள்ள அனைத்து குழந்தைகளுக்கும் உடலியல் வளர்ச்சியின் சிறந்த விளக்கத்தை பிரதிபலிக்கும் ஒரு சர்வதேச தரத்தை வழங்கும் மற்றும் தாய்ப்பால் கொடுக்கும் குழந்தை வளர்ச்சிக்கான நெறிமுறை மாதிரியாக நிறுவப்படும் என்று எதிர்பார்க்கப்படுகிறது.
How to revive your Health?,உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது?
How to revive your health if you are Severely Wasted (SAM),நீங்கள் கடுமையான ஊட்டச்சத்து குறைபாடு உள்ளவராக இருந்தால் (SAM) உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது
How to revive your health if you are Moderately Wasted (MAM),நீங்கள் மிதமான ஊட்டச்சத்து குறைபாடு உள்ளவராக இருந்தால் (MAM) உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது
How to revive your health if you are Underweight,நீங்கள் எடை குறைவாக இருந்தால் உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது
Check Ticket Status,டிக்கெட் நிலையை சரிபார்க்கவும்
Please provide your mobile number and a ticket number.,உங்கள் மொபைல் எண் மற்றும் டிக்கெட் நம்பரை வழங்கவும்.
Mobile ,மொபைல் 
Ticket Number ,டிக்கெட் நம்பர் 
View Ticket,டிக்கெட்டைப் பார்க்க
Average level of iron in children aged 3-6years,3-6 வயது குழந்தைகளில் இரும்பின் சராசரி நிலை
"Total number of vaccinations administered per month (block, district, state, national level)","ஒரு மாதத்தில் போடப்பட்ட தடுப்பூசி (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)"
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,செலுத்தப்பட்ட குறிப்பிட்ட தடுப்பூசிகளின் அறிக்கை மாதம்தோறும் (பி.சி.ஜி / ஓ.பி.வி / ஹெபடைடிஸ் பி / ரோட்டா வைரஸ் / போலியோ / நியூமோகாக்கல் / பென்டாவலண்ட்)
AWC infrastructure:,அடபிள்யூசி உள்கட்டமைப்பு:
"Number of AWCs (block, district, state, national level)","அடபிள்யூசி களின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)"
"Total number of Balvatikas (block district, state, national level)","பால்வதிகாக்களின் மொத்த எண்ணிக்கை (தொகுதி மாவட்டம், மாநிலம், தேசிய அளவில்)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","சுத்தமான குடிநீருடன் அங்கன்வாடி மையங்களின் மொத்த எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","வேலை செய்யும் எடை கருவியுடன் உள்ள மொத்த அங்கன்வாடி மையங்களின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய நிலை)"
"Total number of AWCs (block, district, state, national level) with electricity","மின்சார இணைப்புடன் கூடிய மொத்த அங்கன்வாடிகளின் எண்ணிக்கை (தொகுதி, மாவட்டம், மாநிலம், தேசிய அளவில்)"
Total number of AWCs that are government owned,அரசாங்கத்திற்கு சொந்தம அங்கன்வாடிகளின் மொத்த எண்ணிக்கை
Total number of AWCs that are privately owned,தனியாருக்குச் சொந்தமான அடபிள்யூசி களின் மொத்த எண்ணிக்கை
How to contact Poshan Tracker Team?,போஷன் டிராக்கர் குழுவை எவ்வாறு தொடர்பு கொள்வது?
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,நன்றி! பின்வருபவை 
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”)."," இல் ஹோஸ்ட் செய்யப்பட்ட போஷன் டிராக்கர் பிளாட்ஃபார்ம் மற்றும் இணைக்கப்பட்ட அனைத்து தளங்களும் அதன் நிறுவனங்கள் மற்றும் துணை நிறுவனங்கள் (ஒட்டுமொத்தமாக, ""தளம்"") உங்கள் பயன்பாட்டை நிர்வகிக்கும் சேவை விதிமுறைகள் (“விதிமுறைகள்”)."
I. OWNERSHIP,I. உரிமை
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","தளம் மற்றும் அனைத்து தரவு, உரை, வடிவமைப்புகள், பக்கங்கள், அச்சுத் திரைகள், படங்கள், கலைப்படைப்புகள், புகைப்படங்கள், ஆடியோ மற்றும் வீடியோ கிளிப்புகள், HTML குறியீடு, மூலக் குறியீடு அல்லது தளத்தில் வசிக்கும் அல்லது பார்க்கக்கூடிய அல்லது வேறுவிதமாகக் கண்டறியக்கூடிய மென்பொருள், மற்றும் தளத்தில் இருந்து முன்பதிவு செய்துள்ள அனைத்து பங்கேற்பாளர்களும், (ஒட்டுமொத்தமாக, ""உள்ளடக்கம்"" என அழைக்கப்படுகிறது) பெண்கள் மற்றும் குழந்தைகள் மேம்பாட்டு அமைச்சகம் மற்றும் அவர்களின் அங்கீகரிக்கப்பட்ட சேவை வழங்குநர்களுக்கு சொந்தமானது."
II. CONSENT,II. சம்மதம்
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","எங்கள் தனியுரிமைக் கொள்கை, API கொள்கை மற்றும் தளத்தில் உள்ள குறிப்பிட்ட சலுகைகள் அல்லது அம்சங்களுக்குப் பொருந்தக்கூடிய பிற கொள்கைகள், விதிகள் அல்லது வழிகாட்டுதல்கள் இந்த விதிமுறைகளில் இணைக்கப்பட்டுள்ளன. தளத்தைப் பார்வையிடுவதன் மூலம் அல்லது பயன்படுத்துவதன் மூலம், அவ்வப்போது புதுப்பிக்கப்படும் இந்த விதிமுறைகளை நீங்கள் வெளிப்படையாக ஒப்புக்கொள்கிறீர்கள்."
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.","இந்த விதிமுறைகளில் ஏதேனும் ஒரு பகுதியை நீங்கள் ஏற்கவில்லை என்றால், தளத்தைப் பயன்படுத்த வேண்டாம். நீங்கள் எந்த வகையிலும் தளத்தைப் பயன்படுத்தக்கூடாது மற்றும் பிணைப்பு ஒப்பந்தத்தை உருவாக்குவதற்கு நீங்கள் சட்டப்பூர்வ வயதுடையவராக இல்லாவிட்டால் விதிமுறைகளை ஏற்க முடியாது."
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,III. விதிமுறைகளில் எதிர்கால மாற்றங்கள் குறித்த அறிவிப்பு:
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You take the responsibility to check these Terms of Use periodically for changes. Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.","மாற்றங்களை உங்களுக்குத் தெரிவிக்காமல், எந்த நேரத்திலும் இந்த விதிமுறைகளின் எந்தப் பகுதியையும் மாற்ற, திருத்த, சேர்க்க அல்லது அகற்ற நிபந்தனையற்ற உரிமையை நாங்கள் வைத்திருக்கிறோம். ஏதேனும் மாற்றங்கள் அல்லது புதுப்பிப்புகள் செய்யப்பட்டால் அவை உடனடியாக நடைமுறைக்கு வரும். இந்த பயன்பாட்டு விதிமுறைகளை மாறுதல்களை அவ்வப்போது சரிபார்ப்பது உங்களுடைய பொறுப்பு. அத்தகைய திருத்தத்திற்குப் பிறகு நீங்கள் இயங்குதளத்தைத் தொடர்ந்து பயன்படுத்துவது, மாற்றியமைக்கப்பட்ட விதிமுறைகளை ஏற்றுக்கொள்வதாக அமையும்."
IV. ACCOUNT REGISTRATION,IV. கணக்கு பதிவு
"You may browse the Site without registering for an account. You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","நீங்கள் ஒரு கணக்கிற்கு பதிவு செய்யாமல் தளத்தில் உலாவலாம். தளம் வழங்கும் சில அம்சங்கள் அல்லது சேவைகளைப் பயன்படுத்த நீங்கள் விரும்பினால், உங்கள் மொபைல் எண்ணுடன் ஒரு கணக்கைப் பதிவு செய்ய வேண்டும்."
