en,hi
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोषण ट्रैकर में आँगनवाड़ी सेवा योजनाओं के आँकड़े को अपलोड करना
Download PDF,PDF डाउनलोड करें
01 March,03 जून
2021,2021
Data Plan for Mobile Application,मोबाइल एप्लिकेशन के लिए डेटा प्लान
Download PDF,PDF डाउनलोड करें
02 February,02 फरवरी
2021,2021
Specifications of Smart phone and Technical Compatibility Testing,स्मार्ट फोन के विनिर्देश और तकनीकी संगतता परीक्षण
Download PDF,PDF डाउनलोड करें
02 February,02 फरवरी
2021,2021
Training on ICT Platform under POSHAN Abhiyaan,पोषण अभियान के तहत ICT प्लैटफ़ार्म पर प्रशिक्षण
Download PDF,PDF डाउनलोड करें
02 February,02 फरवरी
2021,2021
New Poshan Tracker App - CSC-SPV Nodal Person,नया पोषण ट्रैकर एप्प-CSC-SPV नोडल व्यक्ति
Download PDF,PDF डाउनलोड करें
13 January,13 जनवरी
2021,2021
New Poshan Tracker App,नया पोषण ट्रैकर एप्प
Download PDF,PDF डाउनलोड करें
Support,सहायता
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल एप्प डाउनलोड करें
Powered By,Powered By
About,के बारे में
Resources,स्रोत
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,अक्सर पूछे जाने वाले प्रश्न
Poshan Calculator,पोषण कैल्कुलेटर/ मापक
Terms of Service,सेवा की शर्तें
Privacy Policy,गोपनियता नीति
Careers,अवसर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (स्वास्थ्य पहचान पत्र)
Language,भाषा
About,के बारे में
Resources,स्रोत
Resources,स्रोत
Vaccination Schedule,टीकाकरण सूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण/उपाय
State Helpdesk,राज्य सहायता केंद्र
FAQ,अक्सर पूछे जाने वाले प्रश्न
Poshan Calculator,पोषण कैल्कुलेटर/ मापक
Login,लॉगिन
