en,pa
DPT-Booster-2,ਡੀਪੀਟੀ-ਬੂਸਟਰ-2
Pregnant Women,ਗਰਭਵਤੀ ਔਰਤਾਂ
"Td1, 2 or Td Booster***","ਟੀਡੀ1, 2 ਜਾਂ ਟੀਡੀ ਬੂਸਟਰ*"
Support,ਸਹਿਯੋਗ
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ
Powered By,Powered By
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Helpdesk,ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Terms of Service,ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ
Privacy Policy,ਗੋਪਨੀਅਤਾ ਨੀਤੀ
Careers,ਕਰੀਅਰ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
JanAndolan,JanAndolan
ABHA (Health ID),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ)
Language,ਭਾਸ਼ਾ
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Resources,ਸਰੋਤ
Vaccination Schedule,ਟੀਕਾਕਰਨ ਅਨੁਸੂਚੀ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ਹੈਲਪਡੈਸਕ
Beneficiary Redressal,ਲਾਭਪਾਤਰੀ ਨਿਵਾਰਣ
State Helpdesk,ਸਟੇਟ ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Login,ਲਾਗਇਨ
India,India
Select State,ਰਾਜ ਦੀ ਚੋਣ ਕਰੋ
Select District,ਜ਼ਿਲ੍ਹਾ ਚੁਣੋ
Last Updated On : 18/04/2023,Last Updated On : 18/04/2023
General Information,General Information
*State level aggregated data as received from States,*State level aggregated data as received from States
Owned Building,Owned Building
AWC Infrastructure,AWC Infrastructure
Functional Toilet,Functional Toilet
AWC Infrastructure,AWC Infrastructure
Drinking Water Source,Drinking Water Source
AWC Infrastructure,AWC Infrastructure
Anganwadi Center Details,Anganwadi Center Details
Report for Mar 2023,Report for Mar 2023
Eligible Beneficiaries,Eligible Beneficiaries
As on 31st Mar 2023,As on 31st Mar 2023
Aspirational Districts & North East Region,Aspirational Districts & North East Region
Adolescent Girls,Adolescent Girls
Total,Total
Aadhaar Verified,Aadhaar Verified
Adolescent Girls,Adolescent Girls
Take Home Ration (THR),Take Home Ration (THR)
Given For Atleast 21 Days,Given For Atleast 21 Days
Key Services,Key Services
Report for Mar 2023,Report for Mar 2023
* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App,* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App
Support,ਸਹਿਯੋਗ
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ
Powered By,Powered By
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Helpdesk,ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Terms of Service,ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ
Privacy Policy,ਗੋਪਨੀਅਤਾ ਨੀਤੀ
Careers,ਕਰੀਅਰ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ)
Language,ਭਾਸ਼ਾ
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Resources,ਸਰੋਤ
Vaccination Schedule,ਟੀਕਾਕਰਨ ਅਨੁਸੂਚੀ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ਹੈਲਪਡੈਸਕ
Beneficiary Redressal,ਲਾਭਪਾਤਰੀ ਨਿਵਾਰਣ
State Helpdesk,ਸਟੇਟ ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Login,ਲਾਗਇਨ
Login to your account,ਆਪਣੇ ਖਾਤੇ ਵਿੱਚ ਲਾਗਇੰਨ ਕਰੋ
User Name ,ਉਪਭੋਗਤਾ ਨਾਮ 
Password ,ਪਾਸਵਰਡ 
Login,ਲਾਗਇੰਨ
Support,ਸਹਿਯੋਗ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ
Powered By,Powered By
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Helpdesk,ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Terms of Service,ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ
Privacy Policy,ਗੋਪਨੀਅਤਾ ਨੀਤੀ
Careers,ਕਰੀਅਰ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ)
Language,ਭਾਸ਼ਾ
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Resources,ਸਰੋਤ
Vaccination Schedule,ਟੀਕਾਕਰਨ ਅਨੁਸੂਚੀ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ਹੈਲਪਡੈਸਕ
Beneficiary Redressal,ਲਾਭਪਾਤਰੀ ਨਿਵਾਰਣ
State Helpdesk,ਸਟੇਟ ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Login,ਲਾਗਇਨ
OPEN A NEW TICKET,ਇੱਕ ਨਵੀਂ ਟਿਕਟ ਖੋਲ੍ਹੋ
CHECK TICKET STATUS,ਟਿਕਟ ਸਥਿਤੀ ਦੀ ਜਾਂਚ ਕਰੋ
Create a New Ticket,ਇੱਕ ਨਵੀਂ ਟਿਕਟ ਬਣਾਓ
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,ਕਿਰਪਾ ਕਰਕੇ ਨਵੀਂ ਟਿਕਟ ਬਣਾਉਣ ਲਈ ਹੇਠਾਂ ਦਿੱਤੇ ਫਾਰਮ ਨੂੰ ਭਰੋ। ਆਂਗਣਵਾੜੀ ਵਰਕਰ 48 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਤੁਹਾਡੇ ਨਾਲ ਸੰਪਰਕ ਕਰੇਗੀ।.
Beneficiary Category ,ਲਾਭਪਾਤਰੀ ਸ਼੍ਰੇਣੀ 
*,*
Select a Beneficiary Category,ਲਾਭਪਾਤਰੀ ਸ਼੍ਰੇਣੀ ਚੁਣੋ
Pregnant Women, ਗਰਭਵਤੀ .ਰਤਾਂ
Lactating Mothers,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ
Children (0-6 months),ਬੱਚੇ (0-6 ਮਹੀਨੇ)
Children (6 months - 3 years),ਬੱਚੇ (6 ਮਹੀਨੇ - 3 ਸਾਲ)
Children (3 - 6 years),ਬੱਚੇ (3 - 6 ਸਾਲ)
Adolescent Girls,Adolescent Girls
Query Related to ,ਸਬੰਧਤ ਪੁੱਛਗਿੱਛ 
*,*
Select Query Related to,ਚੋਣ ਕੁਏਰੀ ਇਸ ਨਾਲ ਸਬੰਧਿਤ ਹੈ
AWW/AWC,AWW/AWC
Supervisor,ਸੁਪਰਵਾਈਜ਼ਰ
Help Topic ,ਮਦਦ ਦਾ ਵਿਸ਼ਾ 
*,*
Select a Help Topic,Select a Help Topic
Description ,ਵਰਣਨ 
*,*
Select a Description,ਵੇਰਵਾ ਚੁਣੋ
Name ,ਨਾਮ 
*,*
Mobile Number ,Mobile Number 
*,*
Email,ਈਮੇਲ
Having difficulty raising ticket?,ਟਿਕਟ ਲੈਣ ਵਿੱਚ ਮੁਸ਼ਕਲ ਆ ਰਹੀ ਹੈ?
Poshan Helpline,Poshan Helpline
14408,14408
Email,ਈਮੇਲ
support-poshantrackr@gov.in,support-poshantrackr@gov.in
By District,ਜ਼ਿਲ੍ਹੇ ਦੁਆਰਾ
State ,ਰਾਜ 
Select State,ਰਾਜ ਦੀ ਚੋਣ ਕਰੋ
District ,ਜ਼ਿਲ੍ਹਾ 
Select District,ਜ਼ਿਲ੍ਹਾ ਚੁਣੋ
Project ,ਪ੍ਰੋਜੈਕਟ 
Select Project,ਪ੍ਰੋਜੈਕਟ ਚੁਣੋ
Sector ,ਸੈਕਟਰ 
Select Sector,ਸੈਕਟਰ ਚੁਣੋ
Anganwadi Center ,ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ 
Select An Anganwadi center,ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਚੁਣੋ
Create Ticket,ਟਿੱਕਟ ਬਣਾਓ
Reset,ਰੀਸੈੱਟ ਕਰੋ
Support,ਸਹਿਯੋਗ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ
Powered By,Powered By
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Helpdesk,ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Terms of Service,ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ
Privacy Policy,ਗੋਪਨੀਅਤਾ ਨੀਤੀ
Careers,ਕਰੀਅਰ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ)
Language,ਭਾਸ਼ਾ
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Resources,ਸਰੋਤ
Vaccination Schedule,ਟੀਕਾਕਰਨ ਅਨੁਸੂਚੀ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ਹੈਲਪਡੈਸਕ
Beneficiary Redressal,ਲਾਭਪਾਤਰੀ ਨਿਵਾਰਣ
State Helpdesk,ਸਟੇਟ ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Login,ਲਾਗਇਨ
Frequently Asked Questions,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
ALL,ਸਾਰੇ
BENEFICIARY REGISTRATION,ਲਾਭਪਾਤਰੀ ਰਜਿਸਟ੍ਰੇਸ਼ਨ
Take Home Ration,ਰਾਸ਼ਨ ਘਰ ਲਿਜਾਉ
Hot Cooked Meal,ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ
What is Poshan Abhiyaan?,ਪੋਸ਼ਣ ਅਭਿਆਨ ਕੀ ਹੈ?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ਪੋਸ਼ਣ ਅਭਿਆਨ, ਬੱਚਿਆਂ, ਕਿਸ਼ੋਰਾਂ, ਗਰਭਵਤੀ ਔਰਤਾਂ ਅਤੇ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਲਈ ਤਕਨਾਲੋਜੀ, ਇੱਕ ਨਿਸ਼ਾਨਾ ਪਹੁੰਚ ਅਤੇ ਇਕਸਾਰਤਾ ਦੁਆਰਾ ਲਾਭ ਪ੍ਰਾਪਤ ਕਰਨ ਦੇ ਪੋਸ਼ਣ ਸੰਬੰਧੀ ਨਤੀਜਿਆਂ ਵਿੱਚ ਸੁਧਾਰ ਲਿਆਉਣ ਲਈ ਭਾਰਤ ਦਾ ਮੁੱਖ ਪ੍ਰੋਗਰਾਮ ਹੈ |"
What is the purpose of Launching Poshan Tracker?,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਨੂੰ ਸ਼ੁਰੂ ਕਰਨ ਦਾ ਉਦੇਸ਼ ਕੀ ਹੈ?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","ਪੋਸ਼ਣ ਟਰੈਕਰ ਐਪਲੀਕੇਸ਼ਨ ਦਾ ਉਦੇਸ਼ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ (ਏਡਬਲਯੂਸੀ) ਦੀਆਂ ਗਤੀਵਿਧੀਆਂ, ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (ਡਬਲਯੂਡਬਲਯੂਡਬਲਯੂ) ਦੀ ਸੇਵਾ ਸਪੁਰਦਗੀ ਅਤੇ ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਅਤੇ ਬੱਚਿਆਂ ਲਈ ਪੂਰਨ ਲਾਭਪਾਤਰੀ ਪ੍ਰਬੰਧਨ ਦੇ ਕੰਮਾਂ ਦਾ ਇੱਕ 360 ਡਿਗਰੀ ਦ੍ਰਿਸ਼ ਪ੍ਰਦਾਨ ਕਰਨਾ ਹੈ| ਪ੍ਰਸਤਾਵਿਤ ਪ੍ਰਣਾਲੀ ਨੂੰ ਪਰਿਭਾਸ਼ਤ ਸੂਚਕਾਂ ਤੇ ਸਾਰੇ ਏਡਬਲਯੂਸੀ, ਡਬਲਯੂਡਬਲਯੂਡਬਲਯੂ ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਅਸਲ-ਸਮੇਂ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਟਰੈਕਿੰਗ ਨੂੰ ਸਮਰੱਥ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ|"
How can one Download Poshan Tracker App?,ਕੋਈ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਕਿਵੇਂ ਡਾਊਨਲੋਡ ਕਰ ਸਕਦਾ ਹੈ?
Poshan Tracker App is available over Google playstore ,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਗੂਗਲ ਪਲੇਸਟੋਰ 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com /store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?, ਤੇ ਉਪਲਬਧ ਹੈ|
"No, Poshan Tracker is available only for Android version",ਕੋਈ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਕੇਵਲ ਐਂਡਰਾਇਡ ਸੰਸਕਰਣ ਲਈ ਉਪਲਬਧ ਨਹੀਂ ਹੈ|
What is the minimum requirement to install Poshan Tracker App in mobile?,ਮੋਬਾਈਲ ਵਿੱਚ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਨੂੰ ਸਥਾਪਤ ਕਰਨ ਲਈ ਘੱਟੋ ਘੱਟ ਲੋੜ ਕੀ ਹੈ?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਸਿਰਫ ਐਂਡਰਾਇਡ ਫੋਨ ਵਿੱਚ ਐਂਡਰਾਇਡ ਵਰਜ਼ਨ 6.0 ਅਤੇ ਇਸਤੋਂ ਵੱਧ ਦੇ ਨਾਲ ਇੰਸਟੌਲ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ|
Can App be accessed without internet?,ਕੀ ਐਪ ਨੂੰ ਇੰਟਰਨੈਟ ਤੋਂ ਬਿਨਾਂ ਚਲਾਇਆ ਜਾ ਸਕਦਾ ਹੈ?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.",ਕੋਈ ਵੀ ਐਪ ਵੈਧ ਇੰਟਰਨੈਟ ਕਨੈਕਸ਼ਨ ਤੋਂ ਬਿਨਾਂ ਕੰਮ ਨਹੀਂ ਕਰਦੀ ਹੈ|
Who are the target userbase of Poshan Tracker App?,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਦੇ ਟਾਰਗੇਟ ਯੂਜ਼ਰਬੇਸ ਕੌਣ ਹਨ?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.","ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਦਾ ਅਰਥ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ ਲਈ ਹੈ, ਆਂਗਣਵਾੜੀ ਕੇਂਦਰਾਂ ਵਿੱਚ ਲਾਭਪਾਤਰੀਆਂ ਦੇ ਫਾਰਮ ਦਾਖਲ ਕਰਨ ਲਈ ਇਹ ਆਮ ਲੋਕਾਂ ਲਈ ਬਿਲਕੁਲ ਵਿਕਸਤ ਨਹੀਂ ਹੈ|"
How to Login in Poshan Tracker App?,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਵਿਚ ਲੋਗਿਨ ਕਿਵੇਂ ਕਰੀਏ?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਬੇਨਤੀ ਕੀਤੀ ਜਾਂਦੀ ਹੈ ਕਿ ਉਹ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰ ਲੌਗਿਨ ਸਕ੍ਰੀਨ ਵਿੱਚ ਦਾਖਲ ਕਰਨ| ਇੱਕ ਓਟੀਪੀ ਤੁਹਾਡੇ ਰਜਿਸਟਰ ਕੀਤੇ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ ਭੇਜਿਆ ਜਾਏਗਾ ਜਿਸਦੀ ਤੁਹਾਨੂੰ ਆਪਣੀ ਐਮਪੀ ਆਈਐਨ ਨਿਰਧਾਰਤ ਕਰਨ ਦੀ ਜ਼ਰੂਰਤ ਹੈ|
What is  MPIN?,ਐਮਪੀਆਈਐੱਨ ਕੀ ਹੈ?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,ਜੋ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਏਪੀਪੀ ਉੱਤੇ ਰਜਿਸਟਰ ਕਰਦੇ ਸਮੇਂ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਕੀਤੀ ਗਈ ਹੈ|
How to set MPIN?,ਐਮਪੀਆਈਐੱਨ ਕਿਵੇਂ ਨਿਰਧਾਰਤ ਕਰੀਏ?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","ਐਮਪੀਆਈਐਨ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਦੁਆਰਾ ਉਸਦੇ ਮੋਬਾਇਲ ਨੰਬਰ ਦੇ ਵਿਰੁੱਧ ਇੱਕ ਓਟੀਪੀ ਦੀ ਬੇਨਤੀ ਕਰਕੇ ਨਿਰਧਾਰਤ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ| ਜੇ ਮੋਬਾਈਲ ਨੰਬਰ ਪਹਿਲਾਂ ਤੋਂ ਹੀ ਡੇਟਾਬੇਸ ਵਿੱਚ ਮੌਜੂਦ ਹੈ, ਤਾਂ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਿਅਕਤੀ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ 4 ਅੰਕਾਂ ਦਾ ਓਟੀਪੀ ਪ੍ਰਾਪਤ ਕਰੇਗਾ| ਓਟੀਪੀ ਵਿੱਚ ਦਾਖਲ ਹੋਣ ਤੋਂ ਬਾਅਦ, ਏਡਬਲਯੂਡਬਲਯੂ ਅਸਾਨੀ ਨਾਲ ਕਸਟਮਾਈਜ਼ਡ ਐਮਪੀਆਈਐਨ ਨਿਰਧਾਰਤ ਕਰ ਸਕਦਾ ਹੈ|"
When and how to use MPIN?,ਐਮਪੀਆਈਐੱਨ ਕਦੋਂ ਅਤੇ ਕਿਵੇਂ ਵਰਤੀਏ?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਤੇ ਲੋਗਿਨ ਕਰਦੇ ਸਮੇਂ, ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਉਹਨਾਂ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਐਮਪੀਆਈ ਦਾਖਲ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ| ਇਹ ਐਮਪੀਆਈਐਨ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਚਲਾਉਣ ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੇ ਫਾਰਮ ਵਿਚ ਜਾਣਕਾਰੀ ਦਾਖਲ ਕਰਨ ਲਈ ਇਕ ਪਾਸਕੋਡ ਵਜੋਂ ਕੰਮ ਕਰੇਗੀ |"
How to Reset MPIN?,ਐਮਪੀਆਈਐਨ ਨੂੰ ਰੀਸੈਟ ਕਿਵੇਂ ਕਰੀਏ?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN","ਐਮਪੀਆਈਐਨ ਕਿਸੇ ਵੀ ਏਡਬਲਯੂਡਬਲਯੂ / ਏਡਬਲਯੂਸੀ ਉਪਭੋਗਤਾ ਦੁਆਰਾ ਅਸਾਨੀ ਨਾਲ ਰੀਸੈਟ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ| ਤੁਹਾਨੂੰ ਭੁੱਲ ਗਏ ਐਮਪੀਆਈਐਨ ਤੇ ਕਲਿਕ ਕਰਨ ਦੀ ਜ਼ਰੂਰਤ ਹੈ, ਅਤੇ ਆਪਣਾ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਦਰਜ ਕਰੋ| ਤੁਸੀਂ ਆਪਣੇ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ ਪ੍ਰਾਪਤ ਕਰੋਗੇ ਅਤੇ ਓਟੀਪੀ ਪ੍ਰਾਪਤ ਕਰੋਗੇ ਅਤੇ ਤੁਸੀਂ ਆਪਣੀ ਐਮਪੀਆਈਐਨ ਨੂੰ ਰੀਸੈਟ ਕਰ ਸਕਦੇ ਹੋ|"
In How many languages the Poshan Tracker App is available?,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਕਿੰਨੀ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਉਪਲਬਧ ਹੈ?
Poshan Tracker App is available in 22 different languages,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ 22 ਵੱਖੋ ਵੱਖਰੀਆਂ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਉਪਲਬਧ ਹੈ|
The various languages available are:,ਉਪਲਬਧ ਵੱਖ ਵੱਖ ਭਾਸ਼ਾਵਾਂ ਹਨ:
English,ਅੰਗਰੇਜ਼ੀ
Hindi,ਹਿੰਦੀ
Gujarati,ਗੁਜਰਾਤੀ
Punjabi,ਪੰਜਾਬੀ
Marathi,ਮਰਾਠੀ
Bangla,ਬੰਗਲਾ
Kannada,ਕੰਨੜ
Tamil,ਤਾਮਿਲ
Telugu,ਤੇਲਗੂ
Malyalam,ਮਲਿਆਲਮ
Odia,ਓਡੀਆ
Assamese,ਅਸਾਮੀ
Nepali,Nepali
Dogri,Dogri
Konkani,Konkani
Sindhi,Sindhi
Bodo,Bodo
Maithili,Maithili
Manipuri,Manipuri
Santhali,Santhali
Urdu,Urdu
Kashmiri,Kashmiri
In how many languages AWW can enter the data while filling up the form?,ਫਾਰਮ ਭਰਨ ਵੇਲੇ ਕਿੰਨੀ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਏਡਬਲਯੂਡਬਲਯੂ ਜਾਂ ਏਡਬਲਯੂਸੀ ਡੇਟਾ ਦਾਖਲ ਕਰ ਸਕਦਾ ਹੈ?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,ਏਡਬਲਯੂਡਬਲਯੂ ਸਿਰਫ ਅੰਗ੍ਰੇਜ਼ੀ ਭਾਸ਼ਾ ਵਿਚ ਫਾਰਮ ਭਰ ਸਕਦਾ ਹੈ|
