en,as
Terms of Service,পোষণ কেলকুলেটৰ
Privacy Policy,Terms of Service
Careers,Privacy Policy
Copyright@2023  Poshan Tracker. All rights reserved,কেৰিয়াৰ
 You need to enable JavaScript to run this app.,Copyright@2023  Poshan Tracker. All rights reserved
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,Poshan Helpline:
JanAndolan,14408
ABHA (Health ID),JanAndolan
Language,ABHA (হেল্থ আইডি)
English,ল্যাঙ্গুয়েজে
हिंदी,English
ગુજરાતી,हिंदी
મરાઠી,ગુજરાતી
ಕನ್ನಡ,મરાઠી
മലയാളം,ಕನ್ನಡ
தமிழ்,മലയാളം
తెలుగు,தமிழ்
বাংলা,తెలుగు
অসমীয়া,বাংলা
ਪੰਜਾਬੀ,অসমীয়া
ଓଡ଼ିଆ,ਪੰਜਾਬੀ
नेपाली,ଓଡ଼ିଆ
डोगरी,नेपाली
कोंकणी,डोगरी
सिंधी,कोंकणी
बोडो,सिंधी
मैथिली,बोडो
মণিপুরী,मैथिली
संथाली,মণিপুরী
اردو,संथाली
کٲشُر,اردو
About,کٲشُر
Resources,ইয়াৰ বিষয়ে
Resources,সমল
Vaccination Schedule,সমল
Dashboard,টিকাকৰণৰ সূচী
Dashboard,ডেশ্ববৰ্ড
Mission Utkarsh,ডেশ্ববৰ্ড
Helpdesk,Mission Utkarsh
Beneficiary Redressal,হেল্পডেস্ক
State Helpdesk,হিতাধিকাৰীৰ প্ৰতিবিধান
FAQ,ৰাজ্যিক হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Login,পোষণ কেলকুলেটৰ
Vaccination Schedule,লগইন কৰক
Birth,টিকাকৰণৰ সূচী
Bacillus Calmette Guerin (BCG),জন্ম
Oral Polio Vaccine (OPV)-0 dose ,বেচিলাছ চেলমেট গুৱেৰিণ (BCG)
Hepatitis B birth dose OPV-1 T,অৰেল পোলিঅ’ ভেকচিন (OPV)-0 ড’জ 
6 ,হেপাটাইটিছ B বাৰ্থ ড’জ OPV-1 T
Weeks,6 
OPV-1,সপ্তাহ
Pentavalent-1,OPV-1
Rotavirus Vaccine (RVV)-1,পেন্টাভেলেন্ট-1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,ৰোটাভাইৰাছ ভেকচিন (RVV)-1
Pneumococcal Conjugate Vaccine (PCV) -1,ফ্ৰেকচনেল ডজ অৱ ইনএক্টিভেটেড পোলিঅ’ ভেকচিন (fIPV)-1
10 ,নিউম’ককেল কনজুগেট ভেকচিন (PCV) -1
Weeks,10 
OPV-2,সপ্তাহ
Pentavalent-2,OPV-2
RVV-2,পেন্টাভেলেন্ট-2
14 ,RVV-2
Weeks,14 
OPV-3,সপ্তাহ
Pentavalent-3,OPV-3
fIPV-2T,পেন্টাভেলেন্ট-3
RVV-3,fIPV-2T
PCV-2,RVV-3
9 - 12 ,PCV-2
Months,9 - 12 
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,মাহ
Japanese Encephalitis(JE)-1**,সৰু আই যুক্ত ভেকচিন (MCV)/সৰু আই আৰু ৰুবেলা (MR)-1
PCV-Booster,জাপানীজ এনকেফেলাইটিছ(JE)-1**
16 - 24 ,PCV-বুষ্টাৰ
Months,16 - 24 
Measles Containing vaccine (MCV)/MR-2,মাহ
JE-2**,সৰু আই যুক্ত ভেকচিন (MCV)/MR-2
Diphtheria,JE-2**
Pertussis & Tetanus (DPT)-Booster-1,ডিফথেৰিয়া
OPV –Booster,পাৰ্টুছিচ আৰু টিটেনাছ (DPT)-বুষ্টাৰ-1
5 - 6 ,OPV –বুষ্টাৰ
Years,5 - 6 
DPT-Booster-2,বছৰ
Pregnant Women,DPT-বুষ্টাৰ-2
"Td1, 2 or Td Booster***",গৰ্ভৱতী মহিলা
Support,"Td1, 2 বা Td বুষ্টাৰ***"
 14408,পৃষ্ঠপোষকতা
 support-poshantrackr@gov.in, 14408
Download Mobile App, support-poshantrackr@gov.in
Powered By,মোবাইল এপ ডাউনলোড কৰক
About,Powered By
Resources,ইয়াৰ বিষয়ে
Dashboard,সমল
Helpdesk,ডেশ্ববৰ্ড
FAQ,হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Terms of Service,পোষণ কেলকুলেটৰ
Privacy Policy,Terms of Service
Careers,Privacy Policy
Copyright@2023  Poshan Tracker. All rights reserved,কেৰিয়াৰ
 You need to enable JavaScript to run this app.,Copyright@2023  Poshan Tracker. All rights reserved
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,Poshan Helpline:
JanAndolan,14408
ABHA (Health ID),JanAndolan
Language,ABHA (হেল্থ আইডি)
English,ল্যাঙ্গুয়েজে
हिंदी,English
ગુજરાતી,हिंदी
મરાઠી,ગુજરાતી
ಕನ್ನಡ,મરાઠી
മലയാളം,ಕನ್ನಡ
தமிழ்,മലയാളം
తెలుగు,தமிழ்
বাংলা,తెలుగు
অসমীয়া,বাংলা
ਪੰਜਾਬੀ,অসমীয়া
ଓଡ଼ିଆ,ਪੰਜਾਬੀ
नेपाली,ଓଡ଼ିଆ
डोगरी,नेपाली
कोंकणी,डोगरी
सिंधी,कोंकणी
बोडो,सिंधी
मैथिली,बोडो
মণিপুরী,मैथिली
संथाली,মণিপুরী
اردو,संथाली
کٲشُر,اردو
About,کٲشُر
Resources,ইয়াৰ বিষয়ে
Resources,সমল
Vaccination Schedule,সমল
Dashboard,টিকাকৰণৰ সূচী
Dashboard,ডেশ্ববৰ্ড
Mission Utkarsh,ডেশ্ববৰ্ড
Helpdesk,Mission Utkarsh
Beneficiary Redressal,হেল্পডেস্ক
State Helpdesk,হিতাধিকাৰীৰ প্ৰতিবিধান
FAQ,ৰাজ্যিক হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Login,পোষণ কেলকুলেটৰ
India,লগইন কৰক
Select State,India
Select District,ৰাজ্য বাচনি কৰক
Last Updated On : 18/04/2023,জিলা নিৰ্বাচন কৰক
General Information,Last Updated On : 18/04/2023
*State level aggregated data as received from States,General Information
Owned Building,*State level aggregated data as received from States
AWC Infrastructure,Owned Building
-,AWC Infrastructure
Functional Toilet,-
AWC Infrastructure,Functional Toilet
-,AWC Infrastructure
Drinking Water Source,-
AWC Infrastructure,Drinking Water Source
-,AWC Infrastructure
Anganwadi Center Details,-
Report for Mar 2023,Anganwadi Center Details
Eligible Beneficiaries,Report for Mar 2023
As on 31st Mar 2023,Eligible Beneficiaries
Aspirational Districts & North East Region,As on 31st Mar 2023
Adolescent Girls,Aspirational Districts & North East Region
Total,Adolescent Girls
-,Total
-,-
Aadhaar Verified,-
Adolescent Girls,Aadhaar Verified
-,Adolescent Girls
Take Home Ration (THR),-
Given For Atleast 21 Days,Take Home Ration (THR)
-,Given For Atleast 21 Days
Key Services,-
Report for Mar 2023,Key Services
* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App,Report for Mar 2023
Support,* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App
 14408,পৃষ্ঠপোষকতা
 support-poshantrackr@gov.in, 14408
Download Mobile App, support-poshantrackr@gov.in
Powered By,মোবাইল এপ ডাউনলোড কৰক
About,Powered By
Resources,ইয়াৰ বিষয়ে
Dashboard,সমল
Helpdesk,ডেশ্ববৰ্ড
FAQ,হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Terms of Service,পোষণ কেলকুলেটৰ
Privacy Policy,Terms of Service
Careers,Privacy Policy
Copyright@2023  Poshan Tracker. All rights reserved,কেৰিয়াৰ
 You need to enable JavaScript to run this app.,Copyright@2023  Poshan Tracker. All rights reserved
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,Poshan Helpline:
JanAndolan,14408
ABHA (Health ID),JanAndolan
Language,ABHA (হেল্থ আইডি)
English,ল্যাঙ্গুয়েজে
हिंदी,English
ગુજરાતી,हिंदी
મરાઠી,ગુજરાતી
ಕನ್ನಡ,મરાઠી
മലയാളം,ಕನ್ನಡ
தமிழ்,മലയാളം
తెలుగు,தமிழ்
বাংলা,తెలుగు
অসমীয়া,বাংলা
ਪੰਜਾਬੀ,অসমীয়া
ଓଡ଼ିଆ,ਪੰਜਾਬੀ
नेपाली,ଓଡ଼ିଆ
डोगरी,नेपाली
कोंकणी,डोगरी
सिंधी,कोंकणी
बोडो,सिंधी
मैथिली,बोडो
মণিপুরী,मैथिली
संथाली,মণিপুরী
اردو,संथाली
کٲشُر,اردو
About,کٲشُر
Resources,ইয়াৰ বিষয়ে
Resources,সমল
Vaccination Schedule,সমল
Dashboard,টিকাকৰণৰ সূচী
Dashboard,ডেশ্ববৰ্ড
Mission Utkarsh,ডেশ্ববৰ্ড
Helpdesk,Mission Utkarsh
Beneficiary Redressal,হেল্পডেস্ক
State Helpdesk,হিতাধিকাৰীৰ প্ৰতিবিধান
FAQ,ৰাজ্যিক হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Login,পোষণ কেলকুলেটৰ
Login to your account,লগইন কৰক
User Name ,আপোনাৰ একাউণ্টত লগইন কৰক
*,ইউজাৰৰ নাম 
Password ,*
*,পাছৱাৰ্ড 
Login,*
Support,লগইন
 14408,পৃষ্ঠপোষকতা
 support-poshantrackr@gov.in, 14408
Download Mobile App, support-poshantrackr@gov.in
Powered By,মোবাইল এপ ডাউনলোড কৰক
About,Powered By
Resources,ইয়াৰ বিষয়ে
Dashboard,সমল
Helpdesk,ডেশ্ববৰ্ড
FAQ,হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Terms of Service,পোষণ কেলকুলেটৰ
Privacy Policy,Terms of Service
Careers,Privacy Policy
Copyright@2023  Poshan Tracker. All rights reserved,কেৰিয়াৰ
 You need to enable JavaScript to run this app.,Copyright@2023  Poshan Tracker. All rights reserved
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,Poshan Helpline:
JanAndolan,14408
ABHA (Health ID),JanAndolan
Language,ABHA (হেল্থ আইডি)
English,ল্যাঙ্গুয়েজে
हिंदी,English
ગુજરાતી,हिंदी
મરાઠી,ગુજરાતી
ಕನ್ನಡ,મરાઠી
മലയാളം,ಕನ್ನಡ
தமிழ்,മലയാളം
తెలుగు,தமிழ்
বাংলা,తెలుగు
অসমীয়া,বাংলা
ਪੰਜਾਬੀ,অসমীয়া
ଓଡ଼ିଆ,ਪੰਜਾਬੀ
नेपाली,ଓଡ଼ିଆ
डोगरी,नेपाली
कोंकणी,डोगरी
सिंधी,कोंकणी
बोडो,सिंधी
मैथिली,बोडो
মণিপুরী,मैथिली
संथाली,মণিপুরী
اردو,संथाली
کٲشُر,اردو
About,کٲشُر
Resources,ইয়াৰ বিষয়ে
Resources,সমল
Vaccination Schedule,সমল
Dashboard,টিকাকৰণৰ সূচী
Dashboard,ডেশ্ববৰ্ড
Mission Utkarsh,ডেশ্ববৰ্ড
Helpdesk,Mission Utkarsh
Beneficiary Redressal,হেল্পডেস্ক
State Helpdesk,হিতাধিকাৰীৰ প্ৰতিবিধান
FAQ,ৰাজ্যিক হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Login,পোষণ কেলকুলেটৰ
OPEN A NEW TICKET,লগইন কৰক
CHECK TICKET STATUS,এটা নতুন টিকট খোলা
Create a New Ticket,টিকটৰ ষ্টেটাছ পৰীক্ষা কৰক
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,এটা নতুন টিকট প্ৰস্তুত কৰক
Beneficiary Category ,এটা নতুন টিকত প্ৰস্তুত কৰিবলৈ তলত দিয়া ফৰ্মখন অনুগ্ৰহ কৰি পূৰ কৰা। অংগনৱাড়ী কৰ্মীসকল 48 ঘন্টাৰ ভিতৰত আপোনাৰ ওচৰত আহি পাব।.
*,হিতাধিকাৰীৰ শ্ৰেণী 
Select a Beneficiary Category,*
Pregnant Women,বেনিফিচাৰীৰ শ্ৰেণী এটা বাছনি কৰক
Lactating Mothers,প্রেগন্যান্ট ওমেন
Children (0-6 months),গাখীৰ খুৱাই থকা মাতৃ
Children (6 months - 3 years),শিশু (0-6 মাহ)
Children (3 - 6 years),শিশু (6 মাহ - 3 বছৰ)
Adolescent Girls,শিশু (3 - 6 বছৰ)
Query Related to ,Adolescent Girls
*,প্ৰশ্নটো সম্পৰ্কিত হয় 
Select Query Related to,*
AWW/AWC,ইয়াৰ সৈতে সম্পৰ্কিত প্ৰশ্ন বাছনি কৰক
Supervisor,AWW/AWC
Help Topic ,চুপাৰভাইজাৰ
*,সহায়ৰ বিষয় 
Select a Help Topic,*
Description ,Select a Help Topic
*,বিৱৰণ 
Select a Description,*
Name ,বিৱৰণ এটা বাছক
*,নাম 
Mobile Number ,*
*,মোবাইল নম্বৰ 
Email,*
Having difficulty raising ticket?,ইমেইল
Poshan Helpline,টিকট ৰেইজ কৰাত অসুবিধা পাইছে নেকি?
14408,Poshan Helpline
Email,14408
support-poshantrackr@gov.in,ইমেইল
By District,support-poshantrackr@gov.in
State ,জিলাৰ দ্বাৰা
*,ৰাজ্য 
Select State,*
District ,ৰাজ্য বাচনি কৰক
*,জিলা 
Select District,*
Project ,জিলা নিৰ্বাচন কৰক
*,প্ৰকল্প 
Select Project,*
Sector ,প্ৰকল্প নিৰ্বাচন কৰক
*,খণ্ড 
Select Sector,*
Anganwadi Center ,খণ্ড বাছনি কৰক
*,অংগনৱাড়ী কেন্দ্ৰ 
Select An Anganwadi center,*
Create Ticket,এটা অংগনৱাড়ী কেন্দ্ৰ বাছনি কৰক
Reset,টিকট বনাই লওঁক
Support,ৰিছেট কৰক
 14408,পৃষ্ঠপোষকতা
 support-poshantrackr@gov.in, 14408
Download Mobile App, support-poshantrackr@gov.in
Powered By,মোবাইল এপ ডাউনলোড কৰক
About,Powered By
Resources,ইয়াৰ বিষয়ে
Dashboard,সমল
Helpdesk,ডেশ্ববৰ্ড
FAQ,হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Terms of Service,পোষণ কেলকুলেটৰ
Privacy Policy,Terms of Service
Careers,Privacy Policy
Copyright@2023  Poshan Tracker. All rights reserved,কেৰিয়াৰ
 You need to enable JavaScript to run this app.,Copyright@2023  Poshan Tracker. All rights reserved
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,Poshan Helpline:
JanAndolan,14408
ABHA (Health ID),JanAndolan
Language,ABHA (হেল্থ আইডি)
English,ল্যাঙ্গুয়েজে
हिंदी,English
ગુજરાતી,हिंदी
મરાઠી,ગુજરાતી
ಕನ್ನಡ,મરાઠી
മലയാളം,ಕನ್ನಡ
தமிழ்,മലയാളം
తెలుగు,தமிழ்
বাংলা,తెలుగు
অসমীয়া,বাংলা
ਪੰਜਾਬੀ,অসমীয়া
ଓଡ଼ିଆ,ਪੰਜਾਬੀ
नेपाली,ଓଡ଼ିଆ
डोगरी,नेपाली
कोंकणी,डोगरी
सिंधी,कोंकणी
बोडो,सिंधी
मैथिली,बोडो
মণিপুরী,मैथिली
संथाली,মণিপুরী
اردو,संथाली
کٲشُر,اردو
About,کٲشُر
Resources,ইয়াৰ বিষয়ে
Resources,সমল
Vaccination Schedule,সমল
Dashboard,টিকাকৰণৰ সূচী
Dashboard,ডেশ্ববৰ্ড
Mission Utkarsh,ডেশ্ববৰ্ড
Helpdesk,Mission Utkarsh
Beneficiary Redressal,হেল্পডেস্ক
State Helpdesk,হিতাধিকাৰীৰ প্ৰতিবিধান
FAQ,ৰাজ্যিক হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Login,পোষণ কেলকুলেটৰ
Frequently Asked Questions,লগইন কৰক
ALL,সঘনাই সোধা প্ৰশ্ন সমূহ
BENEFICIARY REGISTRATION,সকলো
Take Home Ration,হিতাধিকাৰীৰ পঞ্জীয়ন
Hot Cooked Meal,টেক-হোম ৰেচন
What is Poshan Abhiyaan?,গৰম ৰন্ধা খাদ্য
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",পোষণ অভিযান কি?
What is the purpose of Launching Poshan Tracker?,"শিশু, বয়ঃসন্ধিকাল, গৰ্ভাৱস্থাৰ বাবে পুষ্টিৰ ফলাফল উন্নত কৰাৰ বাবে পোষণ অভিযান হৈছে ভাৰতৰ মুখ্য কাৰ্যসূচী।"
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",পোষণ ট্ৰেকাৰ আৰম্ভ কৰা উদ্দেশ্যে কি?
How can one Download Poshan Tracker App?,"পোষণ ট্ৰেকাৰ আবেদনৰ উদ্দেশ্য হৈছে অংগনৱাড়ী কেন্দ্ৰৰ (AWC) কাৰ্যকলাপৰ ৩৬০ ডিগ্ৰী দৰ্শন, অংগনৱাড়ী কৰ্মীসকলৰ সেৱা প্ৰদান আৰু গৰ্ভৱতী মহিলা, স্তন্যপান কৰাই থকা মাতৃ আৰু শিশুৰ বাবে সম্পূৰ্ণ হিতাধিকাৰী ব্যৱস্থাপনা। প্ৰস্তাৱিত প্ৰণালীটোৱে নিৰ্ধাৰিত অভিযুক্তসকলৰ ওপৰত সকলো AWC, AWW আৰু হিতাধিকাৰীৰ বাস্তৱ-সময় নিৰীক্ষণ আৰু ট্ৰেকিং সক্ষম কৰিব লাগে।"
Poshan Tracker App is available over Google playstore ,পোষণ ট্ৰেকাৰ এপ কেনেকৈ ডাউনলোড কৰিব পাৰি?
https://play.google.com/store/apps/details?id=com.poshantracker,পোচন ট্ৰেকাৰ এপ্প গুগল প্লেষ্ট'ৰত উপলব্ধ 
Is poshan trackers app available over Apple I Store also?,https://play.google.com/store/apps/details?id=com.poshantracker
"No, Poshan Tracker is available only for Android version",।
What is the minimum requirement to install Poshan Tracker App in mobile?,পোচান ট্ৰেকএপটো এপল আই ষ্টোৰত উপলব্ধ নেকি?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,"নাই, পোষণ ট্ৰেকাৰ কেৱল এণ্ড্ৰইড সংস্কৰণৰ বাবে উপলব্ধ।"
Can App be accessed without internet?,ম'বাইলত পোষণ ট্ৰেকাৰ এপ ইনষ্টল কৰাৰ নিম্নতম প্ৰয়োজনীয়তা কি?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.",পোষণ ট্ৰেকাৰ এপ কেৱল এণ্ড্ৰইড ফোনত এণ্ড্ৰইড সংস্কৰণ ৬.০ আৰু ততোধিকৰ সৈতে ইনষ্টল কৰিব পাৰি।
Who are the target userbase of Poshan Tracker App?,ইণ্টাৰনেটৰ অবিহনে এপপত প্ৰৱেশ কৰিব পাৰিনে?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.","নহয়, এপটোৱে এক বৈধ ইণ্টাৰনেট সংযোগ অবিহনে কাম নকৰে।"
How to Login in Poshan Tracker App?,পোষণ ট্ৰেকাৰ এপৰ লক্ষ্য ব্যৱহাৰকাৰী আধাৰ কোন?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","পোষণ ট্ৰেকাৰ এপটো অংগনৱাড়ী কৰ্মীসকলৰ বাবে, অংগনৱাড়ী কেন্দ্ৰবোৰে প্ৰপত্ৰত হিতাধিকাৰীৰ তথ্য প্ৰৱেশ কৰাৰ বাবে। এইটো সাধাৰণ জনতাৰ বাবে সমূলি বিকশিত নহয়।"
What is  MPIN?,পোষণ ট্ৰেকাৰ এপত কেনেকৈ লগইন কৰে?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"লগইন স্ক্ৰীনত তেওঁলোকৰ ম'বাইল নম্বৰসমূহ ভৰ্তি ককৰিবলৈ AWWক অনুৰোধ কৰা হৈছে। আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰটোলৈ এটা OTP প্ৰেৰণ কৰা হ'ব, যিটো আপোনাৰ MPIN স্থাপন কৰিবলৈ প্ৰয়োজন হ'ব।"
How to set MPIN?,MPIN কি?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.",MPIN এটা ৪ সংখ্যক পাছকোড যিটো পোষণ ট্ৰেকাৰ এপ পঞ্জীয়ন কৰোঁতে এজন অংগনৱাড়ী কৰ্মীয়ে স্থাপন কৰে।
When and how to use MPIN?,কেনেকৈ স্থাপন কৰে?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","MPIN সংশ্লিষ্ট অংগনৱাড়ী কৰ্মীয়ে তেওঁৰ মোবাইল নম্বৰৰ বিপৰীতে OTP অনুৰোধ কৰি ছেট কৰিব পাৰে। যদি ম'বাইল নম্বৰ ইতিমধ্যে ডাটাবেছত থাকে, সংশ্লিষ্ট অংগনৱাড়ী ব্যক্তিজনে পঞ্জীভুক্ত ম'বাইল নম্বৰত ৪ টা অংকৰ OTP প্ৰাপ্ত কৰিব। OTP প্ৰবিষ্ট কৰাৰ পিছত, AWWয়ে সহজে অনুকূলিত MPIN ছেট কৰিব পাৰে।"
How to Reset MPIN?,MPIN কেতিয়া আৰু কেনেকৈ ব্যৱহাৰ কৰে?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN","পোষণ ট্ৰেকজাৰ এপত লগইন কৰোঁতে, AWWসকলে তেওঁলোকৰ দ্বাৰা নিৰ্ধাৰিত MPIN প্ৰবিষ্ট কৰিব লাগিব। এই MPIN-এ পোষণ ট্ৰেকাৰ এপ চলাবলৈ আৰু হিতাধিকাৰীৰ প্ৰপত্ৰত তথ্য প্ৰবিষ্ট কৰিবলৈ পাছকোড হিচাপে কাম কৰিব।"
In How many languages the Poshan Tracker App is available?,MPIN পুনঃস্থাপন কেনেকৈ কৰে?
Poshan Tracker App is available in 22 different languages,"MPIN যিকোনো AWW/AWC ব্যৱহাৰকাৰীৰ দ্বাৰা সহজে পুনঃস্থাপন কৰিব পাৰি। আপুনি পাহৰি যোৱা MPIN-ত ক্লিক কৰিব লাগিব, আৰু আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰ প্ৰবিষ্ট কৰিব লাগিব। আপুনি আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰত প্ৰাপ্ত কৰিব আৰু OTP প্ৰাপ্ত কৰিব আৰু আপুনি আপোনাৰ MPIN পুনঃস্থাপন কৰিব পাৰে।"
The various languages available are:,কেইটা ভাষাত পোষণ ট্ৰেকাৰ এপ উপলব্ধ?
English,পোষণ ট্ৰেকাৰ এপ ২২ টা বেলেগ বেলেগ ভাষাত উপলব্ধ
Hindi,উপলব্ধ বিভিন্ন ভাষাসমূহ হ'ল:
Gujarati,ইংৰাজী
Punjabi,হিন্দী
Marathi,গুজৰাটী
Bangla,পাঞ্জাৱী
Kannada,মাৰাঠী
Tamil,বাংলা
Telugu,কান্নাড়া
Malyalam,তামিল
Odia,টেলেগু
Assamese,মালায়ালম
Nepali,উড়িয়া
Dogri,অসমীয়া
Konkani,Nepali
Sindhi,Dogri
Bodo,Konkani
Maithili,Sindhi
Manipuri,Bodo
Santhali,Maithili
Urdu,Manipuri
Kashmiri,Santhali
In how many languages AWW can enter the data while filling up the form?,Urdu
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,Kashmiri
How many different forms are there in Poshan Tracker App?,প্ৰপত্ৰখন পূৰণ কৰোঁতে AWW বা AWCয়ে কিমানটা ভাষাত ডাটা প্ৰবিষ্ট কৰিব পাৰে?
There are 7 different types of forms for beneficiaries. This includes:,পোষণ ট্ৰেকত কিমান বেলেগ বেলেগ প্ৰপত্ৰ আছে।
Lactating mother,পোষাণ ট্ৰেকাৰ এপত কিমানটা ভিন্ন ৰূপ আছে?
Pregnant women,হিতাধিকাৰীসকলৰ বাবে ৭ প্ৰকাৰৰ বিভিন্ন প্ৰপত্ৰ আছে সেইবোৰ হৈছেঃ
Child 0-6 Months,স্তন্যপান কৰাই থকা মাতৃ
Child 6 Months to 3 Years,গর্ভবতী মহিলা
Child  3 Years to 6 Years,শিশু ০-৬ মাহ
Adolescent Girls (11 Years-19 Years),শিশু ৬ মাহৰ পৰা ৩ বছৰ পর্যন্ত
What information to be added in AWC forms?,শিশু ৩ বছৰ পৰা ৬ বছৰলৈ
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.",কিশোৰী ছোৱালী (১১ বছৰ-১৯ বছৰ)
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWC প্ৰপত্ৰত কি তথ্য যোগ কৰিব লাগিব?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,"AWWয়ে এটা নিৰ্দিষ্ট অংগনৱাড়ী কেন্দ্ৰত উপস্থিত আন্তঃগাঁথনি সম্পৰ্কীয় বিৱৰণ প্ৰবিষ্ট কৰিব লাগিব। ইয়াত অন্তৰ্ভুক্ত থাকে গাঁথনি, মৌলিক সুবিধা, স্বচ্ছত্বা, খোৱাপানী ইত্যাদি। চেনিটাইজেচন, খোৱা পানী ইত্যাদি।"
Their mobile number is not present in the data provided by the states to the MoWCD,AWW সকলে তেওঁলোকৰ ম'বাইল নম্বৰসমূহৰ জৰিয়তে যদি পঞ্জীয়ন কৰিবলৈ অক্ষম তেতিয়া কেনেকৈ ছাইন আপ কৰিব পাৰিব?
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,কোনো ক্ষেত্ৰত যদি AWW য়ে তেওঁলোকে নিজেই পঞ্জীয়ন কৰিবলৈ অসফল হয় তাত ২ টা সম্ভাৱনা আছেঃ
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,ৰাজ্যসমূহে MoWCD -ক প্ৰদান কৰা তথ্যত তেওঁলোকৰ ম'বাইল নম্বৰ নাই।
How can one access Poshan Tracker Dashboard?,সেইবোৰ নতুনকৈ ছিষ্টেমত যোগ দিয়া হৈছে আৰু তেওঁলোকৰ ম'বাইল নম্বৰ ৰাজ্যিক কোষে এতিয়াও MoWCD -ক প্ৰদান কৰা নাই।
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ওপৰোক্ত দুয়োটা ক্ষেত্ৰতে ৰাজ্যিক নোডেল বিষয়াসকলক AWWৰ যিকোনো এটা যোগ/সম্পাদনা/সক্ৰিয়/নিষ্ক্ৰিয় কৰাৰ ক্ষমতা দিয়া হয়।
https://poshantracker.in/admin,কোনো এজনে কেনেকৈ পোষণ ট্ৰেকাৰ ডাশ্বব'ৰ্ডত প্ৰৱেশ কৰিব পাৰে?
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.",পোষণ ট্ৰেকাৰ ডেশ্বব'ৰ্ড ডেশ্বব'ৰ্ডত ছাইনিং কৰি প্ৰৱেশ কৰিব পাৰি। ডেশ্বব'ৰ্ডত 
How one can add AWW/AWCs?,https://poshantracker.in/admin
