en,kok
2021,2021
Specifications of Smart phone and Technical Compatibility Testing,स्मार्ट फोन आनी तांत्रीक सुसंगती चांचणीची तपशीलवार म्हायती
Download PDF,PDF डावनलोड करचें
02 February,02 February
2021,2021
Training on ICT Platform under POSHAN Abhiyaan,पोशण अभियाना खाला आयसीटी प्लॅटफॉर्माचेर प्रशिक्षण
Download PDF,PDF डावनलोड करचें
02 February,02 February
2021,2021
New Poshan Tracker App - CSC-SPV Nodal Person,नवें पोशण ट्रॅकर अॅप - सीएससी-एसपीवी नोडल व्यक्ती
Download PDF,PDF डावनलोड करचें
13 January,13 January
2021,2021
New Poshan Tracker App,नवें पोशण ट्रॅकर अॅप
Download PDF,PDF डावनलोड करचें
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
Support,तेंको
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबायल ऍप्लिकेशन डावनलोड करचें
Powered By,Powered By
About,ताचे विशीं
Resources,संसाधन
Dashboard,डॅशबोर्ड
Helpdesk,मदत डेस्क
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Terms of Service,सेवा अटी
Privacy Policy,गुप्तताय धोरण
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),एभीएचए (हॅल्थ आय डी)
Language,भास
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,ताचे विशीं
Resources,संसाधन
Resources,संसाधन
Vaccination Schedule,लसीकरण वेळापत्रक
Dashboard,डॅशबोर्ड
Dashboard,डॅशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,मदत डेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्या आदारकक्ष
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Login,लॉग ईन
Vaccination Schedule,लसीकरण वेळापत्रक
Birth,जल्म
Bacillus Calmette Guerin (BCG),बॅसिलस कॅल्मेट गुएरिन (बीसीजी)
Oral Polio Vaccine (OPV)-0 dose ,तोंडांतल्यान पोलियो लस (ओपीवी)-0 डोस 
Hepatitis B birth dose OPV-1 T,हेपेटायटीस B जल्म डोस ओपीवी-1 टी
6 ,6 
Weeks,सप्तकां
OPV-1,ओपीवी-1
Pentavalent-1,पॅन्टावॅलेंट-1
Rotavirus Vaccine (RVV)-1,रोटाव्हायरस लस (आरव्हीव्ही)-1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,निश्क्रीय पोलियो लस (fIPV)-1 चो अंशतः डोस
Pneumococcal Conjugate Vaccine (PCV) -1,न्युमोकोकल संयुग लस (पीसीवी) -1
10 ,10 
Weeks,सप्तकां
OPV-2,ओपीवी-2
Pentavalent-2,पॅन्टावॅलेंट-2
RVV-2,आरवीवी-2
14 ,14 
Weeks,सप्तकां
OPV-3,ओपीवी-3
Pentavalent-3,पॅन्टावॅलेंट-3
fIPV-2T,fIPV-2T
RVV-3,आरवीवी-3
PCV-2,पीसीवी-2
9 - 12 ,9 - 12 
Months,म्हयने
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,गोडेंमूत आशिल्ली लस (एमसीवी)/गोडेंमूत आनी रुबेला (एमआर)-1
Japanese Encephalitis(JE)-1**,जपानी मस्तिष्कशोथ(जेई)-1**
PCV-Booster,पीसीवी-बूस्टर
16 - 24 ,16 - 24 
Months,म्हयने
Measles Containing vaccine (MCV)/MR-2,गोडेंमूत आशिल्ली लस (एमसीवी)/एमआर-2
JE-2**,जेई-2**
Diphtheria,डिप्थीरिया
Pertussis & Tetanus (DPT)-Booster-1,काली खांसी (पर्टुसीस) आनी टिटनेस (डीपीटी)-बूस्टर-1
OPV –Booster,ओपीवी –बूस्टर
5 - 6 ,5 - 6 
Years,वर्सां
DPT-Booster-2,डीपीटी-बूस्टर-2
Pregnant Women,गुरवार बायलो
"Td1, 2 or Td Booster***","Td1, 2 वा Td बूस्टर ***"
Support,तेंको
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबायल ऍप्लिकेशन डावनलोड करचें
Powered By,Powered By
About,ताचे विशीं
Resources,संसाधन
Dashboard,डॅशबोर्ड
Helpdesk,मदत डेस्क
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Terms of Service,सेवा अटी
Privacy Policy,गुप्तताय धोरण
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),एभीएचए (हॅल्थ आय डी)
Language,भास
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,ताचे विशीं
Resources,संसाधन
Resources,संसाधन
Vaccination Schedule,लसीकरण वेळापत्रक
Dashboard,डॅशबोर्ड
Dashboard,डॅशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,मदत डेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्या आदारकक्ष
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Login,लॉग ईन
India,India
Select State,राज्य वेंचात
Select District,जिल्लो वेंचात
Last Updated On : 18/04/2023,Last Updated On : 18/04/2023
General Information,General Information
*State level aggregated data as received from States,*State level aggregated data as received from States
Owned Building,Owned Building
AWC Infrastructure,AWC Infrastructure
-,-
Functional Toilet,Functional Toilet
AWC Infrastructure,AWC Infrastructure
-,-
Drinking Water Source,Drinking Water Source
AWC Infrastructure,AWC Infrastructure
-,-
Anganwadi Center Details,Anganwadi Center Details
Report for Mar 2023,Report for Mar 2023
Eligible Beneficiaries,Eligible Beneficiaries
As on 31st Mar 2023,As on 31st Mar 2023
Aspirational Districts & North East Region,Aspirational Districts & North East Region
Adolescent Girls,Adolescent Girls
Total,Total
-,-
-,-
Aadhaar Verified,Aadhaar Verified
Adolescent Girls,Adolescent Girls
-,-
Take Home Ration (THR),Take Home Ration (THR)
Given For Atleast 21 Days,Given For Atleast 21 Days
-,-
Key Services,Key Services
Report for Mar 2023,Report for Mar 2023
* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App,* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App
Support,तेंको
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबायल ऍप्लिकेशन डावनलोड करचें
Powered By,Powered By
About,ताचे विशीं
Resources,संसाधन
Dashboard,डॅशबोर्ड
Helpdesk,मदत डेस्क
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Terms of Service,सेवा अटी
Privacy Policy,गुप्तताय धोरण
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),एभीएचए (हॅल्थ आय डी)
Language,भास
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,ताचे विशीं
Resources,संसाधन
Resources,संसाधन
Vaccination Schedule,लसीकरण वेळापत्रक
Dashboard,डॅशबोर्ड
Dashboard,डॅशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,मदत डेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्या आदारकक्ष
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Login,लॉग ईन
Login to your account,तुमच्या खात्यांत लॉगइन करचें
User Name ,उपेगकर्त्याचें नांव 
*,*
Password ,पासवर्ड 
*,*
Login,लॉगइन
Support,तेंको
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबायल ऍप्लिकेशन डावनलोड करचें
Powered By,Powered By
About,ताचे विशीं
Resources,संसाधन
Dashboard,डॅशबोर्ड
Helpdesk,मदत डेस्क
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Terms of Service,सेवा अटी
Privacy Policy,गुप्तताय धोरण
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),एभीएचए (हॅल्थ आय डी)
Language,भास
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,ताचे विशीं
Resources,संसाधन
Resources,संसाधन
Vaccination Schedule,लसीकरण वेळापत्रक
Dashboard,डॅशबोर्ड
Dashboard,डॅशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,मदत डेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्या आदारकक्ष
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Login,लॉग ईन
OPEN A NEW TICKET,एक नवी तिकीट उगडात
CHECK TICKET STATUS,तिकेट स्थिती तपासात
Create a New Ticket,नवी तिकीट तयार करात
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,नवी तिकीट तयार करपा खातीर सकयल दिल्लो फॉर्म भरचो. आंगनवाडी कर्माचारी 48 वरां भितर तुमचे कडेन पावतले..
Beneficiary Category ,लावार्थी वर्ग 
*,*
Select a Beneficiary Category,लाभार्थी श्रेणी वेंच्ची
Pregnant Women,गुरवार बायल
Lactating Mothers,दुदाक धरपी आवय
Children (0-6 months),भुरगीं (0-6 म्हयने)
Children (6 months - 3 years),भुरगीं (6 म्हयने - 3 वर्सां)
Children (3 - 6 years),भुरगीं (3-6 वर्सां)
Adolescent Girls,Adolescent Girls
Query Related to ,आक्षेप संबंदीत 
*,*
Select Query Related to,हाचे संबंदीत क्वॅरी वेंच्ची
AWW/AWC,आंगणवाडी कर्मचारी/आंगणवाडी
Supervisor,पर्यवेक्षक
Help Topic ,मदत विशय 
*,*
Select a Help Topic,Select a Help Topic
Description ,वर्णन 
*,*
Select a Description,एक वर्णन वेंच्चें
Name ,नांव 
*,*
Mobile Number ,मोबायल नंबर 
*,*
Email,ईमेल
Having difficulty raising ticket?,तिकेट उबारपाक अडचण येता?
Poshan Helpline,Poshan Helpline
14408,14408
Email,ईमेल
support-poshantrackr@gov.in,support-poshantrackr@gov.in
By District,जिल्ल्या प्रमाणें
State ,राज्य 
*,*
Select State,राज्य वेंचात
District ,जिल्लो 
*,*
Select District,जिल्लो वेंचात
Project ,प्रकल्प 
*,*
Select Project,प्रकल्प वेंचचो
Sector ,वाठार 
*,*
Select Sector,वाठार वेंचचो
Anganwadi Center ,आंगणवाडी केंद्र 
*,*
Select An Anganwadi center,आंगणवाडी केंद्र वेंचचें
Create Ticket,तिकेट निर्माण करची
Reset,रिसॅट करचें
Support,तेंको
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबायल ऍप्लिकेशन डावनलोड करचें
Powered By,Powered By
About,ताचे विशीं
Resources,संसाधन
Dashboard,डॅशबोर्ड
Helpdesk,मदत डेस्क
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Terms of Service,सेवा अटी
Privacy Policy,गुप्तताय धोरण
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),एभीएचए (हॅल्थ आय डी)
Language,भास
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,ताचे विशीं
Resources,संसाधन
Resources,संसाधन
Vaccination Schedule,लसीकरण वेळापत्रक
Dashboard,डॅशबोर्ड
Dashboard,डॅशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,मदत डेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्या आदारकक्ष
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Login,लॉग ईन
Frequently Asked Questions,नित्यान विचारिल्ले प्रस्न
ALL,सगळें
BENEFICIARY REGISTRATION,लावार्थी नोंदणीकरण
Take Home Ration,घरांत रेशन घेवचें
Hot Cooked Meal,गरम शिजयल्लें जेवण
What is Poshan Abhiyaan?,पोशन अभियान म्हळ्यार कितें?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोशन अभियान हो भारताचो प्रमुख कार्यक्रम जो भुरग्यांक, किशोऱ्यांक आनी गुरवार बायलांच्या पोशण संबंदीत परिणामांत सुधारणा हाडपाचें कार्य करता."
What is the purpose of Launching Poshan Tracker?,पोशन ट्रॅकर स्थापीत करपाचो उद्देश कितें?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","पोशन ट्रॅकर अॅपलीकेशनाचो उद्देश आंगनवाडी (आंगनवाडी केंद्र) केंद्राचे कार्यांचो, आंगनवाडी कार्यकर्त्यांची (आंगनवाडी कर्मचारी) डिलिवरी सेवा आनी गुरवार बायलां खातीर, दुग्धधारण करपी आवयां खातीर आनी भुरग्यां खातीर पूर्ण लाभार्थी वेवस्थेचो 360-डिग्री दृश्य दिवपाचो आसा. प्रस्थापीत वेवस्था परिभाशीत संकेतकाचेर सगळ्या आंगनवाडी केंद्र, आंगनवाडी कर्मचारी आनी लाभार्थीची ट्रॅकींग आनी मोनिटरींग करपाक समर्थ आसूंक जाय."
How can one Download Poshan Tracker App?,पोशन ट्रॅकर अॅप कशें डावनलोड करतले?
Poshan Tracker App is available over Google playstore ,पोशन ट्रॅकर अॅप गुगल प्लॅस्टोरार उपलब्ध आसा 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,अॅप्पल आय स्टोरांत पोशन ट्रॅकर अॅप उपलब्ध आसा?
"No, Poshan Tracker is available only for Android version","ना, पोशन ट्रॅकर अॅप फकत एन्ड्रॉयड यूजरां खातीर उपलबध्द आसा."
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबायलार पोशन ट्रॅकर अॅप इंस्टॉल करपा खातीर किमान आवश्यकता कितें?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोशन ट्रॅकर अॅप फकत एन्ड्रॉयड वर्जन 6.0 आनी ताच्या उपरांतच्या वर्जन आशिल्ल्या एन्ड्रॉयड फोनाचेर इंस्टॉल करूं येता.
Can App be accessed without internet?,इंटरनेटा बगर अॅपाचो लाव घेवूं येता?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.","ना, धड इंटरनेट कनेक्शना बगर अॅपाचो वापर करूंक जायना."
Who are the target userbase of Poshan Tracker App?,पोशन ट्रॅकर अॅपाचो लक्ष्य यूजरबेस कोण?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.",पोशन ट्रॅकर अॅप हो आंगनवाडी कामगारां खातीर तशेंच आंगनवाडी केंद्रांनी लाभार्थींचो डेटा फॉर्मांनी भरचे खातीर तयार केला. तो सामान्य लोकां विकसीत करूंक ना.
How to Login in Poshan Tracker App?,पोशन ट्रॅकर अॅप लॉग ईन कशें करप?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","आंगनवाडी कार्यकर्त्यांनी लॉग ईन स्क्रिनीर आपलो मोबायल क्रमांक नोंद करचो. तुज्या नोंदणीकृत मोबायल क्रमांकाचेर एक ओटीपी येतलो, जाचें उपरांत तुवें आपलो MPIN निर्मीत करूंक जाय."
What is  MPIN?,MPIN म्हळ्यार कितें?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,MPIN हो चार अंकी पासकोड जो आंगनवाडी कार्यकर्त्या वतीन पोशन ट्रॅकर अॅपार नोंदणी करतना निर्मीत करतात.
How to set MPIN?,MPIN कसो निर्मीत करप?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.",MPIN हो प्रत्येक आंगनवाडी कार्यकर्तो आपल्या मोबायल क्रमांकाचेर ओटीपी विनवून निर्मीत करूंक शकता. जर ओटीपी आदींच आंगनवाडीच्या डेटाबेसांत उपस्थीत आसा जाल्यार त्या आंगनवाडी कार्यकर्त्याक ताच्या नोंदणीकृत मोबायल क्रमांकाचेर 4 अंकी ओटीपी येतलो. ओटीपी नोंद केले उपरांत आंगनवाडी कर्मचारी सहजपणान विशिश्ट MPIN निर्मीत करूंक शकता.
When and how to use MPIN?,MPIN केन्ना आनी कसो वापरचो?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","पोशन ट्रॅकर अॅपार लॉग ईन करतना, आंगनवडी कार्यकर्त्यान निर्मीत केल्लो MPIN नोंद करची गरज. हो MPIN पोशन ट्रॅकर अॅप चलोवपाक आनी लाभार्थीं फॉर्माची म्हायती नोंद करपा खातीर पासकोड म्हूण कार्य करतलो."
How to Reset MPIN?,MPIN पुनर्निर्मीत कसो करप?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",खंयच्याय आंगनवाडी कर्मचारी/आंगनवाडी केंद्र यूजरान MPIN सहजपणान पुनर्निर्मीत करूं येता. MPIN विसरलो हाचेर क्लिक करचें आनी तुजो नोंदणीकृत मोबायल क्रमांक नोंद करचो. तुज्या नोंदणीकृत मोबायल क्रमांकाचेर तुका ओटीपी येतलो आनी उपरांत सहजपणान तुवें तुजो MPIN पुनर्निर्मीत करूं येता.
In How many languages the Poshan Tracker App is available?,पोशन ट्रॅकर अॅप कितल्या भाशांनी उपलब्ध आसा.
Poshan Tracker App is available in 22 different languages,पोशन ट्रॅकर अॅप 22 वेग वेगळ्या भाशांनी उपलब्ध आसा.
The various languages available are:,उपलब्ध आशिल्ल्यो विवीध भासो अश्यो:
English,इंग्लीश
Hindi,हिंदी
Gujarati,गुजराती
Punjabi,पंजाबी
Marathi,मराठी
Bangla,बांगला
Kannada,कन्नड
Tamil,तमीळ
Telugu,तेलगू
Malyalam,मलयाळम
Odia,ओडिया
Assamese,असामी
Nepali,Nepali
Dogri,Dogri
Konkani,Konkani
Sindhi,Sindhi
Bodo,Bodo
Maithili,Maithili
Manipuri,Manipuri
Santhali,Santhali
Urdu,Urdu
Kashmiri,Kashmiri
In how many languages AWW can enter the data while filling up the form?,फॉर्म भरतना आंगनवाडी कार्यकर्तो वा आंगनवाडी डेटा कितल्या भाशांनी नोंद करूंक शकता?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,आंगनवाडी कार्यकर्तो फॉर्म फकत इंग्लीश भाशेन भरूंक शकता.
How many different forms are there in Poshan Tracker App?,पोशन ट्रॅकर अॅपार वेग वेगळ्या प्रकाराचीं कितलीं फॉर्मां आसात?
There are 7 different types of forms for beneficiaries. This includes:,लाभार्थीं खातीर सात विवीध प्रकारांची फॉर्मां आसात. तीं अशीं:
Lactating mother,दुग्धधारण करपी आवयो
Pregnant women,गुरवार बायलो
Child 0-6 Months,भुरगें 0- 6 म्हयने
Child 6 Months to 3 Years,भुरगें 6 म्हयने ते 3 वर्स
Child  3 Years to 6 Years,भुरगें 3 वर्सां ते 6 वर्स
Adolescent Girls (11 Years-19 Years),किशोर वयाच्यो चलयो (11 वर्स ते 19 वर्स)
What information to be added in AWC forms?,आंगनवाडी केंद्र फॉर्मांनी कसली म्हायती जोडची?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","आंगनवाडी कार्यकर्त्यान ते विशिश्ट आंगनवाडी केंद्रांत आशिल्ल्या मुळावी साधनसुविधा संबंदची म्हायती नोंद करची. जातूंत इमारत, मुळावे सुखसोयी, साधन, नितळसाण, पिवपाचे उदक आदी गजाली आसपावतात."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,आंगनवाडी कार्यकर्ते आपल्या मोबायल क्रमांका वरवीं नोंदणी करूंक अक्षम थारले जाल्यार ताणीं अॅपार सायन ईन कशें करप?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,जरीय आंगनवाडी कार्यकर्तो नोंदणी करूंक अपेशी थारता ताच्यो 2 संभाव्य कारणां आसूंक शकता:
Their mobile number is not present in the data provided by the states to the MoWCD,राज्यांनी MoWCD हांकां दिल्ले डेटांत तांचो मोबायल क्रमांक नोंदणीकृत ना.
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,सिस्टमांत तांकां नवीन जोडल्यात आनी तांचो मोबायल क्रमांक राज्याच्या सेलान MoWCDक अजून प्रतिपादीत करूंक ना.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,वयर उल्लेखीत केल्ल्या दोनूय प्रकरणांनी राज्याचे नोडल अधिकाऱ्यांक खंयच्याय आंगनवाडी कार्यकर्त्यांक जोडूंक/काडूंक/सक्रीय/ निशक्रीय करपाचो अधिकार आसा.
How can one access Poshan Tracker Dashboard?,पोशन ट्रॅकर डॅशबोर्डाचो उपयोग कसो करप?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,पोशन ट्रॅकर डॅशबोर्डाचो उपयोग करपाक डॅशबोर्डार सायन ईन करप. सकयल दिल्ले लिंक 
https://poshantracker.in/admin,https://poshantracker.in/admin
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," वापरून डॅशबोर्डाचो वापर करूं येता. फकत राश्ट्रीय, राज्य, जिल्लो, प्रोजेक्ट आनी सॅक्टर स्तरा वयले नामांकीत केल्ले नोडल स्तर अधिकाऱ्यांक डॅशबोर्डाचो वापर करपाक विशिश्ट क्रिडेंशियल दिल्ले आसतात."
How one can add AWW/AWCs?,कोणूय आंगनवाडी कर्मचारी/आंगनवाडी केंद्र कशें जोडूंक शकतात?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"आंगनवाडी कर्मचारी/आंगनवाडी केंद्र फकत नोडल स्तर अधिकारी जोडूंक शकतात. वयल्या पदानुक्रमांत वयल्या पांवड्यार आशिल्ल्या कोणेंय हें कार्य करूं येता. राश्ट्रीय स्तरावयल्या यूजरान राज्या, जिल्लो, प्रोजेक्ट आनी सॅक्टर स्तरा वयले यूजर तायर करूं येता. राज्या स्तरा वयल्या यूजरान जिल्लो, प्रोजेक्ट आनी सॅक्टर स्तरा वयले यूजर तयार करूं येता. जिल्लो स्तरा वयल्या यूजरान प्रोजेक्ट आनी सॅक्टर स्तरा वयले यूजर तयार करूं येता, प्रोजेक्ट स्तरा वयल्या यूजरान सॅक्टर स्तरा वयले यूजर तयार करूं येता."
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोशन ट्रॅकर डॅशबोर्डार कितल्या वेग वेगळ्या प्रकाराचे अहवाल उत्पन्न करूं येतात?
There are various reports that can be generated from,हातुंतल्यान विभिन्न अहवाल उत्पन्न करूं येतात
General Reports:,सामान्य अहवाल:
Number of app  downloads,डावनलॉड जाल्ल्या अॅपांचो आंकडो
Total number of Anganwadi centers registered,नोंदणीकृत आंगनवाडी केंद्रांचो एकूण आंकडो
Total number of beneficiaries registered (National/state/district/block wise),नोंदणीकृत लाभार्थींचो एकूण आंकडो (राश्ट्रीय/राज्य/जिल्लो/ब्लॉक पांवड्यार)
Total Number of pregnant women registered(National/state/district/block wise),नोंदणीकृत गुरवार बायलांचो एकूण आंकडो (राश्ट्रीय/राज्य/जिल्लो/ब्लॉक पांवड्यार)
