en,gu
Dashboard,PDF ડાઉનલોડ કરો
Dashboard,ગર્ભાવસ્થા માટે સામાન્ય જાગૃતિ
Mission Utkarsh,PDF ડાઉનલોડ કરો
Helpdesk,મોડ્યુલ પર સામાન્ય જાગૃતિ
Beneficiary Redressal,PDF ડાઉનલોડ કરો
State Helpdesk,એનિમિયા પર સામાન્ય જાગૃતિ
FAQ,PDF ડાઉનલોડ કરો
Poshan Calculator,SAM અને MAM પર સામાન્ય જાગૃતિ
Login,PDF ડાઉનલોડ કરો
India,માતાની સંભાળ અંગે સામાન્ય જાગૃતિ
Select State,PDF ડાઉનલોડ કરો
Select District,બાળકના જન્મ અંગે સામાન્ય જાગૃતિ
Last Updated On : 20/04/2023,PDF ડાઉનલોડ કરો
-,❯
States/UTs,❮
-,સગર્ભાવસ્થામાં એનિમિયાની અટકાયત માટે જાગૃતિ
Districts,PDF ડાઉનલોડ કરો
-,❯
Projects,❮
-,સ્તનપાન કરાવતી માતાઓ માટે બાળકોના ઉપરી આહાર અંગે જાગૃતિ
Sectors,PDF ડાઉનલોડ કરો
-,સ્તનપાન કરાવતી માતા માટે જાગૃતિ
Angwanwadi Centers,PDF ડાઉનલોડ કરો
-,❯
Anganwadi Workers,❮
-,"બાળકોમાં કુપોષણને રોકવા માટે બાળકોના સ્ટંટિંગ, વેસ્ટિંગ અંગે જાગૃતિ"
Active Beneficiaries,PDF ડાઉનલોડ કરો
General Information,❯
*State level aggregated data as received from States,ગ્રોથ મોનિટરિંગ એસેસમેન્ટ ચાર્ટ
AWC Infrastructure,સ્ટંટીંગ નક્કી કરવા માટેના માપદંડો
Own Building,PDF ડાઉનલોડ કરો
"6,33,657",વેસ્ટીંગ નક્કી કરવા માટેના માપદંડો
AWC Infrastructure,PDF ડાઉનલોડ કરો
Functional Toilets,ઓછા વજનવાળા બાળકો નક્કી કરવા માટેના માપદંડો
"11,01,843",PDF ડાઉનલોડ કરો
AWC Infrastructure,માર્ગદર્શિકાઓ
Drinking Water Source,પોષણ ટ્રેકર પ્રક્રિયા પ્રવાહ
"12,23,578",PDF ડાઉનલોડ કરો
Anganwadi Center Details,પરિપત્રો/સૂચનો
Report for Mar 2023,03 June
Angwanwadi Centers,2021
Total,સ્માર્ટ ફોનની કિંમત અંગે સ્પષ્ટતા
-,PDF ડાઉનલોડ કરો
Anganwadi Centers,24 May
Open For Atleast 21 Days,2021
-,પોષણ ટ્રેકરમાં આંગણવાડી સેવાઓને લગતી યોજનાઓના ડેટા અપલોડ કરવો
Eligible Beneficiaries,PDF ડાઉનલોડ કરો
As on 31st Mar 2023,01 March
Total Active Beneficiaries,2021
-,મોબાઇલ એપ્લિકેશન માટે ડેટા પ્લાન
Pregnant Women,PDF ડાઉનલોડ કરો
-,02 February
Lactating Mothers,2021
-,સ્માર્ટ ફોનના સ્પેસિફિકેશન અને ટેકનિકલ સુસંગતતા પરીક્ષણ
Children,PDF ડાઉનલોડ કરો
(0-6 Months),02 February
-,2021
Children,પોષણ અભિયાન હેઠળ ICT પ્લેટફોર્મ પર તાલીમ
(6 Months - 3 Years),PDF ડાઉનલોડ કરો
-,02 February
Children,2021
(3 - 6 Years),નવી પોષણ ટ્રેકર એપ - CSC-SPV નોડલ પર્સન
-,PDF ડાઉનલોડ કરો
Aadhaar verified,13 January
Beneficiaries,2021
-,નવી પોષણ ટ્રેકર એપ
-%,PDF ડાઉનલોડ કરો
Health ID,×
Created,×
-,×
-%,×
Aspirational Districts & North East Region,×
Adolescent Girls,×
Total,×
-,×
-,×
Aadhaar Verified,×
Adolescent Girls,×
-,×
Take Home Ration (THR),×
Given For Atleast 21 Days,×
-,×
Key Services,×
Report for Mar 2023,×
Hot Cooked Meal (HCM),×
Given For Atleast 15 Days,×
-,×
Hot Cooked Meal (HCM),×
Given For Atleast 21 Days,મદદ
-,14408
Take Home Ration (THR),support-poshantrackr@gov.
Given For Atleast 21 Days,in
-,મોબાઈલ એપ ડાઉનલોડ કરો
* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App,Powered By
Support,વિશે
14408,સંસાધનો
support-poshantrackr@gov.,ડેશબોર્ડ
in,હેલ્પડેસ્ક
Download Mobile App,વારંવાર પૂછાતા પ્રશ્નો
Powered By,પોષણ કેલ્ક્યુલેટર
About,સેવાની શરતો
Resources,પ્રાઇવસી પોલિસી
Dashboard,કારકિર્દ
Helpdesk,Copyright@2023  Poshan Tracker.
FAQ,All rights reserved
Poshan Calculator,You need to enable JavaScript to run this app.
Terms of Service,Poshan Helpline:
Privacy Policy,14408
Careers,JanAndolan
Copyright@2023  Poshan Tracker.,ABHA (હેલ્થ ID)
All rights reserved,ભાષા
You need to enable JavaScript to run this app.,English
Mission Utkarsh,हिंदी
Dashboard,ગુજરાતી
Login to your account,મરાઠી
User Name,ಕನ್ನಡ
*,മലയാളം
Password,தமிழ்
*,తెలుగు
Login,বাংলা
Copyright@2023  Poshan Tracker.,অসমীয়া
All rights reserved,ਪੰਜਾਬੀ
You need to enable JavaScript to run this app.,ଓଡ଼ିଆ
Poshan Helpline:,नेपाली
14408,डोगरी
JanAndolan,कोंकणी
ABHA (Health ID),सिंधी
Language,बोडो
English,मैथिली
हिंदी,মণিপুরী
ગુજરાતી,संथाली
મરાઠી,اردو
ಕನ್ನಡ,کٲشُر
മലയാളം,વિશે
தமிழ்,સંસાધનો
తెలుగు,સંસાધનો
বাংলা,રસીકરણ શેડ્યૂલ
অসমীয়া,ડેશબોર્ડ
ਪੰਜਾਬੀ,ડેશબોર્ડ
ଓଡ଼ିଆ,Mission Utkarsh
नेपाली,હેલ્પડેસ્ક
डोगरी,લાભાર્થી અસંતોષ નિવારણ
कोंकणी,રાજ્ય હેલ્પડેસ્ક
सिंधी,વારંવાર પૂછાતા પ્રશ્નો
बोडो,લાભાર્થી અસંતોષ નિવારણ
मैथिली,પ્રવેશ
মণিপুরী,રસીકરણ શેડ્યૂલ
संथाली,જન્મ
اردو,બેસિલસ કેલ્મેટ ગ્યુરીન (BCG)
کٲشُر,ઓરલ પોલિયો રસી (OPV)-0 ડોઝ
About,હેપેટાઇટિસ બી જન્મ માત્રા OPV-1 T
Resources,6
Resources,અઠવાડિયા
Vaccination Schedule,OPV-1
Dashboard,પેન્ટાવેલેન્ટ-1
Dashboard,રોટાવાયરસ રસી (RVV)-1
Mission Utkarsh,નિષ્ક્રિય પોલિયો રસી (fIPV)-1 ની અપૂર્ણાંક માત્રા
Helpdesk,ન્યુમોકોકલ કોન્જુગેટ વેક્સિન (PCV)-1
Beneficiary Redressal,10
State Helpdesk,અઠવાડિયા
FAQ,OPV-2
Poshan Calculator,પેન્ટાવેલેન્ટ-2
Login,RVV-2
OPEN A NEW TICKET,14
CHECK TICKET STATUS,અઠવાડિયા
Create a New Ticket,OPV-3
Please fill in the form below to create a new ticket.,પેન્ટાવેલેન્ટ-3
Anganwadi Worker will reach out to you within 48 hours. . Beneficiary Category,fIPV-2T
*,RVV-3
Select a Beneficiary Category,PCV-2
Pregnant Women,9 - 12
Lactating Mothers,મહિનાઓ
Children (0-6 months),ઓરી ધરાવતી રસી (MCV)/ઓરી અને રૂબેલા (MR)-1
Children (6 months - 3 years),જાપાનીઝ એન્સેફાલીટીસ (JE)-1**
Children (3 - 6 years),PCV-બૂસ્ટર
Adolescent Girls,16 - 24
Query Related to,મહિનાઓ
*,ઓરી ધરાવતી રસી (MCV)/MR-2
Select Query Related to,JE-2**
AWW/AWC,ડિપ્થેરિયા
Supervisor,પેર્ટુસિસ એન્ડ ટેટેનસ (ડીપીટી)-બૂસ્ટર-1
Help Topic,OPV - બૂસ્ટર
*,5 - 6
Select a Help Topic,વર્ષ
Description,ડીપીટી-બૂસ્ટર-2
*,સગર્ભા સ્ત્રીઓ
Select a Description,"Td1, 2 અથવા Td બૂસ્ટર***"
Name,મદદ
*,14408
Mobile Number,support-poshantrackr@gov.
*,in
Email,મોબાઈલ એપ ડાઉનલોડ કરો
Having difficulty raising ticket?,Powered By
Poshan Helpline,વિશે
14408,સંસાધનો
Email,ડેશબોર્ડ
support-poshantrackr@gov.,હેલ્પડેસ્ક
in,વારંવાર પૂછાતા પ્રશ્નો
By District,પોષણ કેલ્ક્યુલેટર
State,સેવાની શરતો
*,પ્રાઇવસી પોલિસી
Select State,કારકિર્દ
District,Copyright@2023  Poshan Tracker.
*,All rights reserved
Select District,You need to enable JavaScript to run this app.
Project,Poshan Helpline:
*,14408
Select Project,JanAndolan
Sector,ABHA (હેલ્થ ID)
*,ભાષા
Select Sector,English
Anganwadi Center,हिंदी
*,ગુજરાતી
Select An Anganwadi center,મરાઠી
Create Ticket,ಕನ್ನಡ
Reset,മലയാളം
Support,தமிழ்
14408,తెలుగు
support-poshantrackr@gov.,বাংলা
in,অসমীয়া
Download Mobile App,ਪੰਜਾਬੀ
Powered By,ଓଡ଼ିଆ
About,नेपाली
Resources,डोगरी
Dashboard,कोंकणी
Helpdesk,सिंधी
FAQ,बोडो
Poshan Calculator,मैथिली
Terms of Service,মণিপুরী
Privacy Policy,संथाली
Careers,اردو
Copyright@2023  Poshan Tracker.,کٲشُر
All rights reserved,વિશે
You need to enable JavaScript to run this app.,સંસાધનો
Poshan Helpline:,સંસાધનો
14408,રસીકરણ શેડ્યૂલ
JanAndolan,ડેશબોર્ડ
ABHA (Health ID),ડેશબોર્ડ
Language,Mission Utkarsh
English,હેલ્પડેસ્ક
हिंदी,લાભાર્થી અસંતોષ નિવારણ
ગુજરાતી,રાજ્ય હેલ્પડેસ્ક
મરાઠી,વારંવાર પૂછાતા પ્રશ્નો
ಕನ್ನಡ,લાભાર્થી અસંતોષ નિવારણ
മലയാളം,પ્રવેશ
தமிழ்,India
తెలుగు,સ્થિતિ પસંદ કરો
বাংলা,જિલ્લો પસંદ કરો
অসমীয়া,Last Updated On : 20/04/2023
ਪੰਜਾਬੀ,General Information
ଓଡ଼ିଆ,*State level aggregated data as received from States
नेपाली,Owned Building
डोगरी,AWC Infrastructure
कोंकणी,-
सिंधी,Functional Toilet
बोडो,AWC Infrastructure
मैथिली,-
মণিপুরী,Drinking Water Source
संथाली,AWC Infrastructure
اردو,-
کٲشُر,Anganwadi Center Details
About,Report for Mar 2023
Resources,Eligible Beneficiaries
Resources,As on 31st Mar 2023
Vaccination Schedule,Aspirational Districts & North East Region
Dashboard,Adolescent Girls
Dashboard,Total
Mission Utkarsh,-
Helpdesk,-
Beneficiary Redressal,Aadhaar Verified
State Helpdesk,Adolescent Girls
FAQ,-
Poshan Calculator,Take Home Ration (THR)
Login,Given For Atleast 21 Days
Frequently Asked Questions,-
ALL,Key Services
BENEFICIARY REGISTRATION,Report for Mar 2023
Take Home Ration,* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App
Hot Cooked Meal,મદદ
What is Poshan Abhiyaan?,14408
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",support-poshantrackr@gov.
What is the purpose of Launching Poshan Tracker?,in
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.",મોબાઈલ એપ ડાઉનલોડ કરો
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",Powered By
How can one Download Poshan Tracker App?,વિશે
Poshan Tracker App is available over Google playstore,સંસાધનો
https://play. google. com/store/apps/details?,ડેશબોર્ડ
id=com. poshantracker,હેલ્પડેસ્ક
Is poshan trackers app available over Apple I Store also?,વારંવાર પૂછાતા પ્રશ્નો
"No, Poshan Tracker is available only for Android version",પોષણ કેલ્ક્યુલેટર
What is the minimum requirement to install Poshan Tracker App in mobile?,સેવાની શરતો
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,પ્રાઇવસી પોલિસી
Can App be accessed without internet?,કારકિર્દ
"App can be accessed offline, currently daily tracking feature is available for offline data entry.",Copyright@2023  Poshan Tracker.
Offline mode can store latest 3 days data.,All rights reserved
Who are the target userbase of Poshan Tracker App?,You need to enable JavaScript to run this app.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.",Mission Utkarsh
It is not at all developed for general public.,Dashboard
How to Login in Poshan Tracker App?,AWW ની જગ્યા ભરાઈ
AWWs are requested to enter their mobile numbers in the Login screen.,મુખ્ય પ્રદર્શન સૂચક પસંદ કરો
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",AWW ની જગ્યા ભરાઈ
What is  MPIN?,AWH પદ ભરેલ
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,ટેક હોમ રાશન (THR) મેળવનાર સગર્ભા સ્ત્રીઓ
How to set MPIN?,ટેક હોમ રાશન (THR) મેળવનાર સ્તનપાન કરાવતી માતાઓ
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,પૂરક પોષણ મેળવનાર ઓછા વજનવાળા બાળકો
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.",SAM 5 વર્ષથી ઓછી ઉંમરના બાળકો જેમણે પૂરક પોષણ મેળવ્યું હતું
"Post entering the OTP, AWW can easily set customized MPIN.",મહિનો પસંદ કરો
When and how to use MPIN?,Apr 2022
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.",May 2022
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,Jun 2022
How to Reset MPIN?,Jul 2022
MPIN can be easily reset by any AWW/AWC user.,Aug 2022
"You are required to click on Forgot MPIN, and enter your registered mobile number.",Sep 2022
You will receive and OTP on your registered mobile number and you can ealily reset your MPIN,Oct 2022
In How many languages the Poshan Tracker App is available?,Nov 2022
Poshan Tracker App is available in 22 different languages,Dec 2022
The various languages available are:,Jan 2023
English,Feb 2023
Hindi,Mar 2023
Gujarati,લક્ષ્યાંક / કુલ નં.
Punjabi,ના SAM children
Marathi,(છેલ્લે અપડેટ કર્યું 31/05/2022)
Bangla,જિલ્લો
Kannada,લક્ષ્ય નંબર
Tamil,વર્તમાન સ્થિતિ
Telugu,રાજ્ય સરેરાશ
Malyalam,રાજ્ય શ્રેષ્ઠ
Odia,National Average
Assamese,National Best
Nepali,વર્તમાન મહિનાની કામગીરી
Dogri,Last Updated:
Konkani,જિલ્લો પસંદ કરો
Sindhi,શીઓપુર - મધ્યપ્રદેશ
Bodo,આદિલાબાદ - તેલંગાણા
Maithili,મધુબાની - બિહાર
Manipuri,કોપલ - કર્ણાટક
Santhali,Budaun - Uttar Pradesh
Urdu,ધુબરી - આસામ
Kashmiri,બસ્તર - છત્તીસગઢ
In how many languages AWW can enter the data while filling up the form?,પશ્ચિમ સિંહભૂમ - ઝારખંડ
There are limited fields for data entry.,ગડચિરોલી - મહારાષ્ટ્ર
Name is required to be entered in English language and for other fields numeric values are required.,ધોલપુર - રાજસ્થાન
Most of the features are provided in check boxes or with drop down selection menu.,Copyright@2023  Poshan Tracker.
Reports to be updated.,All rights reserved
How many different forms are there in Poshan Tracker App?,You need to enable JavaScript to run this app.
There are 7 different types of forms for beneficiaries.,Poshan Helpline:
This includes:,14408
Lactating mother,JanAndolan
Pregnant women,ABHA (હેલ્થ ID)
Child 0-6 Months,ભાષા
Child 6 Months to 3 Years,English
Child  3 Years to 6 Years,हिंदी
Adolescent Girls (11 Years-19 Years),ગુજરાતી
What information to be added in AWC forms?,મરાઠી
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,ಕನ್ನಡ
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.",മലയാളം
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,தமிழ்
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,తెలుగు
Their mobile number is not present in the data provided by the states to the MoWCD,বাংলা
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,অসমীয়া
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,ਪੰਜਾਬੀ
How can one access Poshan Tracker Dashboard?,ଓଡ଼ିଆ
Poshan Tracker Dashboard can be accessed by signing onto the dashboard.,नेपाली
Dashboard can be accessed by clicking the link,डोगरी
https://poshantracker.,कोंकणी
in/admin,सिंधी
"Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.",बोडो
How one can add AWW/AWCs?,मैथिली
AWW/AWCs can only be added by nodal level official.,মণিপুরী
Anybody in the above rank in the hierarchy.,संथाली
How many different types of reports can be generated over Poshan Tracker Dashboard?,اردو
There are various reports that can be generated from,کٲشُر
General Reports:,વિશે
Number of app  downloads,સંસાધનો
Total number of Anganwadi centers registered,સંસાધનો
Total number of beneficiaries registered (National/state/district/block wise),રસીકરણ શેડ્યૂલ
Total Number of pregnant women registered(National/state/district/block wise),ડેશબોર્ડ
Total Number of  lactating mothers registered(National/state/district/block wise),ડેશબોર્ડ
Total Number of children (0-6months) registered(National/state/district/block wise),Mission Utkarsh
Total Number of children (6months-3years) registered(National/state/district/ block wise),હેલ્પડેસ્ક
Total Number of children (3-6years) registered(National/state/district/ block wise),લાભાર્થી અસંતોષ નિવારણ
Maternal and child nutrition:,રાજ્ય હેલ્પડેસ્ક
How many beneficiaries got THR in 21 days,વારંવાર પૂછાતા પ્રશ્નો
How many children breastfed exclusively in the first hour after delivery,લાભાર્થી અસંતોષ નિવારણ
How many lactating mothers are given HCM,પ્રવેશ
Average level of calcium in children aged 3-6 years,નવી ટિકિટ ખોલો
Average level of iron in children aged 3-6years,ટિકિટની સ્થિતિ તપાસો
"Total number of vaccinations administered per month (block, district, state, national level)",નવી ટિકિટ બનાવો
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,નવી ટિકિટ બનાવવા માટે કૃપા કરીને નીચેનું ફોર્મ ભરો.
AWC infrastructure:,આંગણવાડી કાર્યકર 48 કલાકની અંદર તમારો સંપર્ક કરશે. . લાભાર્થી શ્રેણી
"Number of AWCs (block, district, state, national level)",*
"Total number of Balvatikas (block district, state, national level)",બેનિફિશિયરી કેટેગરી પસંદ કરો
"Total number of AWCs (block, district, state, national level) with clean drinking water",સ્ત્રીઓ નોંધણી
"Total number of AWCs (block, district, state, national level) with working weighing scale",સ્તનપાન કરાવતી માતાઓ
"Total number of AWCs (block, district, state, national level) with electricity",બાળકો (0-6 મહિના)
Total number of AWCs that are government owned,બાળકો (6 મહિના-3 વર્ષ)
Total number of AWCs that are privately owned,બાળકો (3-6 વર્ષ)
How to contact Poshan Tracker Team?,Adolescent Girls
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,થી સંબંધિત પ્રશ્ન
Can a beneficiary register directly using application.,*
Currently a beneficiary can register by the help of an AWW,સાથે સંબંધિત ક્વેરીની પસંદગી કરો
Who is a beneficiary?,AWW/AWC
There are 6 categories for beneficiaries,નિરીક્ષક
Pregnant Women,મદદ વિષય
Lactating Mother,*
Children from 0 to 6 months,Select a Help Topic
Children from 6 months to 3 years,વર્ણન
Children from 3 years to 6 years,*
Adolescent girls,વર્ણનની પસંદગી કરો
Can a beneficiary change his/her AWC?,નામ
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,*
What is the eligibility of a beneficiary?,મોબાઇલ નંબર
A beneficiary is eligible for THR for at least 21 days in a month.,*
Who is eligible for Take Home Ration?,ઇમેઇલ
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",ટિકિટ બનાવવામાં મુશ્કેલી પડી રહી છે?
Where can I enquire about take home ration?,Poshan Helpline
Please contact your respective Anganwadi worker.,14408
Who is eligible for additional supplementary food.,ઇમેઇલ
Children who are identified as deficit on nutrition are eligible for additional food supplements.,support-poshantrackr@gov.
What is the eligibility of a beneficiary?,in
A beneficiary is eligible for HCM for at least 21 days in a month.,જિલ્લા દ્વારા
Who is eligible for Hot Cooked Meal?,રાજ્ય
Children in the age group of 3 years to 6 years,*
Where can I enquire about Hot Cooked Meal?,સ્થિતિ પસંદ કરો
Please contact your respective Anganwadi Centre.,જિલ્લો
Who is eligible for additional supplementary food?,*
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જિલ્લો પસંદ કરો
Support,પ્રોજેક્ટ
14408,*
support-poshantrackr@gov.,પ્રોજેક્ટ પસંદ કરો
in,સેક્ટર (ક્ષેત્ર)
Download Mobile App,*
Powered By,સેક્ટર (ક્ષેત્ર)ની પસંદગી કરો
About,આંગણવાડી કેન્દ્ર
Resources,*
Dashboard,આંગણવાડી કેન્દ્ર પસંદ કરો
Helpdesk,ટીકિટનું સર્જન કરો
FAQ,રિસેટ
Poshan Calculator,મદદ
Terms of Service,14408
Privacy Policy,support-poshantrackr@gov.
Careers,in
Copyright@2023  Poshan Tracker.,મોબાઈલ એપ ડાઉનલોડ કરો
All rights reserved,Powered By
You need to enable JavaScript to run this app.,વિશે
Poshan Helpline:,સંસાધનો
14408,ડેશબોર્ડ
JanAndolan,હેલ્પડેસ્ક
ABHA (Health ID),વારંવાર પૂછાતા પ્રશ્નો
Language,પોષણ કેલ્ક્યુલેટર
English,સેવાની શરતો
हिंदी,પ્રાઇવસી પોલિસી
ગુજરાતી,કારકિર્દ
મરાઠી,Copyright@2023  Poshan Tracker.
ಕನ್ನಡ,All rights reserved
മലയാളം,You need to enable JavaScript to run this app.
தமிழ்,Poshan Helpline:
తెలుగు,14408
বাংলা,JanAndolan
অসমীয়া,ABHA (હેલ્થ ID)
ਪੰਜਾਬੀ,ભાષા
ଓଡ଼ିଆ,English
नेपाली,हिंदी
डोगरी,ગુજરાતી
कोंकणी,મરાઠી
सिंधी,ಕನ್ನಡ
बोडो,മലയാളം
मैथिली,தமிழ்
মণিপুরী,తెలుగు
संथाली,বাংলা
اردو,অসমীয়া
کٲشُر,ਪੰਜਾਬੀ
About,ଓଡ଼ିଆ
Resources,नेपाली
Resources,डोगरी
Vaccination Schedule,कोंकणी
Dashboard,सिंधी
Dashboard,बोडो
Mission Utkarsh,मैथिली
Helpdesk,মণিপুরী
Beneficiary Redressal,संथाली
State Helpdesk,اردو
FAQ,کٲشُر
Poshan Calculator,વિશે
Login,સંસાધનો
Poshan Calculator,સંસાધનો
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,રસીકરણ શેડ્યૂલ
How to use Poshan Calculator?,ડેશબોર્ડ
Select Gender,ડેશબોર્ડ
Enter Date of Birth,Mission Utkarsh
Enter Height in centimeter,હેલ્પડેસ્ક
Enter Weight in kilogram,લાભાર્થી અસંતોષ નિવારણ
Click on Show Results,રાજ્ય હેલ્પડેસ્ક
Gender,વારંવાર પૂછાતા પ્રશ્નો
*,લાભાર્થી અસંતોષ નિવારણ
Boy,પ્રવેશ
Girl,વારંવાર પૂછાતા પ્રશ્નો
Date of Birth,બધા
*,લાભાર્થી નોંધણી
Height (CM),ઘરે રાશન લો
*,ગરમ રાંધેલું ભોજન
*Height should be between 38 to 150,પોશણ અભિયાન એટલે શું?
CM,"બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે."
Weight (KG),પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?
*,"પોશણ ટ્રેકર એપ્લિકેશનનો હેતુ આંગણવાડી કેન્દ્ર (એડબ્લ્યુસી) ની પ્રવૃત્તિઓ, આંગણવાડી કામદારો (એડબ્લ્યુડબ્લ્યુ) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી સંચાલનનો 360 ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે."
*Weight should be between 0.90 to 58,"સૂચિત સિસ્ટમમાં બધા આંગણવાડી કેન્દ્રો, આંગણવાડી કામદારો અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ."
KG,પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?
Show Results,પોષણ ટ્રેકર એપ્લિકેશન ગૂગલ પ્લે સ્ટોર
What is Poshan Calculator,https://play. google. com/store/apps/details?
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,id=com. poshantracker
WHO standards are :,પર ઉપલબ્ધ છે.
Stunting ( Height for Age)-,શું પોષણ ટ્રેક્સ એપ્લિકેશન એપલ આઇ સ્ટોર ઉપર પણ ઉપલબ્ધ છે?
0 months to 6 years,"ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે."
Severely Stunted,મોબાઈલમાં પોષણ ટ્રેકર એપ ઇન્સ્ટોલ કરવા માટે ન્યૂનતમ આવશ્યકતા શું છે?
Moderately stunted,પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.
Normal,શું આ એપ્લિકેશનને ઇન્ટરનેટ વિના ચલાવી શકાય છે?
Underweight (Weight for Age)-,"ના, એપ્લિકેશન માન્ય ઇન્ટરનેટ કનેક્શન વિના કાર્ય કરશે નહીં."
0 months to 6 years,પોષણ ટ્રેકર એપ્લિકેશનના લક્ષ્ય વપરાશકર્તા આધાર કોણ છે?
Severely Underweight,"ફોર્મમાં લાભાર્થીઓનો ડેટા દાખલ કરવા માટે પોષણ ટ્રેકર એપ્લિકેશન, આંગણવાડી કાર્યકરો, આંગણવાડી કેન્દ્રો માટે છે."
Moderately Underweight,તે સામાન્ય લોકો માટે બિલકુલ વિકસિત નથી.
Normal,પોષણ ટ્રેકર એપ્લિકેશનમાં પ્રવેશ કરો કેવી રીતે કરવું?
Wasting (Weight for Height)-,આંગણ વાડી કાર્યકરોને લૉગિન સ્ક્રીન પર તેમનો મોબાઇલ નંબર દાખલ કરવા માટે વિનંતી કરવામાં આવે છે.
0 months to 5 years,"તમારા નોંધાવેલ મોબાઇલ નંબર પર એક ઓટીપી મોકલવામાં આવશે, ત્યાર પછી કે તમને એમપિન સેટ કરવું પડશે."
Severely Wasted (SAM),એમપિન એટલે શું?
Moderately Wasted (MAM),"એમપિન એ 4 અંકનો પાસકોડ છે, જે પોષણ ટ્રેકર એપ પર નોંધણી કરતી વખતે આંગણવાડી કાર્યકર દ્વારા સેટ કરવામાં આવે છે."
Normal,એમપિન કેવી રીતે સેટ કરવું?
Overweight,"સંબંધિત આંગણવાડી કાર્યકરના મોબાઇલ નંબર પર ઓટીપીની વિનંતી કરીને, તેમના દ્વારા એમપિન સેટ કરી શકાય છે."
Obese,"જો મોબાઇલ નંબર ડેટાબેસમાં પહેલેથી હાજર હશે, તો સંબંધિત આંગણવાડી વ્યક્તિ નોંધાયેલા મોબાઇલ નંબર પર 4 અંકનો ઓટીપી મેળવશે."
Above standards are defined as per given above mentioned age brackets,"ઓટીપી દાખલ કર્યા પછી, આંગણવાડી કાર્યકર સરળતાથી કસ્ટમાઇઝ્ડ એમપિન સેટ કરી શકે છે."
About Reference tables,એમપિનનો ઉપયોગ ક્યારે અને કેવી રીતે કરવો?
