en,mni
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
❯,❯
Growth Monitoring Assessment Charts,গ্রোথ মোনিতরিং এসেসমেন্ত চার্তশিং
Stunted Assessment Parameters,স্তেন্তেদ এসেসমেন্ত পেরামিতরশিং
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
Wasted Assessment Parameters,ৱেস্তেদ এসেসমেন্ত পেরামিতরশিং
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
Underweight Assessment Parameters,অন্দরৱেথ এসেসমেন্ত পেরামিতরশিং
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
Manuals,মেনুৱেলশিং
Poshan Tracker Process Flow,পোশান ট্রেকর প্রোসেস ফ্লো
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
Circulars/Notifications,সর্ক্যুলরশিং/নোতিফিকেসনশিং
03 June,03 June
2021,2021
Clarification regarding Cost of Smart phones,স্মাত ফোনশিংগী মমলগী মতাংদা শেংদোকপা
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
24 May,24 May
2021,2021
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,পোশন ত্রেকরদা অঙ্গনৱাদী সর্ভিস স্কিমগীদ দেতা অপলোদ তৌবা
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
01 March,01 March
2021,2021
Data Plan for Mobile Application,মোবাইল এপ্লিকেসনগী দেতা প্লান
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
02 February,02 February
2021,2021
Specifications of Smart phone and Technical Compatibility Testing,স্মার্ত ফোনগী স্পেসিফিকেসনশিং অমসুং তেক্নিকেল কম্পেতিবিলিতী তেস্তিং
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
02 February,02 February
2021,2021
Training on ICT Platform under POSHAN Abhiyaan,পোশন অভিয়ানগী মখাদা আই.সি.তি. প্লেৎদোর্মদা পীবা ত্রেনিং
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
02 February,02 February
2021,2021
New Poshan Tracker App - CSC-SPV Nodal Person,ন্যু পোশন ত্রেকর এপ – সি.এস.সি.-এস.পি.ভি. নোদেল পর্সন
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
13 January,13 January
2021,2021
New Poshan Tracker App,ন্যু পোশন ত্রেকর এপ
Download PDF,পি.দি.এদ. দাউনলোদ তৌ
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
Support,তেংবাং
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল এপ দাউনলোদ তৌ
Powered By,Powered By
About,মরমদা
Resources,রিসোর্সশিং
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Terms of Service,সর্ভিসকী কাংলোনশিং
Privacy Policy,প্রাইবেসী পোলিসী
Careers,কেরিয়রশিং
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),এ.বি.ঐচ.এ. (হেল্থ আই.দি.)
Language,লোন
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,মরমদা
Resources,রিসোর্সশিং
Resources,রিসোর্সশিং
Vaccination Schedule,তিকা থাদোকপগী মতম
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,বেনিফিসরী রিদ্রেসেল
State Helpdesk,রাজ্যগী হেল্পদেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Login,লগইন
Vaccination Schedule,তিকা থাদোকপগী মতম
Birth,পোকপা
Bacillus Calmette Guerin (BCG),বেসিল্লস কালমেৎ গ্যুরিন (বি.সি.জি.)
Oral Polio Vaccine (OPV)-0 dose ,ওরেল পোলিও ভেক্সিন (ও.পি.ভি.)- 0 দোজ 
Hepatitis B birth dose OPV-1 T,হেপতাইতিস বি বর্থ দোজ ও.পি.ভি. – 1 তি
6 ,6 
Weeks,চয়োলশিং
OPV-1,ও.পি.ভি.-1
Pentavalent-1,পেন্তাভেলেন্ত-1
Rotavirus Vaccine (RVV)-1,রোতাভাইরস ভেক্সিন (আর.ভি.ভি.)-1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,ফ্রেক্সনেল দোজ ওফ ইনএক্তিবেতেদ পোলিও এক্সিন (এফ.আই.পি.ভি.)-1
Pneumococcal Conjugate Vaccine (PCV) -1,ন্যুমোকোক্কল কঞ্জুগেৎ ভেক্সিন (পি.সি.ভি.) -1
10 ,10 
Weeks,চয়োলশিং
OPV-2,ও.পি.ভি.-2
Pentavalent-2,পেন্তাভেলেন্ত -2
RVV-2,আর.ভি.ভি.-2
14 ,14 
Weeks,চয়োলশিং
OPV-3,ও.পি.ভি.-3
Pentavalent-3,পেন্তাভেলেন্ত-3
fIPV-2T,এফ.আই.পি.ভি.-2তি
RVV-3,আর.ভি.ভি.-3
PCV-2,পি.সি.ভি.-2
9 - 12 ,9 - 12 
Months,থাশিং
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,মীজলস কন্তেনিং ভেক্সিন (এম.সি.ভি.)/মিজলস এন্দ রুবেলা (এম.আর.)-1
Japanese Encephalitis(JE)-1**,জপানিজ এন্সিফলাইতিস(জে.ই.)-1**
PCV-Booster,পি.সি.ভি. - বুস্তর
16 - 24 ,16 - 24 
Months,থাশিং
Measles Containing vaccine (MCV)/MR-2,মীজলস কন্তেনিং ভেক্সিন (এম.সি.ভি.)/ এম.আর.-2
JE-2**,জে.ই.-2**
Diphtheria,দিপথেরিয়া
Pertussis & Tetanus (DPT)-Booster-1,পর্তুসিস এন্দ তেতানস (দি.পি.তি.)-বুস্তর-1
OPV –Booster,ও.পি.ভি. –বুস্তর
5 - 6 ,5 - 6 
Years,চহিশিং
DPT-Booster-2,দি.পি.তি.-বুস্তর -2
Pregnant Women,মীরোনবী নুপী
"Td1, 2 or Td Booster***","তি.দি.1, 2 নত্ত্রগা তি.দি. বুস্তর***"
Support,তেংবাং
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল এপ দাউনলোদ তৌ
Powered By,Powered By
About,মরমদা
Resources,রিসোর্সশিং
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Terms of Service,সর্ভিসকী কাংলোনশিং
Privacy Policy,প্রাইবেসী পোলিসী
Careers,কেরিয়রশিং
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),এ.বি.ঐচ.এ. (হেল্থ আই.দি.)
Language,লোন
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,মরমদা
Resources,রিসোর্সশিং
Resources,রিসোর্সশিং
Vaccination Schedule,তিকা থাদোকপগী মতম
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,বেনিফিসরী রিদ্রেসেল
State Helpdesk,রাজ্যগী হেল্পদেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Login,লগইন
India,India
Select State,ষ্টেট খনবীয়ু
Select District,দিষ্ট্রিক্ট খনবীয়ু
Last Updated On : 18/04/2023,Last Updated On : 18/04/2023
General Information,General Information
*State level aggregated data as received from States,*State level aggregated data as received from States
Owned Building,Owned Building
AWC Infrastructure,AWC Infrastructure
-,-
Functional Toilet,Functional Toilet
AWC Infrastructure,AWC Infrastructure
-,-
Drinking Water Source,Drinking Water Source
AWC Infrastructure,AWC Infrastructure
-,-
Anganwadi Center Details,Anganwadi Center Details
Report for Mar 2023,Report for Mar 2023
Eligible Beneficiaries,Eligible Beneficiaries
As on 31st Mar 2023,As on 31st Mar 2023
Aspirational Districts & North East Region,Aspirational Districts & North East Region
Adolescent Girls,Adolescent Girls
Total,Total
-,-
-,-
Aadhaar Verified,Aadhaar Verified
Adolescent Girls,Adolescent Girls
-,-
Take Home Ration (THR),Take Home Ration (THR)
Given For Atleast 21 Days,Given For Atleast 21 Days
-,-
Key Services,Key Services
Report for Mar 2023,Report for Mar 2023
* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App,* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App
Support,তেংবাং
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল এপ দাউনলোদ তৌ
Powered By,Powered By
About,মরমদা
Resources,রিসোর্সশিং
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Terms of Service,সর্ভিসকী কাংলোনশিং
Privacy Policy,প্রাইবেসী পোলিসী
Careers,কেরিয়রশিং
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),এ.বি.ঐচ.এ. (হেল্থ আই.দি.)
Language,লোন
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,মরমদা
Resources,রিসোর্সশিং
Resources,রিসোর্সশিং
Vaccination Schedule,তিকা থাদোকপগী মতম
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,বেনিফিসরী রিদ্রেসেল
State Helpdesk,রাজ্যগী হেল্পদেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Login,লগইন
Login to your account,অদোমগী একাউন্টতা লোগইন তৌবীয়ু
User Name ,য়ুজর নেম 
*,*
Password ,পাসৱাৰ্দ 
*,*
Login,লোগইন্ তৌবীয়ু
Support,তেংবাং
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল এপ দাউনলোদ তৌ
Powered By,Powered By
About,মরমদা
Resources,রিসোর্সশিং
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Terms of Service,সর্ভিসকী কাংলোনশিং
Privacy Policy,প্রাইবেসী পোলিসী
Careers,কেরিয়রশিং
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),এ.বি.ঐচ.এ. (হেল্থ আই.দি.)
Language,লোন
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,মরমদা
Resources,রিসোর্সশিং
Resources,রিসোর্সশিং
Vaccination Schedule,তিকা থাদোকপগী মতম
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,বেনিফিসরী রিদ্রেসেল
State Helpdesk,রাজ্যগী হেল্পদেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Login,লগইন
OPEN A NEW TICKET,অনৌবা তিক্কেৎ অমা হাংউ
CHECK TICKET STATUS,তিক্কেৎ স্তেতস চেক তৌ
Create a New Ticket,অনৌবা তিক্কেৎ অমা শেম্মু
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,অনৌবা তিক্কেৎ অমা শেম্নবা মখাদা পীরিবা ফোর্ম অসি মেনশিনবীয়ু। অঙ্গনৱাদী ৱর্করনা পুং 48গী মনুংদা অদোমদা পাও ফাওরক্কনি।.
Beneficiary Category ,বেনিফিসরী কেতগোরী 
*,*
Select a Beneficiary Category,বেনিফিসরী কেটগোরী অমা খনবীয়ু
Pregnant Women,মীরোনবী নুপীশিং
Lactating Mothers,খোমজিংলিবা মমা
Children (0-6 months),অঙাংশিং (থা 0-6)
Children (6 months - 3 years),অঙাংশিং (থা 6 - চহি 3)
Children (3 - 6 years),অঙাংশিং (চহি 3 - 6)
Adolescent Girls,Adolescent Girls
Query Related to ,মরী লৈনবা ৱাহং 
*,*
Select Query Related to,খনবীয়ু মরী লৈনবা ৱাহং
AWW/AWC,এ.দবল্যু.দবল্যু./এ.দবল্যু.সি.
Supervisor,সুপরভাইজর
Help Topic ,মতেং পাংনবা হীরম 
*,*
Select a Help Topic,Select a Help Topic
Description ,অকুপ্পা মরোল 
*,*
Select a Description,দিসক্রিপসন অমা খনবীয়ু
Name ,মমিং 
*,*
Mobile Number ,মোবাইল নম্বর 
*,*
Email,ইমেইল
Having difficulty raising ticket?,তিক্কেৎ লৌবদা খুদোংচাদবা মায়োক্নবরা?
Poshan Helpline,Poshan Helpline
14408,14408
Email,ইমেইল
support-poshantrackr@gov.in,support-poshantrackr@gov.in
By District,দিষ্ট্রিক্টকী মতুংইন্না
State ,ষ্টেট 
*,*
Select State,ষ্টেট খনবীয়ু
District ,দিষ্ট্রিক্ট 
*,*
Select District,দিষ্ট্রিক্ট খনবীয়ু
Project ,প্রোজেক্ট 
*,*
Select Project,প্রোজেক্ট খনবীয়ু
Sector ,সেক্টর 
*,*
Select Sector,সেক্টর খনবীয়ু
Anganwadi Center ,আঙ্গনৱাদী সেন্টর 
*,*
Select An Anganwadi center,আঙ্গনৱাদী সেন্টর অমা খনবীয়ু
Create Ticket,টিকেট শেম্বীয়ু
Reset,রিসেট তৌবীয়ু
Support,তেংবাং
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,মোবাইল এপ দাউনলোদ তৌ
Powered By,Powered By
About,মরমদা
Resources,রিসোর্সশিং
Dashboard,ড্যাশবোর্ড
Helpdesk,হেল্পডেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Terms of Service,সর্ভিসকী কাংলোনশিং
Privacy Policy,প্রাইবেসী পোলিসী
Careers,কেরিয়রশিং
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),এ.বি.ঐচ.এ. (হেল্থ আই.দি.)
Language,লোন
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,মরমদা
Resources,রিসোর্সশিং
Resources,রিসোর্সশিং
Vaccination Schedule,তিকা থাদোকপগী মতম
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,বেনিফিসরী রিদ্রেসেল
State Helpdesk,রাজ্যগী হেল্পদেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Login,লগইন
Frequently Asked Questions,তোয়না হংবা ৱাহংশিং
ALL,পুম্নমক
BENEFICIARY REGISTRATION,বেনিফিসরী রেজিস্ত্রেসন
Take Home Ration,তেক হোম রাসন
Hot Cooked Meal,হোৎ কুক মীল
What is Poshan Abhiyaan?,পোশন অভিয়ান হায়বসি করিনো?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","পোশন অভিয়ান হায়বসি অঙাংশিং, ইনখৎলক্লিবশিং, মীরোনবীশিংগী ন্যুত্রিসনেল আউটকমশিং ফগৎহন্নবগী ইন্দিয়াগী ফ্লেগশিপ প্রোগ্রামনি।"
What is the purpose of Launching Poshan Tracker?,পোশন ত্রেক্কর হৌদোকপগী মরম করিনো?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","পোশন ত্রেক্কর এপ্লিকেসনগী পান্দমদি আঙ্গনৱাদি সেন্টরগী (এ.দবলিয়ু.সি) থবক-থৌরমশিং, আঙ্গনৱাদি ৱাৰ্করশিংনা (এ.দবলিয়ু.দবলিয়ুশিং) পীরিবা সর্ভিসশিং অমসুং মীরোনবী নুপীশিং, খোম্লাং ইল্লিবী মমাশিং অমসুং অঙাংশিংগী মপুংফাবা বেনিফিসরি মেনেজমেন্টকী 360-দিগ্রি ভিয়ু অমা পীবনি। পান্দম্লিবা সিষ্টেম অসিনা এ.দবলিয়ু.সি, এ.দবলিয়ু.দবলিয়ু অমসুং বেনিফিসরি পুম্নমকপু, তাক্লিবা ইন্দিকেটরশিংদা রিএল-টাইমদা মোনিটর অমসুং ত্রেক তৌবা ঙমহনগনি।"
How can one Download Poshan Tracker App?,কমদৌনা মীওই অমনা পোশন ত্রেক্কর এপ দাউনলোদ তৌগদগে?
Poshan Tracker App is available over Google playstore ,পোশন ত্ৰেক্কর এপ অসি গুগল প্লেষ্টোরদা ফংবীগনি 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,পোশন ত্রেক্কর এপ অসি এপল আই ষ্টোরদসু ফংব্রা?
"No, Poshan Tracker is available only for Android version","ফংদে, পোশন ত্রেক্কর অসি এন্দ্রোইদ ভর্সনখক্কী ওইনা ফংই।"
What is the minimum requirement to install Poshan Tracker App in mobile?,মোবাইলদা পোশন ত্রেক্কর এপ ইনষ্টোল তৌনবগী তঙাইফদবা মথৌ তাবশিংদু করিনো?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,পোশন ত্রেক্কর এপ অসি এন্দ্রোইদ ভর্সন 6.0 অমদি মসিগী মথক্কী এন্দ্রোইদ ফোনখক্তদা ইনষ্টোল তৌবা য়াই।
Can App be accessed without internet?,ইন্টরনেট য়াউদনা এপ অসি শিজিন্নবা য়াব্রা?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.","য়াদে, এপ অসি ভেলিদ ইন্টরনেট কনেক্সন অমা য়াউদনা শিজিন্নবা য়াদে।"
Who are the target userbase of Poshan Tracker App?,পোশন ত্রেক্কর এপকী টার্গেট য়ুজরবেজ অদু কনা কনানো?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.","পোশন ত্রেক্কর এপ অসি ফোর্মশিংদা বেনিফিসরিশিংগী দেটা এন্টর তৌনবগীদমক্তা আঙ্গনৱাদি ৱার্করশিং, আঙ্গনৱাদি সেন্টরশিংগী ওইনা শেম্বনি। মসি প্রজা মীয়ামগীদমক্তা শেম্বা নত্তে।"
How to Login in Poshan Tracker App?,কমদৌনা পোশন ত্রেক্কর এপতা লোগইন তৌগদগে?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","এ.দবলিয়ু.দবলিয়ুশিংনা লোগইন স্ক্রিন্দা মখোয়গী মোবাইল নম্বরশিং এন্টর তৌবীগদবনি। অদোমগী রেজিষ্টর্দ মোবাইল নম্বরদা ও.টি.পি অমা থারক্কনি, মসিগী মতুংদা অদোম্না অদোমগী এম.পি.আই.এন (MPIN) সেট তৌবা মথৌ তাই।"
What is  MPIN?,এম.পি.আই.এন (MPIN) হায়বসি করিনো?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,এম.পি.আই.এন (MPIN) হায়বসি আঙ্গনৱাদি ৱার্কর অমনা পোশন ত্রেক্কর এপতা রেজিষ্টর তৌবা মতমদা সেট তৌবা দিজিট 4 গী পাসকোদ অমনি।
How to set MPIN?,কমদৌনা এম.পি.আই.এন (MPIN) সেট তৌগদগে?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","এম.পি.আই.এন (MPIN) অসি মরি লৈনবা আঙ্গনৱাদি ৱাৰ্কর অদুনা মহাক্কী মোবাইল নম্বরদা ও.টি.পি অমা রিক্বেষ্ট তৌদুনা সেট তৌবা য়াই। করিগুম্বা মোবাইল নম্বর অদু হান্ননা দেটাবেজদা লৈরবদি, মরি লৈনবা আঙ্গনৱাদিগী মীওই অদুনা দিজিট 4 গী ও.টি.পি অদু রেজিষ্টর তৌরবা মোবাইল নম্বর অদুদা ফংগনি। ও.টি.পি এন্টর তৌরবা মতুংদা, এ.দবলিয়ু.দবলিয়ুনা কষ্টমাইজদ এম.পি.আই.এন কোম্না সেট তৌবা য়াই।"
When and how to use MPIN?,করম্বা মতমদা অমসুং কমদৌনা এম.পি.আই.এন শিজিন্নগদগে?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","পোশন ত্রেক্কর এপতা লোগইন তৌবা মতমদা, এ.দবলিয়ু.দবলিয়ুশিংনা মখোয়না সেট তৌখিবা এম.পি.আই এন্টর তৌবা মথৌ তাই। এম.পি.আই.এন অসিনা পোশন ত্রেক্কর এপ রন তৌনবা অমসুং বেনিফিসরিশিংগী ফোর্মশিংদা ইনফোর্মেসন এন্টর তৌনবগী পাসকোদ অমা ওইনা থবক তৌগনি।"
How to Reset MPIN?,কমদৌনা এম.পি.আই.এন রিসেট তৌগদগে?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN","এম.পি.আই.এন অসি এ.দবলিয়ু.দবলিয়ু/এ.দবলিয়ু.সি য়ুজর অমহেক্তনা কোম্না রিসেট তৌবা য়াই। অদোম্না এম.পি.আই.এন কাউখ্রে দা ক্লিক তৌবা, অমদি অদোমগী রেজিষ্টর্দ মোবাইল নম্বর এন্টর তৌবা মথৌ তাই। অদোম্না অদোমগী রেজিষ্টর্দ মোবাইল নম্বরদা ও.টি.পি অমা ফংগনি অমদি অদোম্না অদোমগী এম.পি.আই.এন কোম্না রিসেট তৌবা য়ারগনি।"
In How many languages the Poshan Tracker App is available?,পোশন ত্রেক্কর এপ অসি লোল কয়াদা ফংবগে?
Poshan Tracker App is available in 22 different languages,পোশন ত্রেক্কর এপ অসি তোঙান-তোঙানবা লোল 22 দা ফংই।
The various languages available are:,মসি ফংলিবা তোঙান-তোঙানবা লোলশিংদুদি:
English,ইংরাজি
Hindi,হিন্দি
Gujarati,গুজরাটি
Punjabi,পঞ্জাবী
Marathi,মারাথি
Bangla,বাংলা
Kannada,কানাদা
Tamil,টামিল
Telugu,টেলেগু
Malyalam,মালয়ালম
Odia,ওদিয়া
Assamese,অসামিজ
Nepali,Nepali
Dogri,Dogri
Konkani,Konkani
Sindhi,Sindhi
Bodo,Bodo
Maithili,Maithili
Manipuri,Manipuri
Santhali,Santhali
Urdu,Urdu
Kashmiri,Kashmiri
In how many languages AWW can enter the data while filling up the form?,এ.দবলিয়ু.দবলিয়ু নত্ত্রগা এ.দবলিয়ু.সিনা ফোর্ম মেন্সিনবা মতমদা লোল কয়াদা দেটা এন্টর তৌবা য়াবগে?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,এ.দবলিয়ু.দবলিয়ুনা ইংরাজি লোলখক্তদা ফোর্ম মেন্সিনবা য়াই।
How many different forms are there in Poshan Tracker App?,পোশন ত্রেক্কর এপতা তোঙান-তোঙানবা ফোর্ম কয়া লৈবগে?
There are 7 different types of forms for beneficiaries. This includes:,বেনিফিসরিশিংগী ওইনা তোঙান-তোঙানবা ফোর্ম 7 লৈ। মসিগী মনুংদা মখাগীশিংসি চল্লি:
Lactating mother,খোম্লাং ইল্লিবী মমা
Pregnant women,মীরোনবী নুপীশিং
Child 0-6 Months,অঙাং থা 0 - 6
Child 6 Months to 3 Years,থা 6 তগী চহি 3
Child  3 Years to 6 Years,অঙাং চহি 3 দগী চহি 6
