en,ur
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (صحت کا شناختی کارڈ)
Language,زبان
اردو,اردو
کٲشُر,کٲشُر
About,کے بارے میں
Resources,ذرائع وسائل
Resources,ذرائع وسائل
Vaccination Schedule,ویکسینیشن شیڈول
Dashboard,ڈیش بورڈ
Dashboard,ڈیش بورڈ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ہیلپ ڈیسک
Beneficiary Redressal,فائدہ اٹھانے والے کا ازالہ
State Helpdesk,اسٹیٹ ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Login,لاگ ان کریں
Frequently Asked Questions,اکثر پوچھے گئے سوالات
ALL,تمام
BENEFICIARY REGISTRATION,فائدہ مند رجسٹریشن
Take Home Ration,گھر کا راشن لیں۔
Hot Cooked Meal,گرم پکا ہوا کھانا
What is Poshan Abhiyaan?,پوشن ابھیان کیا ہے ؟
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",پوشن ابھیان بھارت کا ایک اہم منصوبہ ہے جو بچوں نوعمروں کے لئے غذاسے متعلق نتائج کی اصلاح کرتا ہے
What is the purpose of Launching Poshan Tracker?,پوشن ٹریکر کی ابتدا کا مقصد کیا ہے ؟
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",پوشان ٹریکر درخواست کا مقصد آنگن واڑی سنٹر (اے ڈبلیو سی) کی سرگرمیوں کا 360 ڈگری نقطہ نظر ، آنگن واڑی ورکرز (اے ڈبلیو ڈبلیو) کی خدمت کی فراہمی اور حاملہ خواتین ، دودھ پلانے والی ماؤں اور بچوں کے لئے مستفید انتظامیہ کو فراہم کرنا ہے۔ مجوزہ نظام کو طے شدہ اشارے پر تمام AWCs ، AWWs اور مستفید افراد کی اصل وقت کی نگرانی اور ان سے باخبر رہنے کے قابل بنانا چاہئے۔
How can one Download Poshan Tracker App?,کوئی شخص پوشن ٹریکر اپلیکیشن کیسے ڈاون لوڈ کر سکتا ہے ؟
Poshan Tracker App is available over Google playstore ,پوشن ٹریکر اپلیکیشن گوگل پلے استور پر دستیاب ہے 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,کیا پوشن ٹریکر اپلیکیشن اپیل Iاسٹور پر بھی دستئیاب ہے ؟
"No, Poshan Tracker is available only for Android version",جی نہیں، پوشن ٹریکر صرف اینڈروائیڈ کے ورژن میں ہی دستیاب ہے
What is the minimum requirement to install Poshan Tracker App in mobile?,پوشن ٹریکر اپلیکیشن کو موبائل میں انسٹال کرنے کی کماز کم ضرورت کیا ہے ؟
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,پوشن ٹریکر اپلیکیشن کو موبائل میں انسٹال کرنے کی کماز کم ضرورت اینڈروائیڈ ورژن 6.0 ہونا چاہئے
Can App be accessed without internet?,کیا پوشن ٹریکر اپلیکیشن اپیل بغیر انٹرنیٹ کے بھی فعال ہوگا؟
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.",جی نہیں، پوشن ٹریکر اپلی کیشن بغیر انٹرنیٹ رابطے کے فعال نہیں ہوگا۔
Who are the target userbase of Poshan Tracker App?,پوشن ٹریکر اپلی کیشن کے مطلوبہ مستعمل بنیادی طور پر کون ہوں گے ؟
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.",پوشن ٹریکر اپلی کیشن سب سے زیادہ فعال آنگن واڑی عاملین کے لئے کار آمد ہوگا آنگن واڑی مراکز پر جہاں فوائد حاصل کرنےوالوں کی معلومات تشکیل دی گئی ہیں یہ عوام الناس کے لئے ہرگز نہیں ہے
How to Login in Poshan Tracker App?,پوشن ٹریکر اپلی کیشن پر کس طرح لاگ ان کریں ؟
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",AWWs سے درخواست ہے کہ وہ اپنا موبائل نمبر اپنے لاگ ان اسکرین پر شامل کریں ایک OTPان کے رجسٹرڈ شدہ موبائل پر بھیجا جائے گا۔ پھر اس کے بعد آپ کوMPIN.سیٹ کرنے کی ضرورت درپیش ہوگی
What is  MPIN?,MPIN.کیا ہے؟
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,MPIN.ایک چار عدد پاس ورڈ ہے جو آنگن واڑی عاملین کے ذریعہ سیٹ کیا جاتا ہےجب وہ پوشن ٹریکر اپلیکیشن کے لئے رجسٹر کرتے ہیں
How to set MPIN?,MPIN.کو کس طرح سیٹ کرنا ہے ؟
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.",MPIN.کومتعلقہ آنگن واڑی عاملین کے ذریعہ سیٹ کیا جا سکتا ہے اپنے موبائل سے OTP کی درخواست کرنے پر اگرچہ یکساں موبائل نمبر اس اپلیکیشن کے ڈاٹابیس میں موجود ہوتب متعلقہ آنگین واڑی عامل کو 4 عددی OTP موصول ہوگا اپنے موبائل پر جس کو داخل کرنے پر AWW آسانی سے مطلوبہ MPIN. سیٹ کیا جا سکتاہے
When and how to use MPIN?,MPIN کا استعمال کب اور کیسے کریں؟
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.",جب آپ پوشن ٹریکنگ اپلیکیشن پر لاگ ان کرتے ہیں تب AWWs پر MPIN سیٹ کرنے کی ضرورت درپیش ہوتی ہے تب MPINبطور پاس کوڈ کام کرکے پوشن ٹریکر اپلیکیشن کو فعال بناتا ہے تاکہ آپ دیگر معلومات اور فائدہ حاصل کرنے والوں کے فارم پُر کر سکیں
How to Reset MPIN?,MPIN کو کس طرح ری سیٹ کریں؟
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",MPINکو آپ با آسانی ری سیٹ کرسکتے ہیں کسی بھی AWW/AWC عامل کے ذریعہ آپ کو سابقہ MPINکو بھولنے کی ہدایت دینی ہوگی اپنے رجسٹرڈ موبائل کے ذریعہ تب آپ کو نیا OTP آپ کے رجسٹرڈ موبائل پر موصول ہوگا تب آپ اپنا MPIN دوبارہ با آسانی ری سیٹ کرسکتے ہیں
In How many languages the Poshan Tracker App is available?,پوشن ٹریکر اپلیکیشن کتنی زبانوں میں دستیاب ہے ؟
Poshan Tracker App is available in 22 different languages,پوشن ٹریکر اپلیکیشن بارہ(22 ) مختلف زبانوں میں دستیاب ہے
The various languages available are:,مختلف زبانوں میں دستیاب ہے
English,انگریزی
Hindi,ہندی
Gujarati,گجراتی
Punjabi,پنجابی
Marathi,مراٹھی
Bangla,بنگلہ
Kannada,کنڑ
Tamil,تمل
Telugu,تیلگو
Malyalam,ملیالم
Odia,اڑیہ
Assamese,اسامی
Nepali,Nepali
Dogri,Dogri
Konkani,Konkani
Sindhi,Sindhi
Bodo,Bodo
Maithili,Maithili
Manipuri,Manipuri
Santhali,Santhali
Urdu,Urdu
Kashmiri,Kashmiri
In how many languages AWW can enter the data while filling up the form?,AWW یا AWC میں کتنی زبانوں میں ڈیٹا داخل یا فارم پُر کیا جا سکتا ہے ؟
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,AWW یا AWC میں انگریزی زبانوں میں ڈیٹا داخل یا فارم پُر کیا جا سکتا ہے۔
How many different forms are there in Poshan Tracker App?,پوشن ٹریکر اپلیکیشن پر مختلف کتنی قسم کے فارم دستیاب ہیں؟
There are 7 different types of forms for beneficiaries. This includes:,پوشن ٹریکر اپلیکیشن پر مختلف 7 قسم کے فارم دستیاب ہیں۔
Lactating mother,دودھ پلانے والی مائیں
Pregnant women,حاملہ خواتین
Child 0-6 Months,بچے 0-6 ماہ
Child 6 Months to 3 Years,بچے 6 ماہ سے 3 سال
Child  3 Years to 6 Years,بچے 3 سال سے 6 سال
Adolescent Girls (11 Years-19 Years),نوعمر دوشیزہ (11 سال -19 سال
What information to be added in AWC forms?,AWC میں کونی معلومات درکار ہوتی ہیں؟
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.",AWWمیں موجودہ بنیادی ڈھانچے کے متعلق معلومات درج کرنا درکار ہوتی ہے اس میں بنیادی عمارت ، بنیادی سہولیات صفائی اور صاف پینے کا پانی وغیرہ شامل ہیں
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,AWWS اپلیکیشن کو کیسے سائن اپ کریں اگر یہ موبائل نمبر کے ذریعہ رجسٹر نہ ہو تا ہو ؟
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,اگر AWWS میں رجسٹر کرنے میں دقت یا ناکامی کا سامنا کرنا پڑے تب اس کی دو ممکنات ہیں
Their mobile number is not present in the data provided by the states to the MoWCD,MoWCD کو ریاست کے ذریعہ آپ کا موبائل نمبر مہیا نہیں کروایا گیا اسی لئے وہ ڈاٹا بیس میں شامل نہیں ہے
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,MoWCD کو ریاست کے ذریعہ آپ کا موبائل نمبرابھی حالیہ مہیا کروایا گیا اسی لئے وہ ڈاٹا بیس میں شامل نہیں ہے
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,ان دونوں معاملات میں ریاستی نوڈل آفیسر کو اختیار دیا گیا ہے کہ وہ اپنی معلومات شامل /ْ ترمیم /ْفعال یا غیر فعال کسی بھی AWW.پر کر سکتے ہیں.
How can one access Poshan Tracker Dashboard?,پوشن ٹریکر ڈیش بورڈ تک کوئی کیسے پہنچ سکتا ہے ؟
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,پوشن ٹریکر ڈیش بورڈ تک درج ذیل لنک کے ذریعہ لاگ ان کرکے پہنچ سکتا ہے 
https://poshantracker.in/admin,https://poshantracker.in/admin
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.", نیشنل ، اسٹیٹ ، ڈسٹرکٹ ، پروجیکٹ اور سیکٹر کی سطح پر صرف نوڈل سطح کے نامزد اہلکاروں کو ہی ڈیش بورڈ تک رسائی کے ل. ایک انوکھی اسناد فراہم کی جاتی ہیں۔ 
How one can add AWW/AWCs?,AWW/AWCs کوئی کس طرح شامل ہوسکتا ہے ؟
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,AWW/AWCs پر صرف نوڈل سطح کےآفیسر کے ذریعہ ہی شامل ہوا جا سکتا ہے ایسا شخص جو حسب مراتب سے بالاتر ہو قومی سطح کے استعمال کرنے والے ہی بناسکتے ہیں ریاست ضلع پروجیکٹ اورخطوں کی سطح کے استعمال کرنے والے پروجیکٹ کی سطح کے استعمال کرنے والے خطوں کی سطح پر بنا سکتے ہیں
How many different types of reports can be generated over Poshan Tracker Dashboard?,پوشن ٹریکر ڈیش بورڈ سے کتنی اقسام کی رپورٹیں بر آمد کی جا سکتی ہیں ؟
There are various reports that can be generated from,مختلفاقسام کی رپورٹیں برآمد می جا سکتی ہیں
General Reports:,عام رپورٹس:
Number of app  downloads, 
Total number of Anganwadi centers registered,ایپ ڈاون لوڈ کی تعداد
Total number of beneficiaries registered (National/state/district/block wise), 
Total Number of pregnant women registered(National/state/district/block wise),رجسٹرڈ شدہ آنگن واڑیوں کی تعداد
Total Number of  lactating mothers registered(National/state/district/block wise), 
Total Number of children (0-6months) registered(National/state/district/block wise),فوائد کے حصول یاب کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Total Number of children (6months-3years) registered(National/state/district/ block wise), 
Total Number of children (3-6years) registered(National/state/district/ block wise),حاملہ خواتین کی تعداد (( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Maternal and child nutrition:, 
How many beneficiaries got THR in 21 days,دودھ پلانے والی ماؤں کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
How many children breastfed exclusively in the first hour after delivery, 
How many lactating mothers are given HCM,0-6 ماہ عمر کے بچوں کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Average level of calcium in children aged 3-6 years, 
Average level of iron in children aged 3-6years,6-ماہ تا3سال عمر کے بچوں کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
"Total number of vaccinations administered per month (block, district, state, national level)", 
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,(3-6سال) عمر کے بچوں کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
AWC infrastructure:,والدہ اور بچے کی غذا:
"Number of AWCs (block, district, state, national level)", 
"Total number of Balvatikas (block district, state, national level)",کتنے صارفین کو 21 دنوں میں THR ملا؟
"Total number of AWCs (block, district, state, national level) with clean drinking water", 
"Total number of AWCs (block, district, state, national level) with working weighing scale",کتنے بچوں کو ولادت کے فوری بعد پہلے گھنٹے میں خصوصاً دودھ پلایا گیا ؟
"Total number of AWCs (block, district, state, national level) with electricity", 
Total number of AWCs that are government owned,کتنی دودھ پلانے والی مائیں HCM میں دی گئی ہیں ؟ 
Total number of AWCs that are privately owned, 
How to contact Poshan Tracker Team?,کتنے بچوں کو ولادت کے فوری بعد پہلے گھنٹے میں خصوصاً دودھ پلایا گیا ؟
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM., 
Can a beneficiary register directly using application.,3-6 سال کے بچوں میں اوسط کیلشیم کی سطح
Currently a beneficiary can register by the help of an AWW, 
Who is a beneficiary?,3-6 سال کے بچوں میں اوسط کیلشیم کی سطح
There are 6 categories for beneficiaries, 
Pregnant Women,کتنی ویکسین کی تعداد فی ماہ دی جاتی ہے ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Lactating Mother, 
Children from 0 to 6 months,ویکسی نیشن کی خصوصی رپورٹ جو ہر ماہ دی جاتی ہے (BCG/OPV/ہیپا ٹائٹس B/روٹی وائرس /پولیو/نیموکوکل l/پینٹا ویلینٹ
Children from 6 months to 3 years,AWC بنیادی ڈھانچہ:
Children from 3 years to 6 years, 
Adolescent girls,AWC کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Can a beneficiary change his/her AWC?, 
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,بال واٹیكه كی كل تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
What is the eligibility of a beneficiary?, 
A beneficiary is eligible for THR for at least 21 days in a month.,AWC کی تعداد جهاں پینے كے صاف پانی كی سهولت فراهم هے ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Who is eligible for Take Home Ration?, 
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",AWC کی تعداد جهاں فعال وزن كرنے كی مشین كی سهولت فراهم هے ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Where can I enquire about take home ration?, 
Please contact your respective Anganwadi worker.,AWC کی تعداد جهاں بجلی كی سهولت فراهم هے ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Who is eligible for additional supplementary food., 
Children who are identified as deficit on nutrition are eligible for additional food supplements.,AWC کی تعداد جو سركار كی ملكیت هیں ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
What is the eligibility of a beneficiary?, 
A beneficiary is eligible for HCM for at least 21 days in a month.,AWC کی تعداد جو خانگی ملكیت هیں ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Who is eligible for Hot Cooked Meal?,پوشان ٹریکر ٹیم سے کیسے رابطہ کریں؟
Children in the age group of 3 years to 6 years,پوشن ٹریکر ٹیم سے 
Where can I enquire about Hot Cooked Meal?, support-poshantrackr@gov.in 
Please contact your respective Anganwadi Centre., پر ای میل رروانہ  کرکے رابطہ کیا جاسکتا ہے۔ ہینڈ ہولڈنگ اور معاونت کے لئے ہم روازانہ شام 3 بجے سے شام 5 بجے تک ویڈیو کانفرنس پر بھی دستیاب ہوتے ہیں۔
Who is eligible for additional supplementary food?,کیا فائدہ اٹھانے والا درخواست کا استعمال کرکے براہ راست رجسٹر ہوسکتا ہے۔
Children who are identified as deficit on nutrition are eligible for additional food supplements.,فی الحال ایک مستفید کنندہ AWW کی مدد سے رجسٹر کر سکتا ہے۔
Support,فائدہ اٹھانے والا کون ہے؟
 14408,فائدہ اٹھانے والوں کے لیے چھ زمرے ہیں۔
 support-poshantrackr@gov.in,حاملہ خواتین
Download Mobile App,دودھ پلانے والی ماں
Powered By,صفر سے چھ ماہ تک کے بچے
About,چھ ماہ سے تین سال تک کے بچے
Resources,تین سال سے چھ سال تک کے بچے
Dashboard,نوعمر لڑکیاں
Helpdesk,کیا فائدہ اٹھانے والا اپنا AWC تبدیل کر سکتا ہے؟
FAQ,AWW ایک AWC سے دوسرے AWC میں اس کے آدھار نمبر کی بنیاد پر استفادہ کنندہ کو منتقل کرنے کے لیے 'مائیگریٹ بینیفشری' کا اختیار استعمال کر سکتا ہے۔
Poshan Calculator,فائدہ اٹھانے والے کی اہلیت کیا ہے؟
Terms of Service,ایک فائدہ اٹھانے والا ایک مہینے میں کم از کم اکیس دن کے لئے ٹی ایچ آر کا اہل ہے۔
Privacy Policy,ٹیک ہوم راشن کے لیے کون اہل ہے؟
Careers,حاملہ خواتین، دودھ پلانے والی مائیں، چھ ماہ سے تین سال تک کے بچے اور نوعمر لڑکیاں۔
Copyright@2023  Poshan Tracker. All rights reserved,میں گھر پر راشن لے جانے کے بارے میں کہاں پوچھ سکتا ہوں؟
 You need to enable JavaScript to run this app.,براہ کرم اپنی متعلقہ آنگن واڑی ورکر سے رابطہ کریں۔
Poshan Helpline:,کون اضافی اضافی خوراک کا اہل ہے۔
14408,وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہے وہ اضافی فوڈ سپلیمنٹس کے اہل ہیں۔
JanAndolan,فائدہ اٹھانے والے کی اہلیت کیا ہے؟
ABHA (Health ID),ایک استفادہ کنندہ مہینے میں کم از کم اکیس دنوں کے لیے HCM کا اہل ہے۔
Language,گرم پکا ہوا کھانے کے لیے کون اہل ہے؟
English,تین سال سے چھ سال کی عمر کے بچے
हिंदी,میں گرم پکے ہوئے کھانے کے بارے میں کہاں پوچھ سکتا ہوں؟
ગુજરાતી,براہ کرم اپنے متعلقہ آنگن واڑی سنٹر سے رابطہ کریں۔
મરાઠી,اضافی اضافی خوراک کے لیے کون اہل ہے؟
ಕನ್ನಡ,وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہے وہ اضافی فوڈ سپلیمنٹس کے اہل ہیں۔
മലയാളം,حمایت
தமிழ், 14408
తెలుగు, support-poshantrackr@gov.in
বাংলা,موبائل ایپ ڈاؤن لوڈ کریں۔
অসমীয়া,Powered By
ਪੰਜਾਬੀ,کے بارے میں
ଓଡ଼ିଆ,ذرائع وسائل
नेपाली,ڈیش بورڈ
डोगरी,ہیلپ ڈیسک
कोंकणी,عمومی سوالات
सिंधी,پوشن کیلکولیٹر
बोडो,خدمت کی شرائط۔
मैथिली,رازداری کی پالیسی
মণিপুরী,کیریئرز
संथाली,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
اردو, You need to enable JavaScript to run this app.
کٲشُر,Poshan Helpline:
About,14408
Resources,JanAndolan
Resources,ABHA (صحت کا شناختی کارڈ)
Vaccination Schedule,زبان
Dashboard,English
Dashboard,हिंदी
Mission Utkarsh,ગુજરાતી
Helpdesk,મરાઠી
Beneficiary Redressal,ಕನ್ನಡ
State Helpdesk,മലയാളം
FAQ,தமிழ்
Poshan Calculator,తెలుగు
Login,বাংলা
Poshan Calculator,অসমীয়া
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,ਪੰਜਾਬੀ
How to use Poshan Calculator?,ଓଡ଼ିଆ
Select Gender,नेपाली
Enter Date of Birth,डोगरी
Enter Height in centimeter,कोंकणी
Enter Weight in kilogram,सिंधी
Click on Show Results,बोडो
Gender ,मैथिली
*,মণিপুরী
Boy,संथाली
Girl,اردو
Date of Birth ,کٲشُر
*,کے بارے میں
Height (CM) ,ذرائع وسائل
*,ذرائع وسائل
*Height should be between 38 to 150,ویکسینیشن شیڈول
CM,ڈیش بورڈ
Weight (KG) ,ڈیش بورڈ
*,Mission Utkarsh
*Weight should be between 0.90 to 58,ہیلپ ڈیسک
KG,فائدہ اٹھانے والے کا ازالہ
Show Results,اسٹیٹ ہیلپ ڈیسک
What is Poshan Calculator,عمومی سوالات
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,پوشن کیلکولیٹر
WHO standards are :,لاگ ان کریں
Stunting ( Height for Age)- ,پوشن کیلکولیٹر
0 months to 6 years,پوشن کیلکولیٹر ورلڈ ہیلتھ آرگنائزیشن (ڈبلیو ایچ او) کے بیان کردہ معیارات کی بنیاد پر بچے کی نشوونما کی پیمائش کے لئے ڈیزائن کیا گیا ہے۔.
Severely Stunted,پوشن کیلکولیٹر کا استعمال کیسے کریں۔?
Moderately stunted,صنف منتخب کریں۔
Normal,تاریخ پیدائش درج کریں۔
Underweight (Weight for Age)- ,سینٹی میٹر میں اونچائی درج کریں۔
0 months to 6 years,کلوگرام میں وزن درج کریں۔
Severely Underweight,شو کے نتائج پر کلک کریں۔
Moderately Underweight,صنف 
Normal,*
Wasting (Weight for Height)- ,لڑکا
0 months to 5 years,لڑکی
Severely Wasted (SAM),پیدائش کی تاریخ 
Moderately Wasted (MAM),*
Normal,اونچائی (سینٹی میٹر) 
Overweight,*
Obese,*Height should be between 38 to 150
Above standards are defined as per given above mentioned age brackets,سینٹی میٹر
About Reference tables,وزن (کلو) 
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,*
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).",*Weight should be between 0.90 to 58
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,کلو
How to revive your Health?,نتائج دکھاو
How to revive your health if you are Severely Wasted (SAM),پوشن کیلکولیٹر کیا ہے؟
How to revive your health if you are Moderately Wasted (MAM),ورلڈ ہیلتھ آرگنائزیشن (ڈبلیو ایچ او) کے معیار کے مطابق پوشن کیلکولیٹر بچے کی صحت کی مختلف حالتوں کی نشاندہی کرنے میں مدد کرتا ہے۔.
How to revive your health if you are Underweight,ڈبلیو ایچ او کے معیار ہیں۔ :
×,اسٹنٹنگ (عمر کے لئے اونچائی) - 
×,0 ماہ سے 6 سال۔
×,شدید سٹنٹڈ
Support,اعتدال سے حیرت زدہ
 14408,نارمل
 support-poshantrackr@gov.in,کم وزن (عمر کے لئے وزن) - 
Download Mobile App,0 ماہ سے 6 سال۔
Powered By,شدید وزن
About,اعتدال سے کم وزن
Resources,نارمل
Dashboard,ضائع کرنا (اونچائی کا وزن) -۔ 
Helpdesk,0 ماہ سے 5 سال۔
FAQ,شدید ضائع (SAM)
Poshan Calculator,اعتدال سے ضائع (MAM)
Terms of Service,نارمل
Privacy Policy,زیادہ وزن
Careers,موٹاپا
Copyright@2023  Poshan Tracker. All rights reserved,مذکورہ بالا عمر بریکٹ کے مطابق اوپر کے معیارات کی وضاحت کی گئی ہے۔
 You need to enable JavaScript to run this app.,حوالہ جدولوں کے بارے میں۔
Poshan Helpline:,دنیا بھر میں نوزائیدہ بچوں اور کم عمر بچوں کی نشوونما اور نشوونما کے لئے نئے نمو کے منحنی خطوط پیدا کرنے کے لئے ڈبلیو ایچ او ملٹی سینٹر گروتھ ریفرنس اسٹڈی (ایم جی آر ایس) 1997 اور 2003 کے درمیان کیا گیا تھا۔..
14408,ایم جی آر ایس نے بڑے پیمانے پر مختلف نسلی پس منظر اور ثقافتی ترتیبات (برازیل ، گھانا ، ہندوستان ، ناروے ، عمان اور امریکہ) کے تقریبا 8500 بچوں سے ابتدائی نمو کے اعداد و شمار اور متعلقہ معلومات اکٹھی کیں۔..
JanAndolan,توقع کی جارہی ہے کہ نئے نمو کے منحنی خطوط ایک واحد بین الاقوامی معیار فراہم کریں گے جو پیدائش سے لے کر پانچ سال کی عمر تک کے تمام بچوں کے لئے جسمانی نشوونما کی بہترین وضاحت کی نمائندگی کرتا ہے اور دودھ پلانے والے نوزائیدہ بچے کو نشوونما اور نشوونما کے لئے ایک بنیادی ماڈل کے طور پر قائم کرتا ہے۔..
ABHA (Health ID),اپنی صحت کو کیسے زندہ کریں۔?
Language,اگر آپ شدید طور پر ضائع ہوئے ہیں (SAM) تو اپنی صحت کو کیسے زندہ کریں۔
English,اگر آپ اعتدال پسند ضائع (MAM) ہیں تو اپنی صحت کو کیسے زندہ کریں۔
हिंदी,اگر آپ کم وزن ہیں تو اپنی صحت کو کیسے زندہ کریں۔
ગુજરાતી,×
મરાઠી,×
ಕನ್ನಡ,×
മലയാളം,حمایت
தமிழ், 14408
తెలుగు, support-poshantrackr@gov.in
বাংলা,موبائل ایپ ڈاؤن لوڈ کریں۔
অসমীয়া,Powered By
ਪੰਜਾਬੀ,کے بارے میں
ଓଡ଼ିଆ,ذرائع وسائل
नेपाली,ڈیش بورڈ
डोगरी,ہیلپ ڈیسک
कोंकणी,عمومی سوالات
सिंधी,پوشن کیلکولیٹر
बोडो,خدمت کی شرائط۔
मैथिली,رازداری کی پالیسی
মণিপুরী,کیریئرز
संथाली,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
اردو, You need to enable JavaScript to run this app.
کٲشُر,Poshan Helpline:
About,14408
Resources,JanAndolan
Resources,ABHA (صحت کا شناختی کارڈ)
Vaccination Schedule,زبان
Dashboard,English
Dashboard,हिंदी
Mission Utkarsh,ગુજરાતી
Helpdesk,મરાઠી
Beneficiary Redressal,ಕನ್ನಡ
State Helpdesk,മലയാളം
FAQ,தமிழ்
Poshan Calculator,తెలుగు
Login,বাংলা
OPEN A NEW TICKET,অসমীয়া
CHECK TICKET STATUS,ਪੰਜਾਬੀ
Create a New Ticket,ଓଡ଼ିଆ
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,नेपाली
Beneficiary Category ,डोगरी
*,कोंकणी
Select a Beneficiary Category,सिंधी
Pregnant Women,बोडो
Lactating Mothers,मैथिली
Children (0-6 months),মণিপুরী
Children (6 months - 3 years),संथाली
Children (3 - 6 years),اردو
Adolescent Girls,کٲشُر
Query Related to ,کے بارے میں
*,ذرائع وسائل
Select Query Related to,ذرائع وسائل
AWW/AWC,ویکسینیشن شیڈول
Supervisor,ڈیش بورڈ
Help Topic ,ڈیش بورڈ
*,Mission Utkarsh
Select a Help Topic,ہیلپ ڈیسک
Description ,فائدہ اٹھانے والے کا ازالہ
*,اسٹیٹ ہیلپ ڈیسک
Select a Description,عمومی سوالات
Name ,پوشن کیلکولیٹر
*,لاگ ان کریں
