en,ne
Beneficiary Redressal, Apr-Jun
State Helpdesk,Quarter 2 
FAQ, Jul-Sep
Poshan Calculator,Quarter 3 
Login, Oct-Dec
Frequently Asked Questions,Quarter 4 
ALL, Jan-Mar
BENEFICIARY REGISTRATION,District’s Consolidate Quarterly Trend
Take Home Ration,Consolidated data from all aspirational districts
Hot Cooked Meal,Apr 2022 - Mar 2023
What is Poshan Abhiyaan?,Quarterly Trend
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",Apr 2022 - Mar 2023
What is the purpose of Launching Poshan Tracker?,जिल्ला छान्नुहोस्
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",श्योपुर - मध्य प्रदेश
How can one Download Poshan Tracker App?,आदिलाबाद - तेलंगाना
Poshan Tracker App is available over Google playstore ,मधुबनी - बिहार
https://play.google.com/store/apps/details?id=com.poshantracker,कोप्पल - कर्णाटक
Is poshan trackers app available over Apple I Store also?,Budaun - Uttar Pradesh
"No, Poshan Tracker is available only for Android version",धुबरी - असम
What is the minimum requirement to install Poshan Tracker App in mobile?,बस्तर - छत्तीसगढ़
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पश्चिम सिंहभूम - झारखंड
Can App be accessed without internet?,गडचिरोली - महाराष्ट्र
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.",ढोलपुर - राजस्थान
Who are the target userbase of Poshan Tracker App?,Select KPI
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.",AWW position filled
How to Login in Poshan Tracker App?,AWH position filled
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",एडब्ल्यूडब्ल्यू प्रशिक्षित
What is  MPIN?,घरको राशन लिनुहोस् (टीएचआर) प्राप्त गर्ने गर्भवती महिलाहरू
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,घरको राशन लिनुहोस् (टीएचआर) प्राप्त गर्ने स्तनपान गराउने आमाहरू
How to set MPIN?,SAM Children (6m - 5y) Received (SNP)
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.",Underweight children (6m - 5y) Received (SNP)
When and how to use MPIN?,समर्थन
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.", 14408
How to Reset MPIN?, support-poshantrackr@gov.in
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",मोबाइल एप डाउनलोड गर्नुहोस्
In How many languages the Poshan Tracker App is available?,Powered By
Poshan Tracker App is available in 22 different languages,को बारेमा
The various languages available are:,संसाधन
English,ड्यासबोर्ड
Hindi,सहायता केन्द्र
Gujarati,एफएक्यू
Punjabi,पोशन क्याल्कुलेटर
Marathi,सेवाका सर्तहरु
Bangla,गोपनीयता नीति
Kannada,पेशाहरु
Tamil,Copyright@2023  Poshan Tracker. All rights reserved
Telugu, You need to enable JavaScript to run this app.
Malyalam,Poshan Helpline:
Odia,14408
Assamese,JanAndolan
Nepali,एबीएचए (स्वास्थ्य आईडी)
Dogri,भाषा
Konkani,English
Sindhi,हिंदी
Bodo,ગુજરાતી
Maithili,મરાઠી
Manipuri,ಕನ್ನಡ
Santhali,മലയാളം
Urdu,தமிழ்
Kashmiri,తెలుగు
In how many languages AWW can enter the data while filling up the form?,বাংলা
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,অসমীয়া
How many different forms are there in Poshan Tracker App?,ਪੰਜਾਬੀ
There are 7 different types of forms for beneficiaries. This includes:,ଓଡ଼ିଆ
Lactating mother,नेपाली
Pregnant women,डोगरी
Child 0-6 Months,कोंकणी
Child 6 Months to 3 Years,सिंधी
Child  3 Years to 6 Years,बोडो
Adolescent Girls (11 Years-19 Years),मैथिली
What information to be added in AWC forms?,মণিপুরী
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.",संथाली
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,اردو
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,کٲشُر
Their mobile number is not present in the data provided by the states to the MoWCD,को बारेमा
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,संसाधन
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,संसाधन
How can one access Poshan Tracker Dashboard?,खोप अनुसूची
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ड्यासबोर्ड
https://poshantracker.in/admin,ड्यासबोर्ड
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.",Mission Utkarsh
How one can add AWW/AWCs?,सहायता केन्द्र
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,हितग्राही निवारण
How many different types of reports can be generated over Poshan Tracker Dashboard?,राज्य सहायता डेस्क
There are various reports that can be generated from,एफएक्यू
General Reports:,पोशन क्याल्कुलेटर
Number of app  downloads,लग-इन
Total number of Anganwadi centers registered,नयाँ टिकट खोल्नुहोस्
Total number of beneficiaries registered (National/state/district/block wise),टिकट स्थिति जाँच गर्नुहोस्
Total Number of pregnant women registered(National/state/district/block wise),नयाँ टिकट सिर्जना गर्नुहोस्
Total Number of  lactating mothers registered(National/state/district/block wise),नयाँ टिकट सिर्जना गर्न कृपया तलको फारम भर्नुहोस्। आंगनवाड़ी कामदार 48 घण्टा भित्र तपाईं सम्म पुग्नेछ।.
Total Number of children (0-6months) registered(National/state/district/block wise),लाभार्थी कोटी 
Total Number of children (6months-3years) registered(National/state/district/ block wise),*
Total Number of children (3-6years) registered(National/state/district/ block wise),लाभार्थीको कोटी चयन गर्नुहोस्
Maternal and child nutrition:,गर्भवती महिला
How many beneficiaries got THR in 21 days,स्तनपान गराउने आमाहरू
How many children breastfed exclusively in the first hour after delivery,बच्चाहरू (0-6 महिना)
How many lactating mothers are given HCM,बच्चाहरू (6 महिना - 3 वर्ष)
Average level of calcium in children aged 3-6 years,बच्चाहरू (3 - 6 वर्ष)
Average level of iron in children aged 3-6years,Adolescent Girls
"Total number of vaccinations administered per month (block, district, state, national level)",सम्बन्धित प्रश्न 
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,*
AWC infrastructure:,निम्नसँग सम्बन्धित प्रश्न चयन गर्नुहोस्
"Number of AWCs (block, district, state, national level)",AWW/AWC
"Total number of Balvatikas (block district, state, national level)",सुपरभाइजर
"Total number of AWCs (block, district, state, national level) with clean drinking water",मद्दत शीर्षक 
"Total number of AWCs (block, district, state, national level) with working weighing scale",*
"Total number of AWCs (block, district, state, national level) with electricity",Select a Help Topic
Total number of AWCs that are government owned,वर्णन 
Total number of AWCs that are privately owned,*
How to contact Poshan Tracker Team?,एक विवरण चयन गर्नुहोस्
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,नाम 
Can a beneficiary register directly using application.,*
Currently a beneficiary can register by the help of an AWW,मोबाइल संख्या 
Who is a beneficiary?,*
There are 6 categories for beneficiaries,ईमेल
Pregnant Women,टिकट उठाउन गाह्रो भइरहेको छ?
Lactating Mother,Poshan Helpline
Children from 0 to 6 months,14408
Children from 6 months to 3 years,ईमेल
Children from 3 years to 6 years,support-poshantrackr@gov.in
Adolescent girls,जिल्लाअनुसार
Can a beneficiary change his/her AWC?,राज्य 
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,*
What is the eligibility of a beneficiary?,राज्य छान्नुहोस्
A beneficiary is eligible for THR for at least 21 days in a month.,जिल्ला 
Who is eligible for Take Home Ration?,*
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",जिल्ला छान्नुहोस्
Where can I enquire about take home ration?,परियोजना 
Please contact your respective Anganwadi worker.,*
Who is eligible for additional supplementary food.,परियोजना चयन गर्नुहोस्
Children who are identified as deficit on nutrition are eligible for additional food supplements.,सेक्टर 
What is the eligibility of a beneficiary?,*
A beneficiary is eligible for HCM for at least 21 days in a month.,सेक्टर चयन गर्नुहोस्
Who is eligible for Hot Cooked Meal?,आंगनवाडी केन्द्र 
Children in the age group of 3 years to 6 years,*
Where can I enquire about Hot Cooked Meal?,आंगनवाडी केन्द्र चयन गर्नुहोस्
Please contact your respective Anganwadi Centre.,टिकट सिर्जना गर्नुहोस्
Who is eligible for additional supplementary food?,रिसेट गर्नुहोस्
Children who are identified as deficit on nutrition are eligible for additional food supplements.,समर्थन
Support, 14408
 14408, support-poshantrackr@gov.in
 support-poshantrackr@gov.in,मोबाइल एप डाउनलोड गर्नुहोस्
Download Mobile App,Powered By
Powered By,को बारेमा
About,संसाधन
Resources,ड्यासबोर्ड
Dashboard,सहायता केन्द्र
Helpdesk,एफएक्यू
FAQ,पोशन क्याल्कुलेटर
Poshan Calculator,सेवाका सर्तहरु
Terms of Service,गोपनीयता नीति
Privacy Policy,पेशाहरु
Careers,Copyright@2023  Poshan Tracker. All rights reserved
Copyright@2023  Poshan Tracker. All rights reserved, You need to enable JavaScript to run this app.
 You need to enable JavaScript to run this app.,Poshan Helpline:
Poshan Helpline:,14408
14408,JanAndolan
JanAndolan,एबीएचए (स्वास्थ्य आईडी)
ABHA (Health ID),भाषा
Language,English
English,हिंदी
हिंदी,ગુજરાતી
ગુજરાતી,મરાઠી
મરાઠી,ಕನ್ನಡ
ಕನ್ನಡ,മലയാളം
മലയാളം,தமிழ்
தமிழ்,తెలుగు
తెలుగు,বাংলা
বাংলা,অসমীয়া
অসমীয়া,ਪੰਜਾਬੀ
ਪੰਜਾਬੀ,ଓଡ଼ିଆ
ଓଡ଼ିଆ,नेपाली
नेपाली,डोगरी
डोगरी,कोंकणी
कोंकणी,सिंधी
सिंधी,बोडो
बोडो,मैथिली
मैथिली,মণিপুরী
মণিপুরী,संथाली
संथाली,اردو
اردو,کٲشُر
کٲشُر,को बारेमा
About,संसाधन
Resources,संसाधन
Resources,खोप अनुसूची
Vaccination Schedule,ड्यासबोर्ड
Dashboard,ड्यासबोर्ड
Dashboard,Mission Utkarsh
Mission Utkarsh,सहायता केन्द्र
Helpdesk,हितग्राही निवारण
Beneficiary Redressal,राज्य सहायता डेस्क
State Helpdesk,एफएक्यू
FAQ,पोशन क्याल्कुलेटर
Poshan Calculator,लग-इन
Login,प्रायः सोधिने प्रश्नहरू
Poshan Calculator,सबै
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,लाभार्थी पञ्जीकरण
How to use Poshan Calculator?,घरको राशन लिनुहोस्
Select Gender,तातो पकाएको खाना
Enter Date of Birth,पोषण अभियान भनेको के हो?
Enter Height in centimeter,"पोषण अभियान भनेको बच्चा, किशोरकिशोरी, गर्भिणीहरूका लागि पोषण परिणामहरू सुधार गर्ने भारतको प्रमुख कार्यक्रम हो।"
Enter Weight in kilogram,पोषण ट्र्याकर सुरू गर्नुको उद्देश्य के हो?
Click on Show Results,"पोषण ट्र्याकर एपको उद्देश्य आंगनवाडी केन्द्र (AWC) को गतिविधि र गर्भवती महिला, स्तनपान गराउने आमाहरू र बच्चाहरूका लागि पूर्ण लाभार्थीको व्यवस्थापनलाई ३६० डिग्री दृष्टिकोणमा प्रदान गर्नु हो। प्रस्तावित प्रणालीले परिभाषित संकेतकहरूमा सबै AWCहरू, AWWहरू र लाभार्थीहरूको वास्तविक समयको अनुगमन र ट्र्याकिंग सक्षम पार्नु पर्दछ।"
Gender ,कसैले पोषण ट्र्याकर एप कसरी डाउनलोड गर्न सक्छन्?
*,पोषण ट्र्याकर अनुप्रयोग गुगल प्लेस्टोर 
Boy,https://play.google.com/store/apps/details?id=com.poshantracker
Girl, मा उपलब्ध छ।
Date of Birth ,पोषण ट्र्याकर एप एप्पल आई स्टोरमा पनि उपलब्ध छ?
*,"छैन, पोषण ट्र्याकर एन्ड्रोइड संस्करणका लागि मात्र उपलब्ध छ।"
Height (CM) ,मोबाइलमा पोसन ट्र्याकर एप स्थापना गर्न न्यूनतम आवश्यकता के हो?
*,पोषण ट्र्याकर एप केवल एन्ड्रोइड फोनमा एन्ड्रोइड संस्करण ६.० र माथिकोसँग मात्र स्थापना गर्न सकिन्छ।
*Height should be between 38 to 150,के यो एप इन्टरनेटबिना पहुँच गर्न सकिन्छ?
CM,"सकिँदैन, कुनै पनि एपलाई मान्य इन्टरनेट जडानबिना चलाउन सकिँदैन।"
Weight (KG) ,पोषण ट्रेकर एपका लक्षित प्रयोगकर्ता को हुन्?
*,"पोषण ट्रयाकर एपलाई लाभार्थीहरूको डाटा फाराममा लगाउ अंगनवाडी कार्यकर्ता, अंगनवाडी केन्द्रका लागि हो। यो सामान्य जनताको प्रयोगका लागि होइन।"
*Weight should be between 0.90 to 58,पोषण ट्र्याकर एपमा कसरी लगइन गर्ने?
KG,"AWW हरूलाई लगइन स्क्रिनमा आफ्नो मोबाइल नम्बर प्रविष्ट गर्न अनुरोध गरिन्छ। एउटा OTP आफ्नो दर्ता मोबाइल नम्बर, तपाईलाई आफ्नो MPIN सेट गर्न चाहिने पोस्टमा पठाइनेछ।"
Show Results,MPIN भनेको के हो?
What is Poshan Calculator,MPIN भनेको ४ अंकको पासकोड हो जुन पोसन ट्र्याकर एपमा दर्ता गर्दा आंगनवाडी कार्यकर्ताले सेट गरेको हुन्छ।
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,MPIN कसरी सेट गर्ने?
WHO standards are :,"MPIN सम्बन्धित आंगनवाडी कार्यकर्ताले आफ्नो मोबाइल नम्बरको बिरूद्ध OTP अनुरोध गरेर सेट गर्न सकिन्छ । मोबाइल नम्बर डाटाबेसमा पहिले नै अवस्थित छ भने, सम्बन्धित आंगनवाडी व्यक्तिले पंजीकृत मोबाइल नम्बरमा ४ अंकको ओटिपी प्राप्त गर्नेछ। ओटिपीमा प्रवेश गरेपछि, AWW सजिलै अनुकूलित MPIN सेट गर्न सक्दछ।"
Stunting ( Height for Age)- ,MPIN कहिले र कसरी प्रयोग गर्ने?
0 months to 6 years,पोषण ट्रेकर एपमा लगइन गर्दा AWW हरूलाई तिनीहरूले सेट गरेको MPI प्रविष्ट गर्न आवश्यक छ। यो MPIN ले पोषण ट्र्याकर एप चलाउन र लाभार्थी फारमहरूमा जानकारी प्रविष्ट गर्न पासकोडको रूपमा काम गर्दछ।
Severely Stunted,MPIN कसरी रिसेट गर्ने?
Moderately stunted,"MPIN लाई कुनै पनि AWW / AWC प्रयोगकर्ताद्वारा सजिलै रिसेट गर्न सकिन्छ। तपाईंले बिर्सिएको MPIN मा क्लिक गर्न आवश्यक छ, र तपाईंको पंजीकृत मोबाइल नम्बर प्रविष्ट गर्नुपर्ने छ। तपाईंले आफ्नो दर्ता गरेको मोबाइल नम्बरमा ओटिपी प्राप्त गरेर आफ्नो MPIN सजिलै रिसेट गर्न सक्नुहुन्छ।"
Normal,पोषण ट्र्याकर अनुप्रयोग कति भाषाहरूमा उपलब्ध छ?
Underweight (Weight for Age)- ,पोषण ट्र्याकर एप २२ विभिन्न भाषाहरूमा उपलब्ध छ
0 months to 6 years,उपलब्ध विभिन्न भाषाहरू:
Severely Underweight,अंग्रेजी
Moderately Underweight,हिन्दी
Normal,गुजराती
Wasting (Weight for Height)- ,पंजाबी
0 months to 5 years,मराठी
Severely Wasted (SAM),बंगला
Moderately Wasted (MAM),कन्नड
Normal,तामिल
Overweight,तेलेगु
Obese,मलयालम
Above standards are defined as per given above mentioned age brackets,ओडिया
About Reference tables,असमिया
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,Nepali
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).",Dogri
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,Konkani
How to revive your Health?,Sindhi
How to revive your health if you are Severely Wasted (SAM),Bodo
How to revive your health if you are Moderately Wasted (MAM),Maithili
How to revive your health if you are Underweight,Manipuri
×,Santhali
×,Urdu
×,Kashmiri
Support,AWW वा AWC ले फारम भर्दा कति भाषाहरूमा डाटा प्रविष्ट गर्न सक्छन्?
 14408,AWW ले फाराम अंग्रेजी भाषामा मात्र भर्न सक्छन्।
 support-poshantrackr@gov.in,पोषन ट्र्याकर एपमा कति फरक प्रकारहरू छन्?
Download Mobile App,लाभार्थीहरूका लागि विभिन्न प्रकारका फारामहरू हुन्छन्। यसले निम्न समावेश गर्दछ:
Powered By,स्तनपान गराउने आमा
About,गर्भवती महिला
Resources,बच्चा ०-६ महिना
Dashboard,बच्चा ६ महिनादेखि ३ वर्ष
Helpdesk,बच्चा ३ वर्षदेखि ६ वर्ष
FAQ,किशोरीहरू (११ वर्ष-१९ वर्ष)
Poshan Calculator,AWC फारमहरूमा कुन जानकारी थप्न मिल्छ?
Terms of Service,"AWW हरूले एक विशेष आंगनवाडी केन्द्रमा अवस्थित पूर्वाधारसँग सम्बन्धित विवरणहरू प्रविष्ट गर्नुपर्ने छ। यसले संरचना, आधारभूत सुविधाहरू, सुविधा, सरसफाइ, पिउने पानी आदि समावेश गर्दछ।"
Privacy Policy,AWWहरूले आफ्नो मोबाइल नम्बरमार्फत दर्ता गर्न असमर्थ भएमा कसरी एपमा साइन अप गर्न सक्छन्?
Careers,AWW आफैंलाई दर्ता गर्न असफल भएमा २ सम्भावनाहरू हुन सक्छन्:
Copyright@2023  Poshan Tracker. All rights reserved,तिनीहरूको मोबाइल नम्बर राज्यले MoWCD लाई प्रदान गरेको डाटामा छैन।
 You need to enable JavaScript to run this app.,तिनीहरू नयाँ प्रणालीमा थपिएका हुन् र तिनीहरूको मोबाइल नम्बर राज्य सेलले MoWCD लाई प्रदान गरेको छैन।
Poshan Helpline:,माथिका दुबै स्थितिहरूमा राज्य नोडल अफिसर्सलाई कुनै पनि AWW थप्न / सम्पादन / सक्रिय / निष्क्रिय गर्न अधिकार दिइन्छ।
14408,पोषण ट्र्याकर ड्यासबोर्डमा कसरी पहुँच गर्न सकिन्छ?
JanAndolan,पोषण ट्र्याकर ड्यासबोर्डलाई ड्यासबोर्डमा साइन इन गरेर पहुँच गर्न सकिन्छ। ड्यासबोर्डलाई 
ABHA (Health ID),https://poshantracker.in/admin
Language," लिंकमा क्लिक गरेर पहुँच गर्न सकिन्छ। राष्ट्रिय, राज्य, जिल्ला, परियोजना र क्षेत्र स्तरका नोडल स्तरका अधिकारीहरूलाई मात्र ड्यासबोर्डमा पहुँच गर्न अद्वितीय प्रमाणपत्रहरू प्रदान गरिन्छ।"
English,कसैले AWW / AWC कसरी थप्न सक्छ?
हिंदी,"AWW / AWC हरूलाई केवल नोडल स्तर अफिसियलद्वारा जोड्न सकिन्छ। पदमा माथि रहेको कसैले पनि थप्न सक्छ। राष्ट्रिय स्तरमा जस्तै प्रयोगकर्ताले राज्य, जिल्ला, परियोजना र क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ। राज्य स्तरका प्रयोगकर्ताले जिल्ला, परियोजना र क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ, जिल्ला स्तरका प्रयोगकर्ताले परियोजना र क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ, परियोजना स्तरका प्रयोगकर्ताले क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ।"
ગુજરાતી,पोषण ट्र्याकर ड्यासबोर्डमा कति फरक प्रकारका रिपोर्टहरू उत्पन्न गर्न सकिन्छ?
મરાઠી,विभिन्न रिपोर्टहरू हुन्छन् जुन् निम्नानुसार उत्पन्न गर्न सकिन्छ
ಕನ್ನಡ,सामान्य रिपोर्टहरू:
മലയാളം,डाउनलोड गरिएका एपहरूको संख्या
தமிழ்,दर्ता गरिएका आंगनवाडी केन्द्रहरूको कुल संख्या
తెలుగు,दर्ता गरिएका लाभार्थीहरूको कुल संख्या (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)
বাংলা,दर्ता गरिएका गर्भवती महिलाहरूको कुल संख्या (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)
অসমীয়া,स्तनपान गराउने आमाहरूको कुल संख्या दर्ता गरियो (राष्ट्रिय / राज्य / जिल्ला / खण्डवार)
ਪੰਜਾਬੀ,बच्चाहरूको कुल संख्या (०-६ महिना) पंजीकृत (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)
ଓଡ଼ିଆ,बच्चाहरूको कुल संख्या (६ महिना - ३ वर्ष) पंजीकृत (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)
नेपाली,दर्ता गरिएका बच्चाहरूको कुल संख्या (३-६ वर्ष) (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)
डोगरी,मातृ र बाल पोषण:
कोंकणी,२१ दिनमा कति लाभार्थीहरूले THR प्राप्त गरे
सिंधी,कति बच्चाहरूले जन्मपछि पहिलो घण्टामा विशेष गरी स्तनपान गराए
बोडो,कति स्तनपान गराउने आमाहरूलाई एचसीएम दिइन्छ
मैथिली,कति जना बच्चाहरूले जन्मपछि पहिलो घण्टामा विशेष रूपमा स्तनपान गराए
মণিপুরী,३-६ वर्ष उमेरका बच्चाहरूमा क्याल्सियमको औसत स्तर
संथाली,३-६ वर्ष उमेरका बच्चाहरूमा आइरनको औसत स्तर
اردو,"प्रति महिना लगाइएका खोपहरूको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)"
کٲشُر,प्रति महिना लगाइएका खोपको विशिष्ट रिपोर्ट (BCG / OPV / हेपेटाइटिस बी / रोटावायरस / पोलियो / न्यूमोकोकल / पेन्टालेलेन्ट)
About,AWC पूर्वाधार:
Resources,"AWC हरूको संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)"
Resources,"बालवाटिकाको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)"
Vaccination Schedule,"सफा पिउने पानी भएका AWC हरूको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)"
Dashboard,"कार्य तौल मापन भएका AWC हरू (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर) को कुल संख्या"
Dashboard,"बिजुली भएका AWC हरूको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)"
Mission Utkarsh,सरकारी स्वामित्वमा रहेका AWC हरूको कुल संख्या
Helpdesk,निजी स्वामित्वमा रहेका AWC हरूको कुल संख्या
Beneficiary Redressal,पोशन ट्र्याकर टोलीलाई कसरी सम्पर्क गर्ने?
State Helpdesk,पोशन ट्र्याकर टोलीलाई support-poshantrackr@gov.in मा इमेल पठाएर सम्पर्क गर्न सकिन्छ। हात समात्न र समर्थनको लागि हामी हरेक दिन 4:15 बजे देखि 5:15 बजे सम्म भिडियो कन्फरेन्समा पनि उपलब्ध छौं।
FAQ,एउटा लाभार्थी सिधै आवेदन प्रयोग गरेर पंजीकरण गर्न सक्नुहुन्छ।
Poshan Calculator,हाल एउटा लाभार्थीले एडब्ल्यूडब्ल्यू को मद्दतले पंजीकरण गर्न सक्छ
Login,लाभार्थी को हो?
OPEN A NEW TICKET,लाभार्थीहरूको लागि 6 वर्गहरू छन्
CHECK TICKET STATUS,गर्भवती महिला
Create a New Ticket,स्तनपान गराउने आमा
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,0 देखि 6 महिना सम्मका बालबालिका
Beneficiary Category ,6 महिनादेखि 3 वर्षसम्मका बालबालिका
*,3 वर्ष देखि 6 वर्ष सम्मका बालबालिका
Select a Beneficiary Category,किशोरी केटीहरु
Pregnant Women,के लाभार्थीले आफ्नो एडब्ल्यूसी परिवर्तन गर्न सक्नुहुन्छ?
Lactating Mothers,एउटा एडब्ल्यूडब्ल्यू ले आधार संख्याको आधारमा एउटा एडब्ल्यूसी बाट अर्को एडब्ल्यूसी मा लाभार्थी स्थानान्तरण गर्न 'स्थानान्तरण लाभार्थी' विकल्प प्रयोग गर्न सक्छ।
Children (0-6 months),एउटा लाभार्थीको पात्रता के हो?
Children (6 months - 3 years),एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि टीएचआर को लागि योग्य हुन्छ।
Children (3 - 6 years),घरको राशन लिनुको लागि को योग्य छ?
Adolescent Girls,"गर्भवती महिला, स्तनपान गराउने आमाहरू, 6 महिनादेखि 3 वर्षसम्मका बालबालिका र किशोरी केटीहरु।"
Query Related to ,मैले घरमा रासन लैजाने बारेमा कहाँ सोध्न सक्छु?
*,कृपया आफ्नो सम्बन्धित आंगनवाडी कार्यकर्तालाई सम्पर्क गर्नुहोस्।
Select Query Related to,थप पूरक खाना को लागी को योग्य छ।
AWW/AWC,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।
Supervisor,एउटा लाभार्थीको पात्रता के हो?
Help Topic ,एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि एचसीएम को लागी योग्य हुन्छ।
*,तातो पकाएको खानाको लागि को योग्य छ?
Select a Help Topic,3 वर्ष देखि 6 वर्ष सम्मको उमेर समूहका बालबालिका
Description ,तातो पकाएको खानाको बारेमा मैले कहाँ सोधपुछ गर्न सक्छु?
*,कृपया आफ्नो सम्बन्धित आंगनवाडी केन्द्रमा सम्पर्क गर्नुहोस्।
Select a Description,थप पूरक खानाको लागि को योग्य छ?
Name ,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।
*,समर्थन
Mobile Number , 14408
*, support-poshantrackr@gov.in
Email,मोबाइल एप डाउनलोड गर्नुहोस्
Having difficulty raising ticket?,Powered By
Poshan Helpline,को बारेमा
14408,संसाधन
Email,ड्यासबोर्ड
support-poshantrackr@gov.in,सहायता केन्द्र
By District,एफएक्यू
State ,पोशन क्याल्कुलेटर
*,सेवाका सर्तहरु
Select State,गोपनीयता नीति
District ,पेशाहरु
*,Copyright@2023  Poshan Tracker. All rights reserved
Select District, You need to enable JavaScript to run this app.
Project ,Poshan Helpline:
*,14408
Select Project,JanAndolan
Sector ,एबीएचए (स्वास्थ्य आईडी)
*,भाषा
Select Sector,English
Anganwadi Center ,हिंदी
*,ગુજરાતી
Select An Anganwadi center,મરાઠી
Create Ticket,ಕನ್ನಡ
Reset,മലയാളം
Support,தமிழ்
 14408,తెలుగు
 support-poshantrackr@gov.in,বাংলা
Download Mobile App,অসমীয়া
Powered By,ਪੰਜਾਬੀ
About,ଓଡ଼ିଆ
Resources,नेपाली
Dashboard,डोगरी
Helpdesk,कोंकणी
FAQ,सिंधी
Poshan Calculator,बोडो
Terms of Service,मैथिली
Privacy Policy,মণিপুরী
Careers,संथाली
Copyright@2023  Poshan Tracker. All rights reserved,اردو
 You need to enable JavaScript to run this app.,کٲشُر
