en,sd
Download PDF,पीडीएफ डाउनलोड कयो
❯,❯
❮,❮
Awareness for Pregnancy in Preventing Anemia,जागरूकता गर्भावस्था मे एनीमिया जी
Download PDF,पीडीएफ डाउनलोड कयो
❯,❯
❮,❮
Awareness for Lactating Mother Complimentary Feeding for Children,जागरूकता हुजे मां मे बार खे छाति मा सुठे सा खिर पियाण जी
Download PDF,पीडीएफ डाउनलोड कयो
Awareness to Lactating Mother,जागरूकता मां मे ढुक्क डेयन जी
Download PDF,पीडीएफ डाउनलोड कयो
❯,❯
❮,❮
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","जागरूकता बारण मे कुपोषण, स्टंट,विनयाण खा बचण लाए"
Download PDF,पीडीएफ डाउनलोड कयो
❯,❯
Growth Monitoring Assessment Charts,वाध निगरानी महसूल चार्ट
Stunted Assessment Parameters,अवरूद्ध जो मुल्यांकन मापण
Download PDF,पीडीएफ डाउनलोड कयो
Wasted Assessment Parameters,व्यर्थ जो मुल्यांकन मापण
Download PDF,पीडीएफ डाउनलोड कयो
Underweight Assessment Parameters,घट वजन जो मुल्यांकन मापण
Download PDF,पीडीएफ डाउनलोड कयो
Manuals,दस्तावेज़
Poshan Tracker Process Flow,पोशन ट्रेक कंदड़ु अमलु जो वहिकिरो
Download PDF,पीडीएफ डाउनलोड कयो
Circulars/Notifications,परिपत्रो/अधिसूचना
03 June,03 June
2021,2021
Clarification regarding Cost of Smart phones,स्पष्ट करण स्मार्टफोन जो अघ
Download PDF,पीडीएफ डाउनलोड कयो
24 May,24 May
2021,2021
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,डेटा विजण आंगनवाड़ी सर्विस योजना जो पोषण टे्कर ते
Download PDF,पीडीएफ डाउनलोड कयो
01 March,01 March
2021,2021
Data Plan for Mobile Application,डेटा जी योजना मोबाईल अप्लिकेशन जे लाए
Download PDF,पीडीएफ डाउनलोड कयो
02 February,02 February
2021,2021
Specifications of Smart phone and Technical Compatibility Testing,विनिर्देश स्मार्टफोन जो आऊं तकनिकी अनुकुलता जो परिक्षण करण
Download PDF,पीडीएफ डाउनलोड कयो
02 February,02 February
2021,2021
Training on ICT Platform under POSHAN Abhiyaan,पृशिक्षण करण ICT प्लेटफार्म ते पोषण अभियान जे हलदे
Download PDF,पीडीएफ डाउनलोड कयो
02 February,02 February
2021,2021
New Poshan Tracker App - CSC-SPV Nodal Person,नयो पोषण टे्कर एप- CSC-SPV नोडल माणु
Download PDF,पीडीएफ डाउनलोड कयो
13 January,13 January
2021,2021
New Poshan Tracker App,नयो पोषण टे्कर एप‌
Download PDF,पीडीएफ डाउनलोड कयो
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
Support,मदद
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड कयो
Powered By,Powered By
About,जे बारे में
Resources,वसीला
Dashboard,डैश्बोर्ड
Helpdesk,हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,टर्म्स ऑफ़ सर्विसेस
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (तंदुरुस्ती आईडी)
Language,बो॒ली
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,जे बारे में
Resources,वसीला
Resources,वसीला
Vaccination Schedule,टीकाकरण जो शेड्यूल
Dashboard,डैश्बोर्ड
Dashboard,डैश्बोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,हितभागी जो निस्तार
State Helpdesk,राज्य हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन
Vaccination Schedule,टीकाकरण जो शेड्यूल
Birth,जन्म।
Bacillus Calmette Guerin (BCG),बेकिलस केलमिटी गेरिन (BCG)
Oral Polio Vaccine (OPV)-0 dose ,ओरल पोलियो वैक्सीन (OPV)-0 डोस 
Hepatitis B birth dose OPV-1 T,हेपाटिटिस बी बर्थ डोस OPV-1 T
6 ,6 
Weeks,हफ्ता
OPV-1,OPV-1
Pentavalent-1,पेंटावेलेंट-1
Rotavirus Vaccine (RVV)-1,रोटावायरस वेक्सिन (RVV)-1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,फ्रेकशनल डोस आफ इनएक्टिवेटेड पोलियो वेक्सिन(fIPV)-1
Pneumococcal Conjugate Vaccine (PCV) -1,न्यूमोकोकल कोनज्युकेट वेक्सिन (PCV) -1
10 ,10 
Weeks,हफ्ता
OPV-2,OPV-2
Pentavalent-2,पेंटावेलेंट-2
RVV-2,RVV-2
14 ,14 
Weeks,हफ्ता
OPV-3,OPV-3
Pentavalent-3,पेंटावेलेंट-3
fIPV-2T,fIPV-2T
RVV-3,RVV-3
PCV-2,PCV-2
9 - 12 ,9 - 12 
Months,महीना
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,मिसलेस कनटेनिंग वेक्सिन(MCV)/मिसलेस आऊं रूबेला (MR)-1
Japanese Encephalitis(JE)-1**,जापानिस इन्सेफेलाइटिस(JE)-1**
PCV-Booster,PCV-बूस्टर
16 - 24 ,16 - 24 
Months,महीना
Measles Containing vaccine (MCV)/MR-2,मिसलेस कनटेनिंग वेक्सिन (MCV)/MR-2
JE-2**,JE-2**
Diphtheria,डिप्थीरिया
Pertussis & Tetanus (DPT)-Booster-1,परटयुसिस एंड टिटनस (DPT)-बूस्टर-1
OPV –Booster,OPV -बूस्टर
5 - 6 ,5 - 6 
Years,साल
DPT-Booster-2,DPT-बूस्टर-2
Pregnant Women,पेटअ वारी माई
"Td1, 2 or Td Booster***","Td1, 2 या Td बूस्टर***"
Support,मदद
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड कयो
Powered By,Powered By
About,जे बारे में
Resources,वसीला
Dashboard,डैश्बोर्ड
Helpdesk,हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,टर्म्स ऑफ़ सर्विसेस
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (तंदुरुस्ती आईडी)
Language,बो॒ली
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,जे बारे में
Resources,वसीला
Resources,वसीला
Vaccination Schedule,टीकाकरण जो शेड्यूल
Dashboard,डैश्बोर्ड
Dashboard,डैश्बोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,हितभागी जो निस्तार
State Helpdesk,राज्य हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन
India,India
Select State,राज्य चुंडियों
Select District,ज़िलो चुंडियों
Last Updated On : 18/04/2023,Last Updated On : 18/04/2023
General Information,General Information
*State level aggregated data as received from States,*State level aggregated data as received from States
Owned Building,Owned Building
AWC Infrastructure,AWC Infrastructure
-,-
Functional Toilet,Functional Toilet
AWC Infrastructure,AWC Infrastructure
-,-
Drinking Water Source,Drinking Water Source
AWC Infrastructure,AWC Infrastructure
-,-
Anganwadi Center Details,Anganwadi Center Details
Report for Mar 2023,Report for Mar 2023
Eligible Beneficiaries,Eligible Beneficiaries
As on 31st Mar 2023,As on 31st Mar 2023
Aspirational Districts & North East Region,Aspirational Districts & North East Region
Adolescent Girls,Adolescent Girls
Total,Total
-,-
-,-
Aadhaar Verified,Aadhaar Verified
Adolescent Girls,Adolescent Girls
-,-
Take Home Ration (THR),Take Home Ration (THR)
Given For Atleast 21 Days,Given For Atleast 21 Days
-,-
Key Services,Key Services
Report for Mar 2023,Report for Mar 2023
* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App,* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App
Support,मदद
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड कयो
Powered By,Powered By
About,जे बारे में
Resources,वसीला
Dashboard,डैश्बोर्ड
Helpdesk,हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,टर्म्स ऑफ़ सर्विसेस
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (तंदुरुस्ती आईडी)
Language,बो॒ली
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,जे बारे में
Resources,वसीला
Resources,वसीला
Vaccination Schedule,टीकाकरण जो शेड्यूल
Dashboard,डैश्बोर्ड
Dashboard,डैश्बोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,हितभागी जो निस्तार
State Helpdesk,राज्य हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन
Login to your account,तव्हां जे खाते में लॉगिन कयो
User Name ,वापिराईंदड नालो 
*,*
Password ,गुझोलफजु 
*,*
Login,लॉगिन
Support,मदद
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड कयो
Powered By,Powered By
About,जे बारे में
Resources,वसीला
Dashboard,डैश्बोर्ड
Helpdesk,हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,टर्म्स ऑफ़ सर्विसेस
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (तंदुरुस्ती आईडी)
Language,बो॒ली
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,जे बारे में
Resources,वसीला
Resources,वसीला
Vaccination Schedule,टीकाकरण जो शेड्यूल
Dashboard,डैश्बोर्ड
Dashboard,डैश्बोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,हितभागी जो निस्तार
State Helpdesk,राज्य हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन
OPEN A NEW TICKET,हिक नई टिकेट खोलयो
CHECK TICKET STATUS,टिकेट जी स्थिति खे जाचण
Create a New Ticket,नई टिकेट ठाहयो
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,किरपा करे हिन हेठ डिनल फार्म खे भरो त नई टिकेट ठाहयुं। आंगनवाड़ी कार्यकर्ता तांजे वठ 48 किलाक मे पहुची वेन्दुव:।.
Beneficiary Category ,लाभकारी श्रेणी आ 
*,*
Select a Beneficiary Category,हिकु फाईदोवठिंदड विभाग चुंडो
Pregnant Women,गर्भ वंती माई
Lactating Mothers,ढुक्क डेयन वारी माऊं
Children (0-6 months),बा॒र (0-6 महिना)
Children (6 months - 3 years),बा॒र (6 महिननि - 3 साल)
Children (3 - 6 years),बा॒र (3-6 साल)
Adolescent Girls,Adolescent Girls
Query Related to ,केंजे संबंधी सवाल आ 
*,*
Select Query Related to,चुंडो पुछा लागापो रंखिंदड
AWW/AWC,AWW/AWC
Supervisor,निगरनीकंदड
Help Topic ,मदद जो विषय 
*,*
Select a Help Topic,Select a Help Topic
Description ,विवरण 
*,*
Select a Description,हिकु बयानु चुंडो
Name ,नालो 
*,*
Mobile Number ,मोबाईल नम्बर 
*,*
Email,ईमेल
Having difficulty raising ticket?,टिकेट वठण मे दिक्कत ती अचे?
Poshan Helpline,Poshan Helpline
14408,14408
Email,ईमेल
support-poshantrackr@gov.in,support-poshantrackr@gov.in
By District,जिले मोजिबु
State ,राज्य 
*,*
Select State,राज्य चुंडियों
District ,जिलो 
*,*
Select District,ज़िलो चुंडियों
Project ,प्रोजेक्ट 
*,*
Select Project,प्रोजेक्ट चुंडो
Sector ,विभाग 
*,*
Select Sector,विभाग चुंडो
Anganwadi Center ,आङनवाडी केंद्र 
*,*
Select An Anganwadi center,हिकु आङनवाडी केंद्र चुंडो
Create Ticket,टिकेट टाहियो
Reset,बि॒हरतरतीब
Support,मदद
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड कयो
Powered By,Powered By
About,जे बारे में
Resources,वसीला
Dashboard,डैश्बोर्ड
Helpdesk,हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,टर्म्स ऑफ़ सर्विसेस
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (तंदुरुस्ती आईडी)
Language,बो॒ली
About,जे बारे में
Resources,वसीला
Resources,वसीला
Vaccination Schedule,टीकाकरण जो शेड्यूल
Dashboard,डैश्बोर्ड
Dashboard,डैश्बोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,हितभागी जो निस्तार
State Helpdesk,राज्य हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन
Frequently Asked Questions,बार-बार पुषण वारा सवाल:
ALL,सब
BENEFICIARY REGISTRATION,लाभार्थी पंजीकरण
Take Home Ration,घर जो राशन वठो
Hot Cooked Meal,गरम-गरम रोटी ठायण
What is Poshan Abhiyaan?,पोषण अभियान छा आहे?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","बारनु, नौजवाननु , गर्भ वंतयूनु जे खोराकी नतीजन खे सुधारण जे लाए, पोषण अभियान भारत जो मुख्य प्रोग्राम आहे."
What is the purpose of Launching Poshan Tracker?,पोषण ट्रेकर खे शुरू करण जो मकसद छा आहे?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","पोषण ट्रेकर एप जो मकसद आंगनवाड़ी मरकज़ जे मशगुलियुन, आंगनवाड़ी कम कंदडनु जी सेवा जी डिलीवरी एं गर्भ वंती मायुनु, धाराइंदड़ु माउरुं, बा॒रन जे लाये समूरो बेनेफिशरी बंदोबस्त जो 360 डिग्री व्यू दि॒यण आहे. मंज़ूर कयल सिस्टम मुकरर कयल पैमाने ते सभिनी आंगनवाड़ी मरकज़नु, आंगनवाड़ी कम कंदडनु एं बेनेफिशरयुन जी रियल टाइम निगरानी एं ट्रेकिंग करण जी इख़्तियारी दीं॒दो."
How can one Download Poshan Tracker App?,पोषण एप खे कियें डाउनलोड करे सघ॒जे थो?
Poshan Tracker App is available over Google playstore ,पोषण ट्रेकर एप गूगल ते मौजूद आहे.Google playstore 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,छा पोषण ट्रेक्स एप एप्पल आई स्टोर ते मौजूद आहे?
"No, Poshan Tracker is available only for Android version","न, पोषण ट्रेकर फकत ऐन्ड्रॉइड कौल ते मौजूद आहे."
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाईल में पोषण ट्रेकर एप इंस्टाल करण जे लाए घटु में घटु घुरज छा आहे?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्रेकर एप खे ऐंड्रोइड 6.0 या उन खां वधिक जे कोल वारे ऐंड्रोइड फोन में इंसटाल करे सघ॒बो आहे.
Can App be accessed without internet?,छा हिन एप खे इंटरनेट जे बिना हलाए सघ॒बो आहे?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.","न, ही एप सही इंटरनेट कनेक्शन खां सिवाय कम न कंदी."
Who are the target userbase of Poshan Tracker App?,पोषण ट्रेकर एप जा मक्सदी वापराइंदड केर आहिन?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.","पोषण ट्रेकर एप, आंगनवाड़ी में कम कंदडनु, आंगनवाड़ी मरकज़न पारां फायदो वठंदडनु जे डाटा खे फॉर्म में दाखिल करण जे लाये ठाही वेई आहे. हिन एप खे आम अवाम जे लाये बिलकुल न ठाहियो वियो आहे."
How to Login in Poshan Tracker App?,पोषण ट्रेकर एप में लॉगिन कियें कजे?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","आंगनवाड़ी में कम कंदडनु खे लॉगिन स्क्रीन ते उन्ह्नु जो मोबाइल नंबर दाखिल करण जी वेंती कई वञे थी. तव्हां जे रजिस्टर कयल मोबाइल नंबर ते हिक ओटीपी मोकलायो वेंदो, जहिं खां पोइ तव्हां खे एम्पिन सेट करणो पवंदो."
What is  MPIN?,एमपिन छा आहे?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"एमपिन 4 अंगनु जो हिक पासकोड आहे, जेको पोषण ट्रेकर एप ते रजिस्टर करण वक्त आंगनवाड़ी कम कंदड पारां सेट कयो वेंदो आहे."
How to set MPIN?,एमपिन खे सेट कियें कयो वञे?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","आंगनवाड़ी में कम कंदड पारां उन्ह्नु जे मोबाइल नंबर ते हिक ओटीपी जी वेंती करे एमपिन खे सेट करे सघ॒जे थो. जेकद॒हिं मोबाइल नंबर डाटाबेस में पहिंरियों खां मौजूद आहे, त लागा॒पो रखंदडु आंगनवाड़ी शख्स खे रजिस्टर थियल मोबाइल नंबर ते हिक 4 अंगनु जो ओटीपी मिलंदो। ओटीपी दाखिल करण खां पोइ, आंगनवाड़ी में कम कंदड सवलाई सां मनपसंद एमपिन सेट करे सघे॒ थो."
When and how to use MPIN?,एमपिन खे कद॒हिं एं कियें इस्तेमाल कजे?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","पोषण ट्रेकर एप ते लॉगिन करण वक्त, आंगनवाड़ी में कम कंदड़नु खे उन्ह्नु पारां सेट कयलु एमपिन दाखिल करणो पवंदो। पोषण ट्रेकर एप खे हलाइण एं फायदों वठंदड़ जे फॉर्म में जा॒ण दाखिल करण जे लाये एमपिन हिक पासकोड तरीके कम कंदो."
How to Reset MPIN?,एमपिन खे वरी सेट कियें कजे?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",कहिं बि आंगनवाड़ी कम कंदड़/ आंगनवाड़ी मरकज़ यूजर पारां एमपिन खे सहुलाईअ सां वरी सेट करे सघ॒जे थो. तव्हां खे फॉरगॉट एमपिन ते क्लिक करणो पवंदो एं पहिंजो रजिस्टर कयल मोबाइल नंबर दाखिल करणो पवंदो। तव्हां खे तव्हां जे रजिस्टर थियल मोबाइल नंबर ते हिक ओटीपी मिलंदो एं तव्हां सहूलाईअ सां तव्हां जो एमपिन सेट करे सघो॒ था.
In How many languages the Poshan Tracker App is available?,पोषण ट्रेकर एप केतरियुन बो॒लियुन में मौजूद आहे?
Poshan Tracker App is available in 22 different languages,पोषण ट्रेकर एप अलग॒-अल॒ग 22 बो॒लियुन में मौजूद आहे.
The various languages available are:,अलग॒-अलग॒ मौजूद बो॒लियूं आहिन:
English,अंग्रेज़ी
Hindi,हिंदी
Gujarati,गुजराती
Punjabi,पंजाबी
Marathi,मराठी
Bangla,बांग्ला
Kannada,कन्नड
Tamil,तमिल
Telugu,तेलुगु
Malyalam,मलयालम
Odia,ऑडिया
Assamese,आसामी
Nepali,Nepali
Dogri,Dogri
Konkani,Konkani
Sindhi,Sindhi
Bodo,Bodo
Maithili,Maithili
Manipuri,Manipuri
Santhali,Santhali
Urdu,Urdu
Kashmiri,Kashmiri
In how many languages AWW can enter the data while filling up the form?,फॉर्म भरण वक्त आंगनवाड़ी कम कंदड़ या आंगनवाड़ी मरकज़ केतरियुन बो॒लियुन में डाटा दाखिल करे सघ॒न था?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,आंगनवाड़ी कम कंदड़ फॉर्म फकत अंग्रेजी बो॒लीअ में भरे सघ॒न था.
How many different forms are there in Poshan Tracker App?,पोषण ट्रेकर एप में केतरन नमूनन जा फॉर्म दि॒नल आहिन।
There are 7 different types of forms for beneficiaries. This includes:,फायदो वठंदड़नु जे लाये 7 नमूनन जा फॉर्म दि॒नल आहिन। जहिं में शामिल आहिन:
Lactating mother,धाराइंदडु माउ
Pregnant women,गर्भ वंती माई
Child 0-6 Months,बा॒र 0 - 6 महीना
Child 6 Months to 3 Years,बा॒र 6 महिने खां 3 साल
Child  3 Years to 6 Years,बा॒र 3 साल खां 6 साल
Adolescent Girls (11 Years-19 Years),नौजवानु छोकरियूं (11 साल - 19 साल)
What information to be added in AWC forms?,आंगनवाड़ी मरकज़ फॉर्म में कहिड़ी जा॒ण जोड़ी वञन घुरजे?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","आंगनवाडी कम कंदड़न खे हिक आंगनवाड़ी मरकज़ में मौजूद जोड़जक सां लागा॒पो रखन्दड़ जा॒ण दाखिल करणी पवंदी आहे.जहिं में इमारत, बुनियादी सहूलियतुं , सुविधाऊं, सफाई, पीयण जो पाणी वगैरह शामिल आहे."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,जेकद॒हिं आंगनवाड़ी कम कंदड मोबाइल नंबर मारफ़त रजिस्टर करण में नाकाबिलआहिन त उहे एप ते कियें साइन अप करे सघं॒दा आहिन?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,जेकद॒हिं आंगनवाडी में कम कंदड पहिंजे पाण खे रजिस्टर करण में नाकामयाब थियन था त इन जा ब॒ कारण थी सघ॒न था:
Their mobile number is not present in the data provided by the states to the MoWCD,MoWCD खे राज्य पारां दि॒नल डाटा में उनहनु जो मोबाइल नंबर मौजूद न आहे.
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,उहे सिस्टम में नवां जुड़ियल आहिन एं उनहनु जो मोबाइल नंबर MoWCD खे राज्य पारां अञा ताईं दि॒नो न वियो आहे.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,मथे दि॒नल बि॒न्ही मामलनु में राज्य जा नोडल ऑफिसरन खे कहिं बि आंगनवाड़ी कम कंदडनु खे जोड़ण/ सुधारण/ एक्टिव/ डीएक्टिव करण जो इख़्तियार दि॒नो वियो आहे.
How can one access Poshan Tracker Dashboard?,पोषण ट्रेकर डेशबोर्ड ते कियें पहुंच्यो वञे?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,डैशबोर्ड ते साइन इन करे पोषण ट्रेकर डैशबोर्ड ताईं पहुंची सघ॒जे थो. लिंक 
https://poshantracker.in/admin,https://poshantracker.in/admin
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.", ते क्लिक करे डैशबोर्ड ताईं पहुंची सघ॒जे थो. डैशबोर्ड ते पहुंचण जे लाये फ़क्त चूंडियल राष्ट्रीय/ राज्य/ जिल्ला/ प्रोजेक्ट एं सेक्टर सतह जे नोडल सतह जे ऑफिसरन खे हिक अनोखो क्रेडिनशल दि॒नो वेंदो आहे.
How one can add AWW/AWCs?,आंगनवाड़ी कम कंदड/आंगनवाड़ी मरकज़ खे कियें जोड़े सघ॒जे थो?
