en,mai
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,लगभग
Resources,साधन
Resources,साधन
Vaccination Schedule,टीकाकरण अनुसूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्य मदतिकेंद्र
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन करू
Login to your account,अपन खाता मे लॉगइन करू
User Name ,उपयोगकर्ताक नाम 
*,*
Password ,पासवर्ड 
*,*
Login,लॉगइन करू
Support,मदति
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड करू
Powered By,Powered By
About,लगभग
Resources,साधन
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,सेवाक शर्तसभ
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),आभा (स्वास्थ्य आईडी)
Language,भाषा
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,लगभग
Resources,साधन
Resources,साधन
Vaccination Schedule,टीकाकरण अनुसूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्य मदतिकेंद्र
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन करू
OPEN A NEW TICKET,एकटा नवका टिकट खोलू
CHECK TICKET STATUS,टिकट स्टेटस देखू
Create a New Ticket,एकता नव टिकट बनाउ
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,नव टिकट बनबाक लेल कृपया नीचू देल गेल फॉर्मकेँ भरू। आंगनवाड़ी कार्यकर्ता 48 घंटाक भित्तर अहाँक लग पहुंच जाएत।.
Beneficiary Category ,लाभार्थी श्रेणी 
*,*
Select a Beneficiary Category,एकटा लाभार्थी श्रेणीक चयन करू
Pregnant Women,गर्भवती स्त्री सभ
Lactating Mothers,स्तनपान कराय बाली मायसभ
Children (0-6 months),बच्चा सभ (0-6 माह)
Children (6 months - 3 years),बच्चा सभ (6 माह - 3 वर्ष)
Children (3 - 6 years),बच्चा सभ (3 - 6 वर्ष)
Adolescent Girls,Adolescent Girls
Query Related to ,सँ संबंधित प्रश्न 
*,*
Select Query Related to,सँ संबंधित प्रश्न केर चयन करू
AWW/AWC,AWW/AWC
Supervisor,पर्यवेक्षक
Help Topic ,हेल्प टॉपिक 
*,*
Select a Help Topic,Select a Help Topic
Description ,विवरण 
*,*
Select a Description,एकटा विवरण चुनू
Name ,नाम 
*,*
Mobile Number ,मोबाइल नंबर 
*,*
Email,ईमेल
Having difficulty raising ticket?,टिकट लेबाकमे कठिनाई भ रहल अछि?
Poshan Helpline,Poshan Helpline
14408,14408
Email,ईमेल
support-poshantrackr@gov.in,support-poshantrackr@gov.in
By District,जिला द्वारा
State ,राज्य 
*,*
Select State,राज्य चुनू
District ,जिला 
*,*
Select District,जिला चुनू
Project ,परियोजना 
*,*
Select Project,परियोजनाक चयन करू
Sector ,सेक्टर 
*,*
Select Sector,सेक्टर केँ चयन करू
Anganwadi Center ,आंगनबाडी केंद्र 
*,*
Select An Anganwadi center,एकटा आंगनबाडी केंद्रक चयन करू
Create Ticket,टिकट बनाउ
Reset,पुन: सेट करू
Support,मदति
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड करू
Powered By,Powered By
About,लगभग
Resources,साधन
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,सेवाक शर्तसभ
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),आभा (स्वास्थ्य आईडी)
Language,भाषा
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,लगभग
Resources,साधन
Resources,साधन
Vaccination Schedule,टीकाकरण अनुसूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्य मदतिकेंद्र
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन करू
Frequently Asked Questions,अधिकतर पूछल जाय बला सवाल
ALL,सब
BENEFICIARY REGISTRATION,लाभार्थी पंजीकरण
Take Home Ration,घरक राशन लिओ
Hot Cooked Meal,गर्म पकाओल भोजन
What is Poshan Abhiyaan?,पोषण अभियान की अछि?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान नेना, किशोर-किशोरी आ गभर्वतीक पोषण परिणाम मे सुधार लेल एक टा फ्लैगशिप कार्यक्रम अछि।"
What is the purpose of Launching Poshan Tracker?,पोषण ट्रैकर आरंभ करबाक उद्देश्य की अछि?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","पोषण ट्रैकर एप्लिकेशनक उद्देश्य आंगनवाड़ी केंद्रक (AWC) सभक गतिविधि, आंगनवाड़ी केंद्र कें कार्यकर्ता (AWWs) सभक सेवा आपूर्तिक 360-डिग्री अवलोकन प्रदान करनए अछि आओर गर्ववती स्त्री, स्तनपान कराबै वाली माय आ नेना सभक सम्पूर्ण लाभुक प्रबंधन करब अछि। प्रस्तावित सिस्टम AWCs, AWWs आओर परिभाषित संकेतक सभ पर मौजूद लाभुक केर रीयल टाइम निगरानी आ ट्रैकिंंग सुविधा कें सक्षम करत।"
How can one Download Poshan Tracker App?,कोनो व्यक्ति पोषण ट्रैकर एप कोना डाउनलोड क' सकैत छथि?
Poshan Tracker App is available over Google playstore ,पोषण ट्रैकर एप गूगल प्लेस्टोर मे उपलब्ध अछि 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
Is poshan trackers app available over Apple I Store also?,पोषण ट्रैकर एप एपल आई स्टोर मे सेहो उपलब्ध अछि की?
"No, Poshan Tracker is available only for Android version","नहि, पोषण ट्रैकर एप केवल एंड्रॉयड वर्जन लेल उपलब्ध अछि।"
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाइल मे पोषण ट्रैकर एप इंस्टॉल करबाक लेल न्यूनतम आवश्यकता की होइत अछि?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्रैकर एप सिर्फ एंड्रॉयड वर्जन 6.0 आ एहि सँ ऊपरक वर्जन वला एंड्रॉयड फोन मे इंस्टॉल कएल जा सकैत अछि।
Can App be accessed without internet?,बिना इंटरनेट एप कें एक्सेस कएल जा सकैत अछि की?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.","नहि, एप सही इंटरनेट कनेक्शन कें बिन काज नहि करैत अछि।"
Who are the target userbase of Poshan Tracker App?,पोषण ट्रैकर एप के लक्षित उपयोगकर्ता समूह कें अछि?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.","पोषण ट्रैकर एप प्रपत्र मे लाभार्थीक डेटा प्रविष्ट करबाक हेतु आंगनवाड़ी कार्यकर्ता, आंगनवाड़ी केंद्र कें उपयोग लेल अछि। ई आम लोकनिक लेल विकसित नहि कएल गेल अछि।"
How to Login in Poshan Tracker App?,पोषण ट्रैकर एप मे लॉगिन कोना करी?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","AWW सभ कें लॉगिन स्क्रीन मे अपन मोबाइल नंबर प्रविष्ट करबाक आग्रह कएल जायत अछि। अहॉंक मोबाइल नंबर पर एक गोट OTP पठाओल जायत, एकर बाद अहॉं कें अपन MPIN सेट करबाक आवश्यकता होइत अछि।"
What is  MPIN?,MPIN की होइत अछि?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,MPIN एक टा 4 अंकक पासकोड अछि जे पोषण ट्रैकर एपक पंजीकरण करबाक दरमियान आंगनवाड़ी कार्यकर्ता द्वारा सेट कएल जायत अछि।
How to set MPIN?,MPIN कोना सेट करी?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.",संबंधित आंगनवाड़ी कार्यकर्ता अपन मोबाइल नंबर लेल OTPक आग्रह कए MPIN सेट कए सकैत छथि। यदि मोबाइल नंबर डेटाबेस पर पहिने सँ मौजूद अछि त' संबंधित आंगनवाड़ी व्यक्ति कें पंजीकृत मोबाइल नंबर पर 4 अंकक OTP प्राप्त होइत। OTP प्रविष्ट कएलाक पश्चात AWW आसानी सँ अनुकूलित MPIN सेट कए सकैत छथि।
When and how to use MPIN?,कखन आ कोना MPIN उपयोग करी?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.",पोषण ट्रैकर एप मे लॉगन करबाक समय AWW सभ कें हुनका द्वारा सेट कएल MPIN सेट करवाक आवश्यकता होइत अछि। ई MPIN पोषण ट्रैकर एप चलेबाक लेल आ लाभार्थीक प्रपत्र सभ मे जानकारी प्रविष्ट करबाक लेल पासकोडक काज करत।
How to Reset MPIN?,MPIN कें रीसेट कोना करी?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",कोनो AWW/AWC उपयोगकर्ता द्वारा MPIN आसानी सँ रीसेट कएल जा सकैत अछि। अहॉं कें फॉरगॉट MPIN पर क्लिक करबाक आ अपन पंजीकृत मोबाइल नंबर प्रविष्ट करबाक आवश्यकता होइत। अहॉं कें अपन पंजीकृत मोबाइल नंबर पर OTP प्राप्त होइत आ अहॉं आसानी सँ अपन MPIN कें रीसेट कए सकब।
In How many languages the Poshan Tracker App is available?,पोषण ट्रैकर एप कतेक भाषा सभ मे उपलब्ध अछि?
Poshan Tracker App is available in 22 different languages,पोषण ट्रैकर एप 22 विभिन्न भाषा सभ मे उपलब्ध अछि।
The various languages available are:,उपलब्ध विभिन्न भाषा सभ अछि:
English,अंग्रेजी
Hindi,हिंदी
Gujarati,गुजराती
Punjabi,पंजाबी
Marathi,मराठी
Bangla,बांग्ला
Kannada,कन्नड़
Tamil,तमिल
Telugu,तेलगु
Malyalam,मलयालम
Odia,ओड़िया
Assamese,असमी
Nepali,Nepali
Dogri,Dogri
Konkani,Konkani
Sindhi,Sindhi
Bodo,Bodo
Maithili,Maithili
Manipuri,Manipuri
Santhali,Santhali
Urdu,Urdu
Kashmiri,Kashmiri
In how many languages AWW can enter the data while filling up the form?,प्रपत्र भरबाक समय AWW वा AWC कतेक भाषा सभ मे डेटा प्रविष्ट कए सकैत छथि?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,AWW पपत्र भरबाक प्रक्रिया सिर्फ अंग्रेजी भाषा मे संपन्न कए सकैत छथि।
How many different forms are there in Poshan Tracker App?,पोषण ट्रैकर एप मे कतेक प्रकारक पपत्र उपलब्ध अछि?
There are 7 different types of forms for beneficiaries. This includes:,लाभार्थी सभ लेल 7 विभिन्न प्रकारक पपत्र सभ उपलब्ध अछि। एहि मे शामिल अछि:
Lactating mother,स्तनपान कराबै वाली माय
Pregnant women,गर्भवती स्त्री सभ
Child 0-6 Months,0-6 महीनाक नेना
Child 6 Months to 3 Years,6 महीना सँ 3 सालक नेना
Child  3 Years to 6 Years,3 साल सँ 6 सालक नेना
Adolescent Girls (11 Years-19 Years),किशोरी (11 साल सँ 19 साल)
What information to be added in AWC forms?,AWC प्रपत्र मे कोन जानकारी जोड़बाक चाहि?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","AWW कें कोनो खास आंगनवाड़ी केंद्रक आधारभूत संरचना सँ संबंधित विवरण प्रविष्ट करबाक आवश्यकता होइत अछि। एहि में संरचना, मूलभूत सुविधा सभ, व्यवस्था, सैनिटाइजेशन, पेयजल आदि शामिल अछि।"
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,यदि AWW सभ अपन मोबाइल नंबरक माध्यम सँ पजीकरण करबा मे असमर्थ होए त' ओ एप मे कोना साइन अप कए सकैत अछि?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,यदि AWW सभ अपन पंजीकरण करबा मे असफल रहैत छथि त' 2 बातक संभावना अछि:
Their mobile number is not present in the data provided by the states to the MoWCD,हुनक मोबाइल नंबर राज्य द्वारा MoWCD कें उपलब्ध कराओल गेल डेटा मे उपस्थित नहि अछक।
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,ओ सिस्टम पर हाल मे जोड़ल गेल छथि आ हुनक मोबाइल नंबर स्टेट सेल द्वारा MoWCD कें एखन धरि उपलब्ध नहि कराओल गेल अछि।
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,उपरोक्त दुनू स्थिति में राज्य नोडल पदाधिकारी कें कोनो AWW कें जोड़/संपादन/ सक्रिय/निष्क्रिय करबाक कार्य शक्ति होइत अछि।
How can one access Poshan Tracker Dashboard?,कोनो व्यक्ति पोषण ट्रैकर डैशबोर्ड कें कोना एक्सेस कए सकैत छथि?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,डैशबोर्ड पर साइन कए पोषण ट्रैकर डैशबोर्ड कें एक्सेस कएल जा सकैत अछि। डैशबोर्ड कें 
https://poshantracker.in/admin,https://poshantracker.in/admin
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," लिंक क्लिक कए एक्सेस कएल जा सकैत छथि। सिर्फ नामांकित राष्ट्रीय, राज्य, जिला, प्रोजेक्ट आ सेक्टर स्तरक नोडल अधिकारी सभ कें डैशबोर्ड एक्सेस करबाक अनूठा क्रेडेंशियल उपलब्ध कराओल गेल अछि।"
How one can add AWW/AWCs?,केयो AWW/AWCs कें कोना जोड़ि सकैत छथि?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"AWW/AWCs सभ कें सिर्फ नोडल स्तरक अधिकारी द्वारा जोड़ल जा सकैत अछि। ऊपर मे उल्लेखित पदानुक्रम कें कोनो व्यक्ति। जेना की राष्ट्रीय स्तरक उपयोगकर्ता राज्य, जिला, प्रोजेक्ट आ सेक्टर स्तरक उपयोगकर्ता बना सकैत छथि। राज्य स्तरक उपयोगकर्ता जिला, प्रोजेक्ट आ सेक्टर स्तरक उपयोगकर्ता बना सकैत छथि, जिला स्तरक उपयोगकर्ता प्रोजेक्ट आ सेक्टर स्तर उपयोगकर्ता बना सकैत छथि, प्रोजेक्ट स्तरक उपयोगकर्ता सेक्टर स्तरक उपयोगकर्ता बना सकैत छथि। सीए."
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्रैकर डैशबोर्ड पर कतेक प्रकारक रिपोर्ट उत्पन्न कएल जा सकैत अछि?
There are various reports that can be generated from,एहन विभिन्न रिपोर्ट भ' सकैत अछि जे उत्पन्न कएल जा सकैत अछि
General Reports:,सामान्य रिपोर्ट:
Number of app  downloads,एप डाउनलोड कें संख्या
Total number of Anganwadi centers registered,पंजीकृत आंगवाड़ीक कुल संख्या
Total number of beneficiaries registered (National/state/district/block wise),पंजीकृत लाभार्थीक कुल संख्या (राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Total Number of pregnant women registered(National/state/district/block wise),पंजीकृत गर्भवती स्त्री सभक कुल संख्या (राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Total Number of  lactating mothers registered(National/state/district/block wise),स्तनपान कराबै वला माता सभक कुल संख्या (राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Total Number of children (0-6months) registered(National/state/district/block wise),नेना सभक कुल संख्या (0 सँ 6 महीना) (राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Total Number of children (6months-3years) registered(National/state/district/ block wise),नेना सभक कुल संख्या (6 महीना सँ 3 साल) (राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Total Number of children (3-6years) registered(National/state/district/ block wise),नेना सभक कुल संख्या (3 सँ 6 साल)(राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Maternal and child nutrition:,मातृत्व आ बाल पोषण:
How many beneficiaries got THR in 21 days,21 दिन मे कतेक लाभार्थी सभ कें THR प्राप्त भेल
How many children breastfed exclusively in the first hour after delivery,प्रसव उपरांत पहिल घंटा मे कतेक नेना स्तनपान कएलक
How many lactating mothers are given HCM,स्तनपान कराबै वला कतेक माता सभ कें HCM देल गेल
Average level of calcium in children aged 3-6 years,प्रसव उपरांत पहिल घंटा मे कतेक नेना स्तनपान कएलक
Average level of iron in children aged 3-6years,3 सँ 6 साल कें नेना मे कैल्सियमक औसत स्तर
"Total number of vaccinations administered per month (block, district, state, national level)",3 सँ 6 साल कें नेना मे लौह तत्वक औसत स्तर
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,प्रति मास लगाओल गेल टीकाकरण विशिष्ट रिपोर्ट (BCG/OPV/हैपटाइटिस B/रोटावायरस /पोलियो /न्यूमोकोकल /पेंटावैलेंट)
AWC infrastructure:,AWC आधारभूत संरचना:
"Number of AWCs (block, district, state, national level)","AWC सभक संख्या (प्रखंड, जिला, राज्य, राष्ट्रीय स्तर)"
"Total number of Balvatikas (block district, state, national level)","बलवतिका कें कुल संख्या (प्रखंड, जिला, राज्य, राष्ट्रीय स्तर)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","स्वच्छ पेयजल संग AWC सभक कुल संख्या (प्रखंड, जिला, राज्य, राष्ट्रीय स्तर)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","कार्यकारी वजन पैमाना संग AWC सभक कुल संख्या (प्रखंड, जिला, राज्य, राष्ट्रीय स्तर)"
"Total number of AWCs (block, district, state, national level) with electricity","विद्युत संग AWC सभक कुल संख्या (प्रखंड, जिला, राज्य, राष्ट्रीय स्तर)"
Total number of AWCs that are government owned,सरकारक स्वामित्व वला AWC सभक कुल संख्या
Total number of AWCs that are privately owned,निजी स्वामित्व वला AWC सभक कुल संख्या
How to contact Poshan Tracker Team?,पोषण ट्रैकर टीमसँ केना संपर्क करी?
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,पोषण ट्रैकर टीमसँ सपोर्ट- poshantrackr@gov.in पर ईमेल पठाक संपर्क केल जा सकैछ। हैंडहोल्डिंग आ समर्थनक लेल हम प्रत्येक दिन 4:15 बजे सँ साँझ 5:15 बजे तक वीडियो सम्मेलनमे उपलब्ध अछि।
Can a beneficiary register directly using application.,की कोनो लाभार्थी आवेदनक उपयोग कएक सीधे पंजीकृत कए सकैछ।
Currently a beneficiary can register by the help of an AWW,वर्तमानमे एकटा लाभार्थी एकटा AWW केर मदतिसँ पंजीकरण कए सकैछ
Who is a beneficiary?,लाभार्थी के अछि?
There are 6 categories for beneficiaries,लाभार्थिसभक लेल 6टा श्रेणी अछि
Pregnant Women,गर्भवती महिलासभ
Lactating Mother,स्तनपान कराय बाली मायसभ
Children from 0 to 6 months,0 सँ 6 महीना धरि क बच्चासभ
Children from 6 months to 3 years,6 महीनासँ 3 बरख धरि क बच्चासभ
Children from 3 years to 6 years,3 बरखसँ 6 बरख धरि क बच्चासभ
Adolescent girls,किशोरी लड़िकीसभ
Can a beneficiary change his/her AWC?,की कोनो लाभार्थी अपन AWC बदल सकैछ?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एकटा AWW एकटा लाभार्थीकेँ एकटा AWC से दोसर AWC क आधार पर हुनकर AADHAAR नंबरक आधार पर माइग्रेट करबाक लेल 'माइग्रेट लाभार्थी' विकल्पक उपयोग कए सकैछ।
What is the eligibility of a beneficiary?,एक लाभार्थी की योग्यता क्या है?
A beneficiary is eligible for THR for at least 21 days in a month.,एकटा लाभार्थी एक महीनामे कमसँ कम 21 दिनक लेल THR लेल योग्य अछि।
Who is eligible for Take Home Ration?,के घरक राशनक लेल योग्य छी?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गर्भवती महिलासभ, स्तनपान कराय बाली मातासभ, 6 महीनासँ 3 साल तक क बच्चा आ किशोर लड़िकीसभ।"
Where can I enquire about take home ration?,हम घरक राशनक बारेमे पूछताछ कए सकैत छी?
Please contact your respective Anganwadi worker.,कृपया अपनसँ संबंधित आंगनवाड़ी कार्यकर्तासँ संपर्क करू।
Who is eligible for additional supplementary food.,के अतिरिक्त पूरक भोजनक लेल योग्य अछि।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"जे बच्चाकेँ पोषण पर कमीक रूपे चिन्हल जाइत अछि, ओ अतिरिक्त भोजनक खुराकक लेल योग्य अछि।"
What is the eligibility of a beneficiary?,एक लाभार्थी की योग्यता क्या है?
A beneficiary is eligible for HCM for at least 21 days in a month.,एकटा लाभार्थी एक महीनामे कमसँ कम 21 दिनक लेल एचसीएमक लेल योग्य छी।
Who is eligible for Hot Cooked Meal?,गर्म पाकल भोजनक लेल के योग्य अछि?
Children in the age group of 3 years to 6 years,3 बरखसँ 6 बरखक समूहमे नेनासभ
Where can I enquire about Hot Cooked Meal?,हम गर्म पाकल भोजनक बारेमे कतहसँ पूछताछ कए सकैत छी?
Please contact your respective Anganwadi Centre.,कृपया अपनसँ संबंधित आंगनवाड़ी केंद्रसँ संपर्क करू।
Who is eligible for additional supplementary food?,अतिरिक्त पूरक भोजनक लेल के योग्य अछि?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"जे बच्चाकेँ पोषण पर कमीक रूपे चिन्हल जाइत अछि, ओ अतिरिक्त भोजनक खुराकक लेल योग्य अछि।"
Support,मदति
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड करू
Powered By,Powered By
About,लगभग
Resources,साधन
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,सेवाक शर्तसभ
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),आभा (स्वास्थ्य आईडी)
Language,भाषा
About,लगभग
Resources,साधन
Resources,साधन
Vaccination Schedule,टीकाकरण अनुसूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्य मदतिकेंद्र
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन करू
Poshan Calculator,पोषण कैलकुलेटर
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,पोषण कैलकुलेटरकेँ विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) माध्यमसँ परिभाषित मानक केर आधार पर बच्चाक विकासकेँ नापबाक लेल डिज़ाइन केल गएल अछि.
How to use Poshan Calculator?,पोषण कैलकुलेटरक उपयोग केना करिए?
Select Gender,लिंग चुनू
Enter Date of Birth,जन्म् तिथि एंटर करू
Enter Height in centimeter,सेंटीमीटरमे ऊंचाई एंटर करू
Enter Weight in kilogram,किलोग्राममे ओजन एंटर करू
Click on Show Results,परिणाम देखाउ’ पर क्लिक करू
Gender ,लिंग 
Boy,लड़िका
Girl,लड़िकी
Date of Birth ,जन्म तिथि 
Height (CM) ,ऊँचाई (सें.मी.) 
*Height should be between 38 to 150,*ऊँचाई 38 सँ 150 केर बीच होयबाक चाही
CM,सें.मी.
Weight (KG) ,वजन (कि.ग्रा.) 
*Weight should be between 0.90 to 58,*वजन 0.90 सँ 58 केर बीच होयबाक चाही
KG,कि.ग्रा.
Show Results,परिणाम सभ देखाउ
What is Poshan Calculator,पोषण कैलकुलेटर की अछि
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,पोषण कैलकुलेटर विश्व स्वास्थ्य संगठन (WHO) मानकक अनुसार नेनाक अलग-अलग स्वास्थ्य स्थितिक चिन्ह्बामे मदति करइत अछि.
WHO standards are :,WHO मानक अछि :
Stunting ( Height for Age)- ,स्टंटिंग (उमेरक लेल ऊंचाई)- 
0 months to 6 years,0 महीनासँ 6 बरख धरि
Severely Stunted,गंभीर रूप सँ अद्भुत बल प्रदर्शन
Moderately stunted,मध्यम रूपसँ बौनापन
